requestedUrl,finalUrl,category,name,title,type,score
"https://4channel.org/","https://4channel.org/","Performance","performance-score","Overall Performance Category Score","numeric","0.71"
"https://4channel.org/","https://4channel.org/","Performance","first-contentful-paint","First Contentful Paint","numeric","0.6"
"https://4channel.org/","https://4channel.org/","Performance","speed-index","Speed Index","numeric","0.32"
"https://4channel.org/","https://4channel.org/","Performance","largest-contentful-paint","Largest Contentful Paint","numeric","0.29"
"https://4channel.org/","https://4channel.org/","Performance","interactive","Time to Interactive","numeric","0.93"
"https://4channel.org/","https://4channel.org/","Performance","total-blocking-time","Total Blocking Time","numeric","1"
"https://4channel.org/","https://4channel.org/","Performance","cumulative-layout-shift","Cumulative Layout Shift","numeric","1"
"https://4channel.org/","https://4channel.org/","Performance","max-potential-fid","Max Potential First Input Delay","numeric","0.97"
"https://4channel.org/","https://4channel.org/","Performance","first-meaningful-paint","First Meaningful Paint","numeric","0.82"
"https://4channel.org/","https://4channel.org/","Performance","render-blocking-resources","Eliminate render-blocking resources","numeric","0.59"
"https://4channel.org/","https://4channel.org/","Performance","uses-responsive-images","Properly size images","numeric","1"
"https://4channel.org/","https://4channel.org/","Performance","offscreen-images","Defer offscreen images","numeric","1"
"https://4channel.org/","https://4channel.org/","Performance","unminified-css","Minify CSS","numeric","1"
"https://4channel.org/","https://4channel.org/","Performance","unminified-javascript","Minify JavaScript","numeric","1"
"https://4channel.org/","https://4channel.org/","Performance","unused-css-rules","Reduce unused CSS","numeric","1"
"https://4channel.org/","https://4channel.org/","Performance","unused-javascript","Reduce unused JavaScript","numeric","1"
"https://4channel.org/","https://4channel.org/","Performance","uses-optimized-images","Efficiently encode images","numeric","0.73"
"https://4channel.org/","https://4channel.org/","Performance","modern-image-formats","Serve images in next-gen formats","numeric","0.73"
"https://4channel.org/","https://4channel.org/","Performance","uses-text-compression","Enable text compression","numeric","1"
"https://4channel.org/","https://4channel.org/","Performance","uses-rel-preconnect","Preconnect to required origins","numeric","0.73"
"https://4channel.org/","https://4channel.org/","Performance","server-response-time","Reduce initial server response time","binary","0"
"https://4channel.org/","https://4channel.org/","Performance","redirects","Avoid multiple page redirects","numeric","1"
"https://4channel.org/","https://4channel.org/","Performance","uses-rel-preload","Preload key requests","notApplicable","-1"
