requestedUrl,finalUrl,category,name,title,type,score
"https://about.google/","https://about.google/","Performance","performance-score","Overall Performance Category Score","numeric","0.51"
"https://about.google/","https://about.google/","Performance","first-contentful-paint","First Contentful Paint","numeric","0.76"
"https://about.google/","https://about.google/","Performance","speed-index","Speed Index","numeric","0.35"
"https://about.google/","https://about.google/","Performance","largest-contentful-paint","Largest Contentful Paint","numeric","0.16"
"https://about.google/","https://about.google/","Performance","interactive","Time to Interactive","numeric","0.31"
"https://about.google/","https://about.google/","Performance","total-blocking-time","Total Blocking Time","numeric","0.58"
"https://about.google/","https://about.google/","Performance","cumulative-layout-shift","Cumulative Layout Shift","numeric","1"
"https://about.google/","https://about.google/","Performance","max-potential-fid","Max Potential First Input Delay","numeric","0.55"
"https://about.google/","https://about.google/","Performance","first-meaningful-paint","First Meaningful Paint","numeric","0.54"
"https://about.google/","https://about.google/","Performance","render-blocking-resources","Eliminate render-blocking resources","numeric","0.46"
"https://about.google/","https://about.google/","Performance","uses-responsive-images","Properly size images","numeric","1"
"https://about.google/","https://about.google/","Performance","offscreen-images","Defer offscreen images","numeric","1"
"https://about.google/","https://about.google/","Performance","unminified-css","Minify CSS","numeric","1"
"https://about.google/","https://about.google/","Performance","unminified-javascript","Minify JavaScript","numeric","1"
"https://about.google/","https://about.google/","Performance","unused-css-rules","Reduce unused CSS","numeric","0.45"
"https://about.google/","https://about.google/","Performance","unused-javascript","Reduce unused JavaScript","numeric","0.38"
"https://about.google/","https://about.google/","Performance","uses-optimized-images","Efficiently encode images","numeric","1"
"https://about.google/","https://about.google/","Performance","modern-image-formats","Serve images in next-gen formats","numeric","0.37"
"https://about.google/","https://about.google/","Performance","uses-text-compression","Enable text compression","numeric","1"
"https://about.google/","https://about.google/","Performance","uses-rel-preconnect","Preconnect to required origins","numeric","0.71"
"https://about.google/","https://about.google/","Performance","server-response-time","Initial server response time was short","binary","1"
"https://about.google/","https://about.google/","Performance","redirects","Avoid multiple page redirects","numeric","1"
"https://about.google/","https://about.google/","Performance","uses-rel-preload","Preload key requests","notApplicable","-1"
"https://about.google/","https://about.google/","Performance","uses-http2","Use HTTP/2","numeric","1"
"https://about.google/","https://about.google/","Performance","efficient-animated-content","Use video formats for animated content","numeric","0"
"https://about.google/","https://about.google/","Performance","duplicated-javascript","Remove duplicate modules in JavaScript bundles","numeric","1"
"https://about.google/","https://about.google/","Performance","legacy-javascript","Avoid serving legacy JavaScript to modern browsers","numeric","1"
"https://about.google/","https://about.google/","Performance","preload-lcp-image","Preload Largest Contentful Paint image","notApplicable","-1"
"https://about.google/","https://about.google/","Performance","total-byte-weight","Avoid enormous network payloads","numeric","0.02"
"https://about.google/","https://about.google/","Performance","uses-long-cache-ttl","Serve static assets with an efficient cache policy","numeric","0"
"https://about.google/","https://about.google/","Performance","dom-size","Avoids an excessive DOM size","numeric","1"
"https://about.google/","https://about.google/","Performance","critical-request-chains","Avoid chaining critical requests","informative","-1"
"https://about.google/","https://about.google/","Performance","user-timings","User Timing marks and measures","notApplicable","-1"
"https://about.google/","https://about.google/","Performance","bootup-time","Reduce JavaScript execution time","numeric","0.88"
"https://about.google/","https://about.google/","Performance","mainthread-work-breakdown","Minimize main-thread work","numeric","0.61"
"https://about.google/","https://about.google/","Performance","font-display","Ensure text remains visible during webfont load","binary","0"
"https://about.google/","https://about.google/","Performance","performance-budget","Performance budget","notApplicable","-1"
"https://about.google/","https://about.google/","Performance","timing-budget","Timing budget","notApplicable","-1"
"https://about.google/","https://about.google/","Performance","resource-summary","Keep request counts low and transfer sizes small","informative","-1"
"https://about.google/","https://about.google/","Performance","third-party-summary","Minimize third-party usage","binary","1"
"https://about.google/","https://about.google/","Performance","third-party-facades","Lazy load third-party resources with facades","notApplicable","-1"
"https://about.google/","https://about.google/","Performance","largest-contentful-paint-element","Largest Contentful Paint element","informative","-1"
"https://about.google/","https://about.google/","Performance","lcp-lazy-loaded","Largest Contentful Paint image was not lazily loaded","notApplicable","-1"
"https://about.google/","https://about.google/","Performance","layout-shift-elements","Avoid large layout shifts","notApplicable","-1"
"https://about.google/","https://about.google/","Performance","uses-passive-event-listeners","Does not use passive listeners to improve scrolling performance","binary","0"
"https://about.google/","https://about.google/","Performance","no-document-write","Avoids `document.write()`","binary","1"
"https://about.google/","https://about.google/","Performance","long-tasks","Avoid long main-thread tasks","informative","-1"
"https://about.google/","https://about.google/","Performance","non-composited-animations","Avoid non-composited animations","notApplicable","-1"
"https://about.google/","https://about.google/","Performance","unsized-images","Image elements have explicit `width` and `height`","binary","1"
