requestedUrl,finalUrl,category,name,title,type,score
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","performance-score","Overall Performance Category Score","numeric","0.72"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","first-contentful-paint","First Contentful Paint","numeric","0.28"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","speed-index","Speed Index","numeric","0.42"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","largest-contentful-paint","Largest Contentful Paint","numeric","0.56"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","interactive","Time to Interactive","numeric","0.66"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","total-blocking-time","Total Blocking Time","numeric","0.98"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","cumulative-layout-shift","Cumulative Layout Shift","numeric","1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","max-potential-fid","Max Potential First Input Delay","numeric","0.54"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","first-meaningful-paint","First Meaningful Paint","numeric","0.55"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","render-blocking-resources","Eliminate render-blocking resources","numeric","0.37"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","uses-responsive-images","Properly size images","numeric","1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","offscreen-images","Defer offscreen images","numeric","1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","unminified-css","Minify CSS","numeric","1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","unminified-javascript","Minify JavaScript","numeric","1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","unused-css-rules","Reduce unused CSS","numeric","1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","unused-javascript","Reduce unused JavaScript","numeric","0.59"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","uses-optimized-images","Efficiently encode images","numeric","1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","modern-image-formats","Serve images in next-gen formats","numeric","1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","uses-text-compression","Enable text compression","numeric","1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","uses-rel-preconnect","Preconnect to required origins","numeric","1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","server-response-time","Initial server response time was short","binary","1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","redirects","Avoid multiple page redirects","numeric","1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","uses-rel-preload","Preload key requests","notApplicable","-1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","uses-http2","Use HTTP/2","numeric","1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","efficient-animated-content","Use video formats for animated content","numeric","1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","duplicated-javascript","Remove duplicate modules in JavaScript bundles","numeric","1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","legacy-javascript","Avoid serving legacy JavaScript to modern browsers","numeric","1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","preload-lcp-image","Preload Largest Contentful Paint image","notApplicable","-1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","total-byte-weight","Avoids enormous network payloads","numeric","1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","uses-long-cache-ttl","Serve static assets with an efficient cache policy","numeric","0.89"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","dom-size","Avoid an excessive DOM size","numeric","0.23"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","critical-request-chains","Avoid chaining critical requests","informative","-1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","user-timings","User Timing marks and measures","notApplicable","-1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","bootup-time","JavaScript execution time","numeric","0.98"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","mainthread-work-breakdown","Minimizes main-thread work","numeric","0.93"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","font-display","All text remains visible during webfont loads","binary","1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","performance-budget","Performance budget","notApplicable","-1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","timing-budget","Timing budget","notApplicable","-1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","resource-summary","Keep request counts low and transfer sizes small","informative","-1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","third-party-summary","Minimize third-party usage","binary","1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","third-party-facades","Lazy load third-party resources with facades","notApplicable","-1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","largest-contentful-paint-element","Largest Contentful Paint element","informative","-1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","lcp-lazy-loaded","Largest Contentful Paint image was not lazily loaded","notApplicable","-1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","layout-shift-elements","Avoid large layout shifts","informative","-1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","uses-passive-event-listeners","Uses passive listeners to improve scrolling performance","binary","1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","no-document-write","Avoids `document.write()`","binary","1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","long-tasks","Avoid long main-thread tasks","informative","-1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","non-composited-animations","Avoid non-composited animations","notApplicable","-1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","unsized-images","Image elements do not have explicit `width` and `height`","binary","0"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","viewport","Does not have a `<meta name=""viewport"">` tag with `width` or `initial-scale`","binary","0"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","network-requests","Network Requests","informative","-1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","network-rtt","Network Round Trip Times","informative","-1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","network-server-latency","Server Backend Latencies","informative","-1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","main-thread-tasks","Tasks","informative","-1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","diagnostics","Diagnostics","informative","-1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","metrics","Metrics","informative","-1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","screenshot-thumbnails","Screenshot Thumbnails","informative","-1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","final-screenshot","Final Screenshot","informative","-1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Performance","script-treemap-data","Script Treemap Data","informative","-1"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Accessibility","accessibility-score","Overall Accessibility Category Score","numeric","0.73"
"https://rutracker.org/","https://rutracker.org/forum/index.php","Accessibility","accesskeys","`[accesskey]` values are unique","binary","1"
