requestedUrl,finalUrl,category,name,title,type,score
"https://wemakeprice.com/","https://mw.wemakeprice.com/main","Performance","performance-score","Overall Performance Category Score","numeric","0.05"
"https://wemakeprice.com/","https://mw.wemakeprice.com/main","Performance","first-contentful-paint","First Contentful Paint","numeric","0"
"https://wemakeprice.com/","https://mw.wemakeprice.com/main","Performance","speed-index","Speed Index","numeric","0"
"https://wemakeprice.com/","https://mw.wemakeprice.com/main","Performance","largest-contentful-paint","Largest Contentful Paint","numeric","0"
"https://wemakeprice.com/","https://mw.wemakeprice.com/main","Performance","interactive","Time to Interactive","numeric","0.03"
"https://wemakeprice.com/","https://mw.wemakeprice.com/main","Performance","total-blocking-time","Total Blocking Time","numeric","0.07"
"https://wemakeprice.com/","https://mw.wemakeprice.com/main","Performance","cumulative-layout-shift","Cumulative Layout Shift","numeric","0.15"
"https://wemakeprice.com/","https://mw.wemakeprice.com/main","Performance","max-potential-fid","Max Potential First Input Delay","numeric","0.15"
"https://wemakeprice.com/","https://mw.wemakeprice.com/main","Performance","first-meaningful-paint","First Meaningful Paint","numeric","0.02"
"https://wemakeprice.com/","https://mw.wemakeprice.com/main","Performance","render-blocking-resources","Eliminate render-blocking resources","numeric","0"
"https://wemakeprice.com/","https://mw.wemakeprice.com/main","Performance","uses-responsive-images","Properly size images","numeric","1"
"https://wemakeprice.com/","https://mw.wemakeprice.com/main","Performance","offscreen-images","Defer offscreen images","numeric","0.66"
"https://wemakeprice.com/","https://mw.wemakeprice.com/main","Performance","unminified-css","Minify CSS","numeric","1"
"https://wemakeprice.com/","https://mw.wemakeprice.com/main","Performance","unminified-javascript","Minify JavaScript","numeric","1"
"https://wemakeprice.com/","https://mw.wemakeprice.com/main","Performance","unused-css-rules","Reduce unused CSS","numeric","0.67"
"https://wemakeprice.com/","https://mw.wemakeprice.com/main","Performance","unused-javascript","Reduce unused JavaScript","numeric","0.28"
"https://wemakeprice.com/","https://mw.wemakeprice.com/main","Performance","uses-optimized-images","Efficiently encode images","numeric","0.36"
"https://wemakeprice.com/","https://mw.wemakeprice.com/main","Performance","modern-image-formats","Serve images in next-gen formats","numeric","0"
"https://wemakeprice.com/","https://mw.wemakeprice.com/main","Performance","uses-text-compression","Enable text compression","numeric","1"
"https://wemakeprice.com/","https://mw.wemakeprice.com/main","Performance","uses-rel-preconnect","Preconnect to required origins","numeric","0.47"
"https://wemakeprice.com/","https://mw.wemakeprice.com/main","Performance","server-response-time","Initial server response time was short","binary","1"
"https://wemakeprice.com/","https://mw.wemakeprice.com/main","Performance","redirects","Avoid multiple page redirects","numeric","0.31"
"https://wemakeprice.com/","https://mw.wemakeprice.com/main","Performance","uses-rel-preload","Preload key requests","notApplicable","-1"
"https://wemakeprice.com/","https://mw.wemakeprice.com/main","Performance","uses-http2","Use HTTP/2","numeric","0.62"
