requestedUrl,finalUrl,category,name,title,type,score
"https://ynet.co.il/","https://m.ynet.co.il/category/8?gclid=CjwKCAjwz5iMBhAEEiwAMEAwGNK2BQhhnktPeiltn-nZNeL7OFSf7HS8BBUhIs4rpzOHWNRMc5LfMhoCApsQAvD_BwE","Performance","performance-score","Overall Performance Category Score","numeric","0.03"
"https://ynet.co.il/","https://m.ynet.co.il/category/8?gclid=CjwKCAjwz5iMBhAEEiwAMEAwGNK2BQhhnktPeiltn-nZNeL7OFSf7HS8BBUhIs4rpzOHWNRMc5LfMhoCApsQAvD_BwE","Performance","first-contentful-paint","First Contentful Paint","numeric","0.01"
"https://ynet.co.il/","https://m.ynet.co.il/category/8?gclid=CjwKCAjwz5iMBhAEEiwAMEAwGNK2BQhhnktPeiltn-nZNeL7OFSf7HS8BBUhIs4rpzOHWNRMc5LfMhoCApsQAvD_BwE","Performance","speed-index","Speed Index","numeric","0"
"https://ynet.co.il/","https://m.ynet.co.il/category/8?gclid=CjwKCAjwz5iMBhAEEiwAMEAwGNK2BQhhnktPeiltn-nZNeL7OFSf7HS8BBUhIs4rpzOHWNRMc5LfMhoCApsQAvD_BwE","Performance","largest-contentful-paint","Largest Contentful Paint","numeric","0"
"https://ynet.co.il/","https://m.ynet.co.il/category/8?gclid=CjwKCAjwz5iMBhAEEiwAMEAwGNK2BQhhnktPeiltn-nZNeL7OFSf7HS8BBUhIs4rpzOHWNRMc5LfMhoCApsQAvD_BwE","Performance","interactive","Time to Interactive","numeric","0"
"https://ynet.co.il/","https://m.ynet.co.il/category/8?gclid=CjwKCAjwz5iMBhAEEiwAMEAwGNK2BQhhnktPeiltn-nZNeL7OFSf7HS8BBUhIs4rpzOHWNRMc5LfMhoCApsQAvD_BwE","Performance","total-blocking-time","Total Blocking Time","numeric","0.04"
"https://ynet.co.il/","https://m.ynet.co.il/category/8?gclid=CjwKCAjwz5iMBhAEEiwAMEAwGNK2BQhhnktPeiltn-nZNeL7OFSf7HS8BBUhIs4rpzOHWNRMc5LfMhoCApsQAvD_BwE","Performance","cumulative-layout-shift","Cumulative Layout Shift","numeric","0.13"
"https://ynet.co.il/","https://m.ynet.co.il/category/8?gclid=CjwKCAjwz5iMBhAEEiwAMEAwGNK2BQhhnktPeiltn-nZNeL7OFSf7HS8BBUhIs4rpzOHWNRMc5LfMhoCApsQAvD_BwE","Performance","max-potential-fid","Max Potential First Input Delay","numeric","0.01"
"https://ynet.co.il/","https://m.ynet.co.il/category/8?gclid=CjwKCAjwz5iMBhAEEiwAMEAwGNK2BQhhnktPeiltn-nZNeL7OFSf7HS8BBUhIs4rpzOHWNRMc5LfMhoCApsQAvD_BwE","Performance","first-meaningful-paint","First Meaningful Paint","numeric","0.05"
"https://ynet.co.il/","https://m.ynet.co.il/category/8?gclid=CjwKCAjwz5iMBhAEEiwAMEAwGNK2BQhhnktPeiltn-nZNeL7OFSf7HS8BBUhIs4rpzOHWNRMc5LfMhoCApsQAvD_BwE","Performance","render-blocking-resources","Eliminate render-blocking resources","numeric","0.46"
"https://ynet.co.il/","https://m.ynet.co.il/category/8?gclid=CjwKCAjwz5iMBhAEEiwAMEAwGNK2BQhhnktPeiltn-nZNeL7OFSf7HS8BBUhIs4rpzOHWNRMc5LfMhoCApsQAvD_BwE","Performance","uses-responsive-images","Properly size images","numeric","0.4"
"https://ynet.co.il/","https://m.ynet.co.il/category/8?gclid=CjwKCAjwz5iMBhAEEiwAMEAwGNK2BQhhnktPeiltn-nZNeL7OFSf7HS8BBUhIs4rpzOHWNRMc5LfMhoCApsQAvD_BwE","Performance","offscreen-images","Defer offscreen images","numeric","0.25"
"https://ynet.co.il/","https://m.ynet.co.il/category/8?gclid=CjwKCAjwz5iMBhAEEiwAMEAwGNK2BQhhnktPeiltn-nZNeL7OFSf7HS8BBUhIs4rpzOHWNRMc5LfMhoCApsQAvD_BwE","Performance","unminified-css","Minify CSS","numeric","0.8"
"https://ynet.co.il/","https://m.ynet.co.il/category/8?gclid=CjwKCAjwz5iMBhAEEiwAMEAwGNK2BQhhnktPeiltn-nZNeL7OFSf7HS8BBUhIs4rpzOHWNRMc5LfMhoCApsQAvD_BwE","Performance","unminified-javascript","Minify JavaScript","numeric","0.8"
"https://ynet.co.il/","https://m.ynet.co.il/category/8?gclid=CjwKCAjwz5iMBhAEEiwAMEAwGNK2BQhhnktPeiltn-nZNeL7OFSf7HS8BBUhIs4rpzOHWNRMc5LfMhoCApsQAvD_BwE","Performance","unused-css-rules","Reduce unused CSS","numeric","1"
"https://ynet.co.il/","https://m.ynet.co.il/category/8?gclid=CjwKCAjwz5iMBhAEEiwAMEAwGNK2BQhhnktPeiltn-nZNeL7OFSf7HS8BBUhIs4rpzOHWNRMc5LfMhoCApsQAvD_BwE","Performance","unused-javascript","Reduce unused JavaScript","numeric","0"
"https://ynet.co.il/","https://m.ynet.co.il/category/8?gclid=CjwKCAjwz5iMBhAEEiwAMEAwGNK2BQhhnktPeiltn-nZNeL7OFSf7HS8BBUhIs4rpzOHWNRMc5LfMhoCApsQAvD_BwE","Performance","uses-optimized-images","Efficiently encode images","numeric","0.41"
"https://ynet.co.il/","https://m.ynet.co.il/category/8?gclid=CjwKCAjwz5iMBhAEEiwAMEAwGNK2BQhhnktPeiltn-nZNeL7OFSf7HS8BBUhIs4rpzOHWNRMc5LfMhoCApsQAvD_BwE","Performance","modern-image-formats","Serve images in next-gen formats","numeric","0.34"
"https://ynet.co.il/","https://m.ynet.co.il/category/8?gclid=CjwKCAjwz5iMBhAEEiwAMEAwGNK2BQhhnktPeiltn-nZNeL7OFSf7HS8BBUhIs4rpzOHWNRMc5LfMhoCApsQAvD_BwE","Performance","uses-text-compression","Enable text compression","numeric","0.73"
"https://ynet.co.il/","https://m.ynet.co.il/category/8?gclid=CjwKCAjwz5iMBhAEEiwAMEAwGNK2BQhhnktPeiltn-nZNeL7OFSf7HS8BBUhIs4rpzOHWNRMc5LfMhoCApsQAvD_BwE","Performance","uses-rel-preconnect","Preconnect to required origins","numeric","1"
"https://ynet.co.il/","https://m.ynet.co.il/category/8?gclid=CjwKCAjwz5iMBhAEEiwAMEAwGNK2BQhhnktPeiltn-nZNeL7OFSf7HS8BBUhIs4rpzOHWNRMc5LfMhoCApsQAvD_BwE","Performance","server-response-time","Reduce initial server response time","binary","0"
"https://ynet.co.il/","https://m.ynet.co.il/category/8?gclid=CjwKCAjwz5iMBhAEEiwAMEAwGNK2BQhhnktPeiltn-nZNeL7OFSf7HS8BBUhIs4rpzOHWNRMc5LfMhoCApsQAvD_BwE","Performance","redirects","Avoid multiple page redirects","numeric","0"
"https://ynet.co.il/","https://m.ynet.co.il/category/8?gclid=CjwKCAjwz5iMBhAEEiwAMEAwGNK2BQhhnktPeiltn-nZNeL7OFSf7HS8BBUhIs4rpzOHWNRMc5LfMhoCApsQAvD_BwE","Performance","uses-rel-preload","Preload key requests","notApplicable","-1"
"https://ynet.co.il/","https://m.ynet.co.il/category/8?gclid=CjwKCAjwz5iMBhAEEiwAMEAwGNK2BQhhnktPeiltn-nZNeL7OFSf7HS8BBUhIs4rpzOHWNRMc5LfMhoCApsQAvD_BwE","Performance","uses-http2","Use HTTP/2","numeric","1"
"https://ynet.co.il/","https://m.ynet.co.il/category/8?gclid=CjwKCAjwz5iMBhAEEiwAMEAwGNK2BQhhnktPeiltn-nZNeL7OFSf7HS8BBUhIs4rpzOHWNRMc5LfMhoCApsQAvD_BwE","Performance","efficient-animated-content","Use video formats for animated content","numeric","1"
"https://ynet.co.il/","https://m.ynet.co.il/category/8?gclid=CjwKCAjwz5iMBhAEEiwAMEAwGNK2BQhhnktPeiltn-nZNeL7OFSf7HS8BBUhIs4rpzOHWNRMc5LfMhoCApsQAvD_BwE","Performance","duplicated-javascript","Remove duplicate modules in JavaScript bundles","numeric","0.8"
"https://ynet.co.il/","https://m.ynet.co.il/category/8?gclid=CjwKCAjwz5iMBhAEEiwAMEAwGNK2BQhhnktPeiltn-nZNeL7OFSf7HS8BBUhIs4rpzOHWNRMc5LfMhoCApsQAvD_BwE","Performance","legacy-javascript","Avoid serving legacy JavaScript to modern browsers","numeric","1"
"https://ynet.co.il/","https://m.ynet.co.il/category/8?gclid=CjwKCAjwz5iMBhAEEiwAMEAwGNK2BQhhnktPeiltn-nZNeL7OFSf7HS8BBUhIs4rpzOHWNRMc5LfMhoCApsQAvD_BwE","Performance","preload-lcp-image","Preload Largest Contentful Paint image","notApplicable","-1"
