requestedUrl,finalUrl,category,name,title,type,score
"https://dcard.tw/","https://www.dcard.tw/f","Performance","performance-score","Overall Performance Category Score","numeric","0.51"
"https://dcard.tw/","https://www.dcard.tw/f","Performance","first-contentful-paint","First Contentful Paint","numeric","0.75"
"https://dcard.tw/","https://www.dcard.tw/f","Performance","speed-index","Speed Index","numeric","0.15"
"https://dcard.tw/","https://www.dcard.tw/f","Performance","largest-contentful-paint","Largest Contentful Paint","numeric","0.94"
"https://dcard.tw/","https://www.dcard.tw/f","Performance","interactive","Time to Interactive","numeric","0.1"
"https://dcard.tw/","https://www.dcard.tw/f","Performance","total-blocking-time","Total Blocking Time","numeric","0.07"
"https://dcard.tw/","https://www.dcard.tw/f","Performance","cumulative-layout-shift","Cumulative Layout Shift","numeric","1"
"https://dcard.tw/","https://www.dcard.tw/f","Performance","max-potential-fid","Max Potential First Input Delay","numeric","0.01"
"https://dcard.tw/","https://www.dcard.tw/f","Performance","first-meaningful-paint","First Meaningful Paint","numeric","0.91"
"https://dcard.tw/","https://www.dcard.tw/f","Performance","render-blocking-resources","Eliminate render-blocking resources","numeric","1"
"https://dcard.tw/","https://www.dcard.tw/f","Performance","uses-responsive-images","Properly size images","numeric","1"
"https://dcard.tw/","https://www.dcard.tw/f","Performance","offscreen-images","Defer offscreen images","numeric","1"
"https://dcard.tw/","https://www.dcard.tw/f","Performance","unminified-css","Minify CSS","numeric","1"
"https://dcard.tw/","https://www.dcard.tw/f","Performance","unminified-javascript","Minify JavaScript","numeric","1"
"https://dcard.tw/","https://www.dcard.tw/f","Performance","unused-css-rules","Reduce unused CSS","numeric","1"
"https://dcard.tw/","https://www.dcard.tw/f","Performance","unused-javascript","Reduce unused JavaScript","numeric","0.39"
"https://dcard.tw/","https://www.dcard.tw/f","Performance","uses-optimized-images","Efficiently encode images","numeric","1"
"https://dcard.tw/","https://www.dcard.tw/f","Performance","modern-image-formats","Serve images in next-gen formats","numeric","0.75"
"https://dcard.tw/","https://www.dcard.tw/f","Performance","uses-text-compression","Enable text compression","numeric","1"
"https://dcard.tw/","https://www.dcard.tw/f","Performance","uses-rel-preconnect","Preconnect to required origins","numeric","1"
"https://dcard.tw/","https://www.dcard.tw/f","Performance","server-response-time","Reduce initial server response time","binary","0"
"https://dcard.tw/","https://www.dcard.tw/f","Performance","redirects","Avoid multiple page redirects","numeric","0.38"
"https://dcard.tw/","https://www.dcard.tw/f","Performance","uses-rel-preload","Preload key requests","notApplicable","-1"
