requestedUrl,finalUrl,category,name,title,type,score
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","performance-score","Overall Performance Category Score","numeric","0.54"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","first-contentful-paint","First Contentful Paint","numeric","0.29"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","speed-index","Speed Index","numeric","0.41"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","largest-contentful-paint","Largest Contentful Paint","numeric","0.52"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","interactive","Time to Interactive","numeric","0.34"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","total-blocking-time","Total Blocking Time","numeric","1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","cumulative-layout-shift","Cumulative Layout Shift","numeric","0.02"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","max-potential-fid","Max Potential First Input Delay","numeric","0.99"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","first-meaningful-paint","First Meaningful Paint","numeric","0.56"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","render-blocking-resources","Eliminate render-blocking resources","numeric","0.71"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","uses-responsive-images","Properly size images","numeric","1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","offscreen-images","Defer offscreen images","numeric","0.4"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","unminified-css","Minify CSS","numeric","1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","unminified-javascript","Minify JavaScript","numeric","1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","unused-css-rules","Reduce unused CSS","numeric","1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","unused-javascript","Reduce unused JavaScript","numeric","1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","uses-optimized-images","Efficiently encode images","numeric","1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","modern-image-formats","Serve images in next-gen formats","numeric","0.38"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","uses-text-compression","Enable text compression","numeric","1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","uses-rel-preconnect","Preconnect to required origins","numeric","1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","server-response-time","Initial server response time was short","binary","1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","redirects","Avoid multiple page redirects","numeric","0.25"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","uses-rel-preload","Preload key requests","notApplicable","-1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","uses-http2","Use HTTP/2","numeric","1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","efficient-animated-content","Use video formats for animated content","numeric","1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","duplicated-javascript","Remove duplicate modules in JavaScript bundles","numeric","1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","legacy-javascript","Avoid serving legacy JavaScript to modern browsers","numeric","1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","preload-lcp-image","Preload Largest Contentful Paint image","notApplicable","-1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","total-byte-weight","Avoids enormous network payloads","numeric","1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","uses-long-cache-ttl","Uses efficient cache policy on static assets","numeric","0.96"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","dom-size","Avoid an excessive DOM size","numeric","0.87"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","critical-request-chains","Avoid chaining critical requests","informative","-1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","user-timings","User Timing marks and measures","notApplicable","-1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","bootup-time","JavaScript execution time","numeric","1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","mainthread-work-breakdown","Minimize main-thread work","numeric","0.88"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","font-display","All text remains visible during webfont loads","binary","1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","performance-budget","Performance budget","notApplicable","-1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","timing-budget","Timing budget","notApplicable","-1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","resource-summary","Keep request counts low and transfer sizes small","informative","-1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","third-party-summary","Minimize third-party usage","binary","1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","third-party-facades","Lazy load third-party resources with facades","notApplicable","-1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","largest-contentful-paint-element","Largest Contentful Paint element","informative","-1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","lcp-lazy-loaded","Largest Contentful Paint image was not lazily loaded","notApplicable","-1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","layout-shift-elements","Avoid large layout shifts","informative","-1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","uses-passive-event-listeners","Uses passive listeners to improve scrolling performance","binary","1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","no-document-write","Avoids `document.write()`","binary","1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","long-tasks","Avoid long main-thread tasks","informative","-1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","non-composited-animations","Avoid non-composited animations","notApplicable","-1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","unsized-images","Image elements do not have explicit `width` and `height`","binary","0"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","viewport","Has a `<meta name=""viewport"">` tag with `width` or `initial-scale`","binary","1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","network-requests","Network Requests","informative","-1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","network-rtt","Network Round Trip Times","informative","-1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","network-server-latency","Server Backend Latencies","informative","-1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","main-thread-tasks","Tasks","informative","-1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","diagnostics","Diagnostics","informative","-1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","metrics","Metrics","informative","-1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","screenshot-thumbnails","Screenshot Thumbnails","informative","-1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","final-screenshot","Final Screenshot","informative","-1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Performance","script-treemap-data","Script Treemap Data","informative","-1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Accessibility","accessibility-score","Overall Accessibility Category Score","numeric","0.99"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Accessibility","accesskeys","`[accesskey]` values are unique","notApplicable","-1"
"https://mozilla.org/","https://www.mozilla.org/en-US/","Accessibility","aria-allowed-attr","`[aria-*]` attributes match their roles","binary","1"
