requestedUrl,finalUrl,category,name,title,type,score
"https://amazon.sa/","https://www.amazon.sa/","Performance","performance-score","Overall Performance Category Score","numeric","0.5"
"https://amazon.sa/","https://www.amazon.sa/","Performance","first-contentful-paint","First Contentful Paint","numeric","0.07"
"https://amazon.sa/","https://www.amazon.sa/","Performance","speed-index","Speed Index","numeric","0.03"
"https://amazon.sa/","https://www.amazon.sa/","Performance","largest-contentful-paint","Largest Contentful Paint","numeric","0.2"
"https://amazon.sa/","https://www.amazon.sa/","Performance","interactive","Time to Interactive","numeric","0.13"
"https://amazon.sa/","https://www.amazon.sa/","Performance","total-blocking-time","Total Blocking Time","numeric","0.91"
"https://amazon.sa/","https://www.amazon.sa/","Performance","cumulative-layout-shift","Cumulative Layout Shift","numeric","1"
"https://amazon.sa/","https://www.amazon.sa/","Performance","max-potential-fid","Max Potential First Input Delay","numeric","0.74"
"https://amazon.sa/","https://www.amazon.sa/","Performance","first-meaningful-paint","First Meaningful Paint","numeric","0.24"
"https://amazon.sa/","https://www.amazon.sa/","Performance","render-blocking-resources","Eliminate render-blocking resources","numeric","1"
"https://amazon.sa/","https://www.amazon.sa/","Performance","uses-responsive-images","Properly size images","numeric","0.58"
"https://amazon.sa/","https://www.amazon.sa/","Performance","offscreen-images","Defer offscreen images","numeric","1"
"https://amazon.sa/","https://www.amazon.sa/","Performance","unminified-css","Minify CSS","numeric","1"
"https://amazon.sa/","https://www.amazon.sa/","Performance","unminified-javascript","Minify JavaScript","numeric","1"
"https://amazon.sa/","https://www.amazon.sa/","Performance","unused-css-rules","Reduce unused CSS","numeric","1"
"https://amazon.sa/","https://www.amazon.sa/","Performance","unused-javascript","Reduce unused JavaScript","numeric","0.59"
"https://amazon.sa/","https://www.amazon.sa/","Performance","uses-optimized-images","Efficiently encode images","numeric","1"
"https://amazon.sa/","https://www.amazon.sa/","Performance","modern-image-formats","Serve images in next-gen formats","numeric","0.48"
"https://amazon.sa/","https://www.amazon.sa/","Performance","uses-text-compression","Enable text compression","numeric","1"
"https://amazon.sa/","https://www.amazon.sa/","Performance","uses-rel-preconnect","Preconnect to required origins","numeric","1"
"https://amazon.sa/","https://www.amazon.sa/","Performance","server-response-time","Initial server response time was short","binary","1"
"https://amazon.sa/","https://www.amazon.sa/","Performance","redirects","Avoid multiple page redirects","numeric","1"
"https://amazon.sa/","https://www.amazon.sa/","Performance","uses-rel-preload","Preload key requests","notApplicable","-1"
