requestedUrl,finalUrl,category,name,title,type,score
"https://sogou.com/","http://m.sogou.com/?fr=s-sogou&clk=s-sogou","Performance","performance-score","Overall Performance Category Score","numeric","0.94"
"https://sogou.com/","http://m.sogou.com/?fr=s-sogou&clk=s-sogou","Performance","first-contentful-paint","First Contentful Paint","numeric","0.76"
"https://sogou.com/","http://m.sogou.com/?fr=s-sogou&clk=s-sogou","Performance","speed-index","Speed Index","numeric","0.76"
"https://sogou.com/","http://m.sogou.com/?fr=s-sogou&clk=s-sogou","Performance","largest-contentful-paint","Largest Contentful Paint","numeric","0.94"
"https://sogou.com/","http://m.sogou.com/?fr=s-sogou&clk=s-sogou","Performance","interactive","Time to Interactive","numeric","0.99"
"https://sogou.com/","http://m.sogou.com/?fr=s-sogou&clk=s-sogou","Performance","total-blocking-time","Total Blocking Time","numeric","1"
"https://sogou.com/","http://m.sogou.com/?fr=s-sogou&clk=s-sogou","Performance","cumulative-layout-shift","Cumulative Layout Shift","numeric","1"
"https://sogou.com/","http://m.sogou.com/?fr=s-sogou&clk=s-sogou","Performance","max-potential-fid","Max Potential First Input Delay","numeric","0.99"
"https://sogou.com/","http://m.sogou.com/?fr=s-sogou&clk=s-sogou","Performance","first-meaningful-paint","First Meaningful Paint","numeric","0.91"
"https://sogou.com/","http://m.sogou.com/?fr=s-sogou&clk=s-sogou","Performance","render-blocking-resources","Eliminate render-blocking resources","numeric","1"
"https://sogou.com/","http://m.sogou.com/?fr=s-sogou&clk=s-sogou","Performance","uses-responsive-images","Properly size images","numeric","1"
"https://sogou.com/","http://m.sogou.com/?fr=s-sogou&clk=s-sogou","Performance","offscreen-images","Defer offscreen images","numeric","1"
"https://sogou.com/","http://m.sogou.com/?fr=s-sogou&clk=s-sogou","Performance","unminified-css","Minify CSS","numeric","1"
"https://sogou.com/","http://m.sogou.com/?fr=s-sogou&clk=s-sogou","Performance","unminified-javascript","Minify JavaScript","numeric","1"
"https://sogou.com/","http://m.sogou.com/?fr=s-sogou&clk=s-sogou","Performance","unused-css-rules","Reduce unused CSS","numeric","1"
"https://sogou.com/","http://m.sogou.com/?fr=s-sogou&clk=s-sogou","Performance","unused-javascript","Reduce unused JavaScript","numeric","1"
