requestedUrl,finalUrl,category,name,title,type,score
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","performance-score","Overall Performance Category Score","numeric","0.15"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","first-contentful-paint","First Contentful Paint","numeric","0.01"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","speed-index","Speed Index","numeric","0"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","largest-contentful-paint","Largest Contentful Paint","numeric","0"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","interactive","Time to Interactive","numeric","0.01"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","total-blocking-time","Total Blocking Time","numeric","0.08"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","cumulative-layout-shift","Cumulative Layout Shift","numeric","0.85"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","max-potential-fid","Max Potential First Input Delay","numeric","0.1"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","first-meaningful-paint","First Meaningful Paint","numeric","0"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","render-blocking-resources","Eliminate render-blocking resources","numeric","0.15"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","uses-responsive-images","Properly size images","numeric","0.71"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","offscreen-images","Defer offscreen images","numeric","1"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","unminified-css","Minify CSS","numeric","1"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","unminified-javascript","Minify JavaScript","numeric","1"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","unused-css-rules","Reduce unused CSS","numeric","0.71"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","unused-javascript","Reduce unused JavaScript","numeric","0.36"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","uses-optimized-images","Efficiently encode images","numeric","1"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","modern-image-formats","Serve images in next-gen formats","numeric","1"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","uses-text-compression","Enable text compression","numeric","1"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","uses-rel-preconnect","Preconnect to required origins","numeric","1"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","server-response-time","Reduce initial server response time","binary","0"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","redirects","Avoid multiple page redirects","numeric","0.15"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","uses-rel-preload","Preload key requests","notApplicable","-1"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","uses-http2","Use HTTP/2","numeric","1"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","efficient-animated-content","Use video formats for animated content","numeric","0.72"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","duplicated-javascript","Remove duplicate modules in JavaScript bundles","numeric","0.44"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","legacy-javascript","Avoid serving legacy JavaScript to modern browsers","numeric","1"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","preload-lcp-image","Preload Largest Contentful Paint image","notApplicable","-1"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","total-byte-weight","Avoids enormous network payloads","numeric","0.99"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","uses-long-cache-ttl","Serve static assets with an efficient cache policy","numeric","0.18"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","dom-size","Avoids an excessive DOM size","numeric","1"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","critical-request-chains","Avoid chaining critical requests","informative","-1"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","user-timings","User Timing marks and measures","notApplicable","-1"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","bootup-time","Reduce JavaScript execution time","numeric","0.13"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","mainthread-work-breakdown","Minimize main-thread work","numeric","0.01"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","font-display","Ensure text remains visible during webfont load","binary","0"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","performance-budget","Performance budget","notApplicable","-1"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","timing-budget","Timing budget","notApplicable","-1"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","resource-summary","Keep request counts low and transfer sizes small","informative","-1"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","third-party-summary","Minimize third-party usage","binary","1"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","third-party-facades","Lazy load third-party resources with facades","notApplicable","-1"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","largest-contentful-paint-element","Largest Contentful Paint element","informative","-1"
"https://shein.com/","https://m.shein.com/?ref=www&rep=dir&ret=m","Performance","lcp-lazy-loaded","Largest Contentful Paint image was not lazily loaded","binary","1"
