requestedUrl,finalUrl,category,name,title,type,score
"https://libero.it/","https://www.libero.it/","Performance","performance-score","Overall Performance Category Score","numeric","0.16"
"https://libero.it/","https://www.libero.it/","Performance","first-contentful-paint","First Contentful Paint","numeric","0.02"
"https://libero.it/","https://www.libero.it/","Performance","speed-index","Speed Index","numeric","0"
"https://libero.it/","https://www.libero.it/","Performance","largest-contentful-paint","Largest Contentful Paint","numeric","0.01"
"https://libero.it/","https://www.libero.it/","Performance","interactive","Time to Interactive","numeric","0"
"https://libero.it/","https://www.libero.it/","Performance","total-blocking-time","Total Blocking Time","numeric","0.12"
"https://libero.it/","https://www.libero.it/","Performance","cumulative-layout-shift","Cumulative Layout Shift","numeric","0.82"
"https://libero.it/","https://www.libero.it/","Performance","max-potential-fid","Max Potential First Input Delay","numeric","0.62"
"https://libero.it/","https://www.libero.it/","Performance","first-meaningful-paint","First Meaningful Paint","numeric","0.11"
"https://libero.it/","https://www.libero.it/","Performance","render-blocking-resources","Eliminate render-blocking resources","numeric","1"
"https://libero.it/","https://www.libero.it/","Performance","uses-responsive-images","Properly size images","numeric","1"
"https://libero.it/","https://www.libero.it/","Performance","offscreen-images","Defer offscreen images","numeric","1"
"https://libero.it/","https://www.libero.it/","Performance","unminified-css","Minify CSS","numeric","1"
"https://libero.it/","https://www.libero.it/","Performance","unminified-javascript","Minify JavaScript","numeric","0.96"
"https://libero.it/","https://www.libero.it/","Performance","unused-css-rules","Reduce unused CSS","numeric","1"
"https://libero.it/","https://www.libero.it/","Performance","unused-javascript","Reduce unused JavaScript","numeric","0"
"https://libero.it/","https://www.libero.it/","Performance","uses-optimized-images","Efficiently encode images","numeric","0.84"
"https://libero.it/","https://www.libero.it/","Performance","modern-image-formats","Serve images in next-gen formats","numeric","0.8"
"https://libero.it/","https://www.libero.it/","Performance","uses-text-compression","Enable text compression","numeric","1"
"https://libero.it/","https://www.libero.it/","Performance","uses-rel-preconnect","Preconnect to required origins","numeric","1"
"https://libero.it/","https://www.libero.it/","Performance","server-response-time","Initial server response time was short","binary","1"
"https://libero.it/","https://www.libero.it/","Performance","redirects","Avoid multiple page redirects","numeric","1"
"https://libero.it/","https://www.libero.it/","Performance","uses-rel-preload","Preload key requests","notApplicable","-1"
"https://libero.it/","https://www.libero.it/","Performance","uses-http2","Use HTTP/2","numeric","1"
"https://libero.it/","https://www.libero.it/","Performance","efficient-animated-content","Use video formats for animated content","numeric","1"
"https://libero.it/","https://www.libero.it/","Performance","duplicated-javascript","Remove duplicate modules in JavaScript bundles","numeric","1"
"https://libero.it/","https://www.libero.it/","Performance","legacy-javascript","Avoid serving legacy JavaScript to modern browsers","numeric","0.92"
"https://libero.it/","https://www.libero.it/","Performance","preload-lcp-image","Preload Largest Contentful Paint image","notApplicable","-1"
"https://libero.it/","https://www.libero.it/","Performance","total-byte-weight","Avoids enormous network payloads","numeric","0.98"
"https://libero.it/","https://www.libero.it/","Performance","uses-long-cache-ttl","Serve static assets with an efficient cache policy","numeric","0.17"
"https://libero.it/","https://www.libero.it/","Performance","dom-size","Avoid an excessive DOM size","numeric","0.58"
"https://libero.it/","https://www.libero.it/","Performance","critical-request-chains","Avoid chaining critical requests","informative","-1"
"https://libero.it/","https://www.libero.it/","Performance","user-timings","User Timing marks and measures","informative","-1"
"https://libero.it/","https://www.libero.it/","Performance","bootup-time","Reduce JavaScript execution time","numeric","0.09"
"https://libero.it/","https://www.libero.it/","Performance","mainthread-work-breakdown","Minimize main-thread work","numeric","0"
"https://libero.it/","https://www.libero.it/","Performance","font-display","All text remains visible during webfont loads","binary","1"
"https://libero.it/","https://www.libero.it/","Performance","performance-budget","Performance budget","notApplicable","-1"
"https://libero.it/","https://www.libero.it/","Performance","timing-budget","Timing budget","notApplicable","-1"
"https://libero.it/","https://www.libero.it/","Performance","resource-summary","Keep request counts low and transfer sizes small","informative","-1"
"https://libero.it/","https://www.libero.it/","Performance","third-party-summary","Reduce the impact of third-party code","binary","0"
"https://libero.it/","https://www.libero.it/","Performance","third-party-facades","Lazy load third-party resources with facades","notApplicable","-1"
"https://libero.it/","https://www.libero.it/","Performance","largest-contentful-paint-element","Largest Contentful Paint element","informative","-1"
"https://libero.it/","https://www.libero.it/","Performance","lcp-lazy-loaded","Largest Contentful Paint image was not lazily loaded","binary","1"
"https://libero.it/","https://www.libero.it/","Performance","layout-shift-elements","Avoid large layout shifts","informative","-1"
"https://libero.it/","https://www.libero.it/","Performance","uses-passive-event-listeners","Uses passive listeners to improve scrolling performance","binary","1"
"https://libero.it/","https://www.libero.it/","Performance","no-document-write","Avoid `document.write()`","binary","0"
"https://libero.it/","https://www.libero.it/","Performance","long-tasks","Avoid long main-thread tasks","informative","-1"
"https://libero.it/","https://www.libero.it/","Performance","non-composited-animations","Avoid non-composited animations","informative","-1"
"https://libero.it/","https://www.libero.it/","Performance","unsized-images","Image elements do not have explicit `width` and `height`","binary","0"
"https://libero.it/","https://www.libero.it/","Performance","viewport","Has a `<meta name=""viewport"">` tag with `width` or `initial-scale`","binary","1"
"https://libero.it/","https://www.libero.it/","Performance","network-requests","Network Requests","informative","-1"
"https://libero.it/","https://www.libero.it/","Performance","network-rtt","Network Round Trip Times","informative","-1"
"https://libero.it/","https://www.libero.it/","Performance","network-server-latency","Server Backend Latencies","informative","-1"
"https://libero.it/","https://www.libero.it/","Performance","main-thread-tasks","Tasks","informative","-1"
"https://libero.it/","https://www.libero.it/","Performance","diagnostics","Diagnostics","informative","-1"
"https://libero.it/","https://www.libero.it/","Performance","metrics","Metrics","informative","-1"
"https://libero.it/","https://www.libero.it/","Performance","screenshot-thumbnails","Screenshot Thumbnails","informative","-1"
"https://libero.it/","https://www.libero.it/","Performance","final-screenshot","Final Screenshot","informative","-1"
"https://libero.it/","https://www.libero.it/","Performance","script-treemap-data","Script Treemap Data","informative","-1"
"https://libero.it/","https://www.libero.it/","Accessibility","accessibility-score","Overall Accessibility Category Score","numeric","0.84"
"https://libero.it/","https://www.libero.it/","Accessibility","accesskeys","`[accesskey]` values are unique","notApplicable","-1"
"https://libero.it/","https://www.libero.it/","Accessibility","aria-allowed-attr","`[aria-*]` attributes match their roles","binary","1"
"https://libero.it/","https://www.libero.it/","Accessibility","aria-command-name","`button`, `link`, and `menuitem` elements have accessible names","notApplicable","-1"
"https://libero.it/","https://www.libero.it/","Accessibility","aria-hidden-body","`[aria-hidden=""true""]` is not present on the document `<body>`","binary","1"
"https://libero.it/","https://www.libero.it/","Accessibility","aria-hidden-focus","`[aria-hidden=""true""]` elements do not contain focusable descendents","notApplicable","-1"
"https://libero.it/","https://www.libero.it/","Accessibility","aria-input-field-name","ARIA input fields have accessible names","notApplicable","-1"
"https://libero.it/","https://www.libero.it/","Accessibility","aria-meter-name","ARIA `meter` elements have accessible names","notApplicable","-1"
"https://libero.it/","https://www.libero.it/","Accessibility","aria-progressbar-name","ARIA `progressbar` elements have accessible names","notApplicable","-1"
"https://libero.it/","https://www.libero.it/","Accessibility","aria-required-attr","`[role]`s have all required `[aria-*]` attributes","binary","1"
"https://libero.it/","https://www.libero.it/","Accessibility","aria-required-children","Elements with an ARIA `[role]` that require children to contain a specific `[role]` have all required children.","binary","1"
"https://libero.it/","https://www.libero.it/","Accessibility","aria-required-parent","`[role]`s are contained by their required parent element","binary","1"
"https://libero.it/","https://www.libero.it/","Accessibility","aria-roles","`[role]` values are valid","binary","1"
"https://libero.it/","https://www.libero.it/","Accessibility","aria-toggle-field-name","ARIA toggle fields have accessible names","notApplicable","-1"
"https://libero.it/","https://www.libero.it/","Accessibility","aria-tooltip-name","ARIA `tooltip` elements have accessible names","notApplicable","-1"
"https://libero.it/","https://www.libero.it/","Accessibility","aria-treeitem-name","ARIA `treeitem` elements have accessible names","notApplicable","-1"
"https://libero.it/","https://www.libero.it/","Accessibility","aria-valid-attr-value","`[aria-*]` attributes do not have valid values","binary","0"
"https://libero.it/","https://www.libero.it/","Accessibility","aria-valid-attr","`[aria-*]` attributes are valid and not misspelled","binary","1"
"https://libero.it/","https://www.libero.it/","Accessibility","button-name","Buttons have an accessible name","binary","1"
"https://libero.it/","https://www.libero.it/","Accessibility","bypass","The page contains a heading, skip link, or landmark region","binary","1"
"https://libero.it/","https://www.libero.it/","Accessibility","color-contrast","Background and foreground colors do not have a sufficient contrast ratio.","binary","0"
"https://libero.it/","https://www.libero.it/","Accessibility","definition-list","`<dl>`'s contain only properly-ordered `<dt>` and `<dd>` groups, `<script>`, `<template>` or `<div>` elements.","notApplicable","-1"
"https://libero.it/","https://www.libero.it/","Accessibility","dlitem","Definition list items are wrapped in `<dl>` elements","notApplicable","-1"
"https://libero.it/","https://www.libero.it/","Accessibility","document-title","Document has a `<title>` element","binary","1"
"https://libero.it/","https://www.libero.it/","Accessibility","duplicate-id-active","`[id]` attributes on active, focusable elements are unique","binary","1"
"https://libero.it/","https://www.libero.it/","Accessibility","duplicate-id-aria","ARIA IDs are unique","binary","1"
"https://libero.it/","https://www.libero.it/","Accessibility","form-field-multiple-labels","No form fields have multiple labels","notApplicable","-1"
"https://libero.it/","https://www.libero.it/","Accessibility","frame-title","`<frame>` or `<iframe>` elements do not have a title","binary","0"
"https://libero.it/","https://www.libero.it/","Accessibility","heading-order","Heading elements are not in a sequentially-descending order","binary","0"
"https://libero.it/","https://www.libero.it/","Accessibility","html-has-lang","`<html>` element has a `[lang]` attribute","binary","1"
"https://libero.it/","https://www.libero.it/","Accessibility","html-lang-valid","`<html>` element has a valid value for its `[lang]` attribute","binary","1"
"https://libero.it/","https://www.libero.it/","Accessibility","image-alt","Image elements have `[alt]` attributes","binary","1"
"https://libero.it/","https://www.libero.it/","Accessibility","input-image-alt","`<input type=""image"">` elements have `[alt]` text","notApplicable","-1"
"https://libero.it/","https://www.libero.it/","Accessibility","label","Form elements have associated labels","binary","1"
"https://libero.it/","https://www.libero.it/","Accessibility","link-name","Links have a discernible name","binary","1"
"https://libero.it/","https://www.libero.it/","Accessibility","list","Lists contain only `<li>` elements and script supporting elements (`<script>` and `<template>`).","binary","1"
"https://libero.it/","https://www.libero.it/","Accessibility","listitem","List items (`<li>`) are contained within `<ul>` or `<ol>` parent elements","binary","1"
"https://libero.it/","https://www.libero.it/","Accessibility","meta-refresh","The document uses `<meta http-equiv=""refresh"">`","binary","0"
"https://libero.it/","https://www.libero.it/","Accessibility","meta-viewport","`[user-scalable=""no""]` is not used in the `<meta name=""viewport"">` element and the `[maximum-scale]` attribute is not less than 5.","binary","1"
"https://libero.it/","https://www.libero.it/","Accessibility","object-alt","`<object>` elements have `[alt]` text","notApplicable","-1"
"https://libero.it/","https://www.libero.it/","Accessibility","tabindex","No element has a `[tabindex]` value greater than 0","notApplicable","-1"
"https://libero.it/","https://www.libero.it/","Accessibility","td-headers-attr","Cells in a `<table>` element that use the `[headers]` attribute refer to table cells within the same table.","notApplicable","-1"
"https://libero.it/","https://www.libero.it/","Accessibility","th-has-data-cells","`<th>` elements and elements with `[role=""columnheader""/""rowheader""]` have data cells they describe.","notApplicable","-1"
"https://libero.it/","https://www.libero.it/","Accessibility","valid-lang","`[lang]` attributes have a valid value","notApplicable","-1"
"https://libero.it/","https://www.libero.it/","Accessibility","video-caption","`<video>` elements contain a `<track>` element with `[kind=""captions""]`","notApplicable","-1"
"https://libero.it/","https://www.libero.it/","Accessibility","logical-tab-order","The page has a logical tab order","manual","-1"
"https://libero.it/","https://www.libero.it/","Accessibility","focusable-controls","Interactive controls are keyboard focusable","manual","-1"
"https://libero.it/","https://www.libero.it/","Accessibility","interactive-element-affordance","Interactive elements indicate their purpose and state","manual","-1"
"https://libero.it/","https://www.libero.it/","Accessibility","managed-focus","The user's focus is directed to new content added to the page","manual","-1"
"https://libero.it/","https://www.libero.it/","Accessibility","focus-traps","User focus is not accidentally trapped in a region","manual","-1"
"https://libero.it/","https://www.libero.it/","Accessibility","custom-controls-labels","Custom controls have associated labels","manual","-1"
"https://libero.it/","https://www.libero.it/","Accessibility","custom-controls-roles","Custom controls have ARIA roles","manual","-1"
"https://libero.it/","https://www.libero.it/","Accessibility","visual-order-follows-dom","Visual order on the page follows DOM order","manual","-1"
"https://libero.it/","https://www.libero.it/","Accessibility","offscreen-content-hidden","Offscreen content is hidden from assistive technology","manual","-1"
"https://libero.it/","https://www.libero.it/","Accessibility","use-landmarks","HTML5 landmark elements are used to improve navigation","manual","-1"
"https://libero.it/","https://www.libero.it/","Best Practices","best-practices-score","Overall Best Practices Category Score","numeric","0.67"
"https://libero.it/","https://www.libero.it/","Best Practices","is-on-https","Uses HTTPS","binary","1"
"https://libero.it/","https://www.libero.it/","Best Practices","external-anchors-use-rel-noopener","Links to cross-origin destinations are unsafe","binary","0"
"https://libero.it/","https://www.libero.it/","Best Practices","geolocation-on-start","Avoids requesting the geolocation permission on page load","binary","1"
"https://libero.it/","https://www.libero.it/","Best Practices","notification-on-start","Avoids requesting the notification permission on page load","binary","1"
"https://libero.it/","https://www.libero.it/","Best Practices","no-vulnerable-libraries","Avoids front-end JavaScript libraries with known security vulnerabilities","binary","1"
"https://libero.it/","https://www.libero.it/","Best Practices","csp-xss","Ensure CSP is effective against XSS attacks","informative","-1"
"https://libero.it/","https://www.libero.it/","Best Practices","password-inputs-can-be-pasted-into","Allows users to paste into password fields","binary","1"
"https://libero.it/","https://www.libero.it/","Best Practices","image-aspect-ratio","Displays images with incorrect aspect ratio","binary","0"
"https://libero.it/","https://www.libero.it/","Best Practices","image-size-responsive","Serves images with appropriate resolution","binary","1"
"https://libero.it/","https://www.libero.it/","Best Practices","preload-fonts","Fonts with `font-display: optional` are preloaded","notApplicable","-1"
"https://libero.it/","https://www.libero.it/","Best Practices","doctype","Page has the HTML doctype","binary","1"
"https://libero.it/","https://www.libero.it/","Best Practices","charset","Properly defines charset","binary","1"
"https://libero.it/","https://www.libero.it/","Best Practices","no-unload-listeners","Registers an `unload` listener","binary","0"
"https://libero.it/","https://www.libero.it/","Best Practices","appcache-manifest","Avoids Application Cache","binary","1"
"https://libero.it/","https://www.libero.it/","Best Practices","js-libraries","Detected JavaScript libraries","informative","-1"
"https://libero.it/","https://www.libero.it/","Best Practices","deprecations","Avoids deprecated APIs","binary","1"
"https://libero.it/","https://www.libero.it/","Best Practices","errors-in-console","Browser errors were logged to the console","binary","0"
"https://libero.it/","https://www.libero.it/","Best Practices","valid-source-maps","Missing source maps for large first-party JavaScript","binary","0"
"https://libero.it/","https://www.libero.it/","Best Practices","inspector-issues","Issues were logged in the `Issues` panel in Chrome Devtools","binary","0"
"https://libero.it/","https://www.libero.it/","SEO","seo-score","Overall SEO Category Score","numeric","0.98"
"https://libero.it/","https://www.libero.it/","SEO","viewport","Has a `<meta name=""viewport"">` tag with `width` or `initial-scale`","binary","1"
"https://libero.it/","https://www.libero.it/","SEO","document-title","Document has a `<title>` element","binary","1"
"https://libero.it/","https://www.libero.it/","SEO","meta-description","Document has a meta description","binary","1"
"https://libero.it/","https://www.libero.it/","SEO","http-status-code","Page has successful HTTP status code","binary","1"
"https://libero.it/","https://www.libero.it/","SEO","link-text","Links have descriptive text","binary","1"
