URL,RUN1,RUN2,RUN_1000,RUN_753,RUN_900_T,TIME_900,PA_COUNT,LH_score,WPT_Tests,WPT_Tests_2,WPT_Doc_Complete,WPT_Doc_Complete_2,WPT_Fully_Loaded,WPT_Fully_Loaded_2
google.com,2.967,1.166,1.287,1.287,1.627,1.559,6,0.79,3,1,2.208,0.681,2.522666667,1.443
youtube.com,2.32,2.946,1.622,NA,2.552,2.04,5,0.67,3,3,4.585333333,1.868666667,7.978666667,2.877
tmall.com,7.354,10.987,7.583,11.735,16.9,14.806,6,0.57,3,3,29.39033333,6.887333333,29.51133333,6.955
qq.com,8.8,14.879,11.173,15.936,15.031,ERR_CONNECTION_RESET,5,0.82,3,3,6.976,6.538,10.55766667,7.333333333
baidu.com,5.031,10.139,11.837,6.763,7.915,7.523,6,0.57,3,3,5.748666667,3.194,7.254333333,3.999
sohu.com,25.801,41.66,21.98,ERR_TIMEOUT,25.491,46.072,5,0.49,3,3,3.300666667,7.349333333,8.541666667,7.979666667
facebook.com,1.415,2.123,5.786,2.482,3.015,1.762,6,0.77,3,3,1.826333333,0.753666667,2.949333333,1.724333333
taobao.com,5.33,10.531,6.928,15.098,6.236,7.64,6,0.54,3,3,6.085333333,5.000666667,6.796,5.530666667
360.cn,11.9,14.147,9.885,NA,ERR_TIMEOUT,9.505,4,0.7,3,3,11.91666667,4.337333333,12.99533333,5.174
jd.com,11.171,10.835,9.005,8.729,8.977,8.433,6,0.55,3,3,8.838,3.778666667,10.61933333,4.910333333
yahoo.com,9.009,8.993,18.967,8.666,8.736,9.868,6,0.78,3,3,2.215333333,1.412,3.694,1.689333333
amazon.com,3.94,4.039,4.766,4,3.695,4.095,6,0.73,3,3,7.54,2.082666667,11.58733333,3.357666667
zoom.us,4.182,5.239,4.645,5.835,5.741,4.761,6,0.57,1,1,22.958,2.973,23.069,2.998
wikipedia.org,2.957,3.634,3.286,4.631,6.803,4.722,6,0.83,3,3,0.646333333,0.422333333,0.711333333,0.453333333
weibo.com,11.692,28.946,13.179,13.492,9.304,12.704,6,0.73,2,3,14.3365,6.923333333,17.637,7.285666667
xinhuanet.com,ERR_TIMEOUT,ERR_TIMEOUT,ERR_TIMEOUT,NA,NA,NA,0,0,3,3,16.12966667,5.672666667,17.06833333,5.984666667
sina.com.cn,33.223,44.793,24.893,56.229,55.422,35.596,6,0.56,3,3,14.84666667,7.136,16.19033333,7.315666667
live.com,4.184,4.485,5.181,5.348,3.945,5.197,6,0.68,2,2,4.791,1.8715,4.942,2.0355
microsoft.com,2.812,3.88,3.927,4.766,3.178,5.943,6,0.67,3,3,2.087333333,1.099,3.911333333,2.147666667
reddit.com,5.691,14.61,5.307,4.245,5.519,5.023,6,0.6,3,3,14.81,4.504666667,17.20833333,5.430666667
office.com,4.126,4.762,6.914,NA,4.964,2.702,5,0.7,0,0,0,0,0,0
netflix.com,5.317,6.534,6.427,6.476,6.151,5.111,6,0.68,3,3,3.636666667,3.101,4.261333333,3.381333333
zhanqi.tv,53.304,50.382,20.512,ERR_TIMEOUT,34.44,23.31,5,0,1,1,17.346,10.793,20.337,11.736
panda.tv,1.652,4.734,2.053,2.03,2.234,1.413,6,0.8,3,3,2.161333333,2.283333333,2.161333333,2.283333333
