url,timetaken,code
xinhuanet.com,64.759,ERR_TIMEOUT
alipay.com,60.017,ERR_TIMEOUT
microsoftonline.com,0.456,ERR_NAME_NOT_RESOLVED
tianya.cn,60.016,ERR_TIMEOUT
yandex.ru,2.554,ERR_SSL_PROTOCOL_ERROR
17ok.com,34.571,ERR_CONNECTION_REFUSED
1688.com,60.016,ERR_TIMEOUT
haosou.com,60.01,ERR_TIMEOUT
amazonaws.com,1.067,ERR_CONNECTION_REFUSED
alibaba.com,60.016,ERR_TIMEOUT
livejasmin.com,39.999,ERR_CONNECTION_REFUSED
pornhub.com,0.679,ERR_SSL_PROTOCOL_ERROR
163.com,60.015,ERR_TIMEOUT
telegram.org,60.013,ERR_TIMEOUT
xvideos.com,0.87,ERR_SSL_PROTOCOL_ERROR
rednet.cn,36.288,ERR_CONNECTION_REFUSED
nytimes.com,60.016,ERR_TIMEOUT
xhamster.com,34.117,ERR_CONNECTION_REFUSED
jiameng.com,0.429,ERR_CONNECTION_REFUSED
indiatimes.com,1.171,ERR_SSL_PROTOCOL_ERROR
sogou.com,1.559,ERR_SSL_PROTOCOL_ERROR
youm7.com,60.019,ERR_TIMEOUT
hulu.com,0.893,ERR_SSL_PROTOCOL_ERROR
soso.com,2.411,ERR_CONNECTION_CLOSED
xnxx.com,0.943,ERR_SSL_PROTOCOL_ERROR
bet365.com,34.387,ERR_CONNECTION_REFUSED
cloudfront.net,0.322,ERR_NAME_NOT_RESOLVED
japanpost.jp,0.196,ERR_NAME_NOT_RESOLVED
icicibank.com,60.019,ERR_TIMEOUT
sonhoo.com,10.103,ERR_SSL_PROTOCOL_ERROR
etoro.com,35.33,ERR_CONNECTION_REFUSED
flaticon.com,60.02,ERR_TIMEOUT
ameritrade.com,1.904,ERR_SSL_UNRECOGNIZED_NAME_ALERT
shaparak.ir,34.152,ERR_CONNECTION_REFUSED
sq.cn,1.631,ERR_NAME_NOT_RESOLVED
51yes.com,30.163,ERR_NAME_NOT_RESOLVED
cj.com,0.824,ERR_CONNECTION_REFUSED
ask.com,60.022,ERR_TIMEOUT
myworkdayjobs.com,0.443,ERR_CONNECTION_REFUSED
ibicn.com,60.021,ERR_TIMEOUT
liansuo.com,0.291,ERR_NAME_NOT_RESOLVED
twimg.com,0.178,ERR_NAME_NOT_RESOLVED
gusuwang.com,60.018,ERR_TIMEOUT
mlb.com,0.578,ERR_SSL_PROTOCOL_ERROR
download-ready.com,0.298,ERR_NAME_NOT_RESOLVED
91jm.com,0.437,ERR_CONNECTION_REFUSED
cambridge.org,34.261,ERR_CONNECTION_REFUSED
it168.com,1.069,ERR_CONNECTION_REFUSED
spankbang.com,0.695,ERR_SSL_PROTOCOL_ERROR
banvenez.com,0.528,ERR_NAME_NOT_RESOLVED
delta.com,34.144,ERR_CONNECTION_REFUSED
onlyfans.com,60.096,ERR_TIMEOUT
