url,timestamp,error
xinhuanet.com,60.056,ERR_TIMEOUT
alipay.com,60.014,ERR_TIMEOUT
microsoftonline.com,0.283,ERR_NAME_NOT_RESOLVED
bongacams.com,35.251,ERR_CONNECTION_REFUSED
chaturbate.com,0.413,ERR_CONNECTION_RESET
17ok.com,34.514,ERR_CONNECTION_REFUSED
amazonaws.com,1.473,ERR_CONNECTION_REFUSED
alibaba.com,60.012,ERR_TIMEOUT
kompas.com,60.024,ERR_TIMEOUT
tiktok.com,34.252,ERR_CONNECTION_REFUSED
livejasmin.com,0.651,ERR_CONNECTION_RESET
pornhub.com,0.663,ERR_CONNECTION_RESET
163.com,60.014,ERR_TIMEOUT
telegram.org,60.022,ERR_TIMEOUT
xvideos.com,0.886,ERR_CONNECTION_RESET
rednet.cn,60.024,ERR_TIMEOUT
pikiran-rakyat.com,60.014,ERR_TIMEOUT
xhamster.com,0.442,ERR_CONNECTION_RESET
kumparan.com,60.011,ERR_TIMEOUT
jiameng.com,0.655,ERR_CONNECTION_REFUSED
t.me,60.026,ERR_TIMEOUT
disneyplus.com,60.019,ERR_TIMEOUT
xnxx.com,0.869,ERR_CONNECTION_RESET
cloudfront.net,0.203,ERR_NAME_NOT_RESOLVED
japanpost.jp,0.312,ERR_NAME_NOT_RESOLVED
cnnic.cn,60.02,ERR_TIMEOUT
ameritrade.com,1.281,ERR_SSL_UNRECOGNIZED_NAME_ALERT
shaparak.ir,34.184,ERR_CONNECTION_REFUSED
ladbible.com,60.018,ERR_TIMEOUT
sq.cn,0.476,ERR_NAME_NOT_RESOLVED
51yes.com,30.176,ERR_NAME_NOT_RESOLVED
cj.com,0.727,ERR_CONNECTION_REFUSED
myworkdayjobs.com,0.452,ERR_CONNECTION_REFUSED
liansuo.com,0.292,ERR_NAME_NOT_RESOLVED
twimg.com,0.297,ERR_NAME_NOT_RESOLVED
download-ready.com,0.376,ERR_NAME_NOT_RESOLVED
91jm.com,0.45,ERR_CONNECTION_REFUSED
cambridge.org,34.274,ERR_CONNECTION_REFUSED
it168.com,1.652,ERR_CONNECTION_REFUSED
webmd.com,60.018,ERR_TIMEOUT
ea.com,60.021,ERR_TIMEOUT
huaban.com,60.021,ERR_TIMEOUT
spankbang.com,0.346,ERR_CONNECTION_RESET
