time,power_consumption.power,,
2021-12-23T00:48:14.886+05:00,0.564118271,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:15.387+05:00,0.036020835,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:15.888+05:00,0.071048874,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:16.390+05:00,0.065876415,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:16.891+05:00,0.018000886,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:17.896+05:00,0,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:18.398+05:00,0.062848196,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:18.899+05:00,0,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:19.400+05:00,0.122611915,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:19.901+05:00,0,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:20.402+05:00,0.098955782,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:21.907+05:00,0.059342393,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:22.408+05:00,0.045398669,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:22.909+05:00,0.007949193,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:23.410+05:00,0.022520956,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:24.914+05:00,1.808956907,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:25.415+05:00,0.028002332,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:25.916+05:00,0,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:26.418+05:00,0,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:26.919+05:00,0.006310135,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:27.421+05:00,0.065563038,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:27.922+05:00,0.01864924,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:29.429+05:00,0.016511282,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:29.932+05:00,0,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:32.441+05:00,0.034781944,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:32.946+05:00,0,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:33.448+05:00,0,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:34.954+05:00,0.109843139,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:35.456+05:00,0.014200641,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:35.958+05:00,0.028515131,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:36.459+05:00,0.966032601,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:37.964+05:00,7.847779583,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:39.467+05:00,0,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:39.968+05:00,0,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:40.470+05:00,0.04746921,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:40.972+05:00,0.044585944,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:41.976+05:00,0.266430404,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:42.980+05:00,0.025985537,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:43.481+05:00,0.059881647,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:44.986+05:00,0.142649614,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:45.488+05:00,0.041575883,WARMUP,2021-12-23T00:48:14.732+05:00
2021-12-23T00:48:45.989+05:00,0.296791627,WARMUP,2021-12-23T00:48:14.732+05:00
