time,power_consumption.power,,
2021-12-23T00:48:52.511+05:00,0.077886297,google.com,2021-12-23T00:48:52.202+05:00
2021-12-23T00:48:53.513+05:00,0.068464269,google.com,2021-12-23T00:48:52.202+05:00
2021-12-23T00:48:58.023+05:00,0,youtube.com,2021-12-23T00:48:57.908+05:00
2021-12-23T00:48:58.524+05:00,0,youtube.com,2021-12-23T00:48:57.908+05:00
2021-12-23T00:48:59.526+05:00,0.049163207,youtube.com,2021-12-23T00:48:57.908+05:00
2021-12-23T00:49:00.027+05:00,0,youtube.com,2021-12-23T00:48:57.908+05:00
2021-12-23T00:49:05.545+05:00,0.024581247,tmall.com,2021-12-23T00:49:04.486+05:00
2021-12-23T00:49:06.550+05:00,0.232424545,tmall.com,2021-12-23T00:49:04.486+05:00
2021-12-23T00:49:07.553+05:00,0.069462041,tmall.com,2021-12-23T00:49:04.486+05:00
2021-12-23T00:49:08.054+05:00,1.417204753,tmall.com,2021-12-23T00:49:04.486+05:00
2021-12-23T00:49:08.555+05:00,1.000136171,tmall.com,2021-12-23T00:49:04.486+05:00
2021-12-23T00:49:09.056+05:00,0,tmall.com,2021-12-23T00:49:04.486+05:00
2021-12-23T00:49:09.557+05:00,0.022711953,tmall.com,2021-12-23T00:49:04.486+05:00
2021-12-23T00:49:10.058+05:00,0,tmall.com,2021-12-23T00:49:04.486+05:00
2021-12-23T00:49:10.560+05:00,0.141351994,tmall.com,2021-12-23T00:49:04.486+05:00
2021-12-23T00:49:11.061+05:00,0,tmall.com,2021-12-23T00:49:04.486+05:00
2021-12-23T00:49:11.562+05:00,0.142097511,tmall.com,2021-12-23T00:49:04.486+05:00
2021-12-23T00:49:12.063+05:00,0.023865478,tmall.com,2021-12-23T00:49:04.486+05:00
2021-12-23T00:49:12.564+05:00,0.053154454,tmall.com,2021-12-23T00:49:04.486+05:00
2021-12-23T00:49:13.065+05:00,0,tmall.com,2021-12-23T00:49:04.486+05:00
2021-12-23T00:49:13.566+05:00,2.312297731,tmall.com,2021-12-23T00:49:04.486+05:00
2021-12-23T00:49:14.067+05:00,0.033710555,tmall.com,2021-12-23T00:49:04.486+05:00
2021-12-23T00:49:14.568+05:00,0,tmall.com,2021-12-23T00:49:04.486+05:00
2021-12-23T00:49:15.069+05:00,0,tmall.com,2021-12-23T00:49:04.486+05:00
2021-12-23T00:49:15.571+05:00,0,tmall.com,2021-12-23T00:49:04.486+05:00
2021-12-23T00:49:16.072+05:00,0,tmall.com,2021-12-23T00:49:04.486+05:00
2021-12-23T00:49:16.573+05:00,0.04693833,tmall.com,2021-12-23T00:49:04.486+05:00
2021-12-23T00:49:17.074+05:00,0,tmall.com,2021-12-23T00:49:04.486+05:00
2021-12-23T00:49:17.579+05:00,0,tmall.com,2021-12-23T00:49:04.486+05:00
2021-12-23T00:49:18.080+05:00,0,tmall.com,2021-12-23T00:49:04.486+05:00
2021-12-23T00:49:18.581+05:00,0.033495802,tmall.com,2021-12-23T00:49:04.486+05:00
2021-12-23T00:49:19.082+05:00,0,tmall.com,2021-12-23T00:49:04.486+05:00
2021-12-23T00:49:19.583+05:00,0.028606938,tmall.com,2021-12-23T00:49:04.486+05:00
2021-12-23T00:49:20.084+05:00,0.00733676,tmall.com,2021-12-23T00:49:04.486+05:00
2021-12-23T00:49:26.101+05:00,0,qq.com,2021-12-23T00:49:25.424+05:00
2021-12-23T00:49:26.602+05:00,0.023620347,qq.com,2021-12-23T00:49:25.424+05:00
2021-12-23T00:49:27.103+05:00,0,qq.com,2021-12-23T00:49:25.424+05:00
2021-12-23T00:49:27.605+05:00,0.038875871,qq.com,2021-12-23T00:49:25.424+05:00
2021-12-23T00:49:28.106+05:00,0,qq.com,2021-12-23T00:49:25.424+05:00
2021-12-23T00:49:28.607+05:00,0.042426922,qq.com,2021-12-23T00:49:25.424+05:00
2021-12-23T00:49:30.110+05:00,0,qq.com,2021-12-23T00:49:25.424+05:00
2021-12-23T00:49:30.611+05:00,0.030758387,qq.com,2021-12-23T00:49:25.424+05:00
2021-12-23T00:49:31.112+05:00,0.047459588,qq.com,2021-12-23T00:49:25.424+05:00
2021-12-23T00:49:31.613+05:00,0.042793805,qq.com,2021-12-23T00:49:25.424+05:00
2021-12-23T00:49:32.114+05:00,0.011791194,qq.com,2021-12-23T00:49:25.424+05:00
2021-12-23T00:49:32.619+05:00,0.021712341,qq.com,2021-12-23T00:49:25.424+05:00
2021-12-23T00:49:33.120+05:00,0.008582885,qq.com,2021-12-23T00:49:25.424+05:00
2021-12-23T00:49:33.621+05:00,0.022960721,qq.com,2021-12-23T00:49:25.424+05:00
2021-12-23T00:49:34.122+05:00,0,qq.com,2021-12-23T00:49:25.424+05:00
2021-12-23T00:49:34.623+05:00,0,qq.com,2021-12-23T00:49:25.424+05:00
2021-12-23T00:49:35.124+05:00,0.217387749,qq.com,2021-12-23T00:49:25.424+05:00
2021-12-23T00:49:35.625+05:00,0.023689597,qq.com,2021-12-23T00:49:25.424+05:00
2021-12-23T00:49:36.629+05:00,0.042023303,qq.com,2021-12-23T00:49:25.424+05:00
2021-12-23T00:49:37.131+05:00,0.049614344,qq.com,2021-12-23T00:49:25.424+05:00
2021-12-23T00:49:38.134+05:00,0.069826418,qq.com,2021-12-23T00:49:25.424+05:00
2021-12-23T00:49:38.636+05:00,0.362790953,qq.com,2021-12-23T00:49:25.424+05:00
2021-12-23T00:49:39.138+05:00,0.02660394,qq.com,2021-12-23T00:49:25.424+05:00
2021-12-23T00:49:39.639+05:00,0.050193216,qq.com,2021-12-23T00:49:25.424+05:00
2021-12-23T00:49:40.140+05:00,0.00498581,qq.com,2021-12-23T00:49:25.424+05:00
2021-12-23T00:49:45.155+05:00,0.223929439,baidu.com,2021-12-23T00:49:44.474+05:00
2021-12-23T00:49:46.157+05:00,0,baidu.com,2021-12-23T00:49:44.474+05:00
2021-12-23T00:49:46.659+05:00,0,baidu.com,2021-12-23T00:49:44.474+05:00
2021-12-23T00:49:47.160+05:00,0,baidu.com,2021-12-23T00:49:44.474+05:00
2021-12-23T00:49:47.664+05:00,0.091437326,baidu.com,2021-12-23T00:49:44.474+05:00
2021-12-23T00:49:48.166+05:00,0,baidu.com,2021-12-23T00:49:44.474+05:00
2021-12-23T00:49:48.667+05:00,0.036137021,baidu.com,2021-12-23T00:49:44.474+05:00
2021-12-23T00:49:49.170+05:00,0,baidu.com,2021-12-23T00:49:44.474+05:00
2021-12-23T00:49:50.674+05:00,0.062918217,baidu.com,2021-12-23T00:49:44.474+05:00
2021-12-23T00:49:51.176+05:00,0,baidu.com,2021-12-23T00:49:44.474+05:00
2021-12-23T00:49:52.179+05:00,0.022705156,baidu.com,2021-12-23T00:49:44.474+05:00
2021-12-23T00:49:57.192+05:00,0,sohu.com,2021-12-23T00:49:56.412+05:00
2021-12-23T00:49:57.694+05:00,0.029183029,sohu.com,2021-12-23T00:49:56.412+05:00
2021-12-23T00:49:58.195+05:00,6.747950913,sohu.com,2021-12-23T00:49:56.412+05:00
