time,power_consumption.power,,
2021-12-23T21:38:31.576+05:00,0.458104881,google.com,2021-12-23T21:38:31.511+05:00
2021-12-23T21:38:32.077+05:00,0.182869582,google.com,2021-12-23T21:38:31.511+05:00
2021-12-23T21:38:32.578+05:00,0.520329758,google.com,2021-12-23T21:38:31.511+05:00
2021-12-23T21:38:33.079+05:00,1.111907016,google.com,2021-12-23T21:38:31.511+05:00
2021-12-23T21:38:33.581+05:00,1.664208323,google.com,2021-12-23T21:38:31.511+05:00
2021-12-23T21:38:34.082+05:00,0.677184642,google.com,2021-12-23T21:38:31.511+05:00
2021-12-23T21:38:34.583+05:00,0.94287801,google.com,2021-12-23T21:38:31.511+05:00
2021-12-23T21:38:35.084+05:00,1.275779792,LOADTIME|google.com|3.265,2021-12-23T21:38:34.776+05:00
2021-12-23T21:38:35.585+05:00,1.75216762,LOADTIME|google.com|3.265,2021-12-23T21:38:34.776+05:00
2021-12-23T21:38:36.086+05:00,0,LOADTIME|google.com|3.265,2021-12-23T21:38:34.776+05:00
2021-12-23T21:38:36.588+05:00,0.446278243,LOADTIME|google.com|3.265,2021-12-23T21:38:34.776+05:00
2021-12-23T21:38:37.089+05:00,0.121323021,LOADTIME|google.com|3.265,2021-12-23T21:38:34.776+05:00
2021-12-23T21:38:37.592+05:00,1.625183301,LOADTIME|google.com|3.265,2021-12-23T21:38:34.776+05:00
2021-12-23T21:38:38.096+05:00,0,LOADTIME|google.com|3.265,2021-12-23T21:38:34.776+05:00
2021-12-23T21:38:38.600+05:00,0.157690332,LOADTIME|google.com|3.265,2021-12-23T21:38:34.776+05:00
2021-12-23T21:38:39.102+05:00,0.340447739,youtube.com,2021-12-23T21:38:38.889+05:00
2021-12-23T21:38:39.603+05:00,0.508328293,youtube.com,2021-12-23T21:38:38.889+05:00
2021-12-23T21:38:40.104+05:00,0,youtube.com,2021-12-23T21:38:38.889+05:00
2021-12-23T21:38:40.606+05:00,0,youtube.com,2021-12-23T21:38:38.889+05:00
2021-12-23T21:38:41.107+05:00,0.008337308,youtube.com,2021-12-23T21:38:38.889+05:00
2021-12-23T21:38:41.608+05:00,0.15950773,LOADTIME|youtube.com|2.458,2021-12-23T21:38:41.347+05:00
2021-12-23T21:38:42.110+05:00,0.196933447,LOADTIME|youtube.com|2.458,2021-12-23T21:38:41.347+05:00
2021-12-23T21:38:42.611+05:00,6.963592438,LOADTIME|youtube.com|2.458,2021-12-23T21:38:41.347+05:00
2021-12-23T21:38:43.112+05:00,0.730696182,LOADTIME|youtube.com|2.458,2021-12-23T21:38:41.347+05:00
2021-12-23T21:38:43.615+05:00,0.249503727,LOADTIME|youtube.com|2.458,2021-12-23T21:38:41.347+05:00
2021-12-23T21:38:44.119+05:00,2.073337402,LOADTIME|youtube.com|2.458,2021-12-23T21:38:41.347+05:00
2021-12-23T21:38:44.620+05:00,0.180446566,LOADTIME|youtube.com|2.458,2021-12-23T21:38:41.347+05:00
2021-12-23T21:38:45.123+05:00,2.460346911,LOADTIME|youtube.com|2.458,2021-12-23T21:38:41.347+05:00
2021-12-23T21:38:45.627+05:00,0.227331149,tmall.com,2021-12-23T21:38:45.377+05:00
2021-12-23T21:38:46.130+05:00,0.122694605,tmall.com,2021-12-23T21:38:45.377+05:00
2021-12-23T21:38:46.633+05:00,0.012170974,tmall.com,2021-12-23T21:38:45.377+05:00
2021-12-23T21:38:47.136+05:00,0.243733405,tmall.com,2021-12-23T21:38:45.377+05:00
2021-12-23T21:38:47.637+05:00,0.12809318,tmall.com,2021-12-23T21:38:45.377+05:00
2021-12-23T21:38:48.139+05:00,0.186673795,tmall.com,2021-12-23T21:38:45.377+05:00
2021-12-23T21:38:48.640+05:00,0.014796066,tmall.com,2021-12-23T21:38:45.377+05:00
2021-12-23T21:38:49.142+05:00,0.00347051,tmall.com,2021-12-23T21:38:45.377+05:00
2021-12-23T21:38:49.644+05:00,0.048871572,tmall.com,2021-12-23T21:38:45.377+05:00
2021-12-23T21:38:50.145+05:00,0,tmall.com,2021-12-23T21:38:45.377+05:00
2021-12-23T21:38:50.647+05:00,0.021555197,tmall.com,2021-12-23T21:38:45.377+05:00
2021-12-23T21:38:51.148+05:00,0,tmall.com,2021-12-23T21:38:45.377+05:00
2021-12-23T21:38:51.651+05:00,0.046752337,tmall.com,2021-12-23T21:38:45.377+05:00
2021-12-23T21:38:52.153+05:00,0,tmall.com,2021-12-23T21:38:45.377+05:00
2021-12-23T21:38:52.655+05:00,0.013174111,tmall.com,2021-12-23T21:38:45.377+05:00
2021-12-23T21:38:53.157+05:00,0,tmall.com,2021-12-23T21:38:45.377+05:00
2021-12-23T21:38:53.658+05:00,0.049499293,tmall.com,2021-12-23T21:38:45.377+05:00
2021-12-23T21:38:54.161+05:00,0,tmall.com,2021-12-23T21:38:45.377+05:00
2021-12-23T21:38:54.663+05:00,7.116168,tmall.com,2021-12-23T21:38:45.377+05:00
2021-12-23T21:38:55.164+05:00,0.034758484,tmall.com,2021-12-23T21:38:45.377+05:00
2021-12-23T21:38:55.665+05:00,0.194298281,tmall.com,2021-12-23T21:38:45.377+05:00
2021-12-23T21:38:56.166+05:00,0,tmall.com,2021-12-23T21:38:45.377+05:00
2021-12-23T21:38:56.667+05:00,0.021045558,tmall.com,2021-12-23T21:38:45.377+05:00
2021-12-23T21:38:57.168+05:00,0.104459367,LOADTIME|tmall.com|11.443,2021-12-23T21:38:56.820+05:00
2021-12-23T21:38:57.672+05:00,0.045927774,LOADTIME|tmall.com|11.443,2021-12-23T21:38:56.820+05:00
2021-12-23T21:38:58.176+05:00,0.009020718,LOADTIME|tmall.com|11.443,2021-12-23T21:38:56.820+05:00
2021-12-23T21:38:58.677+05:00,0.046006815,LOADTIME|tmall.com|11.443,2021-12-23T21:38:56.820+05:00
2021-12-23T21:38:59.179+05:00,0.306966545,LOADTIME|tmall.com|11.443,2021-12-23T21:38:56.820+05:00
