reading_time,power_watts,url,url_opening_time,SUM,COUNT,AVG
2021-11-24T00:37:17.918+05:00,19.75227761,WARMUP,2021-11-24T00:37:17.918+05:00,10350.65988,317,32.6519239
2021-11-24T00:37:19.923+05:00,18.5270529,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:37:30.950+05:00,25.58383069,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:37:31.452+05:00,28.41043155,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:37:31.953+05:00,28.30211942,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:37:32.454+05:00,30.53517768,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:37:32.955+05:00,27.60326972,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:37:33.456+05:00,28.5045124,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:37:33.957+05:00,27.02514954,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:37:34.458+05:00,28.88276174,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:37:35.461+05:00,28.33756438,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:37:35.962+05:00,25.79593106,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:37:36.463+05:00,26.69940619,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:37:36.964+05:00,28.88386861,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:37:37.465+05:00,25.17142478,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:37:37.966+05:00,22.24265708,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:37:38.467+05:00,28.04661366,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:37:39.470+05:00,29.85959031,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:37:39.971+05:00,26.78522436,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:37:40.472+05:00,26.36408301,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:37:40.973+05:00,27.70422809,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:37:41.475+05:00,30.97845381,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:37:41.976+05:00,26.99560399,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:37:42.477+05:00,27.63834942,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:37:42.978+05:00,27.43198616,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:37:43.479+05:00,30.50742416,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:37:44.481+05:00,27.39071197,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:37:44.982+05:00,27.8768644,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:07.733+05:00,0,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:08.235+05:00,0,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:09.238+05:00,0,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:09.739+05:00,0,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:10.742+05:00,0,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:11.244+05:00,0,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:11.745+05:00,0,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:14.251+05:00,0,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:14.753+05:00,0,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:15.254+05:00,0,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:29.286+05:00,0,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:30.790+05:00,0,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:31.291+05:00,0,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:31.793+05:00,0,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:32.294+05:00,0,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:34.299+05:00,0,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:34.800+05:00,0,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:35.301+05:00,0,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:35.802+05:00,0,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:36.303+05:00,0,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:36.805+05:00,0,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:37.306+05:00,0,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:37.807+05:00,1020.117656,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:38.308+05:00,66.64783618,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:38.810+05:00,1398.844544,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:39.311+05:00,49.76029618,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:39.812+05:00,26.05469207,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:40.316+05:00,31.9423567,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:40.818+05:00,23.96695059,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:41.319+05:00,10.64258327,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:41.820+05:00,24.0493579,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:42.321+05:00,24.54520815,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:42.823+05:00,34.33257942,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:43.324+05:00,9.714753221,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:43.825+05:00,19.39568082,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:44.326+05:00,34.88318819,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:44.828+05:00,67.71738322,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:45.329+05:00,30.41412181,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:45.830+05:00,29.49389376,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:46.331+05:00,42.83626014,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:46.833+05:00,46.2320651,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:47.334+05:00,52.81257055,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:47.835+05:00,17.79342456,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:48.336+05:00,28.96932617,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:48.837+05:00,13.59297473,WARMUP,2021-11-24T00:37:17.918+05:00,,,
2021-11-24T00:54:49.338+05:00,21.24832969,WARMUP,2021-11-24T00:37:17.918+05:00,,,
