_id,groups.core.0.0.CPU_CLK_THREAD_UNHALTED:REF_P,groups.core.0.0.CPU_CLK_THREAD_UNHALTED:THREAD_P,groups.core.0.0.INSTRUCTIONS_RETIRED,groups.core.0.0.LLC_MISSES,groups.core.0.0.time_enabled,groups.core.0.0.time_running,groups.core.0.1.CPU_CLK_THREAD_UNHALTED:REF_P,groups.core.0.1.CPU_CLK_THREAD_UNHALTED:THREAD_P,groups.core.0.1.INSTRUCTIONS_RETIRED,groups.core.0.1.LLC_MISSES,groups.core.0.1.time_enabled,groups.core.0.1.time_running,groups.core.0.2.CPU_CLK_THREAD_UNHALTED:REF_P,groups.core.0.2.CPU_CLK_THREAD_UNHALTED:THREAD_P,groups.core.0.2.INSTRUCTIONS_RETIRED,groups.core.0.2.LLC_MISSES,groups.core.0.2.time_enabled,groups.core.0.2.time_running,groups.core.0.3.CPU_CLK_THREAD_UNHALTED:REF_P,groups.core.0.3.CPU_CLK_THREAD_UNHALTED:THREAD_P,groups.core.0.3.INSTRUCTIONS_RETIRED,groups.core.0.3.LLC_MISSES,groups.core.0.3.time_enabled,groups.core.0.3.time_running,groups.hwpc.0.0.CYCLES,groups.hwpc.0.0.LLC_MISSES,groups.hwpc.0.0.time_enabled,groups.hwpc.0.0.time_running,groups.hwpc.0.1.CYCLES,groups.hwpc.0.1.LLC_MISSES,groups.hwpc.0.1.time_enabled,groups.hwpc.0.1.time_running,groups.hwpc.0.2.CYCLES,groups.hwpc.0.2.LLC_MISSES,groups.hwpc.0.2.time_enabled,groups.hwpc.0.2.time_running,groups.hwpc.0.3.CYCLES,groups.hwpc.0.3.LLC_MISSES,groups.hwpc.0.3.time_enabled,groups.hwpc.0.3.time_running,groups.msr.0.0.APERF,groups.msr.0.0.MPERF,groups.msr.0.0.TSC,groups.msr.0.0.time_enabled,groups.msr.0.0.time_running,groups.msr.0.1.APERF,groups.msr.0.1.MPERF,groups.msr.0.1.TSC,groups.msr.0.1.time_enabled,groups.msr.0.1.time_running,groups.msr.0.2.APERF,groups.msr.0.2.MPERF,groups.msr.0.2.TSC,groups.msr.0.2.time_enabled,groups.msr.0.2.time_running,groups.msr.0.3.APERF,groups.msr.0.3.MPERF,groups.msr.0.3.TSC,groups.msr.0.3.time_enabled,groups.msr.0.3.time_running,groups.rapl.0.3.RAPL_ENERGY_PKG,groups.rapl.0.3.time_enabled,groups.rapl.0.3.time_running,sensor,target,timestamp
61680dfb5cffb904bc3bc1d2,0,0,0,0,0,0,86073,3017675,1593929,3350,1505190,1505190,74161,2564401,1235422,2477,1474250,1474250,127402,4468516,3113655,2757,1554080,1554080,,,,,,,,,,,,,,,,,1740095,1635291,4860462,1476342,1476342,2930855,2757645,4839864,1469991,1469991,2463114,2319000,4718751,1433394,1433394,4258327,4006725,4824648,1465466,1465466,107216896,1426547,1426547,sensor-test,all,2021-10-14T11:01:15.392Z
61680dfb5cffb904bc3bc1d3,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,/hwpc-sensor,2021-10-14T11:01:15.392Z
61680dfb5cffb904bc3bc1d4,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,14800,12,7992,7992,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,system,2021-10-14T11:01:15.392Z
61680dfc5cffb904bc3bc1d5,,,,,,,,,,,,,,,,,,,,,,,,,171742,646,210695,210695,1365651,8630,689195,689195,307422,867,299273,299273,2039680,11773,2295514,2295514,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,powerapi-sensor,2021-10-14T11:01:16.394Z
61680dfc5cffb904bc3bc1d6,,,,,,,,,,,,,,,,,,,,,,,,,89197,1343,36446,36446,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,/hwpc-sensor,2021-10-14T11:01:16.394Z
61680dfc5cffb904bc3bc1d7,,,,,,,,,,,,,,,,,,,,,,,,,14870410,121604,5249572,5249572,26408141,105660,12514010,12514010,7663873,79799,3649897,3649897,7688372,75827,3040880,3040880,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,system,2021-10-14T11:01:16.394Z
61680dfc5cffb904bc3bc1d8,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,/formula,2021-10-14T11:01:16.394Z
61680dfc5cffb904bc3bc1d9,3528803,73363741,30755031,778333,975464623,975464623,4538569,89080561,56700718,752005,1003481836,1003481836,2722521,63577258,21504006,577179,1003229228,1003229228,2480486,52976337,21711670,478479,1003467039,1003467039,,,,,,,,,,,,,,,,,75917851,116171358,3300657825,1003994707,1003994707,84103379,141397001,3300721029,1004005864,1004005864,58189057,82802349,3300818190,1003999330,1003999330,49427198,76200866,3300618387,1003970712,1003970712,17899716608,1004012668,1004012668,sensor-test,all,2021-10-14T11:01:16.394Z
61680dfd5cffb904bc3bc1da,,,,,,,,,,,,,,,,,,,,,,,,,987720,10197,6456828,6456828,6142091,66377,17994477,17994477,2230574,52713,6164715,6164715,829470,14701,4058464,4058464,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,system,2021-10-14T11:01:17.396Z
61680dfd5cffb904bc3bc1db,,,,,,,,,,,,,,,,,,,,,,,,,2541934,8870,2309216,2309216,630013,1252,1273628,1273628,373909,513,652657,652657,2768999,18288,4898723,4898723,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,powerapi-sensor,2021-10-14T11:01:17.396Z
