"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","http2_stream_dependency","objectSizeUncompressed","final_base_page","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","initiator_function","score_progressive_jpeg","jpeg_scan_count",
"47.92.40.21","","387","2373","A214CF17063351A7FB488B40FAC5011E","","","","-1","211216_75_T","362","HIGHEST","","","-1","2373","-1","362","-1","","719","80","http/1.1","-1","3","http://teambition.com/","-1","239","","teambition.com:80","text/html","VeryHigh","","","-1","-1","script","05378035A26067477536770D0B4A200B","teambition.com","239","A214CF17063351A7FB488B40FAC5011E","","-1","0","3","","-1","","357","104","/","-1","56030","GET","359","719","","301","-1","","","3092","719","3092","3092","3092","0","3","3092","3089","0","1","1","0","","","","","","","","","","","","",
"47.92.40.21","","397","367","A214CF17063351A7FB488B40FAC5011E-1","","","","-1","211216_75_T","-1","VeryHigh","","","-1","367","-1","3350","-1","","4122","443","HTTP/2","-1","3","https://teambition.com/","4122","162","","ssl/teambition.com:443","text/html","VeryHigh","","","-1","-1","script","05378035A26067477536770D0B4A200B","teambition.com","0","A214CF17063351A7FB488B40FAC5011E","","-1","1","-1","","-1","","356","119","/","3706","57922","GET","-1","3706","","301","416","","","4489","4122","4489","4489","4489","0","3350","4489","1139","1","2","1","0","1","256","True","0","","","","","","","","",
"47.246.46.227","","401","777","A214CF17063351A7FB488B40FAC5011E-2","","","","-1","211216_75_T","4571","VeryHigh","","","-1","769","-1","4572","-1","","4689","443","HTTP/2","100","3","https://www.teambition.com/","4688","22885","22885","ssl/www.teambition.com:443","text/html","VeryHigh","","","-1","-1","script","05378035A26067477536770D0B4A200B","www.teambition.com","22885","A214CF17063351A7FB488B40FAC5011E","0","100","1","4494","","-1","","48","130","/","4620","46206","GET","77","4620","","200","68","gzip","","5466","4689","5458","5458","5466","8","4494","5466","970","2","3","1","0","1","256","True","0","41571","1","1","0","","","","",
"79.133.177.252","1","395","3569","1000023995.16","","","max-age=600,s-maxage=600","0","211216_75_T","5914","HIGHEST","","","-1","501","0","5914","-1","600","6016","443","HTTP/2","100","3","https://g.alicdn.com/teambition-site/site/gatsby/styles.9a27bb4ec00d7ac224db.css","6007","614167","614167","ssl/g.alicdn.com:443","text/css","VeryHigh","","","-1","-1","parser","05378035A26067477536770D0B4A200B","g.alicdn.com","614167","1000023995.16","0","100","1","5489","","-1","https://www.teambition.com/","39","235","/teambition-site/site/gatsby/styles.9a27bb4ec00d7ac224db.css","5953","36638","GET","425","5953","","200","54","gzip","","9585","6016","6517","6517","9585","3068","5489","9585","4087","3","4","1","0","1","256","True","0","1289832","","","","","","","",
"79.133.177.252","1","380","262","1000023995.9","","","max-age=600,s-maxage=600","0","211216_75_T","-1","MEDIUM","","","-1","194","0","-1","-1","600","6016","","HTTP/2","100","3","https://g.alicdn.com/teambition-site/site/gatsby/commons-09004c5cd7e60fc50c81.js","-1","56266","56266","","application/javascript","High","","","-1","-1","parser","05378035A26067477536770D0B4A200B","g.alicdn.com","56266","1000023995.9","0","100","1","-1","","-1","https://www.teambition.com/","-1","235","/teambition-site/site/gatsby/commons-09004c5cd7e60fc50c81.js","-1","","GET","-1","-1","","200","-1","gzip","","6278","6016","6210","6210","6278","68","6016","6278","262","4","5","1","0","13","","","","168998","","","8","2","","","",
"79.133.177.252","1","344","87","1000023995.17","","","max-age=3600,s-maxage=1800","0","211216_75_T","-1","MEDIUM","","","-1","85","0","-1","-1","3488","6016","","HTTP/2","100","3","https://g.alicdn.com/alilog/mlog/aplus_v2.js","-1","5865","5865","","application/javascript","High","","","-1","-1","parser","05378035A26067477536770D0B4A200B","g.alicdn.com","6412","1000023995.17","0","100","1","-1","","-1","https://www.teambition.com/","-1","235","/alilog/mlog/aplus_v2.js","-1","","GET","-1","-1","","200","-1","gzip","","6103","6016","6101","6101","6103","2","6016","6103","87","5","6","1","0","21","","","","15345","","","15","","","","",
"79.133.177.252","1","376","160","1000023995.5","","","max-age=600,s-maxage=600","0","211216_75_T","-1","MEDIUM","","","-1","158","0","-1","-1","600","6016","","HTTP/2","100","3","https://g.alicdn.com/teambition-site/site/gatsby/app-2e92f99ff259e493fb6f.js","-1","19317","19317","","application/javascript","High","","","-1","-1","parser","05378035A26067477536770D0B4A200B","g.alicdn.com","19317","1000023995.5","0","100","1","-1","","-1","https://www.teambition.com/","-1","235","/teambition-site/site/gatsby/app-2e92f99ff259e493fb6f.js","-1","","GET","-1","-1","","200","-1","gzip","","6176","6016","6174","6174","6176","2","6016","6176","160","6","7","1","0","3","","","","62494","","","26","13","","","",
"79.133.177.252","1","404","470","1000023995.6","","","max-age=600,s-maxage=600","0","211216_75_T","-1","MEDIUM","","","-1","414","0","-1","-1","600","6016","","HTTP/2","100","3","https://g.alicdn.com/teambition-site/site/gatsby/component---src-pages-index-tsx-f9f2f9bf53ccd7577c0f.js","-1","48089","48089","","application/javascript","High","","","-1","-1","parser","05378035A26067477536770D0B4A200B","g.alicdn.com","48089","1000023995.6","0","100","1","-1","","-1","https://www.teambition.com/","-1","235","/teambition-site/site/gatsby/component---src-pages-index-tsx-f9f2f9bf53ccd7577c0f.js","-1","","GET","-1","-1","","200","-1","gzip","","6486","6016","6430","6430","6486","56","6016","6486","470","7","8","1","0","7","","","","75550","","","2","","","","",
"79.133.177.252","1","413","620","1000023995.7","","","max-age=600,s-maxage=600","0","211216_75_T","-1","MEDIUM","","","-1","582","0","-1","-1","600","6016","","HTTP/2","100","3","https://g.alicdn.com/teambition-site/site/gatsby/6652f718b954dd2b06c73510466bcf1a6c6ff559-60357b4185b1f1a64ab3.js","-1","11753","11753","","application/javascript","High","","","-1","-1","parser","05378035A26067477536770D0B4A200B","g.alicdn.com","11753","1000023995.7","0","100","1","-1","","-1","https://www.teambition.com/","-1","235","/teambition-site/site/gatsby/6652f718b954dd2b06c73510466bcf1a6c6ff559-60357b4185b1f1a64ab3.js","-1","","GET","-1","-1","","200","-1","gzip","","6636","6016","6598","6598","6636","38","6016","6636","620","8","9","1","0","9","","","","18583","","","1","208","","","",
"79.133.177.252","1","382","339","1000023995.8","","","max-age=600,s-maxage=600","0","211216_75_T","-1","MEDIUM","","","-1","286","0","-1","-1","600","6016","","HTTP/2","100","3","https://g.alicdn.com/teambition-site/site/gatsby/framework-434d2f7475c1f28e8d79.js","-1","41305","41305","","application/javascript","High","","","-1","-1","parser","05378035A26067477536770D0B4A200B","g.alicdn.com","41305","1000023995.8","0","100","1","-1","","-1","https://www.teambition.com/","-1","235","/teambition-site/site/gatsby/framework-434d2f7475c1f28e8d79.js","-1","","GET","-1","-1","","200","-1","gzip","","6355","6016","6302","6302","6355","53","6016","6355","339","9","10","1","0","11","","","","129616","","","12","16","","","",
