"minify_total","score_keep-alive","testStartOffset","bytesOut","gzip_savings","requestsFull","start_epoch","connections","base_page_cdn","cpu.EventDispatch","bytesOutDoc","result","final_base_page_request_id","score_cookies","basePageSSLTime","docTime","domContentLoadedEventEnd","image_savings","cpu.XHRReadyStateChange","requestsDoc","cpu.v8.compile","cpu.CommitLoad","firstMeaningfulPaint","cpu.FunctionCall","firstTextPaint","firstPaint","cpu.ParseAuthorStyleSheet","score_cdn","cpu.Idle","cpu.ParseHTML","optimization_checked","image_total","score_minify","cpu.ScriptWrappableMarkingVisitor::performLazyCleanup","gzip_total","cpu.MajorGC","responses_404","cpu.ResourceSendRequest","cpu.Layout","loadTime","URL","score_combine","firstContentfulPaint","cpu.PlatformResourceSendRequest","firstLayout","score_etags","responses_200","cpu.EvaluateScript","minify_savings","score_progressive_jpeg","domInteractive","score_gzip","cpu.Paint","score_compress","domContentLoadedEventStart","final_url","cpu.MinorGC","bytesInDoc","firstImagePaint","cpu.ResourceChangePriority","cpu.UpdateLayoutTree","cached","score_cache","cpu.FireAnimationFrame","responses_other","cpu.UpdateLayerTree","cpu.TimerFire","main_frame","fullyLoaded","requests","final_base_page_request","TTFB","cpu.XHRLoad","bytesIn","browserVersion","fullyLoadedCPUms","browser_name","base_page_cname","eventName","browser_version","base_page_dns_server","date","fullyLoadedCPUpct","base_page_ip_ptr","test_run_time_ms","SpeedIndex","visualComplete85","visualComplete90","visualComplete95","visualComplete99","visualComplete","render","lastVisualChange","chromeUserTiming.redirectStart","chromeUserTiming.redirectEnd","chromeUserTiming.fetchStart","chromeUserTiming.responseEnd","chromeUserTiming.unloadEventStart","chromeUserTiming.unloadEventEnd","chromeUserTiming.domLoading","chromeUserTiming.firstLayout","chromeUserTiming.firstPaint","chromeUserTiming.firstContentfulPaint","chromeUserTiming.firstTextPaint","chromeUserTiming.firstImagePaint","chromeUserTiming.firstMeaningfulPaintCandidate","chromeUserTiming.domInteractive","chromeUserTiming.domContentLoadedEventStart","chromeUserTiming.domContentLoadedEventEnd","chromeUserTiming.firstMeaningfulPaint","chromeUserTiming.InteractiveTime","FirstInteractive","TimeToInteractive","TTIMeasurementEnd","LastInteractive","run","step","effectiveBps","domTime","aft","titleTime","loadEventStart","loadEventEnd","domLoading","server_rtt","smallImageCount","bigImageCount","maybeCaptcha","bytes.html","requests.html","bytesUncompressed.html","bytes.js","requests.js","bytesUncompressed.js","bytes.css","requests.css","bytesUncompressed.css","bytes.image","requests.image","bytesUncompressed.image","bytes.flash","requests.flash","bytesUncompressed.flash","bytes.font","requests.font","bytesUncompressed.font","bytes.video","requests.video","bytesUncompressed.video","bytes.other","requests.other","bytesUncompressed.other","id","PerformancePaintTiming.first-contentful-paint","document_URL","PerformancePaintTiming.first-paint","domElements","document_origin","domComplete","document_hostname","userTime.mark_rsef_dpj","userTime.mark_rsae_dpj","userTime.mark_js_r","userTime.mark_ac","userTime.mark_apr","userTime.mark_pdc","userTime.mark_pdr","userTime.mark_pr","userTime.mark_lps","userTime.mark_hgcr","userTime.mark_pdl","userTime.mark_nd","userTime.mark_pda","userTime.mark_adl","userTime.mark_bcp","userTime.mark_gcc","userTime.mark_dl","userTime.mark_cpt","userTime.mark_cuplss (cupls)","userTime.mark_cuplsc (cupls)","userTime.mark_gle","userTime.mark_gpe","userTime.mark_cmi","userTime.mark_pe","userTime.mark_fs","userTime","chromeUserTiming.domComplete","chromeUserTiming.loadEventStart","chromeUserTiming.loadEventEnd","effectiveBpsDoc",
"-1","100","0","24878","34282","55","0","11","","18","0","99997","A214CF17063351A7FB488B40FAC5011E-2","-1","68","0","9741","0","6","0","43","0","9905","70","9713","9713","23","0","20147","12","1","6187689","-1","0","1529052","16","0","0","89","20770","http://teambition.com","-1","9713","4","9701","-1","48","93","-1","-1","9741","98","94","100","9741","https://www.teambition.com/","8","0","9713","0","54","0","11","1","7","46","45","05378035A26067477536770D0B4A200B","20770","55","2","5458","0","7871224","68.0.3440.75","27220","Chrome","","Step_1","68.0.3440.75","","1639663978.9644","3.6919487847","","130605","11660","18700","18700","18800","19900","20200","9800","20200","2","4490","4490","5466","5467","5467","5476","9700","9712","9712","9712","9712","9904","9740","9741","9741","9904","17914","9741","9741","120867","9741","1","1","514055","0","0","0","0","0","0","0","0","9","0","23884","5","41571","333220","21","936020","614167","1","1289832","6490223","19","6478041","0","0","0","155174","3","154028","252363","2","251489","2193","4","1384","211216_75_T","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"-1","-1","0","784","0","2","0","2","","","0","404","","-1","","0","0","0","","0","","","","","","0","","-1","1546","","1","0","-1","","0","","0","0","","1546","http://teambition.com","-1","","","","-1","0","","-1","-1","0","-1","","-1","0","","","0","","","","0","-1","","2","","","","1546","2","","0","","239","68.0.3440.75","1060","Chrome","","Step_1","68.0.3440.75","","1639664116.6866","2.6546456299","","3055","0","","","","","0","0","0","2","1548","1548","","","","","","","","","","","","","","","","","","1571","","2","1","","0","0","0","0","0","0","0","0","0","0","239","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","211216_75_T","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"-1","-1","0","784","0","2","0","2","","0","0","404","","-1","","0","0","0","","0","0","0","","","","0","","-1","1542","0","1","0","-1","","0","","0","0","","1542","http://teambition.com","-1","","","","-1","0","0","-1","-1","0","-1","","-1","0","","","0","","","","0","-1","","2","","","","1542","2","","0","","239","68.0.3440.75","1169","Chrome","","Step_1","68.0.3440.75","","1639664126.282","2.927927928","","3053","0","","","","","0","0","0","1","1543","1543","1562","1562","1562","1572","","","","","","","","","","","","","","1591","","3","1","","0","0","0","0","0","0","0","0","0","0","239","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","211216_75_T","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"-1","100","0","27243","0","62","0","9","Google","0","10927","0","256C2A1EC379873FB5F297C265AE5E2C-2","-1","","4711","4707","0","","24","","0","4669","","4669","1225.0999999233","","94","7486","0","1","385210","-1","","2126213","","0","0","0","4711","http://youtube.com","-1","1225","","1208","-1","58","","-1","0","4671","100","0","100","4706","https://www.youtube.com/","","1477309","4669","","2","0","71","","4","0","","85C5557DF6BF10C16F3015B42CB6790A","7489","62","2","480","","2603500","68.0.3440.75","8649","Chrome","youtube-ui.l.google.com","Step_1","68.0.3440.75","ns2.google.com","1639664136.0485","10.0034694115","prg03s06-in-f238.1e100.net","16759","4779","5500","5900","5900","6100","6100","1200","6100","2","348","348","2153","490","490","503","1207","1225","1225","4669","4669","4669","4670","4706","4706","4669","","","","4707","4707","1","1","371450","0","0","0","4711","4711","0","0","14","1","0","58791","2","561082","1956859","15","10214576","52682","7","387451","447752","23","650218","0","0","0","83074","6","81852","0","0","0","4065","8","26702","211216_41_V","1225.0999999233","https://www.youtube.com/","1225.0999999233","8315","https://www.youtube.com","4710","www.youtube.com","4323","4324","4324","4325","4325","4325","4346","4346","4356","4582","4583","4584","4636","4641","4646","4670","4711","4997","5137","5137","5360","5373","6201","7049","7091","7091","4710","4710","4711","349163",
"-1","100","0","27277","0","62","0","9","Google","0","10927","0","3D03955EB87EA478B4516442A22E5B2B-2","-1","","4674","4669","0","","24","","0","4632","","4632","1113.6999998707","","94","7611","0","1","445558","-1","","2126165","","0","0","0","4674","http://youtube.com","-1","1114","","1096","-1","58","","-1","0","4629","100","0","100","4668","https://www.youtube.com/","","1477261","4632","","2","0","72","","4","0","","3B7F0911DDC0F98850C341D2A66561A0","7614","62","2","364","","2663845","68.0.3440.75","9309","Chrome","youtube-ui.l.google.com","Step_1","68.0.3440.75","ns2.google.com","1639664221.7177","10.6937744085","prg03s06-in-f238.1e100.net","16876","4787","5700","6000","6000","6100","6100","1200","6100","1","276","276","1731","376","376","388","1096","1113","1113","4631","4631","4631","4629","4668","4669","4631","","","","4669","4669","2","1","367426","0","0","0","4673","4674","0","0","14","1","0","58778","2","567448","1956870","15","10214576","52682","7","387451","508135","23","710566","0","0","0","83074","6","81852","0","0","0","4030","8","26556","211216_41_V","1113.6999998707","https://www.youtube.com/","1113.6999998707","8316","https://www.youtube.com","4673","www.youtube.com","4281","4281","4281","4282","4282","4282","4300","4300","4310","4538","4539","4540","4589","4597","4601","4628","4674","4971","5118","5119","5326","5335","6175","7111","7153","7153","4673","4673","4674","342751",
"-1","100","0","27251","0","62","0","9","Google","0","10910","0","8671F6CB82176A0EAB84CE312DEA53F3-2","-1","","4557","4553","0","","24","","0","4519","","4519","1126.7999999691","","94","7479","0","1","378157","-1","","2126405","","0","0","0","4557","http://youtube.com","-1","1127","","1098","-1","58","","-1","0","4515","100","0","100","4552","https://www.youtube.com/","","1477501","4519","","2","0","71","","4","0","","95859E9308BCB8E7D212D61D6B7E7878","7482","62","2","363","","2596645","68.0.3440.75","9810","Chrome","youtube-ui.l.google.com","Step_1","68.0.3440.75","ns2.google.com","1639664245.8124","11.381830839","prg03s06-in-f238.1e100.net","17045","4666","5500","5600","5700","6000","6000","1200","6000","2","278","278","1685","373","373","383","1097","1126","1126","4519","4519","4519","4514","4552","4553","4519","","","","4553","4553","3","1","364748","0","0","0","4557","4558","0","0","14","0","0","58966","2","567124","1956959","15","10214576","52682","7","387451","440607","23","643165","0","0","0","83074","6","81852","0","0","0","4083","8","26738","211216_41_V","1126.7999999691","https://www.youtube.com/","1126.7999999691","8306","https://www.youtube.com","4557","www.youtube.com","4153","4154","4154","4154","4154","4154","4168","4168","4177","4412","4413","4414","4471","4488","4492","4514","4558","4814","4968","4968","5149","5161","6032","6940","6983","6983","4557","4557","4558","352289",
"-1","100","0","751","0","2","0","1","","0","390","0","E99B335E14134C7D72EBD1AA6DCDE07A","-1","","169","168","0","","1","","0","184","","184","183.7999999989","","0","225","1","1","0","-1","","0","","0","0","7","169","http://onmarshtompor.com","-1","184","0","166","-1","1","","-1","-1","168","-1","0","-1","168","http://onmarshtompor.com/","","188","","","0","0","0","","1","0","","6935BD8F55B5F45A8A7635449FD6E2A4","235","2","0","142","","439","68.0.3440.75","1689","Chrome","","Step_1","68.0.3440.75","l.gtld-servers.net","1639664320.2781","3.8549270073","","3764","0","","","","","0","0","0","","","1","149","150","150","162","166","183","183","183","","183","168","168","168","183","","","","","","1","1","4720","0","0","0","169","169","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","188","1","8","211216_74_W","183.7999999989","http://onmarshtompor.com/","183.7999999989","3","http://onmarshtompor.com","169","onmarshtompor.com","","","","","","","","","","","","","","","","","","","","","","","","","","","168","168","168","6962",
"-1","100","0","751","0","2","0","1","","0","390","0","6846C02288F0A36A693E29CBC2699D44","-1","","119","118","0","","1","","0","137","","137","136.9000000414","","0","177","2","1","0","-1","","0","","0","0","7","119","http://onmarshtompor.com","-1","137","0","126","-1","1","","-1","-1","118","-1","0","-1","118","http://onmarshtompor.com/","","188","","","1","0","0","","1","0","","FB979432FFF210F0706D285B47B4C55E","187","2","0","95","","439","68.0.3440.75","1800","Chrome","","Step_1","68.0.3440.75","e.gtld-servers.net","1639664342.8136","4.0641228268","","3670","0","","","","","0","0","0","","","1","103","103","103","114","125","137","137","137","","137","117","117","117","137","","","","","","2","1","4771","0","0","0","119","119","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","188","1","8","211216_74_W","136.9000000414","http://onmarshtompor.com/","136.9000000414","3","http://onmarshtompor.com","119","onmarshtompor.com","","","","","","","","","","","","","","","","","","","","","","","","","","","119","119","119","7833",
"-1","100","0","751","0","2","0","1","","0","390","0","72E672C8400821C90F03DBFD0B4F0D43","-1","","132","131","0","","1","","0","151","","151","150.3999999259","","0","190","2","1","0","-1","","0","","0","0","7","132","http://onmarshtompor.com","-1","151","0","128","-1","1","","-1","-1","131","-1","0","-1","131","http://onmarshtompor.com/","","188","","","0","0","0","","1","1","","1F24E72D3D98DB84728C4AB4E78357EC","201","2","0","105","","439","68.0.3440.75","1240","Chrome","","Step_1","68.0.3440.75","e.gtld-servers.net","1639664353.156","2.8252449306","","3655","0","","","","","0","0","0","","","7","110","112","112","124","128","150","150","150","","150","130","130","130","150","","","","","","3","1","4572","0","0","0","132","132","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","188","1","8","211216_74_W","150.3999999259","http://onmarshtompor.com/","150.3999999259","3","http://onmarshtompor.com","131","onmarshtompor.com","","","","","","","","","","","","","","","","","","","","","","","","","","","131","131","131","6962",
"-1","-1","0","787","0","2","0","2","","0","787","504","","-1","","21401","21400","0","","2","","0","","","","0","","-1","21388","4","1","0","-1","","0","","0","0","9","21401","http://appledaily.com","-1","","0","21410","-1","0","","-1","-1","21400","-1","0","-1","21400","","","145","","","1","0","-1","","2","0","","","21401","2","","0","","145","68.0.3440.75","4009","Chrome","","Step_1","68.0.3440.75","","1639664363.5335","2.5734822231","","23970","0","","","","","0","0","0","2","10450","10450","21377","21382","21382","21392","21410","","","","","","21399","21399","21399","","","","","21412","","1","1","","0","0","0","21401","21401","0","0","0","0","0","145","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","211216_TC_X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21400","21400","21401","",
"-1","-1","0","787","0","3","0","2","","0","787","504","","-1","","11061","11061","0","","2","","0","","","11070","11070","","-1","11069","1","1","0","-1","","0","0","0","0","4","11061","http://appledaily.com","-1","11070","0","11065","-1","0","","-1","-1","11061","-1","0","-1","11061","","","145","","","0","0","-1","","3","0","","","11075","3","","0","","145","68.0.3440.75","3029","Chrome","","Step_1","68.0.3440.75","","1639664394.0388","3.1598706851","","13288","0","","","","","0","0","0","1","179","179","11052","11054","11054","11058","11064","11069","11069","11069","","11069","11060","11060","11060","","","11069","","11095","11069","2","1","","0","0","0","11061","11061","0","0","0","0","0","145","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","211216_TC_X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11061","11061","11061","",
