"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","http2_stream_dependency","objectSizeUncompressed","final_base_page","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","score_progressive_jpeg","jpeg_scan_count","initiator_function","was_pushed",
"104.109.10.129","","382","335","7325728C25CDA218EE991E595D56A286","","","max-age=0, no-cache, no-store","-1","211011_0C_2E","42","HIGHEST","","","-1","335","-1","44","-1","","374","80","http/1.1","-1","3","http://force.com/","-1","0","","force.com:80","","VeryHigh","","Mon, 11 Oct 2021 14:49:24 GMT","-1","-1","script","8D10F08D3D6459F87F7E617E15C2B5AF","force.com","0","7325728C25CDA218EE991E595D56A286","","-1","0","42","","-1","","330","106","/","-1","50250","GET","0","374","","301","-1","","","709","374","709","709","709","0","44","709","665","0","1","1","0","","","","","","","","","","","","","",
"23.212.110.161","","396","338","7325728C25CDA218EE991E595D56A286-1","","","","-1","211011_0C_2E","752","VeryHigh","","","-1","338","-1","752","-1","","857","443","HTTP/2","-1","3","https://www.force.com/","857","0","","ssl/www.force.com:443","","VeryHigh","","","-1","-1","script","8D10F08D3D6459F87F7E617E15C2B5AF","www.force.com","0","7325728C25CDA218EE991E595D56A286","","-1","1","710","","-1","","31","117","/","783","58600","GET","42","783","","301","74","","","1195","857","1195","1195","1195","0","710","1195","485","1","2","1","0","1","256","True","0","","","","","","","","","",
"23.212.110.147","","452","123","7325728C25CDA218EE991E595D56A286-2","","","max-age=167, s-maxage=10","100","211011_0C_2E","1239","VeryHigh","","","-1","94","-1","1239","-1","","1315","443","HTTP/2","100","3","https://www.salesforce.com/products/platform/products/force/?sfdc-redirect=300","1315","18337","18337","ssl/www.salesforce.com:443","text/html","VeryHigh","","Mon, 11 Oct 2021 14:52:12 GMT","-1","-1","script","8D10F08D3D6459F87F7E617E15C2B5AF","www.salesforce.com","18760","7325728C25CDA218EE991E595D56A286","0","100","1","1197","","-1","","31","127","/products/platform/products/force/?sfdc-redirect=300","1271","58898","GET","42","1270","","200","44","gzip","Akamai","1438","1315","1409","1409","1438","29","1197","1438","240","2","3","1","0","1","256","True","0","134212","1","1","23","1","","","","",
"23.212.110.147","47","495","127","1000016246.4","","","max-age=2592000, s-maxage=10","100","211011_0C_2E","-1","MEDIUM","","","-1","80","100","-1","-1","2592000","1423","","HTTP/2","-1","3","https://www.salesforce.com/etc/clientlibs/sfdc-aem-master/clientlibs_base/fonts/SalesforceSans-Regular.woff2","-1","27684","","","font/woff2","High","","Wed, 10 Nov 2021 14:49:25 GMT","-1","-1","parser","8D10F08D3D6459F87F7E617E15C2B5AF","www.salesforce.com","28064","1000016246.4","","100","1","-1","","-1","https://www.salesforce.com/products/platform/products/force/?sfdc-redirect=300","-1","127","/etc/clientlibs/sfdc-aem-master/clientlibs_base/fonts/SalesforceSans-Regular.woff2","-1","","GET","-1","-1","","200","-1","","Akamai","1550","1423","1503","1503","1550","47","1423","1550","127","3","4","1","0","3","220","True","1","27684","","","","","","","","",
"23.212.110.147","83","464","571","1000016246.10","","","max-age=1209600, s-maxage=10","100","211011_0C_2E","-1","MEDIUM","","","-1","570","100","-1","-1","1209600","1429","","HTTP/2","100","3","https://www.salesforce.com/etc.bundles/sfdc-www/bundles/vendors~scriptloader~utils.bundle.1cb6b181ee19bf98f0ee.js","-1","5125","5125","","application/javascript","High","","Mon, 25 Oct 2021 14:49:25 GMT","-1","-1","parser","8D10F08D3D6459F87F7E617E15C2B5AF","www.salesforce.com","5463","1000016246.10","0","100","1","-1","","-1","https://www.salesforce.com/products/platform/products/force/?sfdc-redirect=300","-1","127","/etc.bundles/sfdc-www/bundles/vendors~scriptloader~utils.bundle.1cb6b181ee19bf98f0ee.js","-1","","GET","-1","-1","","200","-1","br","Akamai","2000","1429","1999","1999","2000","1","1429","2000","571","4","5","1","0","15","220","True","13","15435","","","1","","","","","",
"23.212.110.147","48","492","475","1000016246.5","","","max-age=2592000, s-maxage=10","100","211011_0C_2E","-1","MEDIUM","","","-1","350","100","-1","-1","2592000","1429","","HTTP/2","-1","3","https://www.salesforce.com/etc/clientlibs/sfdc-aem-master/clientlibs_base/fonts/SalesforceSans-Bold.woff2","-1","27648","","","font/woff2","High","","Wed, 10 Nov 2021 14:49:25 GMT","-1","-1","parser","8D10F08D3D6459F87F7E617E15C2B5AF","www.salesforce.com","28019","1000016246.5","","100","1","-1","","-1","https://www.salesforce.com/products/platform/products/force/?sfdc-redirect=300","-1","127","/etc/clientlibs/sfdc-aem-master/clientlibs_base/fonts/SalesforceSans-Bold.woff2","-1","","GET","-1","-1","","200","-1","","Akamai","1904","1429","1779","1779","1904","125","1429","1904","475","5","6","1","0","9","220","True","3","27648","","","","","","","","",
"23.212.110.147","49","493","528","1000016246.6","","","max-age=2592000, s-maxage=10","100","211011_0C_2E","-1","MEDIUM","","","-1","474","100","-1","-1","2592000","1429","","HTTP/2","-1","3","https://www.salesforce.com/etc/clientlibs/sfdc-aem-master/clientlibs_base/fonts/SalesforceSans-Light.woff2","-1","27732","","","font/woff2","High","","Wed, 10 Nov 2021 14:49:25 GMT","-1","-1","parser","8D10F08D3D6459F87F7E617E15C2B5AF","www.salesforce.com","28112","1000016246.6","","100","1","-1","","-1","https://www.salesforce.com/products/platform/products/force/?sfdc-redirect=300","-1","127","/etc/clientlibs/sfdc-aem-master/clientlibs_base/fonts/SalesforceSans-Light.woff2","-1","","GET","-1","-1","","200","-1","","Akamai","1957","1429","1903","1903","1957","54","1429","1957","528","6","7","1","0","11","220","True","9","27732","","","","","","","","",
"23.212.110.147","50","489","560","1000016246.7","","","max-age=2592000, s-maxage=10","100","211011_0C_2E","-1","MEDIUM","","","-1","528","100","-1","-1","2592000","1429","","HTTP/2","-1","3","https://www.salesforce.com/etc/clientlibs/sfdc-aem-master/clientlibs_base/fonts/salesforce-icons.woff2","-1","15056","","","font/woff2","High","","Wed, 10 Nov 2021 14:49:25 GMT","-1","-1","parser","8D10F08D3D6459F87F7E617E15C2B5AF","www.salesforce.com","15391","1000016246.7","","100","1","-1","","-1","https://www.salesforce.com/products/platform/products/force/?sfdc-redirect=300","-1","127","/etc/clientlibs/sfdc-aem-master/clientlibs_base/fonts/salesforce-icons.woff2","-1","","GET","-1","-1","","200","-1","","Akamai","1989","1429","1957","1957","1989","32","1429","1989","560","7","8","1","0","13","220","True","11","15056","","","","","","","","",
"23.212.110.147","82","457","338","1000016246.8","","","max-age=1209600, s-maxage=10","100","211011_0C_2E","-1","HIGHEST","","","-1","153","100","-1","-1","1209600","1429","","HTTP/2","100","3","https://www.salesforce.com/etc.bundles/sfdc-www/bundles/all.bundle.982efcc762d13f809808.css","-1","66623","66623","","text/css","VeryHigh","","Mon, 25 Oct 2021 14:49:25 GMT","-1","-1","parser","8D10F08D3D6459F87F7E617E15C2B5AF","www.salesforce.com","67087","1000016246.8","0","100","1","-1","","-1","https://www.salesforce.com/products/platform/products/force/?sfdc-redirect=300","-1","127","/etc.bundles/sfdc-www/bundles/all.bundle.982efcc762d13f809808.css","-1","","GET","-1","-1","","200","-1","br","Akamai","1767","1429","1582","1582","1767","185","1429","1767","338","8","9","1","0","5","256","True","1","654171","","","","","","","","",
"23.212.110.147","82","467","343","1000016246.9","","","max-age=1209600, s-maxage=10","100","211011_0C_2E","-1","HIGHEST","","","-1","343","100","-1","-1","1209600","1429","","HTTP/2","100","3","https://www.salesforce.com/etc.bundles/sfdc-www/bundles/sfdc-liveChat.bundle.982efcc762d13f809808.css","-1","1751","1751","","text/css","VeryHigh","","Mon, 25 Oct 2021 14:49:25 GMT","-1","-1","parser","8D10F08D3D6459F87F7E617E15C2B5AF","www.salesforce.com","2070","1000016246.9","0","100","1","-1","","-1","https://www.salesforce.com/products/platform/products/force/?sfdc-redirect=300","-1","127","/etc.bundles/sfdc-www/bundles/sfdc-liveChat.bundle.982efcc762d13f809808.css","-1","","GET","-1","-1","","200","-1","br","Akamai","1772","1429","1772","1772","1772","0","1429","1772","343","9","10","1","0","7","256","True","5","9075","","","","","","","","",
