"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","objectSizeUncompressed","final_base_page","http2_stream_dependency","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","score_progressive_jpeg","jpeg_scan_count","initiator_function",
"123.126.45.205","","384","202","893A8C3E74C752429DD3D9F56A7DBC1E","","","max-age=6","-1","211011_0F_25","344","HIGHEST","","","-1","202","-1","344","-1","","541","80","http/1.1","-1","3","http://sina.com.cn/","-1","178","","sina.com.cn:80","text/html","VeryHigh","","","-1","-1","script","8AE814C68133B15E0EB9C276D8A56456","sina.com.cn","178","893A8C3E74C752429DD3D9F56A7DBC1E","","-1","0","3","","-1","","197","104","/","-1","57822","GET","341","541","","301","-1","","","743","541","743","743","743","0","3","743","740","0","1","1","0","","","","","","","","","","","","",
"79.133.176.230","","398","304","893A8C3E74C752429DD3D9F56A7DBC1E-1","","","max-age=60","-1","211011_0F_25","1446","VeryHigh","","","-1","61","-1","1446","-1","","1566","443","HTTP/2","100","3","https://www.sina.com.cn/","1566","147148","147148","ssl/www.sina.com.cn:443","text/html","VeryHigh","","Mon, 11 Oct 2021 14:40:19 GMT","-1","-1","script","8AE814C68133B15E0EB9C276D8A56456","www.sina.com.cn","148136","893A8C3E74C752429DD3D9F56A7DBC1E","0","100","1","745","","-1","","50","119","/","1496","52590","GET","701","1496","","200","70","gzip","","1870","1566","1627","1627","1870","243","745","1870","1125","1","2","1","0","1","256","True","533013","1","0","1","39","131","","","",
"79.133.176.230","4193","343","84","1000027712.92","","","max-age=120","0","211011_0F_25","-1","LOW","","","-1","78","0","-1","-1","37","1796","","HTTP/2","32","3","https://www.sina.com.cn/js/79/2013/0717/fix.js","-1","5541","5541","","application/x-javascript","Medium","","Mon, 11 Oct 2021 14:39:31 GMT","-1","-1","parser","8AE814C68133B15E0EB9C276D8A56456","www.sina.com.cn","6188","1000027712.92","3738","100","1","-1","","-1","https://www.sina.com.cn/","-1","119","/js/79/2013/0717/fix.js","-1","","GET","-1","-1","","200","-1","","","1880","1796","1874","1874","1880","6","1796","1880","84","2","3","1","0","3","183","True","5541","","1","","0","","","","",
"79.133.176.230","81","360","98","1000027712.5","","","max-age=604800","0","211011_0F_25","-1","MEDIUM","","","-1","86","50","-1","-1","159843","2259","","HTTP/2","100","3","https://d3.sina.com.cn/litong/zhitou/sinaads/release/sinaads.js","-1","26517","26517","","application/x-javascript","High","","Wed, 13 Oct 2021 00:58:07 GMT","-1","-1","parser","8AE814C68133B15E0EB9C276D8A56456","d3.sina.com.cn","27304","1000027712.5","0","100","1","-1","","-1","https://www.sina.com.cn/","-1","119","/litong/zhitou/sinaads/release/sinaads.js","-1","","GET","-1","-1","","200","-1","gzip","","2357","2259","2345","2345","2357","12","2259","2357","98","3","4","1","0","5","","","74828","","","","31","180","","","",
"2.21.74.48","69","358","80","1000027712.4","","","max-age=30028383","0","211011_0F_25","2212","HIGHEST","","","-1","79","100","2212","-1","30028383","2307","443","http/1.1","100","3","https://n3.sinaimg.cn/index/css/index.css?v=20210924","2306","16242","16242","ssl/n3.sinaimg.cn:443","text/css","VeryHigh","","","-1","-1","parser","8AE814C68133B15E0EB9C276D8A56456","n3.sinaimg.cn","17673","1000027712.4","0","100","1","1661","","-1","https://www.sina.com.cn/","36","230","/index/css/index.css?v=20210924","2248","41876","GET","551","2248","","200","58","gzip","","2387","2307","2386","2386","2387","1","1661","2387","725","4","5","1","0","","","","87297","","","","","","","","",
"79.133.176.230","97","341","59","1000027712.6","","","max-age=120","0","211011_0F_25","-1","MEDIUM","","","-1","54","0","-1","-1","115","2379","","HTTP/2","44","3","https://news.sina.com.cn/js/pctianyi/sima.js","-1","2898","2898","","application/x-javascript","High","","Mon, 11 Oct 2021 14:42:00 GMT","-1","-1","parser","8AE814C68133B15E0EB9C276D8A56456","news.sina.com.cn","3497","1000027712.6","1603","100","1","-1","","-1","https://www.sina.com.cn/","-1","119","/js/pctianyi/sima.js","-1","","GET","-1","-1","","200","-1","","","2438","2379","2433","2433","2438","5","2379","2438","59","5","6","1","0","7","","","2898","","","","1","","","","",
"79.133.176.230","1091","382","236","1000027712.14","","","max-age=604800","0","211011_0F_25","-1","LOW","","","-1","235","0","-1","-1","-4888126","2439","","HTTP/2","100","3","https://d3.sina.com.cn/litong/zhitou/sinaads/demo/wanglt/sinaIndexAD/edu_ad_change.js","-1","1838","1838","","application/x-javascript","Medium","","Sun, 17 Oct 2021 17:18:32 GMT","-1","-1","parser","8AE814C68133B15E0EB9C276D8A56456","d3.sina.com.cn","2336","1000027712.14","0","100","1","-1","","-1","https://www.sina.com.cn/","-1","119","/litong/zhitou/sinaads/demo/wanglt/sinaIndexAD/edu_ad_change.js","-1","","GET","-1","-1","","200","-1","gzip","","2675","2439","2674","2674","2675","1","2439","2675","236","6","7","1","0","9","","","6086","","","","0","","","","",
"79.133.176.230","1993","343","123","1000027712.29","","","max-age=120","0","211011_0F_25","-1","LOW","","","-1","87","0","-1","-1","17","2443","","HTTP/2","100","3","https://news.sina.com.cn/sso/outlogin_layer.js","-1","31820","31820","","application/x-javascript","Medium","","Mon, 11 Oct 2021 14:39:17 GMT","-1","-1","parser","8AE814C68133B15E0EB9C276D8A56456","news.sina.com.cn","32503","1000027712.29","0","100","1","-1","","-1","https://www.sina.com.cn/","-1","119","/sso/outlogin_layer.js","-1","","GET","-1","-1","","200","-1","gzip","","2566","2443","2530","2530","2566","36","2443","2566","123","7","8","1","0","11","","","105046","","","","10","16","","","",
"79.133.176.230","1995","348","168","1000027712.30","","","max-age=120","0","211011_0F_25","-1","LOW","","","-1","152","0","-1","-1","36","2443","","HTTP/2","27","3","https://news.sina.com.cn/sso/user_panel_homepage.js","-1","28697","28697","","application/x-javascript","Medium","","Mon, 11 Oct 2021 14:40:54 GMT","-1","-1","parser","8AE814C68133B15E0EB9C276D8A56456","news.sina.com.cn","29460","1000027712.30","20706","100","1","-1","","-1","https://www.sina.com.cn/","-1","119","/sso/user_panel_homepage.js","-1","","GET","-1","-1","","200","-1","","","2611","2443","2595","2595","2611","16","2443","2611","168","8","9","1","0","13","","","28697","","","","5","","","","",
"79.133.176.230","3664","365","228","1000027712.72","","","max-age=604800","0","211011_0F_25","-1","LOW","","","-1","227","0","-1","-1","-4857136","2443","","HTTP/2","100","3","https://d3.sina.com.cn/d1images/sinaads_entry/sinaads_entry_index.js","-1","1343","1343","","application/x-javascript","Medium","","Mon, 18 Oct 2021 00:20:09 GMT","-1","-1","parser","8AE814C68133B15E0EB9C276D8A56456","d3.sina.com.cn","2148","1000027712.72","0","100","1","-1","","-1","https://www.sina.com.cn/","-1","119","/d1images/sinaads_entry/sinaads_entry_index.js","-1","","GET","-1","-1","","200","-1","gzip","","2671","2443","2670","2670","2671","1","2443","2671","228","9","10","1","0","15","","","4627","","","","0","","","","",
