"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","http2_stream_dependency","objectSizeUncompressed","final_base_page","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","initiator_function","score_progressive_jpeg","jpeg_scan_count",
"157.240.241.174","","386","144","7A8772E45D63AA3299146A9398C033F0","","","","-1","211011_11_2D","38","HIGHEST","","","-1","144","-1","38","-1","","177","80","http/1.1","-1","3","http://instagram.com/","-1","0","","instagram.com:80","text/plain","VeryHigh","","","-1","-1","script","3EB259B26EBB8AC7D3153E5266954FFA","instagram.com","0","7A8772E45D63AA3299146A9398C033F0","","-1","0","3","","-1","","139","104","/","-1","35078","GET","35","177","","301","-1","","","321","177","321","321","321","0","3","321","318","0","1","1","0","","","","","","","","","","","","",
"157.240.241.174","","396","198","7A8772E45D63AA3299146A9398C033F0-1","","","private, no-cache, no-store, must-revalidate","-1","211011_11_2D","-1","VeryHigh","","","-1","198","-1","323","-1","","615","443","HTTP/2","-1","3","https://instagram.com/","615","0","","ssl/instagram.com:443","text/html","VeryHigh","","Sat, 01 Jan 2000 00:00:00 GMT","-1","-1","script","3EB259B26EBB8AC7D3153E5266954FFA","instagram.com","0","7A8772E45D63AA3299146A9398C033F0","","-1","1","-1","","-1","","141","115","/","464","37336","GET","-1","464","","301","151","","","813","615","813","813","813","0","323","813","490","1","2","1","0","1","256","True","0","","","","","","","","",
"157.240.30.174","","400","558","7A8772E45D63AA3299146A9398C033F0-2","","","private, no-cache, no-store, must-revalidate","100","211011_11_2D","859","VeryHigh","","","-1","519","-1","859","-1","","939","443","HTTP/2","100","3","https://www.instagram.com/","939","20438","20438","ssl/www.instagram.com:443","text/html","VeryHigh","","Sat, 01 Jan 2000 00:00:00 GMT","-1","-1","script","3EB259B26EBB8AC7D3153E5266954FFA","www.instagram.com","22425","7A8772E45D63AA3299146A9398C033F0","0","100","1","815","","-1","","34","125","/","893","34346","GET","44","893","","200","46","gzip","Facebook","1497","939","1458","1458","1497","39","815","1497","682","2","3","1","0","1","256","True","0","66978","1","1","4","0","","","",
"157.240.30.174","18","434","71","1000013971.4","","","public,max-age=31536000,immutable","100","211011_11_2D","-1","HIGHEST","","","-1","36","100","-1","-1","31536000","1472","","HTTP/2","100","3","https://www.instagram.com/static/bundles/metro/ConsumerUICommons.css/4b3dd0be0139.css","-1","20160","20160","","text/css","VeryHigh","","","-1","-1","parser","3EB259B26EBB8AC7D3153E5266954FFA","www.instagram.com","20352","1000013971.4","0","100","1","-1","","-1","https://www.instagram.com/","-1","125","/static/bundles/metro/ConsumerUICommons.css/4b3dd0be0139.css","-1","","GET","-1","-1","","200","-1","br","Facebook","1543","1472","1508","1508","1543","35","1472","1543","71","3","4","1","0","3","256","True","1","173769","","","","","","","",
"157.240.30.174","25","408","1779","1000013971.11","","","public,max-age=31536000,immutable","100","211011_11_2D","-1","MEDIUM","","","-1","244","100","-1","-1","31536000","1473","","HTTP/2","100","3","https://www.instagram.com/static/bundles/metro/Consumer.js/b1c1ffb20c43.js","-1","358413","358413","","text/javascript","High","","","-1","-1","parser","3EB259B26EBB8AC7D3153E5266954FFA","www.instagram.com","358674","1000013971.11","0","100","1","-1","","-1","https://www.instagram.com/","-1","125","/static/bundles/metro/Consumer.js/b1c1ffb20c43.js","-1","","GET","-1","-1","","200","-1","br","Facebook","3252","1473","1717","1717","3252","1535","1473","3252","1779","4","5","1","0","17","220","True","15","1942999","","","161","0","","","",
"157.240.30.174","26","411","1316","1000013971.12","","","public,max-age=31536000,immutable","100","211011_11_2D","-1","MEDIUM","","","-1","245","100","-1","-1","31536000","1473","","HTTP/2","100","3","https://www.instagram.com/static/bundles/metro/LandingPage.js/c4ca4238a0b9.js","-1","1","1","","text/javascript","High","","","-1","-1","parser","3EB259B26EBB8AC7D3153E5266954FFA","www.instagram.com","57","1000013971.12","0","100","1","-1","","-1","https://www.instagram.com/","-1","125","/static/bundles/metro/LandingPage.js/c4ca4238a0b9.js","-1","","GET","-1","-1","","200","-1","br","Facebook","2789","1473","1718","1718","2789","1071","1473","2789","1316","5","6","1","0","19","220","True","17","","","","0","","","","",
"157.240.30.174","20","406","243","1000013971.6","","","public,max-age=31536000,immutable","100","211011_11_2D","-1","MEDIUM","","","-1","129","100","-1","-1","31536000","1473","","HTTP/2","100","3","https://www.instagram.com/static/bundles/metro/Vendor.js/6b3e3ddf6057.js","-1","67563","67563","","text/javascript","High","","","-1","-1","parser","3EB259B26EBB8AC7D3153E5266954FFA","www.instagram.com","67683","1000013971.6","0","100","1","-1","","-1","https://www.instagram.com/","-1","125","/static/bundles/metro/Vendor.js/6b3e3ddf6057.js","-1","","GET","-1","-1","","200","-1","br","Facebook","1716","1473","1602","1602","1716","114","1473","1716","243","6","7","1","0","7","220","True","5","262737","","","16","10","","","",
"157.240.30.174","21","405","344","1000013971.7","","","public,max-age=31536000,immutable","100","211011_11_2D","-1","MEDIUM","","","-1","243","100","-1","-1","31536000","1473","","HTTP/2","100","3","https://www.instagram.com/static/bundles/metro/en_US.js/e0deb25e4efe.js","-1","59154","59154","","text/javascript","High","","","-1","-1","parser","3EB259B26EBB8AC7D3153E5266954FFA","www.instagram.com","59252","1000013971.7","0","100","1","-1","","-1","https://www.instagram.com/","-1","125","/static/bundles/metro/en_US.js/e0deb25e4efe.js","-1","","GET","-1","-1","","200","-1","br","Facebook","1817","1473","1716","1716","1817","101","1473","1817","344","7","8","1","0","9","220","True","7","234147","","","5","","","","",
"157.240.30.174","22","418","980","1000013971.8","","","public,max-age=31536000,immutable","100","211011_11_2D","-1","MEDIUM","","","-1","244","100","-1","-1","31536000","1473","","HTTP/2","100","3","https://www.instagram.com/static/bundles/metro/ConsumerLibCommons.js/557904900b3b.js","-1","311738","311738","","text/javascript","High","","","-1","-1","parser","3EB259B26EBB8AC7D3153E5266954FFA","www.instagram.com","311982","1000013971.8","0","100","1","-1","","-1","https://www.instagram.com/","-1","125","/static/bundles/metro/ConsumerLibCommons.js/557904900b3b.js","-1","","GET","-1","-1","","200","-1","br","Facebook","2453","1473","1717","1717","2453","736","1473","2453","980","8","9","1","0","11","220","True","9","1528067","","","96","11","","","",
"157.240.30.174","23","417","1094","1000013971.9","","","public,max-age=31536000,immutable","100","211011_11_2D","-1","MEDIUM","","","-1","244","100","-1","-1","31536000","1473","","HTTP/2","100","3","https://www.instagram.com/static/bundles/metro/ConsumerUICommons.js/847e54ea3c87.js","-1","133075","133075","","text/javascript","High","","","-1","-1","parser","3EB259B26EBB8AC7D3153E5266954FFA","www.instagram.com","133219","1000013971.9","0","100","1","-1","","-1","https://www.instagram.com/","-1","125","/static/bundles/metro/ConsumerUICommons.js/847e54ea3c87.js","-1","","GET","-1","-1","","200","-1","br","Facebook","2567","1473","1717","1717","2567","850","1473","2567","1094","9","10","1","0","13","220","True","11","633730","","","32","1","","","",
