"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","objectSizeUncompressed","final_base_page","http2_stream_dependency","is_base_page","initiator_function",
"172.217.23.238","","383","70","021D60007741616F453AD381F1425D23","","","public, max-age=2592000","-1","211011_15_1N","3","HIGHEST","","","-1","70","-1","3","-1","","36","80","http/1.1","-1","3","http://google.com/","-1","219","","google.com:80","text/html","VeryHigh","","Wed, 10 Nov 2021 14:20:05 GMT","-1","-1","script","51442D4920280209BF3210D6507CBB3F","google.com","219","021D60007741616F453AD381F1425D23","","-1","0","3","","-1","","33","104","/","-1","51760","GET","0","36","","301","-1","","","106","36","106","106","106","0","3","106","103","0","1","1","0","","","","","","","","",
"216.58.201.68","","387","78","021D60007741616F453AD381F1425D23-1","","","private","-1","211011_15_1N","156","VeryHigh","","","-1","78","-1","156","-1","","188","80","http/1.1","-1","3","http://www.google.com/","-1","231","","www.google.com:80","text/html","VeryHigh","","","-1","-1","script","51442D4920280209BF3210D6507CBB3F","www.google.com","231","021D60007741616F453AD381F1425D23","","-1","0","108","","-1","","32","115","/","-1","56154","GET","48","188","","302","-1","","","266","188","266","266","266","0","108","266","158","1","2","1","0","","","","","","","","",
"216.58.201.68","","408","221","021D60007741616F453AD381F1425D23-2","","","private, max-age=0","100","211011_15_1N","-1","VeryHigh","","","-1","126","-1","267","-1","","361","443","HTTP/2","100","3","https://www.google.com/?gws_rd=ssl","360","55343","55343","ssl/www.google.com:443","text/html","VeryHigh","","-1","-1","-1","script","51442D4920280209BF3210D6507CBB3F","www.google.com","55864","021D60007741616F453AD381F1425D23","0","100","1","-1","","-1","","31","122","/?gws_rd=ssl","298","48906","GET","-1","298","","200","62","br","Google","582","361","487","487","582","95","267","582","314","2","3","1","0","1","256","True","174196","1","0","1","",
"216.58.201.68","137","443","2657","1000020734.4","0","","private, max-age=31536000","100","211011_15_1N","-1","MEDIUM","5969","","-1","2647","100","-1","100","31536000","538","","HTTP/2","-1","3","https://www.google.com/images/branding/googlelogo/1x/googlelogo_color_272x92dp.png","-1","5969","","","image/png","Low","","Mon, 11 Oct 2021 14:20:08 GMT","-1","-1","parser","51442D4920280209BF3210D6507CBB3F","www.google.com","6062","1000020734.4","","100","1","-1","","-1","https://www.google.com/?gws_rd=ssl","-1","122","/images/branding/googlelogo/1x/googlelogo_color_272x92dp.png","-1","","GET","-1","-1","","200","-1","","Google","3195","538","3185","3185","3195","10","538","3195","2657","3","4","1","0","3","147","True","5969","","1","","",
"216.58.201.68","137","395","45","1000020734.5","0","","public, max-age=31536000","100","211011_15_1N","-1","MEDIUM","258","","-1","44","100","-1","100","31428474","539","","HTTP/2","-1","3","https://www.google.com/tia/tia.png","-1","258","","","image/png","Low","","Mon, 10 Oct 2022 08:27:59 GMT","-1","-1","parser","51442D4920280209BF3210D6507CBB3F","www.google.com","637","1000020734.5","","100","1","-1","","-1","https://www.google.com/?gws_rd=ssl","-1","122","/tia/tia.png","-1","","GET","-1","-1","","200","-1","","Google","584","539","583","583","584","1","539","584","45","4","5","1","0","5","147","True","258","","3","","",
"216.58.201.68","137","437","110","1000020734.11","0","","private, max-age=31536000","100","211011_15_1N","-1","MEDIUM","660","","-1","109","100","-1","100","31536000","563","","HTTP/2","-1","3","https://www.google.com/images/searchbox/desktop_searchbox_sprites318_hr.webp","-1","660","","","image/webp","Low","","Mon, 11 Oct 2021 14:20:05 GMT","-1","-1","parser","51442D4920280209BF3210D6507CBB3F","www.google.com","804","1000020734.11","","100","1","-1","","-1","https://www.google.com/?gws_rd=ssl","-1","122","/images/searchbox/desktop_searchbox_sprites318_hr.webp","-1","","GET","-1","-1","","200","-1","","Google","673","563","672","672","673","1","563","673","110","5","6","1","0","7","147","True","660","","5","","",
"216.58.201.68","139","563","55","1000020734.24","","","","-1","211011_15_1N","-1","IDLE","","","-1","55","-1","-1","-1","","580","","HTTP/2","-1","3","https://www.google.com/gen_204?ei=FUhkYZTYK8qRxc8P5OSfkA0&vet=10ahUKEwjUtrXnxsLzAhXKSPEDHWTyB9IQhJAHCBY..s&gl=CZ&pc=SEARCH_HOMEPAGE&isMobile=false","-1","0","","","text/html","VeryLow","2641","","-1","-1","script","51442D4920280209BF3210D6507CBB3F","www.google.com","54","1000020734.24","","-1","1","-1","","-1","https://www.google.com/?gws_rd=ssl","-1","122","/gen_204?ei=FUhkYZTYK8qRxc8P5OSfkA0&vet=10ahUKEwjUtrXnxsLzAhXKSPEDHWTyB9IQhJAHCBY..s&gl=CZ&pc=SEARCH_HOMEPAGE&isMobile=false","-1","","POST","-1","-1","","204","-1","","","635","580","635","635","635","0","580","635","55","6","7","1","0","","","","","","","","ya.log",
"172.217.23.227","137","381","49","1000020734.9","0","","public, max-age=31536000","100","211011_15_1N","-1","MEDIUM","151","","-1","49","100","-1","100","31440114","645","","HTTP/2","-1","3","https://www.gstatic.com/inputtools/images/tia.png","-1","151","","","image/png","Low","","Mon, 10 Oct 2022 11:41:59 GMT","-1","-1","parser","51442D4920280209BF3210D6507CBB3F","www.gstatic.com","470","1000020734.9","","100","1","-1","","-1","https://www.google.com/?gws_rd=ssl","-1","142","/inputtools/images/tia.png","-1","","GET","-1","-1","","200","-1","","Google","694","645","694","694","694","0","645","694","49","7","8","1","0","3","","","151","","","","",
"172.217.23.227","137","414","53","1000020734.10","0","","public, max-age=31536000","100","211011_15_1N","-1","MEDIUM","1785","","-1","50","100","-1","100","31440207","645","","HTTP/2","-1","3","https://www.gstatic.com/images/branding/googlelogo/1x/googlelogo_color_84x28dp.png","-1","1785","","","image/png","Low","","Mon, 10 Oct 2022 11:43:32 GMT","-1","-1","parser","51442D4920280209BF3210D6507CBB3F","www.gstatic.com","2040","1000020734.10","","100","1","-1","","-1","https://www.google.com/?gws_rd=ssl","-1","142","/images/branding/googlelogo/1x/googlelogo_color_84x28dp.png","-1","","GET","-1","-1","","200","-1","","Google","698","645","695","695","698","3","645","698","53","8","9","1","0","5","","","1785","","","","",
"172.217.23.227","214","495","173","1000020734.25","","","public, max-age=31536000","100","211011_15_1N","-1","LOWEST","","","-1","56","100","-1","-1","31440117","645","","HTTP/2","100","3","https://www.gstatic.com/og/_/js/k=og.qtm.en_US.h9qh0-5wguQ.O/rt=j/m=qabr,q_d,qcwid,qapid,qald/exm=qaaw,qadd,qaid,qein,qhaw,qhbr,qhch,qhga,qhid,qhin,qhpr/d=1/ed=1/rs=AA2YrTv8hYdW91t8l5nZ9OM47lsQ8quCgQ","-1","60209","60209","","text/javascript","Low","382","Mon, 10 Oct 2022 11:42:02 GMT","-1","-1","script","51442D4920280209BF3210D6507CBB3F","www.gstatic.com","60353","1000020734.25","0","100","1","-1","","-1","https://www.google.com/?gws_rd=ssl","-1","142","/og/_/js/k=og.qtm.en_US.h9qh0-5wguQ.O/rt=j/m=qabr,q_d,qcwid,qapid,qald/exm=qaaw,qadd,qaid,qein,qhaw,qhbr,qhch,qhga,qhid,qhin,qhpr/d=1/ed=1/rs=AA2YrTv8hYdW91t8l5nZ9OM47lsQ8quCgQ","-1","","GET","-1","-1","","200","-1","gzip","Google","818","645","701","701","818","117","645","818","173","9","10","1","0","7","","","175739","","","","zj",
