"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","objectSizeUncompressed","final_base_page","http2_stream_dependency","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","initiator_function","score_progressive_jpeg","jpeg_scan_count",
"112.124.44.92","","382","310","F710DA415288CD388C0311D450180A57","","","","-1","211011_46_2B","133","HIGHEST","","","-1","310","-1","133","-1","","435","80","http/1.1","-1","3","http://zhanqi.tv/","-1","160","","zhanqi.tv:80","text/html","VeryHigh","","","-1","-1","script","551F35118E3BD02D5E53C9D1D6C8F50D","zhanqi.tv","160","F710DA415288CD388C0311D450180A57","","-1","0","3","","-1","","302","103","/","-1","47812","GET","130","435","","302","-1","","","745","435","745","745","745","0","3","745","742","0","1","1","0","","","","","","","","","","","","",
"140.249.226.225","","396","629","F710DA415288CD388C0311D450180A57-1","","","max-age=20","-1","211011_46_2B","794","VeryHigh","","","-1","627","-1","794","-1","","1423","443","HTTP/2","100","3","https://www.zhanqi.tv/","1423","18814","18814","ssl/www.zhanqi.tv:443","text/html","VeryHigh","","Mon, 11 Oct 2021 14:46:45 GMT","-1","-1","script","551F35118E3BD02D5E53C9D1D6C8F50D","www.zhanqi.tv","19277","F710DA415288CD388C0311D450180A57","0","100","1","747","","-1","","306","117","/","1100","48248","GET","47","1100","","200","323","gzip","","2052","1423","2050","2050","2052","2","747","2052","1305","1","2","1","0","1","256","True","152645","1","0","1","5","","","","",
"150.139.250.237","12","388","1612","1000009261.5","","","max-age=86400","0","211011_46_2B","-1","HIGHEST","","","-1","1525","50","-1","-1","56798","2989","","HTTP/2","100","3","https://static.zhanqi.tv/assets/web/v3/static/c/index/new-index.css?v=1dd08e3d","-1","68118","68118","","text/css","VeryHigh","","Tue, 12 Oct 2021 06:33:22 GMT","-1","-1","parser","551F35118E3BD02D5E53C9D1D6C8F50D","static.zhanqi.tv","68394","1000009261.5","0","100","1","-1","","-1","https://www.zhanqi.tv/","-1","214","/assets/web/v3/static/c/index/new-index.css?v=1dd08e3d","-1","","GET","-1","-1","","200","-1","gzip","","4601","2989","4514","4514","4601","87","2989","4601","1612","2","3","1","0","5","","","148590","","","","","","","","",
"150.139.250.237","13","388","294","1000009261.6","","","max-age=86400","0","211011_46_2B","-1","HIGHEST","","","-1","293","50","-1","-1","56798","2989","","HTTP/2","100","3","https://static.zhanqi.tv/assets/web/v3/static/c/pagetransitions.css?v=08710026","-1","525","525","","text/css","VeryHigh","","Tue, 12 Oct 2021 06:33:22 GMT","-1","-1","parser","551F35118E3BD02D5E53C9D1D6C8F50D","static.zhanqi.tv","949","1000009261.6","0","100","1","-1","","-1","https://www.zhanqi.tv/","-1","214","/assets/web/v3/static/c/pagetransitions.css?v=08710026","-1","","GET","-1","-1","","200","-1","gzip","","3283","2989","3282","3282","3283","1","2989","3283","294","3","4","1","0","3","","","3199","","","","","","","","",
"150.139.250.237","38","367","1748","1000009261.7","","","max-age=86400","0","211011_46_2B","-1","MEDIUM","","","-1","1641","50","-1","-1","50706","2989","","HTTP/2","100","3","https://static.zhanqi.tv/assets/web/v3/static/j/pkg/zhanqi.js?v=60f7069f","-1","79523","79523","","application/javascript","High","","Tue, 12 Oct 2021 04:51:50 GMT","-1","-1","parser","551F35118E3BD02D5E53C9D1D6C8F50D","static.zhanqi.tv","79896","1000009261.7","0","100","1","-1","","-1","https://www.zhanqi.tv/","-1","214","/assets/web/v3/static/j/pkg/zhanqi.js?v=60f7069f","-1","","GET","-1","-1","","200","-1","gzip","","4737","2989","4630","4630","4737","107","2989","4737","1748","4","5","1","0","9","","","247271","","","","59","115","","","",
"150.139.250.237","304","378","1758","1000009261.8","","","max-age=86400","0","211011_46_2B","-1","MEDIUM","","","-1","1757","50","-1","-1","50268","2989","","HTTP/2","100","3","https://static.zhanqi.tv/assets/web/v3/static/j/public/4.0/topLeftNav.js?v=5584240f","-1","7624","7624","","application/javascript","High","","Tue, 12 Oct 2021 04:44:32 GMT","-1","-1","parser","551F35118E3BD02D5E53C9D1D6C8F50D","static.zhanqi.tv","7889","1000009261.8","0","100","1","-1","","-1","https://www.zhanqi.tv/","-1","214","/assets/web/v3/static/j/public/4.0/topLeftNav.js?v=5584240f","-1","","GET","-1","-1","","200","-1","gzip","","4747","2989","4746","4746","4747","1","2989","4747","1758","5","6","1","0","7","","","26757","","","","2","","","","",
"150.139.250.237","10","384","1498","1000009261.4","","","max-age=86400","0","211011_46_2B","2405","HIGHEST","","","-1","591","50","2405","-1","49050","2989","443","HTTP/2","100","3","https://static.zhanqi.tv/assets/web/v3/static/c/zhanqi-base.css?v=67bbeb3f","2989","220096","220096","ssl/static.zhanqi.tv:443","text/css","VeryHigh","","Tue, 12 Oct 2021 04:24:14 GMT","-1","-1","parser","551F35118E3BD02D5E53C9D1D6C8F50D","static.zhanqi.tv","220619","1000009261.4","0","100","1","2060","","-1","https://www.zhanqi.tv/","286","214","/assets/web/v3/static/c/zhanqi-base.css?v=67bbeb3f","2691","58502","GET","345","2691","","200","298","gzip","","4487","2989","3580","3580","4487","907","2060","4487","2427","6","7","1","0","1","256","True","888325","","0","","","","","","",
"150.139.250.237","2081","379","1515","1000009261.62","","","max-age=86400","0","211011_46_2B","-1","LOW","","","-1","1514","50","-1","-1","56798","3285","","HTTP/2","100","3","https://static.zhanqi.tv/assets/web/v3/static/j/web3.0/indexSocketInit.js?v=42195016","-1","1141","1141","","application/javascript","Medium","","Tue, 12 Oct 2021 06:33:22 GMT","-1","-1","parser","551F35118E3BD02D5E53C9D1D6C8F50D","static.zhanqi.tv","1369","1000009261.62","0","100","1","-1","","-1","https://www.zhanqi.tv/","-1","214","/assets/web/v3/static/j/web3.0/indexSocketInit.js?v=42195016","-1","","GET","-1","-1","","200","-1","gzip","","4800","3285","4799","4799","4800","1","3285","4800","1515","7","8","1","0","11","183","True","2464","","9","","0","","","","",
"150.139.250.237","2082","369","1510","1000009261.63","","","max-age=86400","0","211011_46_2B","-1","LOW","","","-1","1510","50","-1","-1","55234","3285","","HTTP/2","100","3","https://static.zhanqi.tv/assets/web/v3/static/j/yp/yp-socket.js?v=f00e896d","-1","6039","6039","","application/javascript","Medium","","Tue, 12 Oct 2021 06:07:18 GMT","-1","-1","parser","551F35118E3BD02D5E53C9D1D6C8F50D","static.zhanqi.tv","6326","1000009261.63","0","100","1","-1","","-1","https://www.zhanqi.tv/","-1","214","/assets/web/v3/static/j/yp/yp-socket.js?v=f00e896d","-1","","GET","-1","-1","","200","-1","gzip","","4795","3285","4795","4795","4795","0","3285","4795","1510","8","9","1","0","13","183","True","16651","","11","","5","0","","","",
"150.139.250.237","2083","373","1467","1000009261.64","","","max-age=86400","0","211011_46_2B","-1","LOW","","","-1","1467","50","-1","-1","81541","3285","","HTTP/2","100","3","https://static.zhanqi.tv/assets/web/v3/static/j/public/getviewer.js?v=57cf129a","-1","266","266","","application/javascript","Medium","","Tue, 12 Oct 2021 13:25:45 GMT","-1","-1","parser","551F35118E3BD02D5E53C9D1D6C8F50D","static.zhanqi.tv","552","1000009261.64","0","100","1","-1","","-1","https://www.zhanqi.tv/","-1","214","/assets/web/v3/static/j/public/getviewer.js?v=57cf129a","-1","","GET","-1","-1","","200","-1","gzip","","4752","3285","4752","4752","4752","0","3285","4752","1467","9","10","1","0","15","183","True","414","","13","","718","","","","",
