"ip_addr","initiator_line","bytesOut","load_ms","final_base_page","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","objectSizeUncompressed","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","is_base_page","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","cpu.EvaluateScript","cpu.FunctionCall","initiator_function",
"220.181.38.251","","382","283","1","7696E70C1F3CBA8A131E3D997AED5684","","","max-age=86400","-1","211011_5X_1S","38","HIGHEST","","","-1","282","-1","38","-1","","81","582","80","http/1.1","-1","3","http://baidu.com/","-1","81","","baidu.com:80","text/html","VeryHigh","","Tue, 12 Oct 2021 14:25:45 GMT","-1","-1","script","B2E82974EBD55909CD264AB055AF2189","baidu.com","386","7696E70C1F3CBA8A131E3D997AED5684","","100","0","3","","-1","","544","104","/","-1","48098","GET","35","582","","200","-1","","1","","865","582","864","864","865","1","3","865","862","0","1","1","0","","","",
"220.181.38.251","","345","281","","1000030614.4","","","","0","211011_5X_1S","-1","MEDIUM","","","-1","280","0","-1","-1","0","318","878","80","http/1.1","-1","3","http://baidu.com/favicon.ico","-1","318","","baidu.com:80","text/plain","High","","","-1","-1","other","B2E82974EBD55909CD264AB055AF2189","baidu.com","556","1000030614.4","","100","0","-1","","-1","","-1","104","/favicon.ico","-1","48098","GET","-1","-1","","200","-1","","","","1159","878","1158","1158","1159","1","878","1159","281","1","2","1","0","","","",
"103.235.46.39","","414","1780","","ACA3FE794E1D864B740DEAB55B6B8B39","","","private","-1","211011_5X_1S","911","HIGHEST","","","-1","365","-1","913","-1","","322603","1255","80","http/1.1","100","3","http://www.baidu.com/","-1","82651","82651","www.baidu.com:80","text/html","VeryHigh","","Mon, 11 Oct 2021 14:25:42 GMT","-1","-1","other","B2E82974EBD55909CD264AB055AF2189","www.baidu.com","82651","ACA3FE794E1D864B740DEAB55B6B8B39","0","100","0","874","","-1","","342","126","/","-1","57080","GET","37","1255","","200","-1","gzip","","","3035","1255","1620","1620","3035","1415","874","3035","2159","2","3","1","0","21","2","",
"103.235.46.39","72","596","379","","1000030614.20","0","","max-age=315360000","0","211011_5X_1S","-1","MEDIUM","15444","","-1","359","100","913","100","315360000","15444","2716","80","http/1.1","-1","3","http://www.baidu.com/img/PCtm_d9c8750bed0b3c7d089fa7d55720d6cf.png","-1","15444","","www.baidu.com:80","image/png","Low","","Thu, 09 Oct 2031 14:25:47 GMT","-1","-1","parser","B2E82974EBD55909CD264AB055AF2189","www.baidu.com","15734","1000030614.20","","100","0","-1","","-1","http://www.baidu.com/","346","125","/img/PCtm_d9c8750bed0b3c7d089fa7d55720d6cf.png","-1","57078","GET","-1","1259","","200","-1","","","","3095","2716","3075","3075","3095","20","913","3095","725","3","4","1","0","","","",
"103.235.46.39","72","596","423","","1000030614.22","0","","max-age=315360000","0","211011_5X_1S","-1","LOWEST","24774","","-1","384","100","1128","100","315360000","24774","2716","80","http/1.1","-1","3","http://www.baidu.com/img/PCfb_5bf082d29588c07f842ccde3f97243ea.png","-1","24774","","www.baidu.com:80","image/png","Low","","Thu, 09 Oct 2031 14:25:47 GMT","-1","-1","parser","B2E82974EBD55909CD264AB055AF2189","www.baidu.com","25064","1000030614.22","","100","0","-1","","-1","http://www.baidu.com/","355","129","/img/PCfb_5bf082d29588c07f842ccde3f97243ea.png","-1","57082","GET","-1","1483","","200","-1","","","","3139","2716","3100","3100","3139","39","1128","3139","778","4","5","1","0","","","",
"103.235.46.39","72","582","358","","1000030614.23","0","","max-age=315360000","0","211011_5X_1S","-1","LOWEST","6617","","-1","349","100","-1","100","315360000","6617","3035","80","http/1.1","-1","3","http://www.baidu.com/img/flexible/logo/pc/result.png","-1","6617","","www.baidu.com:80","image/png","Low","","Thu, 09 Oct 2031 14:25:48 GMT","-1","-1","parser","B2E82974EBD55909CD264AB055AF2189","www.baidu.com","6906","1000030614.23","","100","0","-1","","-1","http://www.baidu.com/","-1","126","/img/flexible/logo/pc/result.png","-1","57080","GET","-1","-1","","200","-1","","","","3393","3035","3384","3384","3393","9","3035","3393","358","5","6","1","0","","","",
"103.235.46.39","72","584","370","","1000030614.24","0","","max-age=315360000","0","211011_5X_1S","-1","LOWEST","12802","","-1","354","100","2715","100","315360000","12802","3057","80","http/1.1","-1","3","http://www.baidu.com/img/flexible/logo/pc/result@2.png","-1","12802","","www.baidu.com:80","image/png","Low","","Thu, 09 Oct 2031 14:25:48 GMT","-1","-1","parser","B2E82974EBD55909CD264AB055AF2189","www.baidu.com","13092","1000030614.24","","100","0","-1","","-1","http://www.baidu.com/","342","189","/img/flexible/logo/pc/result@2.png","-1","57084","GET","-1","3057","","200","-1","","","","3427","3057","3411","3411","3427","16","2715","3427","712","6","7","1","0","","","",
"103.235.46.39","72","576","381","","1000030614.25","0","","max-age=315360000","0","211011_5X_1S","-1","LOWEST","7707","","-1","370","100","2715","100","315360000","7707","3059","80","http/1.1","-1","3","http://www.baidu.com/img/flexible/logo/pc/peak-result.png","-1","7707","","www.baidu.com:80","image/png","Low","","Thu, 09 Oct 2031 14:25:48 GMT","-1","-1","parser","B2E82974EBD55909CD264AB055AF2189","www.baidu.com","7996","1000030614.25","","100","0","-1","","-1","http://www.baidu.com/","344","193","/img/flexible/logo/pc/peak-result.png","-1","57086","GET","-1","3059","","200","-1","","","","3440","3059","3429","3429","3440","11","2715","3440","725","7","8","1","0","","","",
"203.56.69.38","297","521","392","","1000030614.53","","","max-age=3600","0","211011_5X_1S","3758","LOWEST","","","-1","371","0","3759","-1","-26851","57627","4102","80","http/1.1","100","3","http://hectorstatic.baidu.com/cd37ed75a9387c5b.js","-1","14819","14819","hectorstatic.baidu.com:80","text/javascript","Low","","Mon, 11 Oct 2021 06:58:18 GMT","-1","-1","parser","B2E82974EBD55909CD264AB055AF2189","hectorstatic.baidu.com","15307","1000030614.53","0","100","0","3427","","-1","http://www.baidu.com/","343","232","/cd37ed75a9387c5b.js","-1","39492","GET","331","4102","","200","-1","gzip","","","4494","4102","4473","4473","4494","21","3427","4494","1066","8","9","1","0","30","","",
"110.242.69.147","217","355","681","","1000030614.44","","","max-age=2592000","0","211011_5X_1S","4010","MEDIUM","","","-1","223","100","4011","-1","2592000","143929","4221","80","http/1.1","100","3","http://ss.bdimg.com/static/superman/js/lib/jquery-1-edb203c114.10.2.js","-1","48256","48256","ss.bdimg.com:80","application/x-javascript","Medium","","Wed, 10 Nov 2021 14:25:49 GMT","-1","-1","parser","B2E82974EBD55909CD264AB055AF2189","ss.bdimg.com","48256","1000030614.44","0","100","0","2712","","-1","http://www.baidu.com/","209","241","/static/superman/js/lib/jquery-1-edb203c114.10.2.js","-1","42824","GET","1298","4220","","200","-1","gzip","","","4902","4221","4444","4444","4902","458","2712","4902","2188","9","10","1","0","14","16","",
