"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","objectSizeUncompressed","final_base_page","http2_stream_dependency","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","score_progressive_jpeg","jpeg_scan_count","initiator_function",
"176.32.103.205","","383","131","769970E111F99CA5DD708C2EF24A06CA","","","","-1","211011_77_20","37","HIGHEST","","","-1","131","-1","37","-1","","165","80","http/1.1","-1","3","http://amazon.com/","-1","179","","amazon.com:80","text/html","VeryHigh","","","-1","-1","script","CB864C26FBEA9C7EB7FCA5DED4FD6A2F","amazon.com","179","769970E111F99CA5DD708C2EF24A06CA","","-1","0","2","","-1","","128","108","/","-1","34474","GET","35","165","","301","-1","","","296","165","296","296","296","0","2","296","294","0","1","1","0","","","","","","","","","","","","",
"176.32.103.205","","387","133","769970E111F99CA5DD708C2EF24A06CA-1","","","","-1","211011_77_20","-1","VeryHigh","","","-1","133","-1","298","-1","","571","443","http/1.1","-1","3","https://amazon.com/","570","179","","ssl/amazon.com:443","text/html","VeryHigh","","","-1","-1","script","CB864C26FBEA9C7EB7FCA5DED4FD6A2F","amazon.com","179","769970E111F99CA5DD708C2EF24A06CA","","-1","1","-1","","-1","","129","115","/","427","57640","GET","-1","427","","301","143","","","704","571","704","704","704","0","298","704","405","1","2","1","0","","","","","","","","","","","","",
"162.219.225.118","","397","541","769970E111F99CA5DD708C2EF24A06CA-2","","","no-cache","100","211011_77_20","749","VeryHigh","","","-1","191","-1","749","-1","","842","443","HTTP/2","100","3","https://www.amazon.com/","842","115479","115479","ssl/www.amazon.com:443","text/html","VeryHigh","","-1","-1","-1","script","CB864C26FBEA9C7EB7FCA5DED4FD6A2F","www.amazon.com","115479","769970E111F99CA5DD708C2EF24A06CA","0","100","1","705","","-1","","39","124","/","788","42782","GET","44","788","","200","54","gzip","Fastly","1383","842","1033","1033","1383","350","705","1383","678","2","3","1","0","1","256","True","503635","1","0","1","84","516","","","",
"151.101.193.16","79","1090","162","1000015023.4","","","max-age=630720000,public","100","211011_77_20","1138","HIGHEST","","","-1","114","100","1140","-1","627666581","1274","443","HTTP/2","100","3","https://images-na.ssl-images-amazon.com/images/I/11EIQ5IGqaL._RC%7C01ZTHTZObnL.css,41jsiPzxYxL.css,31qGOnSAToL.css,013z33uKh2L.css,017DsKjNQJL.css,0131vqwP5UL.css,41EWOOlBJ9L.css,11TIuySqr6L.css,01ElnPiDxWL.css,11bGSgD5pDL.css,01Dm5eKVxwL.css,01IdKcBuAdL.css,01y-XAlI+2L.css,21N4kUH7pxL.css,01oDR3IULNL.css,41-PwE7+H0L.css,21j0IlW7xKL.css,01XPHJk60-L.css,116uEeuY3+L.css,21aPhFy+riL.css,11gneA3MtJL.css,21fecG8pUzL.css,01ulGzBW88L.css,01CFUgsA-YL.css,31C80IiXalL.css,11qour3ND0L.css,11gKCCKQV+L.css,11061HxnEvL.css,11oHt2HYxnL.css,013RDhw9hoL.css,11JQtnL-6eL.css,11RKoGSb-gL.css,11jtXRmppwL.css,01QrWuRrZ-L.css,21zuRztKjtL.css,11QyqG8yiqL.css,01890+Vwk8L.css,11K24eOJg4L.css,11F2+OBzLyL.css,11Y05DTEL6L.css,01cbS3UK11L.css,21F85am0yFL.css,01giMEP+djL.css_.css?AUIClients/AmazonUI","1274","27834","27834","ssl/images-na.ssl-images-amazon.com:443","text/css","VeryHigh","","Sun, 01 Sep 2041 05:38:04 GMT","-1","-1","parser","CB864C26FBEA9C7EB7FCA5DED4FD6A2F","images-na.ssl-images-amazon.com","28195","1000015023.4","0","100","1","1137","","-1","https://www.amazon.com/","38","134","/images/I/11EIQ5IGqaL._RC%7C01ZTHTZObnL.css,41jsiPzxYxL.css,31qGOnSAToL.css,013z33uKh2L.css,017DsKjNQJL.css,0131vqwP5UL.css,41EWOOlBJ9L.css,11TIuySqr6L.css,01ElnPiDxWL.css,11bGSgD5pDL.css,01Dm5eKVxwL.css,01IdKcBuAdL.css,01y-XAlI+2L.css,21N4kUH7pxL.css,01oDR3IULNL.css,41-PwE7+H0L.css,21j0IlW7xKL.css,01XPHJk60-L.css,116uEeuY3+L.css,21aPhFy+riL.css,11gneA3MtJL.css,21fecG8pUzL.css,01ulGzBW88L.css,01CFUgsA-YL.css,31C80IiXalL.css,11qour3ND0L.css,11gKCCKQV+L.css,11061HxnEvL.css,11oHt2HYxnL.css,013RDhw9hoL.css,11JQtnL-6eL.css,11RKoGSb-gL.css,11jtXRmppwL.css,01QrWuRrZ-L.css,21zuRztKjtL.css,11QyqG8yiqL.css,01890+Vwk8L.css,11K24eOJg4L.css,11F2+OBzLyL.css,11Y05DTEL6L.css,01cbS3UK11L.css,21F85am0yFL.css,01giMEP+djL.css_.css?AUIClients/AmazonUI","1178","44606","GET","1","1178","","200","96","gzip","Fastly","1436","1274","1388","1388","1436","48","1137","1436","297","3","4","1","0","1","256","True","181035","","0","","","","","","",
"151.101.193.16","133","614","246","1000015023.6","","","max-age=630720000,public","100","211011_77_20","-1","HIGHEST","","","-1","167","100","-1","-1","629140794","1274","","HTTP/2","100","3","https://images-na.ssl-images-amazon.com/images/I/41KBYOkTjIL._RC%7C71pxb+E1-0L.css,31XrH8OuUrL.css,31ZjzeSAHqL.css,31YZpDCYJPL.css,21MKjoYL8wL.css,41OiMQkB+EL.css,01yCq3WXEcL.css,11kO7yAgiQL.css,31OvHRW+XiL.css,01XHMOHpK1L.css,01ucgi+I44L.css,31jJwAF+yLL.css_.css?AUIClients/NavDesktopUberAsset&eRSuagD1","-1","44786","44786","","text/css","VeryHigh","","Mon, 16 Sep 2041 21:05:45 GMT","-1","-1","parser","CB864C26FBEA9C7EB7FCA5DED4FD6A2F","images-na.ssl-images-amazon.com","44991","1000015023.6","0","100","1","-1","","-1","https://www.amazon.com/","-1","134","/images/I/41KBYOkTjIL._RC%7C71pxb+E1-0L.css,31XrH8OuUrL.css,31ZjzeSAHqL.css,31YZpDCYJPL.css,21MKjoYL8wL.css,41OiMQkB+EL.css,01yCq3WXEcL.css,11kO7yAgiQL.css,31OvHRW+XiL.css,01XHMOHpK1L.css,01ucgi+I44L.css,31jJwAF+yLL.css_.css?AUIClients/NavDesktopUberAsset&eRSuagD1","-1","","GET","-1","-1","","200","-1","gzip","Fastly","1520","1274","1441","1441","1520","79","1274","1520","246","4","5","1","0","3","","","314602","","","","","","","","",
"151.101.193.16","136","409","256","1000015023.7","","","max-age=630720000,public","100","211011_77_20","-1","HIGHEST","","","-1","217","100","-1","-1","627816207","1274","","HTTP/2","100","3","https://images-na.ssl-images-amazon.com/images/I/41jYP-J89aL.css?AUIClients/AmazonGatewayAuiAssets","-1","4816","4816","","text/css","VeryHigh","","Mon, 02 Sep 2041 23:56:54 GMT","-1","-1","parser","CB864C26FBEA9C7EB7FCA5DED4FD6A2F","images-na.ssl-images-amazon.com","4981","1000015023.7","0","100","1","-1","","-1","https://www.amazon.com/","-1","134","/images/I/41jYP-J89aL.css?AUIClients/AmazonGatewayAuiAssets","-1","","GET","-1","-1","","200","-1","gzip","Fastly","1530","1274","1491","1491","1530","39","1274","1530","256","5","6","1","0","5","","","18141","","","","","","","","",
"151.101.193.16","1316","480","273","1000015023.74","0","","max-age=630720000,public","100","211011_77_20","-1","LOWEST","18918","","-1","206","100","-1","100","629877866","1286","","HTTP/2","-1","3","https://images-na.ssl-images-amazon.com/images/G/01/AmazonExports/Fuji/2021/September/DashboardCards/Fuji_Dash_SmartWatch_1X._SY304_CB639922137_.jpg","-1","18918","","","image/jpeg","Low","","Thu, 26 Sep 2041 20:37:54 GMT","-1","-1","parser","CB864C26FBEA9C7EB7FCA5DED4FD6A2F","images-na.ssl-images-amazon.com","19119","1000015023.74","","100","1","-1","","-1","https://www.amazon.com/","-1","134","/images/G/01/AmazonExports/Fuji/2021/September/DashboardCards/Fuji_Dash_SmartWatch_1X._SY304_CB639922137_.jpg","-1","","GET","-1","-1","","200","-1","","Fastly","1559","1286","1492","1492","1559","67","1286","1559","273","6","7","1","0","7","147","True","18918","","5","","","","0","1","",
"151.101.193.16","1323","477","331","1000015023.75","0","","max-age=630720000,public","100","211011_77_20","-1","LOWEST","19148","","-1","206","100","-1","100","629630223","1286","","HTTP/2","-1","3","https://images-na.ssl-images-amazon.com/images/G/01/AmazonExports/Fuji/2021/September/DashboardCards/Fuji_Dash_Fitness_1X._SY304_CB639748186_.jpg","-1","19148","","","image/jpeg","Low","","Mon, 23 Sep 2041 23:50:30 GMT","-1","-1","parser","CB864C26FBEA9C7EB7FCA5DED4FD6A2F","images-na.ssl-images-amazon.com","19324","1000015023.75","","100","1","-1","","-1","https://www.amazon.com/","-1","134","/images/G/01/AmazonExports/Fuji/2021/September/DashboardCards/Fuji_Dash_Fitness_1X._SY304_CB639748186_.jpg","-1","","GET","-1","-1","","200","-1","","Fastly","1617","1286","1492","1492","1617","125","1286","1617","331","7","8","1","0","9","147","True","19148","","7","","","","100","7","",
"151.101.193.16","1338","474","315","1000015023.84","0","","max-age=630720000,public","100","211011_77_20","-1","LOWEST","13437","","-1","189","100","-1","100","629630107","1303","","HTTP/2","-1","3","https://images-na.ssl-images-amazon.com/images/G/01/AmazonExports/Fuji/2021/September/DashboardCards/Fuji_Dash_Pets_1X._SY304_CB639746743_.jpg","-1","13437","","","image/jpeg","Low","","Mon, 23 Sep 2041 23:48:18 GMT","-1","-1","parser","CB864C26FBEA9C7EB7FCA5DED4FD6A2F","images-na.ssl-images-amazon.com","13624","1000015023.84","","100","1","-1","","-1","https://www.amazon.com/","-1","134","/images/G/01/AmazonExports/Fuji/2021/September/DashboardCards/Fuji_Dash_Pets_1X._SY304_CB639746743_.jpg","-1","","GET","-1","-1","","200","-1","","Fastly","1618","1303","1492","1492","1618","126","1303","1618","315","8","9","1","0","11","147","True","13437","","9","","","","100","7","",
"151.101.193.16","1342","474","367","1000015023.85","0","","max-age=630720000,public","100","211011_77_20","-1","LOWEST","17089","","-1","190","100","-1","100","629630427","1303","","HTTP/2","-1","3","https://images-na.ssl-images-amazon.com/images/G/01/AmazonExports/Fuji/2021/September/DashboardCards/Fuji_Dash_Toys_1X._SY304_CB639759658_.jpg","-1","17089","","","image/jpeg","Low","","Mon, 23 Sep 2041 23:53:54 GMT","-1","-1","parser","CB864C26FBEA9C7EB7FCA5DED4FD6A2F","images-na.ssl-images-amazon.com","17247","1000015023.85","","100","1","-1","","-1","https://www.amazon.com/","-1","134","/images/G/01/AmazonExports/Fuji/2021/September/DashboardCards/Fuji_Dash_Toys_1X._SY304_CB639759658_.jpg","-1","","GET","-1","-1","","200","-1","","Fastly","1670","1303","1493","1493","1670","177","1303","1670","367","9","10","1","0","13","147","True","17089","","11","","","","100","6","",
