"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","http2_stream_dependency","objectSizeUncompressed","final_base_page","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","initiator_function","score_progressive_jpeg","jpeg_scan_count",
"36.51.254.228","","382","282","C6C8549C3576C881CEA503A193102EAF","","","","-1","211011_A1_23","400","HIGHEST","","","-1","282","-1","400","-1","","678","80","http/1.1","-1","3","http://weibo.com/","-1","215","","weibo.com:80","text/html","VeryHigh","","","-1","-1","script","BB0E7BE4D9C3BC93EA87D8BABFDB6C03","weibo.com","215","C6C8549C3576C881CEA503A193102EAF","","-1","0","3","","-1","","278","108","/","-1","39512","GET","397","678","","302","-1","","","960","678","960","960","960","0","3","960","957","0","1","1","0","","","","","","","","","","","","",
"36.51.254.228","","392","362","C6C8549C3576C881CEA503A193102EAF-1","","","no-cache, must-revalidate","-1","211011_A1_23","-1","VeryHigh","","","-1","362","-1","962","-1","","1522","443","HTTP/2","-1","3","https://weibo.com/","1522","0","","ssl/weibo.com:443","text/html","VeryHigh","","Mon, 26 Jul 1997 05:00:00 GMT","-1","-1","script","BB0E7BE4D9C3BC93EA87D8BABFDB6C03","weibo.com","0","C6C8549C3576C881CEA503A193102EAF","","-1","1","-1","","-1","","274","117","/","1236","41054","GET","-1","1236","","302","286","","","1884","1522","1884","1884","1884","0","962","1884","922","1","2","1","0","1","256","True","0","","","","","","","","",
"36.51.254.228","","390","297","C6C8549C3576C881CEA503A193102EAF-2","","","","-1","211011_A1_23","-1","VeryHigh","","","-1","297","-1","400","-1","","1886","80","http/1.1","-1","3","http://weibo.com/overseas","-1","215","","weibo.com:80","text/html","VeryHigh","","","-1","-1","script","BB0E7BE4D9C3BC93EA87D8BABFDB6C03","weibo.com","215","C6C8549C3576C881CEA503A193102EAF","","-1","0","-1","","-1","","294","104","/overseas","-1","39510","GET","-1","694","","302","-1","","","2183","1886","2183","2183","2183","0","400","2183","591","2","3","1","0","","","","","","","","","","","","",
"36.51.254.228","","400","520","C6C8549C3576C881CEA503A193102EAF-3","","","no-cache, must-revalidate","-1","211011_A1_23","-1","VeryHigh","","","-1","472","-1","-1","-1","","2185","","HTTP/2","100","3","https://weibo.com/overseas","-1","18317","18317","","text/html","VeryHigh","","Mon, 26 Jul 1997 05:00:00 GMT","-1","-1","script","BB0E7BE4D9C3BC93EA87D8BABFDB6C03","weibo.com","18317","C6C8549C3576C881CEA503A193102EAF","0","100","1","-1","","-1","","-1","117","/overseas","-1","","GET","-1","-1","","200","-1","gzip","","2705","2185","2657","2657","2705","48","2185","2705","520","3","4","1","0","3","256","True","0","93767","1","1","12","44","","","",
"79.133.176.224","54","369","203","1000022388.7","","","max-age=1296000","0","211011_A1_23","3250","MEDIUM","","","-1","59","100","3251","-1","1293809","3376","443","HTTP/2","100","3","https://js.t.sinajs.cn/t6/home/js/pl/top/topInit.js?version=2021101122","3376","69177","69177","ssl/js.t.sinajs.cn:443","application/x-javascript","High","","Tue, 26 Oct 2021 14:00:01 GMT","-1","-1","parser","BB0E7BE4D9C3BC93EA87D8BABFDB6C03","js.t.sinajs.cn","70096","1000022388.7","0","100","1","2667","","-1","https://weibo.com/overseas","53","164","/t6/home/js/pl/top/topInit.js?version=2021101122","3304","34644","GET","583","3304","","200","72","gzip","","3579","3376","3435","3435","3579","144","2667","3579","911","4","5","1","0","1","220","True","0","200022","","","31","9","","","",
"79.133.176.224","24","391","151","1000022388.4","","","max-age=1296000","0","211011_A1_23","3332","HIGHEST","","","-1","78","100","3333","-1","1293812","3512","443","HTTP/2","100","3","https://img.t.sinajs.cn/t6/style/css/module/base/frame.css?version=2021101122","3511","44211","44211","ssl/img.t.sinajs.cn:443","text/css","VeryHigh","","Tue, 26 Oct 2021 14:00:00 GMT","-1","-1","parser","BB0E7BE4D9C3BC93EA87D8BABFDB6C03","img.t.sinajs.cn","44877","1000022388.4","0","100","1","2664","","-1","https://weibo.com/overseas","50","165","/t6/style/css/module/base/frame.css?version=2021101122","3383","34646","GET","668","3383","","200","128","gzip","","3663","3512","3590","3590","3663","73","2664","3663","997","5","6","1","0","3","","","","193140","","","","","","","",
"79.133.176.224","25","395","178","1000022388.5","","","max-age=1296000","0","211011_A1_23","-1","HIGHEST","","","-1","150","100","3333","-1","1293813","3516","443","HTTP/2","100","3","https://img.t.sinajs.cn/t6/style/css/pages/growth/login_v5.css?version=2021101122","3516","17561","17561","ssl/img.t.sinajs.cn:443","text/css","VeryHigh","","Tue, 26 Oct 2021 14:00:00 GMT","-1","-1","parser","BB0E7BE4D9C3BC93EA87D8BABFDB6C03","img.t.sinajs.cn","18093","1000022388.5","0","100","1","-1","","-1","https://weibo.com/overseas","51","166","/t6/style/css/pages/growth/login_v5.css?version=2021101122","3384","34648","GET","-1","3384","","200","132","gzip","","3694","3516","3666","3666","3694","28","3333","3694","361","6","7","1","0","5","","","","53639","","","","","","","",
"79.133.176.224","26","381","171","1000022388.6","","","max-age=1296000","0","211011_A1_23","-1","HIGHEST","","","-1","171","100","3333","-1","1293812","3526","443","HTTP/2","100","3","https://img.t.sinajs.cn/t6/skin/default/skin.css?version=2021101122","3525","1078","1078","ssl/img.t.sinajs.cn:443","text/css","VeryHigh","","Tue, 26 Oct 2021 14:00:00 GMT","-1","-1","parser","BB0E7BE4D9C3BC93EA87D8BABFDB6C03","img.t.sinajs.cn","1567","1000022388.6","0","100","1","-1","","-1","https://weibo.com/overseas","59","167","/t6/skin/default/skin.css?version=2021101122","3392","34650","GET","-1","3392","","200","133","gzip","","3697","3526","3697","3697","3697","0","3333","3697","363","7","8","1","0","7","","","","3335","","","","","","","",
"79.133.176.224","132","369","231","1000022388.13","","","max-age=1296000","0","211011_A1_23","-1","MEDIUM","","","-1","148","100","-1","-1","1293814","3582","","HTTP/2","100","3","https://js.t.sinajs.cn/t5/register/js/v6/pl/base.js?version=2021101122","-1","69093","69093","","application/x-javascript","Medium","","Tue, 26 Oct 2021 14:00:01 GMT","-1","-1","parser","BB0E7BE4D9C3BC93EA87D8BABFDB6C03","js.t.sinajs.cn","69916","1000022388.13","0","100","1","-1","","-1","https://weibo.com/overseas","-1","164","/t5/register/js/v6/pl/base.js?version=2021101122","-1","","GET","-1","-1","","200","-1","gzip","","3813","3582","3730","3730","3813","83","3582","3813","231","8","9","1","0","9","183","True","7","194856","","","20","13","","","",
"79.133.176.224","86","400","117","1000022388.8","0","","max-age=1296000","0","211011_A1_23","-1","LOWEST","430","","-1","116","100","-1","100","910671","3698","","HTTP/2","-1","3","https://img.t.sinajs.cn/t6/style/images/common/footer_code_v2.png","-1","430","","","image/png","Low","","Sun, 10 Oct 2021 05:35:02 GMT","-1","-1","parser","BB0E7BE4D9C3BC93EA87D8BABFDB6C03","img.t.sinajs.cn","1021","1000022388.8","","100","1","-1","","-1","https://weibo.com/overseas","-1","164","/t6/style/images/common/footer_code_v2.png","-1","","GET","-1","-1","","200","-1","","","3815","3698","3814","3814","3815","1","3698","3815","117","9","10","1","0","11","","","","430","","","","","","","",
