"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","final_base_page","objectSizeUncompressed","is_base_page","cpu.EvaluateScript","cpu.FunctionCall",
"91.198.174.192","","386","54","988D5B97B6B27AA9BC3BF859E56029D4","","","","-1","211011_AQ_22","51","HIGHEST","","","-1","54","-1","51","-1","","102","80","http/1.1","-1","3","http://wikipedia.org/","-1","0","","wikipedia.org:80","","VeryHigh","","","-1","-1","script","52B7E0F6E71CB744B7D68C1D55375817","wikipedia.org","0","988D5B97B6B27AA9BC3BF859E56029D4","","-1","0","3","","-1","","50","108","/","-1","40842","GET","48","101","","301","-1","","","156","102","156","156","156","0","3","156","152","0","1","1","0","","","","","","",
"91.198.174.192","","396","55","988D5B97B6B27AA9BC3BF859E56029D4-1","","","","-1","211011_AQ_22","-1","VeryHigh","","","-1","55","-1","157","-1","","269","443","HTTP/2","-1","3","https://wikipedia.org/","269","234","","ssl/wikipedia.org:443","text/html","VeryHigh","","","-1","-1","script","52B7E0F6E71CB744B7D68C1D55375817","wikipedia.org","0","988D5B97B6B27AA9BC3BF859E56029D4","","-1","1","-1","","-1","","50","115","/","207","55708","GET","-1","207","","301","62","","","324","269","324","324","324","0","157","324","167","1","2","1","0","","","","","","",
"91.198.174.192","","471","83","988D5B97B6B27AA9BC3BF859E56029D4-2","","","s-maxage=86400, must-revalidate, max-age=3600","-1","211011_AQ_22","-1","VeryHigh","","","-1","80","-1","-1","-1","","380","","HTTP/2","100","3","https://www.wikipedia.org/","-1","18672","18672","","text/html","VeryHigh","","","-1","-1","script","52B7E0F6E71CB744B7D68C1D55375817","www.wikipedia.org","18899","988D5B97B6B27AA9BC3BF859E56029D4","0","100","1","-1","","-1","","-1","115","/","-1","","GET","-1","-1","","200","-1","gzip","","463","380","460","460","463","3","380","463","83","2","3","1","0","3","1","77693","1","1","0",
"91.198.174.192","23","514","78","1000020321.4","0","","s-maxage=86400, max-age=86400","0","211011_AQ_22","-1","LOWEST","15829","","-1","73","50","-1","100","20931","472","","HTTP/2","-1","3","https://www.wikipedia.org/portal/wikipedia.org/assets/img/Wikipedia-logo-v2.png","-1","15829","","","image/png","Low","","Mon, 10 Oct 2022 18:48:39 GMT","-1","-1","parser","52B7E0F6E71CB744B7D68C1D55375817","www.wikipedia.org","16035","1000020321.4","","100","1","-1","","-1","https://www.wikipedia.org/","-1","115","/portal/wikipedia.org/assets/img/Wikipedia-logo-v2.png","-1","","GET","-1","-1","","200","-1","","","550","472","545","545","550","5","472","550","78","3","4","1","0","5","","15829","","","",
"91.198.174.192","824","475","87","1000020321.7","","","s-maxage=86400, max-age=86400","0","211011_AQ_22","-1","LOW","","","-1","86","50","-1","-1","18198","478","","HTTP/2","100","3","https://www.wikipedia.org/portal/wikipedia.org/assets/js/index-80e5894891.js","-1","8370","8370","","application/javascript","Medium","","","-1","-1","parser","52B7E0F6E71CB744B7D68C1D55375817","www.wikipedia.org","8517","1000020321.7","0","100","1","-1","","-1","https://www.wikipedia.org/","-1","115","/portal/wikipedia.org/assets/js/index-80e5894891.js","-1","","GET","-1","-1","","200","-1","gzip","","565","478","564","564","565","1","478","565","87","4","5","1","0","7","","23249","","22","2",
"91.198.174.192","826","476","88","1000020321.8","","","s-maxage=86400, max-age=86400","0","211011_AQ_22","-1","LOW","","","-1","88","50","-1","-1","20378","479","","HTTP/2","-1","3","https://www.wikipedia.org/portal/wikipedia.org/assets/js/gt-ie9-ce3fe8e88d.js","-1","614","","","application/javascript","Medium","","","-1","-1","parser","52B7E0F6E71CB744B7D68C1D55375817","www.wikipedia.org","754","1000020321.8","","100","1","-1","","-1","https://www.wikipedia.org/","-1","115","/portal/wikipedia.org/assets/js/gt-ie9-ce3fe8e88d.js","-1","","GET","-1","-1","","200","-1","","","567","479","567","567","567","0","479","567","88","5","6","1","0","9","","614","","0","",
"91.198.174.192","561","512","112","1000020321.9","","","s-maxage=86400, max-age=86400","0","211011_AQ_22","-1","LOWEST","","","-1","88","50","-1","-1","19108","485","","HTTP/2","100","3","https://www.wikipedia.org/portal/wikipedia.org/assets/img/sprite-e99844f6.svg","-1","17557","17557","","image/svg+xml","Low","","Mon, 10 Oct 2022 19:00:25 GMT","-1","-1","parser","52B7E0F6E71CB744B7D68C1D55375817","www.wikipedia.org","17747","1000020321.9","0","100","1","-1","","-1","https://www.wikipedia.org/","-1","115","/portal/wikipedia.org/assets/img/sprite-e99844f6.svg","-1","","GET","-1","-1","","200","-1","gzip","","597","485","573","573","597","24","485","597","112","6","7","1","0","11","","49631","","","",
"91.198.174.192","791","517","55","1000020321.10","0","","s-maxage=86400, max-age=86400","0","211011_AQ_22","-1","LOWEST","2066","","-1","55","50","-1","100","18115","628","","HTTP/2","-1","3","https://www.wikipedia.org/portal/wikipedia.org/assets/img/Wikinews-logo_sister.png","-1","2066","","","image/png","Low","","Mon, 10 Oct 2022 18:28:22 GMT","-1","-1","parser","52B7E0F6E71CB744B7D68C1D55375817","www.wikipedia.org","2207","1000020321.10","","100","1","-1","","-1","https://www.wikipedia.org/","-1","115","/portal/wikipedia.org/assets/img/Wikinews-logo_sister.png","-1","","GET","-1","-1","","200","-1","","","683","628","683","683","683","0","628","683","55","7","8","1","0","13","","2066","","","",
"91.198.174.192","","489","53","1000020321.13","","","max-age=31536000","0","211011_AQ_22","-1","MEDIUM","","","-1","51","100","-1","-1","31533860","702","","HTTP/2","100","3","https://www.wikipedia.org/static/favicon/wikipedia.ico","-1","1035","1035","","image/vnd.microsoft.icon","High","","Tue, 11 Oct 2022 13:45:16 GMT","-1","-1","other","52B7E0F6E71CB744B7D68C1D55375817","www.wikipedia.org","1233","1000020321.13","0","100","1","-1","","-1","","-1","115","/static/favicon/wikipedia.ico","-1","","GET","-1","-1","","200","-1","gzip","","755","702","753","753","755","2","702","755","53","8","9","1","0","15","","2734","","","",
"91.198.174.192","","386","55","C1F6DD675ABFF93B90BFCBCA39547862","","","","-1","211011_AQ_22","1","HIGHEST","","","-1","55","-1","4","-1","","55","80","http/1.1","-1","3","http://wikipedia.org/","-1","0","","wikipedia.org:80","","VeryHigh","","","-1","-1","script","FAE0B101417401C5B2785E669B0DF24E","wikipedia.org","0","C1F6DD675ABFF93B90BFCBCA39547862","","-1","0","1","","-1","","51","106","/","-1","40866","GET","0","55","","301","-1","","","110","55","110","110","110","0","4","110","106","0","1","2","0","","","","","","",
"91.198.174.192","","396","57","C1F6DD675ABFF93B90BFCBCA39547862-1","","","","-1","211011_AQ_22","-1","VeryHigh","","","-1","57","-1","113","-1","","227","443","HTTP/2","-1","3","https://wikipedia.org/","227","234","","ssl/wikipedia.org:443","text/html","VeryHigh","","","-1","-1","script","FAE0B101417401C5B2785E669B0DF24E","wikipedia.org","0","C1F6DD675ABFF93B90BFCBCA39547862","","-1","1","-1","","-1","","51","114","/","164","55734","GET","-1","164","","301","63","","","284","227","284","284","284","0","113","284","171","1","2","2","0","","","","","","",
"91.198.174.192","","471","85","C1F6DD675ABFF93B90BFCBCA39547862-2","","","s-maxage=86400, must-revalidate, max-age=3600","-1","211011_AQ_22","-1","VeryHigh","","","-1","82","-1","-1","-1","","287","","HTTP/2","100","3","https://www.wikipedia.org/","-1","18672","18672","","text/html","VeryHigh","","","-1","-1","script","FAE0B101417401C5B2785E669B0DF24E","www.wikipedia.org","18899","C1F6DD675ABFF93B90BFCBCA39547862","0","100","1","-1","","-1","","-1","114","/","-1","","GET","-1","-1","","200","-1","gzip","","372","287","369","369","372","3","287","372","85","2","3","2","0","3","1","77693","1","1","0",
"91.198.174.192","23","514","83","1000021010.4","0","","s-maxage=86400, max-age=86400","0","211011_AQ_22","-1","LOWEST","15829","","-1","78","50","-1","100","20920","380","","HTTP/2","-1","3","https://www.wikipedia.org/portal/wikipedia.org/assets/img/Wikipedia-logo-v2.png","-1","15829","","","image/png","Low","","Mon, 10 Oct 2022 18:48:39 GMT","-1","-1","parser","FAE0B101417401C5B2785E669B0DF24E","www.wikipedia.org","16036","1000021010.4","","100","1","-1","","-1","https://www.wikipedia.org/","-1","114","/portal/wikipedia.org/assets/img/Wikipedia-logo-v2.png","-1","","GET","-1","-1","","200","-1","","","463","380","458","458","463","5","380","463","83","3","4","2","0","5","","15829","","","",
"91.198.174.192","824","475","92","1000021010.7","","","s-maxage=86400, max-age=86400","0","211011_AQ_22","-1","LOW","","","-1","92","50","-1","-1","18187","387","","HTTP/2","100","3","https://www.wikipedia.org/portal/wikipedia.org/assets/js/index-80e5894891.js","-1","8370","8370","","application/javascript","Medium","","","-1","-1","parser","FAE0B101417401C5B2785E669B0DF24E","www.wikipedia.org","8516","1000021010.7","0","100","1","-1","","-1","https://www.wikipedia.org/","-1","114","/portal/wikipedia.org/assets/js/index-80e5894891.js","-1","","GET","-1","-1","","200","-1","gzip","","479","387","479","479","479","0","387","479","92","4","5","2","0","7","","23249","","20","2",
"91.198.174.192","826","476","93","1000021010.8","","","s-maxage=86400, max-age=86400","0","211011_AQ_22","-1","LOW","","","-1","93","50","-1","-1","20367","387","","HTTP/2","-1","3","https://www.wikipedia.org/portal/wikipedia.org/assets/js/gt-ie9-ce3fe8e88d.js","-1","614","","","application/javascript","Medium","","","-1","-1","parser","FAE0B101417401C5B2785E669B0DF24E","www.wikipedia.org","754","1000021010.8","","100","1","-1","","-1","https://www.wikipedia.org/","-1","114","/portal/wikipedia.org/assets/js/gt-ie9-ce3fe8e88d.js","-1","","GET","-1","-1","","200","-1","","","480","387","480","480","480","0","387","480","93","5","6","2","0","9","","614","","0","",
"91.198.174.192","561","512","114","1000021010.9","","","s-maxage=86400, max-age=86400","0","211011_AQ_22","-1","LOWEST","","","-1","95","50","-1","-1","19096","392","","HTTP/2","100","3","https://www.wikipedia.org/portal/wikipedia.org/assets/img/sprite-e99844f6.svg","-1","17557","17557","","image/svg+xml","Low","","Mon, 10 Oct 2022 19:00:25 GMT","-1","-1","parser","FAE0B101417401C5B2785E669B0DF24E","www.wikipedia.org","17746","1000021010.9","0","100","1","-1","","-1","https://www.wikipedia.org/","-1","114","/portal/wikipedia.org/assets/img/sprite-e99844f6.svg","-1","","GET","-1","-1","","200","-1","gzip","","506","392","487","487","506","19","392","506","114","6","7","2","0","11","","49631","","","",
"91.198.174.192","791","517","57","1000021010.10","0","","s-maxage=86400, max-age=86400","0","211011_AQ_22","-1","LOWEST","2066","","-1","56","50","-1","100","18104","537","","HTTP/2","-1","3","https://www.wikipedia.org/portal/wikipedia.org/assets/img/Wikinews-logo_sister.png","-1","2066","","","image/png","Low","","Mon, 10 Oct 2022 18:28:22 GMT","-1","-1","parser","FAE0B101417401C5B2785E669B0DF24E","www.wikipedia.org","2207","1000021010.10","","100","1","-1","","-1","https://www.wikipedia.org/","-1","114","/portal/wikipedia.org/assets/img/Wikinews-logo_sister.png","-1","","GET","-1","-1","","200","-1","","","594","537","593","593","594","1","537","594","57","7","8","2","0","13","","2066","","","",
"91.198.174.192","","489","55","1000021010.13","","","max-age=31536000","0","211011_AQ_22","-1","MEDIUM","","","-1","53","100","-1","-1","31533849","619","","HTTP/2","100","3","https://www.wikipedia.org/static/favicon/wikipedia.ico","-1","1035","1035","","image/vnd.microsoft.icon","High","","Tue, 11 Oct 2022 13:45:16 GMT","-1","-1","other","FAE0B101417401C5B2785E669B0DF24E","www.wikipedia.org","1233","1000021010.13","0","100","1","-1","","-1","","-1","114","/static/favicon/wikipedia.ico","-1","","GET","-1","-1","","200","-1","gzip","","674","619","672","672","674","2","619","674","55","8","9","2","0","15","","2734","","","",
"91.198.174.192","","386","56","E23AAAFEDC8311B5557F60416CCFC8CB","","","","-1","211011_AQ_22","4","HIGHEST","","","-1","56","-1","4","-1","","55","80","http/1.1","-1","3","http://wikipedia.org/","-1","0","","wikipedia.org:80","","VeryHigh","","","-1","-1","script","DBA9CF245447A9C7D46374C98CE943DE","wikipedia.org","0","E23AAAFEDC8311B5557F60416CCFC8CB","","-1","0","3","","-1","","51","103","/","-1","40892","GET","1","55","","301","-1","","","111","55","111","111","111","0","3","111","108","0","1","3","0","","","","","","",
"91.198.174.192","","396","55","E23AAAFEDC8311B5557F60416CCFC8CB-1","","","","-1","211011_AQ_22","-1","VeryHigh","","","-1","55","-1","112","-1","","225","443","HTTP/2","-1","3","https://wikipedia.org/","225","234","","ssl/wikipedia.org:443","text/html","VeryHigh","","","-1","-1","script","DBA9CF245447A9C7D46374C98CE943DE","wikipedia.org","0","E23AAAFEDC8311B5557F60416CCFC8CB","","-1","1","-1","","-1","","50","114","/","162","55760","GET","-1","162","","301","63","","","280","225","280","280","280","0","112","280","168","1","2","3","0","","","","","","",
