"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","http2_stream_dependency","final_base_page","objectSizeUncompressed","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","initiator_function",
"157.240.30.35","","385","78","D185886283B87FCF5DFA9CD3F546263A","","","","-1","211011_BV_1V","46","HIGHEST","","","-1","78","-1","46","-1","","78","80","http/1.1","-1","3","http://facebook.com/","-1","0","","facebook.com:80","text/html","VeryHigh","","","-1","-1","script","2C8B64EEA3E67DF21BFF793C47536A4B","facebook.com","0","D185886283B87FCF5DFA9CD3F546263A","","-1","0","3","","-1","","32","107","/","-1","34308","GET","43","78","","301","-1","","","156","78","156","156","156","0","3","156","153","0","1","1","0","","","","","","","","","","",
"157.240.30.35","","395","78","D185886283B87FCF5DFA9CD3F546263A-1","","","","-1","211011_BV_1V","-1","VeryHigh","","","-1","78","-1","157","-1","","234","443","HTTP/2","-1","3","https://facebook.com/","234","0","","ssl/facebook.com:443","text/html","VeryHigh","","","-1","-1","script","2C8B64EEA3E67DF21BFF793C47536A4B","facebook.com","0","D185886283B87FCF5DFA9CD3F546263A","","-1","1","-1","","-1","","33","114","/","191","37076","GET","-1","190","","301","43","","","312","234","312","312","312","0","157","312","154","1","2","1","0","1","256","True","0","","","","","","",
"157.240.30.35","","399","472","D185886283B87FCF5DFA9CD3F546263A-2","","","private, no-cache, no-store, must-revalidate","100","211011_BV_1V","-1","VeryHigh","","","-1","407","-1","-1","-1","","358","","HTTP/2","100","3","https://www.facebook.com/","-1","33989","33989","","text/html","VeryHigh","","Sat, 01 Jan 2000 00:00:00 GMT","-1","-1","script","2C8B64EEA3E67DF21BFF793C47536A4B","www.facebook.com","33989","D185886283B87FCF5DFA9CD3F546263A","0","100","1","-1","","-1","","-1","114","/","-1","","GET","-1","-1","","200","-1","br","Facebook","830","358","765","765","830","65","358","830","472","2","3","1","0","3","","","","1","123332","1","45","","",
"157.240.30.35","9","378","253","1000003276.19","0","","private, no-cache, no-store, must-revalidate","100","211011_BV_1V","-1","LOWEST","207","","-1","253","-1","-1","100","","803","","HTTP/2","100","3","https://facebook.com/security/hsts-pixel.gif","-1","207","207","","image/gif","Low","","Sat, 01 Jan 2000 00:00:00 GMT","-1","-1","parser","2C8B64EEA3E67DF21BFF793C47536A4B","facebook.com","207","1000003276.19","0","100","1","-1","","-1","https://www.facebook.com/","-1","114","/security/hsts-pixel.gif","-1","","GET","-1","-1","","200","-1","br","Facebook","1056","803","1056","1056","1056","0","803","1056","253","3","4","1","0","5","147","True","3","","43","","","","",
"157.240.27.27","8","409","248","1000003276.10","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","MEDIUM","","","-1","102","100","-1","-1","31536000","935","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/CDBUf3L5Iup.js?_nc_x=Ij3Wp8lg5Kz","-1","83257","83257","","application/x-javascript","High","","Fri, 30 Sep 2022 18:45:14 GMT","-1","-1","parser","2C8B64EEA3E67DF21BFF793C47536A4B","static.xx.fbcdn.net","83523","1000003276.10","0","100","1","-1","","-1","https://www.facebook.com/","-1","178","/rsrc.php/v3/yp/r/CDBUf3L5Iup.js?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1183","935","1037","1037","1183","146","935","1183","248","4","5","1","0","13","","","","","307343","","12","57","",
"157.240.27.27","3","433","72","1000003276.5","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","HIGHEST","","","-1","63","100","-1","-1","31536000","935","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/yE/l/0,cross/M7uGwhsJk9i.css?_nc_x=Ij3Wp8lg5Kz","-1","5186","5186","","text/css","VeryHigh","","Sun, 09 Oct 2022 14:23:11 GMT","-1","-1","parser","2C8B64EEA3E67DF21BFF793C47536A4B","static.xx.fbcdn.net","5378","1000003276.5","0","100","1","-1","","-1","https://www.facebook.com/","-1","178","/rsrc.php/v3/yE/l/0,cross/M7uGwhsJk9i.css?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1007","935","998","998","1007","9","935","1007","72","5","6","1","0","3","","","","","21647","","","","",
"157.240.27.27","4","433","77","1000003276.6","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","HIGHEST","","","-1","72","100","-1","-1","31536000","935","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/y0/l/0,cross/Iw3icnvlET1.css?_nc_x=Ij3Wp8lg5Kz","-1","2464","2464","","text/css","VeryHigh","","Sun, 09 Oct 2022 14:23:11 GMT","-1","-1","parser","2C8B64EEA3E67DF21BFF793C47536A4B","static.xx.fbcdn.net","2632","1000003276.6","0","100","1","-1","","-1","https://www.facebook.com/","-1","178","/rsrc.php/v3/y0/l/0,cross/Iw3icnvlET1.css?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1012","935","1007","1007","1012","5","935","1012","77","6","7","1","0","5","","","","","11321","","","","",
"157.240.27.27","5","433","94","1000003276.7","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","HIGHEST","","","-1","77","100","-1","-1","31536000","935","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/yE/l/0,cross/cApa7fGgjCt.css?_nc_x=Ij3Wp8lg5Kz","-1","9585","9585","","text/css","VeryHigh","","Sun, 09 Oct 2022 14:39:27 GMT","-1","-1","parser","2C8B64EEA3E67DF21BFF793C47536A4B","static.xx.fbcdn.net","9930","1000003276.7","0","100","1","-1","","-1","https://www.facebook.com/","-1","178","/rsrc.php/v3/yE/l/0,cross/cApa7fGgjCt.css?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1029","935","1012","1012","1029","17","935","1029","94","7","8","1","0","7","","","","","43711","","","","",
"157.240.27.27","6","433","97","1000003276.8","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","HIGHEST","","","-1","94","100","-1","-1","31536000","935","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/y3/l/0,cross/fbWj5dcnmIq.css?_nc_x=Ij3Wp8lg5Kz","-1","1632","1632","","text/css","VeryHigh","","Tue, 04 Oct 2022 10:21:41 GMT","-1","-1","parser","2C8B64EEA3E67DF21BFF793C47536A4B","static.xx.fbcdn.net","1825","1000003276.8","0","100","1","-1","","-1","https://www.facebook.com/","-1","178","/rsrc.php/v3/y3/l/0,cross/fbWj5dcnmIq.css?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1032","935","1029","1029","1032","3","935","1032","97","8","9","1","0","9","","","","","5804","","","","",
"157.240.27.27","7","433","101","1000003276.9","","","public,max-age=31536000,immutable","100","211011_BV_1V","-1","HIGHEST","","","-1","98","100","-1","-1","31536000","935","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/yL/l/0,cross/F_1gS1r_pHi.css?_nc_x=Ij3Wp8lg5Kz","-1","1636","1636","","text/css","VeryHigh","","Sun, 09 Oct 2022 15:11:43 GMT","-1","-1","parser","2C8B64EEA3E67DF21BFF793C47536A4B","static.xx.fbcdn.net","1831","1000003276.9","0","100","1","-1","","-1","https://www.facebook.com/","-1","178","/rsrc.php/v3/yL/l/0,cross/F_1gS1r_pHi.css?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1036","935","1033","1033","1036","3","935","1036","101","9","10","1","0","11","","","","","8345","","","","",
