"ip_addr","initiator_line","bytesOut","load_ms","final_base_page","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","objectSizeUncompressed","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","is_base_page","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","cpu.EvaluateScript","index","number","run","cached","cpu.FunctionCall","score_progressive_jpeg","jpeg_scan_count",
"202.108.119.193","","386","842","1","010BBE8016C9476FF6F054AE3FAC33AE","","","","-1","211011_FT_24","353","HIGHEST","","","-1","245","-1","356","-1","","114065","590","80","http/1.1","100","3","http://xinhuanet.com/","-1","25545","25545","xinhuanet.com:80","text/html","VeryHigh","","","-1","-1","script","9EDA6C143963A2E7B726D1E138B4064E","xinhuanet.com","25779","010BBE8016C9476FF6F054AE3FAC33AE","0","100","0","0","","-1","","234","106","/","-1","39790","GET","-1","590","","200","-1","gzip","1","","1432","590","835","835","1432","597","356","1432","1076","7","0","1","1","0","","","",
"202.108.119.193","20","349","1445","","1000024777.7","","","","0","211011_FT_24","-1","HIGHEST","","","-1","354","0","356","-1","0","219115","849","80","http/1.1","100","3","http://xinhuanet.com/2021homepro/styles/index.css","-1","51170","51170","xinhuanet.com:80","text/css","VeryHigh","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","xinhuanet.com","51475","1000024777.7","0","100","0","-1","","-1","http://xinhuanet.com/","234","105","/2021homepro/styles/index.css","-1","39788","GET","-1","590","","200","-1","gzip","","","2294","849","1203","1203","2294","1091","356","2294","1679","","1","2","1","0","","","",
"202.108.119.193","25","334","337","","1000024777.9","","","","0","211011_FT_24","-1","MEDIUM","","","-1","334","0","505","-1","0","10948","849","80","http/1.1","100","3","http://xinhuanet.com/2021homepro/scripts/xhome.js","-1","3918","3918","xinhuanet.com:80","application/javascript","High","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","xinhuanet.com","4235","1000024777.9","0","100","0","-1","","-1","http://xinhuanet.com/","218","108","/2021homepro/scripts/xhome.js","-1","39792","GET","-1","723","","200","-1","gzip","","","1186","849","1183","1183","1186","3","505","1186","555","1","2","3","1","0","","","",
"47.246.44.224","51","320","100","","1000024777.14","","","","100","211011_FT_24","-1","MEDIUM","","","-1","90","0","889","-1","0","23255","950","80","http/1.1","100","3","http://www.news.cn/json/xh_depth.js","-1","5942","5942","www.news.cn:80","application/javascript","High","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","www.news.cn","6580","1000024777.14","0","100","0","-1","","-1","http://xinhuanet.com/","61","206","/json/xh_depth.js","-1","56494","GET","-1","950","","200","-1","gzip","","ChinaNetCenter","1050","950","1040","1040","1050","10","889","1050","161","1","3","4","1","0","","","",
"47.246.44.224","14","325","68","","1000024777.4","","","","100","211011_FT_24","888","MEDIUM","","","-1","68","0","888","-1","0","2655","950","80","http/1.1","100","3","http://www.news.cn/global/js/pageCore.js","-1","969","969","www.news.cn:80","application/javascript","High","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","www.news.cn","1646","1000024777.4","0","100","0","843","","-1","http://xinhuanet.com/","62","203","/global/js/pageCore.js","-1","56488","GET","45","950","","200","-1","gzip","","ChinaNetCenter","1018","950","1018","1018","1018","0","843","1018","175","1","4","5","1","0","","","",
"47.246.44.224","52","324","116","","1000024777.15","","","","100","211011_FT_24","-1","MEDIUM","","","-1","104","0","888","-1","0","21792","951","80","http/1.1","100","3","http://www.news.cn/json/xh_broadcast.js","-1","6534","6534","www.news.cn:80","application/javascript","High","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","www.news.cn","7172","1000024777.15","0","100","0","-1","","-1","http://xinhuanet.com/","63","204","/json/xh_broadcast.js","-1","56490","GET","-1","951","","200","-1","gzip","","ChinaNetCenter","1067","951","1055","1055","1067","12","888","1067","179","1","5","6","1","0","","","",
"47.246.44.224","53","326","118","","1000024777.16","","","","100","211011_FT_24","-1","MEDIUM","","","-1","118","0","888","-1","0","3740","951","80","http/1.1","100","3","http://www.news.cn/json/bangdan/top1.json","-1","983","983","www.news.cn:80","application/json","High","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","www.news.cn","1640","1000024777.16","0","100","0","-1","","-1","http://xinhuanet.com/","63","205","/json/bangdan/top1.json","-1","56492","GET","-1","951","","200","-1","gzip","","ChinaNetCenter","1069","951","1069","1069","1069","0","888","1069","181","1","6","7","1","0","","","",
"47.246.44.224","54","328","637","","1000024777.17","","","","100","211011_FT_24","-1","MEDIUM","","","-1","636","0","889","-1","0","10327","951","80","http/1.1","100","3","http://www.news.cn/json/bangdan/top101.json","-1","2589","2589","www.news.cn:80","application/json","High","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","www.news.cn","3258","1000024777.17","0","100","0","-1","","-1","http://xinhuanet.com/","62","208","/json/bangdan/top101.json","-1","56498","GET","-1","951","","200","-1","gzip","","ChinaNetCenter","1588","951","1587","1587","1588","1","889","1588","699","0","7","8","1","0","","","",
"47.246.44.224","55","328","140","","1000024777.18","","","","100","211011_FT_24","-1","MEDIUM","","","-1","139","0","889","-1","0","11542","952","80","http/1.1","100","3","http://www.news.cn/json/bangdan/top102.json","-1","3137","3137","www.news.cn:80","application/json","High","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","www.news.cn","3774","1000024777.18","0","100","0","-1","","-1","http://xinhuanet.com/","63","207","/json/bangdan/top102.json","-1","56496","GET","-1","952","","200","-1","gzip","","ChinaNetCenter","1092","952","1091","1091","1092","1","889","1092","203","0","8","9","1","0","","","",
"47.246.44.228","18","352","146","","1000024777.5","","","","0","211011_FT_24","889","HIGHEST","","","-1","145","0","889","-1","0","17759","953","80","http/1.1","100","3","http://lib.news.cn/swiper/swiper3.4.2/swiper.min.css","-1","2880","2880","lib.news.cn:80","text/css","VeryHigh","","","-1","-1","parser","9EDA6C143963A2E7B726D1E138B4064E","lib.news.cn","3550","1000024777.5","0","100","0","845","","-1","http://xinhuanet.com/","64","211","/swiper/swiper3.4.2/swiper.min.css","-1","52446","GET","44","953","","200","-1","gzip","","","1099","953","1098","1098","1099","1","845","1099","254","","9","10","1","0","","","",
