"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","objectSizeUncompressed","final_base_page","http2_stream_dependency","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","initiator_function","score_progressive_jpeg","jpeg_scan_count",
"39.106.226.142","","381","294","1BF83529D33F0CD9A191A61C5F2FC50E","","","","-1","211011_JT_2G","131","HIGHEST","","","-1","294","-1","131","-1","","422","80","http/1.1","-1","3","http://csdn.net/","-1","166","","csdn.net:80","text/html","VeryHigh","","","-1","-1","script","E23F64CA57C9A05A0B5197E63482D9AF","csdn.net","166","1BF83529D33F0CD9A191A61C5F2FC50E","","-1","0","3","","-1","","291","104","/","-1","53756","GET","128","422","","301","-1","","","716","422","716","716","716","0","3","716","713","0","1","1","0","","","","","","","","","","","","",
"39.106.226.142","","395","1278","1BF83529D33F0CD9A191A61C5F2FC50E-1","","","","-1","211011_JT_2G","847","VeryHigh","","","-1","970","-1","847","-1","","2225","443","HTTP/2","100","3","https://www.csdn.net/","2224","53410","53410","ssl/www.csdn.net:443","text/html","VeryHigh","","","-1","-1","script","E23F64CA57C9A05A0B5197E63482D9AF","www.csdn.net","53410","1BF83529D33F0CD9A191A61C5F2FC50E","0","100","1","718","","-1","","288","118","/","1135","54118","GET","129","1135","","200","1089","gzip","","3503","2225","3195","3195","3503","308","718","3503","2784","1","2","1","0","1","256","True","376642","1","0","1","6","","","","",
"4.34.134.107","12","372","389","1000020649.10","","","max-age=31536000","0","211011_JT_2G","3793","HIGHEST","","","-1","194","100","3793","-1","31536000","4126","443","HTTP/2","100","3","https://csdnimg.cn/release/cmsfe/public/css/common.4cad122e.css","4126","70757","70757","ssl/csdnimg.cn:443","text/css","VeryHigh","","","-1","-1","parser","E23F64CA57C9A05A0B5197E63482D9AF","csdnimg.cn","70757","1000020649.10","0","100","1","3212","","-1","https://www.csdn.net/","161","214","/release/cmsfe/public/css/common.4cad122e.css","3954","55120","GET","581","3954","","200","172","gzip","","4515","4126","4320","4320","4515","195","3212","4515","1303","2","3","1","0","1","256","True","441559","","0","","","","","","",
"4.34.134.107","12","389","414","1000020649.11","","","max-age=31536000","0","211011_JT_2G","-1","HIGHEST","","","-1","413","100","-1","-1","31536000","4126","","HTTP/2","100","3","https://csdnimg.cn/release/cmsfe/public/css/tpl/www-index-new/index.275fbff1.css","-1","13818","13818","","text/css","VeryHigh","","","-1","-1","parser","E23F64CA57C9A05A0B5197E63482D9AF","csdnimg.cn","13818","1000020649.11","0","100","1","-1","","-1","https://www.csdn.net/","-1","214","/release/cmsfe/public/css/tpl/www-index-new/index.275fbff1.css","-1","","GET","-1","-1","","200","-1","gzip","","4540","4126","4539","4539","4540","1","4126","4540","414","3","4","1","0","3","","","91979","","","","","","","","",
"4.34.134.108","1","341","422","1000020649.4","","","max-age=31536000","0","211011_JT_2G","3803","MEDIUM","","","-1","421","100","3803","-1","31536000","4138","443","HTTP/2","100","3","https://g.csdnimg.cn/tingyun/1.8.5/www-index.js","4137","13938","13938","ssl/g.csdnimg.cn:443","application/javascript","High","","","-1","-1","parser","E23F64CA57C9A05A0B5197E63482D9AF","g.csdnimg.cn","13938","1000020649.4","0","100","1","3205","","-1","https://www.csdn.net/","159","216","/tingyun/1.8.5/www-index.js","3962","45072","GET","598","3962","","200","175","gzip","","4560","4138","4559","4559","4560","1","3205","4560","1354","4","5","1","0","5","","","34330","","","","20","86","","","",
"4.34.134.108","6","412","504","1000020649.5","","","max-age=31536000","0","211011_JT_2G","-1","MEDIUM","","","-1","445","100","3803","-1","31536000","4143","443","HTTP/2","100","3","https://g.csdnimg.cn/??lib/jquery/1.12.4/jquery.min.js,user-tooltip/2.2/user-tooltip.js,lib/qrcode/1.0.0/qrcode.min.js","4143","44132","44132","ssl/g.csdnimg.cn:443","application/javascript","High","","","-1","-1","parser","E23F64CA57C9A05A0B5197E63482D9AF","g.csdnimg.cn","44132","1000020649.5","0","100","1","-1","","-1","https://www.csdn.net/","160","218","/??lib/jquery/1.12.4/jquery.min.js,user-tooltip/2.2/user-tooltip.js,lib/qrcode/1.0.0/qrcode.min.js","3963","45076","GET","-1","3963","","200","180","gzip","","4647","4143","4588","4588","4647","59","3803","4647","844","5","6","1","0","7","","","126150","","","","15","4","","","",
"4.34.134.108","6","343","503","1000020649.6","","","max-age=1800","0","211011_JT_2G","-1","MEDIUM","","","-1","502","0","3803","-1","1800","4149","443","HTTP/2","100","3","https://g.csdnimg.cn/common/csdn-report/report.js","4149","4871","4871","ssl/g.csdnimg.cn:443","application/javascript","High","","","-1","-1","parser","E23F64CA57C9A05A0B5197E63482D9AF","g.csdnimg.cn","4871","1000020649.6","0","100","1","-1","","-1","https://www.csdn.net/","161","220","/common/csdn-report/report.js","3965","45080","GET","-1","3964","","200","184","gzip","","4652","4149","4651","4651","4652","1","3803","4652","848","6","7","1","0","9","","","12743","","","","14","","","","",
"4.34.134.108","7","362","501","1000020649.7","","","max-age=31536000","0","211011_JT_2G","-1","MEDIUM","","","-1","501","100","3803","-1","31536000","4155","443","HTTP/2","100","3","https://g.csdnimg.cn/user-ordercart/2.0.1/user-ordercart.js?ts=2.0.1","4155","2921","2921","ssl/g.csdnimg.cn:443","application/javascript","High","","","-1","-1","parser","E23F64CA57C9A05A0B5197E63482D9AF","g.csdnimg.cn","2921","1000020649.7","0","100","1","-1","","-1","https://www.csdn.net/","161","217","/user-ordercart/2.0.1/user-ordercart.js?ts=2.0.1","3964","45074","GET","-1","3964","","200","191","gzip","","4656","4155","4656","4656","4656","0","3803","4656","853","7","8","1","0","11","","","7041","","","","1","","","","",
"4.34.134.108","9","354","500","1000020649.8","","","max-age=1800","0","211011_JT_2G","-1","MEDIUM","","","-1","499","0","3803","-1","1800","4161","443","HTTP/2","100","3","https://g.csdnimg.cn/common/csdn-login-box/csdn-login-box.js","4161","1705","1705","ssl/g.csdnimg.cn:443","application/javascript","High","","","-1","-1","parser","E23F64CA57C9A05A0B5197E63482D9AF","g.csdnimg.cn","1705","1000020649.8","0","100","1","-1","","-1","https://www.csdn.net/","162","219","/common/csdn-login-box/csdn-login-box.js","3965","45078","GET","-1","3965","","200","196","gzip","","4661","4161","4660","4660","4661","1","3803","4661","858","8","9","1","0","13","","","3473","","","","0","","","","",
"4.34.134.108","11","359","500","1000020649.9","","","max-age=31536000","0","211011_JT_2G","-1","MEDIUM","","","-1","499","100","3803","-1","31536000","4167","443","HTTP/2","100","3","https://g.csdnimg.cn/user-ordertip/3.0.2/user-ordertip.js?t=3.0.2","4167","4958","4958","ssl/g.csdnimg.cn:443","application/javascript","High","","","-1","-1","parser","E23F64CA57C9A05A0B5197E63482D9AF","g.csdnimg.cn","4958","1000020649.9","0","100","1","-1","","-1","https://www.csdn.net/","162","221","/user-ordertip/3.0.2/user-ordertip.js?t=3.0.2","3965","45082","GET","-1","3965","","200","202","gzip","","4667","4167","4666","4666","4667","1","3803","4667","864","9","10","1","0","15","","","16545","","","","1","","","","",
"4.34.134.107","20","356","165","1000020649.46","","","max-age=31536000","0","211011_JT_2G","-1","LOW","","","-1","165","100","-1","-1","31536000","4517","","HTTP/2","100","3","https://csdnimg.cn/release/cmsfe/public/js/runtime.820b8917.js","-1","1889","1889","","application/x-javascript","Medium","","","-1","-1","parser","E23F64CA57C9A05A0B5197E63482D9AF","csdnimg.cn","1889","1000020649.46","0","100","1","-1","","-1","https://www.csdn.net/","-1","214","/release/cmsfe/public/js/runtime.820b8917.js","-1","","GET","-1","-1","","200","-1","gzip","","4682","4517","4682","4682","4682","0","4517","4682","165","10","11","1","0","17","183","True","3110","","15","","1","","","","",
"4.34.134.107","20","361","450","1000020649.47","","","max-age=31536000","0","211011_JT_2G","-1","LOW","","","-1","179","100","-1","-1","31536000","4517","","HTTP/2","100","3","https://csdnimg.cn/release/cmsfe/public/js/chunk/common.d3a7f06f.js","-1","170956","170956","","application/x-javascript","Medium","","","-1","-1","parser","E23F64CA57C9A05A0B5197E63482D9AF","csdnimg.cn","170956","1000020649.47","0","100","1","-1","","-1","https://www.csdn.net/","-1","214","/release/cmsfe/public/js/chunk/common.d3a7f06f.js","-1","","GET","-1","-1","","200","-1","gzip","","4967","4517","4696","4696","4967","271","4517","4967","450","11","12","1","0","19","183","True","650080","","17","","33","2","","","",
"4.34.134.107","20","378","703","1000020649.48","","","max-age=31536000","0","211011_JT_2G","-1","LOW","","","-1","470","100","-1","-1","31536000","4517","","HTTP/2","100","3","https://csdnimg.cn/release/cmsfe/public/js/chunk/tpl/www-index-new/index.3b76addd.js","-1","150426","150426","","application/x-javascript","Medium","","","-1","-1","parser","E23F64CA57C9A05A0B5197E63482D9AF","csdnimg.cn","150426","1000020649.48","0","100","1","-1","","-1","https://www.csdn.net/","-1","214","/release/cmsfe/public/js/chunk/tpl/www-index-new/index.3b76addd.js","-1","","GET","-1","-1","","200","-1","gzip","","5220","4517","4987","4987","5220","233","4517","5220","703","12","13","1","0","21","183","True","731159","","19","","226","1","","","",
"4.34.134.107","5","363","553","1000020649.51","","","max-age=31536000","0","211011_JT_2G","-1","HIGHEST","","","-1","552","100","-1","-1","31536000","4669","","HTTP/2","100","3","https://g.csdnimg.cn/user-tooltip/2.2/user-tooltip.css","-1","1534","1534","","text/css","VeryHigh","1045","","-1","-1","script","E23F64CA57C9A05A0B5197E63482D9AF","g.csdnimg.cn","1534","1000020649.51","0","100","1","-1","","-1","https://g.csdnimg.cn/??lib/jquery/1.12.4/jquery.min.js,user-tooltip/2.2/user-tooltip.js,lib/qrcode/1.0.0/qrcode.min.js","-1","214","/user-tooltip/2.2/user-tooltip.css","-1","","GET","-1","-1","","200","-1","gzip","","5222","4669","5221","5221","5222","1","4669","5222","553","13","14","1","0","23","","","4869","","","","","","","","",
"4.34.134.107","0","367","536","1000020649.57","","","max-age=31536000","0","211011_JT_2G","-1","HIGHEST","","","-1","535","100","-1","-1","31536000","4690","","HTTP/2","100","3","https://g.csdnimg.cn/user-ordertip/3.0.2/user-ordertip.css","-1","3093","3093","","text/css","VeryHigh","1852","","-1","-1","script","E23F64CA57C9A05A0B5197E63482D9AF","g.csdnimg.cn","3093","1000020649.57","0","100","1","-1","","-1","https://g.csdnimg.cn/user-ordertip/3.0.2/user-ordertip.js?t=3.0.2","-1","214","/user-ordertip/3.0.2/user-ordertip.css","-1","","GET","-1","-1","","200","-1","gzip","","5226","4690","5225","5225","5226","1","4690","5226","536","14","15","1","0","25","","","25920","","","","","","","","",
"4.34.134.107","20","348","423","1000020649.45","","","max-age=1800","0","211011_JT_2G","-1","MEDIUM","","","-1","422","0","-1","-1","1800","4807","","HTTP/2","100","3","https://g.csdnimg.cn/common/csdn-footer/csdn-footer.js","-1","2722","2722","","application/javascript","Medium","","","-1","-1","parser","E23F64CA57C9A05A0B5197E63482D9AF","g.csdnimg.cn","2722","1000020649.45","0","100","1","-1","","-1","https://www.csdn.net/","-1","214","/common/csdn-footer/csdn-footer.js","-1","","GET","-1","-1","","200","-1","gzip","","5230","4807","5229","5229","5230","1","4807","5230","423","15","16","1","0","27","","","8499","","","","1","","","","",
"4.34.134.107","12","400","255","1000020649.13","0","","max-age=31536000","0","211011_JT_2G","-1","LOWEST","28449","","-1","235","100","-1","100","31536000","5229","","HTTP/2","-1","3","https://csdnimg.cn/release/cmsfe/public/img/practice-mock.18239b19.png","-1","28449","","","image/png","Low","","","-1","-1","parser","E23F64CA57C9A05A0B5197E63482D9AF","csdnimg.cn","28932","1000020649.13","","100","1","-1","","-1","https://www.csdn.net/","-1","214","/release/cmsfe/public/img/practice-mock.18239b19.png","-1","","GET","-1","-1","","200","-1","","","5484","5229","5464","5464","5484","20","5229","5484","255","16","17","1","0","31","147","True","28449","","29","","","","","","",
"4.34.134.107","12","399","350","1000020649.14","0","","max-age=31536000","0","211011_JT_2G","-1","MEDIUM","41459","","-1","284","100","-1","100","31536000","5229","","HTTP/2","-1","3","https://csdnimg.cn/release/cmsfe/public/img/practice-bac.c1d158a5.png","-1","41459","","","image/png","Low","","","-1","-1","parser","E23F64CA57C9A05A0B5197E63482D9AF","csdnimg.cn","41962","1000020649.14","","100","1","-1","","-1","https://www.csdn.net/","-1","214","/release/cmsfe/public/img/practice-bac.c1d158a5.png","-1","","GET","-1","-1","","200","-1","","","5579","5229","5513","5513","5579","66","5229","5579","350","17","18","1","0","33","147","True","41459","","31","","","","","","",
"4.34.134.107","12","395","372","1000020649.15","0","","max-age=31536000","0","211011_JT_2G","-1","LOWEST","10364","","-1","372","100","-1","100","31536000","5229","","HTTP/2","-1","3","https://csdnimg.cn/release/cmsfe/public/img/livemake.ed2b6426.png","-1","10364","","","image/png","Low","","","-1","-1","parser","E23F64CA57C9A05A0B5197E63482D9AF","csdnimg.cn","10829","1000020649.15","","100","1","-1","","-1","https://www.csdn.net/","-1","214","/release/cmsfe/public/img/livemake.ed2b6426.png","-1","","GET","-1","-1","","200","-1","","","5601","5229","5601","5601","5601","0","5229","5601","372","18","19","1","0","35","147","True","10364","","33","","","","","","",
"4.34.134.107","12","391","374","1000020649.16","0","","max-age=31536000","0","211011_JT_2G","-1","LOWEST","958","","-1","374","100","-1","100","31536000","5229","","HTTP/2","-1","3","https://csdnimg.cn/release/cmsfe/public/img/play.9956ea53.png","-1","958","","","image/png","Low","","","-1","-1","parser","E23F64CA57C9A05A0B5197E63482D9AF","csdnimg.cn","1403","1000020649.16","","100","1","-1","","-1","https://www.csdn.net/","-1","214","/release/cmsfe/public/img/play.9956ea53.png","-1","","GET","-1","-1","","200","-1","","","5603","5229","5603","5603","5603","0","5229","5603","374","19","20","1","0","37","147","True","958","","35","","","","","","",
"4.34.134.107","21","350","201","1000020649.49","","","max-age=1800","0","211011_JT_2G","-1","LOW","","","-1","191","0","-1","-1","1800","5229","","HTTP/2","100","3","https://g.csdnimg.cn/common/csdn-toolbar/csdn-toolbar.js","-1","22628","22628","","application/javascript","Medium","","","-1","-1","parser","E23F64CA57C9A05A0B5197E63482D9AF","g.csdnimg.cn","22628","1000020649.49","0","100","1","-1","","-1","https://www.csdn.net/","-1","214","/common/csdn-toolbar/csdn-toolbar.js","-1","","GET","-1","-1","","200","-1","gzip","","5430","5229","5420","5420","5430","10","5229","5430","201","20","21","1","0","29","","","92747","","","","8","","","","",
"4.34.134.107","20","438","350","1000020649.102","","","max-age=31536000","0","211011_JT_2G","4718","IDLE","","","-1","324","100","4720","-1","31536000","5272","443","HTTP/2","-1","3","https://csdnimg.cn/release/cmsfe/public/font/element-icons.535877f5.woff","5272","28200","","pm/ssl/csdnimg.cn:443","application/octet-stream","VeryLow","","","-1","-1","parser","E23F64CA57C9A05A0B5197E63482D9AF","csdnimg.cn","28738","1000020649.102","","100","1","4718","","-1","https://www.csdn.net/","381","280","/release/cmsfe/public/font/element-icons.535877f5.woff","5101","55136","GET","0","5101","","200","171","","","5622","5272","5596","5596","5622","26","4720","5622","902","21","22","1","0","1","110","True","28200","","0","","","","","","",
"4.34.134.107","20","454","357","1000020649.110","","","max-age=31536000","0","211011_JT_2G","-1","IDLE","","","-1","356","100","-1","-1","31536000","5272","","HTTP/2","57","3","https://csdnimg.cn/release/cmsfe/public/font/DINCond-Black.36f2a9af.ttf","-1","3444","3444","","application/octet-stream","VeryLow","","","-1","-1","parser","E23F64CA57C9A05A0B5197E63482D9AF","csdnimg.cn","3949","1000020649.110","1451","100","1","-1","","-1","https://www.csdn.net/","-1","280","/release/cmsfe/public/font/DINCond-Black.36f2a9af.ttf","-1","","GET","-1","-1","","200","-1","","","5629","5272","5628","5628","5629","1","5272","5629","357","22","23","1","0","3","","","3444","","","","","","","","",
"163.181.50.226","60","458","2671","FE2F803119A219C8EC486D71AC5485AF","","","","-1","211011_JT_2G","5148","HIGHEST","","","-1","2668","-1","5148","-1","","5319","443","HTTP/2","100","3","https://kunpeng-sc.csdnimg.cn/?timestamp=1623163941/","5319","621","621","ssl/kunpeng-sc.csdnimg.cn:443","text/html","VeryHigh","97847","","-1","-1","script","ECDF6374A9C947A5F46631C27DA31E46","kunpeng-sc.csdnimg.cn","1166","FE2F803119A219C8EC486D71AC5485AF","0","100","1","4704","","-1","https://csdnimg.cn/release/cmsfe/public/js/chunk/common.d3a7f06f.js","83","302","/?timestamp=1623163941/","5231","49996","GET","444","5231","","200","88","gzip","","7990","5319","7987","7987","7990","3","4704","7990","3286","23","24","1","0","1","256","True","1238","","0","","","","eo","","",
"4.34.134.107","20","383","751","1000020649.23","0","","max-age=31536000","0","211011_JT_2G","-1","LOWEST","24215","","-1","736","100","-1","100","31536000","5363","","HTTP/2","-1","3","https://img-home.csdnimg.cn/images/20210926052450.jpg","-1","24215","","","image/jpeg","Low","","","-1","-1","parser","E23F64CA57C9A05A0B5197E63482D9AF","img-home.csdnimg.cn","24690","1000020649.23","","100","1","-1","","-1","https://www.csdn.net/","-1","214","/images/20210926052450.jpg","-1","","GET","-1","-1","","200","-1","","","6114","5363","6099","6099","6114","15","5363","6114","751","24","25","1","0","41","","","24215","","","","","","","100","7",
