"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","objectSizeUncompressed","final_base_page","http2_stream_dependency","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","score_progressive_jpeg","jpeg_scan_count","initiator_function",
"13.107.21.200","","381","38","125B662C198DD335B4E186518AFF9593","","","","-1","211011_JW_2H","39","HIGHEST","","","-1","38","-1","39","-1","","71","80","http/1.1","-1","3","http://bing.com/","-1","0","","bing.com:80","","VeryHigh","","","-1","-1","script","313F29797765366CAB82D294D04A1164","bing.com","0","125B662C198DD335B4E186518AFF9593","","-1","0","4","","-1","","32","104","/","-1","58136","GET","35","71","","301","-1","","","109","71","109","109","109","0","4","109","105","0","1","1","0","","","","","","","","","","","","",
"13.107.21.200","","385","77","125B662C198DD335B4E186518AFF9593-1","","","private","-1","211011_JW_2H","152","VeryHigh","","","-1","77","-1","152","-1","","183","80","http/1.1","-1","3","http://www.bing.com/","-1","183","","www.bing.com:80","text/html","VeryHigh","","","-1","-1","script","313F29797765366CAB82D294D04A1164","www.bing.com","183","125B662C198DD335B4E186518AFF9593","","-1","0","110","","-1","","31","115","/","-1","58140","GET","42","183","","302","-1","gzip","","260","183","260","260","260","0","110","260","150","1","2","1","0","","","","","","","","","","","","",
"13.107.21.200","","553","164","125B662C198DD335B4E186518AFF9593-2","","","private","-1","211011_JW_2H","-1","VeryHigh","","","-1","88","-1","262","-1","","349","443","HTTP/2","100","3","https://www.bing.com/?toHttps=1&redig=A0C9CAAE23F54FE0AC48DAD75FA31163","349","25508","25508","ssl/www.bing.com:443","text/html","VeryHigh","","","-1","-1","script","313F29797765366CAB82D294D04A1164","www.bing.com","25508","125B662C198DD335B4E186518AFF9593","0","100","1","-1","","-1","","33","122","/?toHttps=1&redig=A0C9CAAE23F54FE0AC48DAD75FA31163","296","40914","GET","-1","295","","200","53","br","","513","349","437","437","513","76","262","513","250","2","3","1","0","1","256","True","65326","1","0","1","10","5","","","",
"13.107.21.200","0","1008","65","1000023221.5","","","public, max-age=432000","0","211011_JW_2H","-1","MEDIUM","","","-1","65","50","-1","-1","432000","450","","HTTP/2","100","3","https://www.bing.com/rp/lmu8EBCaPRMKtay8LSArGyY3mv4.br.js","-1","5","5","","application/x-javascript","High","","","-1","-1","parser","313F29797765366CAB82D294D04A1164","www.bing.com","714","1000023221.5","0","100","1","-1","","-1","https://www.bing.com/?toHttps=1&redig=A0C9CAAE23F54FE0AC48DAD75FA31163","-1","122","/rp/lmu8EBCaPRMKtay8LSArGyY3mv4.br.js","-1","","GET","-1","-1","","200","-1","br","","515","450","515","515","515","0","450","515","65","3","4","1","0","3","220","True","1","","1","","0","","","","",
"13.107.21.200","0","1085","639","1000023221.4","0","","public, max-age=691200","0","211011_JW_2H","-1","MEDIUM","341388","","-1","94","100","-1","100","691200","450","","HTTP/2","-1","3","https://www.bing.com/th?id=OHR.MauricieAutumn_ROW9848344686_1920x1080.jpg&rf=LaDigue_1920x1080.jpg","-1","341388","","","image/jpeg","Low","","","-1","-1","parser","313F29797765366CAB82D294D04A1164","www.bing.com","341884","1000023221.4","","100","1","-1","","-1","https://www.bing.com/?toHttps=1&redig=A0C9CAAE23F54FE0AC48DAD75FA31163","-1","122","/th?id=OHR.MauricieAutumn_ROW9848344686_1920x1080.jpg&rf=LaDigue_1920x1080.jpg","-1","","GET","-1","-1","","200","-1","","","1089","450","544","544","1089","545","450","1089","639","4","5","1","0","5","147","True","341388","","3","","","","0","1","",
"13.107.21.200","4","1024","66","1000023221.11","","","public, max-age=432000","0","211011_JW_2H","-1","HIGHEST","","","-1","65","50","-1","-1","432000","1092","","HTTP/2","100","3","https://www.bing.com/rp/M7vNN7G8rlP3Ps10DerRVUzgxyM.br.css","-1","16378","16378","","text/css","VeryHigh","4930","","-1","-1","script","313F29797765366CAB82D294D04A1164","www.bing.com","16677","1000023221.11","0","100","1","-1","","-1","https://www.bing.com/?toHttps=1&redig=A0C9CAAE23F54FE0AC48DAD75FA31163","-1","122","/rp/M7vNN7G8rlP3Ps10DerRVUzgxyM.br.css","-1","","GET","-1","-1","","200","-1","br","","1158","1092","1157","1157","1158","1","1092","1158","66","5","6","1","0","7","256","True","76395","","0","","","","","","",
"13.107.21.200","","1238","80","1000023221.12","","","","-1","211011_JW_2H","-1","LOWEST","","","-1","80","-1","-1","-1","","1097","","HTTP/2","-1","3","https://www.bing.com/fd/ls/l?IG=58CFF1B2FE164116A38F353B6E9FEC8B&Type=Event.CPT&DATA={%22pp%22:{%22S%22:%22L%22,%22FC%22:-1,%22BC%22:-1,%22SE%22:-1,%22TC%22:-1,%22H%22:-1,%22BP%22:574,%22CT%22:576,%22IL%22:1},%22net%22:%22undefined%22}&P=SERP&DA=DUB02","-1","0","","","","Low","","","-1","-1","other","313F29797765366CAB82D294D04A1164","www.bing.com","109","1000023221.12","","100","1","-1","","-1","","-1","122","/fd/ls/l?IG=58CFF1B2FE164116A38F353B6E9FEC8B&Type=Event.CPT&DATA={%22pp%22:{%22S%22:%22L%22,%22FC%22:-1,%22BC%22:-1,%22SE%22:-1,%22TC%22:-1,%22H%22:-1,%22BP%22:574,%22CT%22:576,%22IL%22:1},%22net%22:%22undefined%22}&P=SERP&DA=DUB02","-1","","GET","-1","-1","","200","-1","","","1177","1097","1177","1177","1177","0","1097","1177","80","6","7","1","0","","","","","","","","","","","","",
"13.107.21.200","","1030","68","1000023221.13","","","public, max-age=15552000","0","211011_JW_2H","-1","MEDIUM","","","-1","67","100","-1","-1","15552000","1097","","HTTP/2","27","3","https://www.bing.com/sa/simg/favicon-2x.ico","-1","4286","4286","","image/x-icon","High","","","-1","-1","other","313F29797765366CAB82D294D04A1164","www.bing.com","4468","1000023221.13","3120","100","1","-1","","-1","","-1","122","/sa/simg/favicon-2x.ico","-1","","GET","-1","-1","","200","-1","","","1165","1097","1164","1164","1165","1","1097","1165","68","7","8","1","0","11","220","True","4286","","7","","","","","","",
"13.107.21.200","4","1079","80","1000023221.14","","","","-1","211011_JW_2H","-1","IDLE","","","-1","80","-1","-1","-1","","1098","","HTTP/2","-1","3","https://www.bing.com/fd/ls/lsp.aspx?","-1","92","","","","VeryLow","2689","","-1","-1","script","313F29797765366CAB82D294D04A1164","www.bing.com","92","1000023221.14","","-1","1","-1","","-1","https://www.bing.com/?toHttps=1&redig=A0C9CAAE23F54FE0AC48DAD75FA31163","-1","122","/fd/ls/lsp.aspx","-1","","POST","-1","-1","","204","-1","","","1178","1098","1178","1178","1178","0","1098","1178","80","8","9","1","0","13","110","True","","","9","","","","","","n.log",
"13.107.21.200","3","1038","77","1000023221.15","","","public, max-age=432000","0","211011_JW_2H","-1","LOWEST","","","-1","76","50","-1","-1","432000","1100","","HTTP/2","100","3","https://www.bing.com/rp/vJas3x65T1E8ayI2_YkhhCg5F5U.br.js","-1","6632","6632","","text/javascript","Low","818","","-1","-1","script","313F29797765366CAB82D294D04A1164","www.bing.com","6934","1000023221.15","0","100","1","-1","","-1","https://www.bing.com/?toHttps=1&redig=A0C9CAAE23F54FE0AC48DAD75FA31163","-1","122","/rp/vJas3x65T1E8ayI2_YkhhCg5F5U.br.js","-1","","GET","-1","-1","","200","-1","br","","1177","1100","1176","1176","1177","1","1100","1177","77","9","10","1","0","15","147","True","17246","","9","","19","18","","","",
