"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","http2_stream_dependency","final_base_page","objectSizeUncompressed","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","initiator_function","score_progressive_jpeg","jpeg_scan_count",
"54.246.79.9","","384","81","1C273B5E892095599C3FE30FA0BCD2C6","","","","-1","211011_NM_2A","49","HIGHEST","","","-1","81","-1","49","-1","","119","80","http/1.1","-1","3","http://netflix.com/","-1","0","","netflix.com:80","","VeryHigh","","","-1","-1","script","99CD489834EC2D339E4B9F4E966587F4","netflix.com","0","1C273B5E892095599C3FE30FA0BCD2C6","","-1","0","3","","-1","","70","104","/","-1","55638","GET","46","119","","301","-1","","","200","119","200","200","200","0","3","200","197","0","1","1","0","","","","","","","","","","","","",
"54.246.79.9","","581","159","1C273B5E892095599C3FE30FA0BCD2C6-1","","","no-cache, no-store","-1","211011_NM_2A","-1","VeryHigh","","","-1","159","-1","201","-1","","354","443","HTTP/2","-1","3","https://netflix.com/","354","0","","ssl/netflix.com:443","","VeryHigh","","","-1","-1","script","99CD489834EC2D339E4B9F4E966587F4","netflix.com","0","1C273B5E892095599C3FE30FA0BCD2C6","","-1","1","-1","","-1","","71","115","/","272","41874","GET","-1","272","","301","82","","","513","354","513","513","513","0","201","513","312","1","2","1","0","1","256","True","0","","","","","","","","",
"54.246.79.9","","585","262","1C273B5E892095599C3FE30FA0BCD2C6-2","","","no-cache, no-store","-1","211011_NM_2A","-1","VeryHigh","","","-1","262","-1","-1","-1","","549","","HTTP/2","-1","3","https://www.netflix.com/","-1","0","","","text/html","VeryHigh","","0","-1","-1","script","99CD489834EC2D339E4B9F4E966587F4","www.netflix.com","0","1C273B5E892095599C3FE30FA0BCD2C6","","-1","1","-1","","-1","","-1","115","/","-1","","GET","-1","-1","","302","-1","","","811","549","811","811","811","0","549","811","262","2","3","1","0","","","","","","","","","","","","",
"54.246.79.9","","1155","408","1C273B5E892095599C3FE30FA0BCD2C6-3","","","no-cache, no-store, must-revalidate","-1","211011_NM_2A","-1","VeryHigh","","","-1","310","-1","-1","-1","","813","","HTTP/2","100","3","https://www.netflix.com/cz-en/","-1","42532","42532","","text/html","VeryHigh","","0","-1","-1","script","99CD489834EC2D339E4B9F4E966587F4","www.netflix.com","42532","1C273B5E892095599C3FE30FA0BCD2C6","0","100","1","-1","","-1","","-1","115","/cz-en/","-1","","GET","-1","-1","","200","-1","gzip","","1221","813","1123","1123","1221","98","813","1221","408","3","4","1","0","5","","","","1","295750","1","14","","","","",
"","","0","87","99999.99999.1","","","max-age=0","-1","211011_NM_2A","-1","HIGHEST","","","-1","87","-1","-1","-1","","1135","","HTTP/2","-1","3","https://www.netflix.com/personalization/cl2/freeform/WebsiteDetect?source=wwwhead&fetchType=css&modalView=nmLanding","-1","0","","","","","","Sun, 10 Oct 2021 14:45:58 GMT","-1","-1","","99CD489834EC2D339E4B9F4E966587F4","www.netflix.com","0","99999.99999.1","","-1","1","-1","","-1","","-1","","/personalization/cl2/freeform/WebsiteDetect?source=wwwhead&fetchType=css&modalView=nmLanding","-1","","","-1","-1","","200","-1","","","1222","1135","1222","1222","1222","0","1135","1222","87","4","5","1","0","","","","","","","","","","","","",
"54.246.79.9","0","1265","120","1000007102.21","","","max-age=0","-1","211011_NM_2A","-1","MEDIUM","","","-1","120","-1","-1","-1","","1228","","HTTP/2","-1","3","https://www.netflix.com/personalization/cl2/freeform/WebsiteDetect?source=wwwhead&fetchType=js&modalView=nmLanding","-1","0","","","","High","1468","Sun, 10 Oct 2021 14:45:58 GMT","-1","-1","script","99CD489834EC2D339E4B9F4E966587F4","www.netflix.com","194","1000007102.21","","100","1","-1","","-1","https://www.netflix.com/cz-en/","-1","115","/personalization/cl2/freeform/WebsiteDetect?source=wwwhead&fetchType=js&modalView=nmLanding","-1","","GET","-1","-1","","200","-1","","","1348","1228","1348","1348","1348","0","1228","1348","120","5","6","1","0","","","","","","","","","","","","",
"54.246.79.9","0","1297","118","1000007102.22","","","max-age=0","-1","211011_NM_2A","-1","MEDIUM","","","-1","118","-1","-1","-1","","1228","","HTTP/2","-1","3","https://www.netflix.com/personalization/cl2/freeform/WebsiteScreen?source=wwwhead&fetchType=js&winw=1024&winh=768&screenw=1024&screenh=702&ratio=1","-1","0","","","","High","1841","Sun, 10 Oct 2021 14:45:58 GMT","-1","-1","script","99CD489834EC2D339E4B9F4E966587F4","www.netflix.com","227","1000007102.22","","100","1","-1","","-1","https://www.netflix.com/cz-en/","-1","115","/personalization/cl2/freeform/WebsiteScreen?source=wwwhead&fetchType=js&winw=1024&winh=768&screenw=1024&screenh=702&ratio=1","-1","","GET","-1","-1","","200","-1","","","1346","1228","1346","1346","1346","0","1228","1346","118","6","7","1","0","","","","","","","","","","","","",
"104.16.149.64","0","357","64","1000007102.7","","","public, max-age=14400","100","211011_NM_2A","1174","MEDIUM","","","-1","54","0","1174","-1","-5551817","1268","443","HTTP/2","100","3","https://cdn.cookielaw.org/scripttemplates/otSDKStub.js","1268","6328","6328","ssl/cdn.cookielaw.org:443","application/javascript","High","","Mon, 11 Oct 2021 18:45:58 GMT","-1","-1","parser","99CD489834EC2D339E4B9F4E966587F4","cdn.cookielaw.org","6980","1000007102.7","0","100","1","1133","","-1","https://www.netflix.com/cz-en/","44","181","/scripttemplates/otSDKStub.js","1218","46000","GET","41","1218","","200","50","gzip","Cloudflare","1332","1268","1322","1322","1332","10","1133","1332","199","7","8","1","0","1","220","True","0","","18980","","7","7","","","",
"45.57.91.1","0","464","69","1000007102.8","","","public, max-age=16070400","0","211011_NM_2A","1165","HIGHEST","","","-1","63","100","1165","-1","16070400","1293","443","http/1.1","100","3","https://codex.nflxext.com/%5E3.0.0/truthBundle/webui/1.22.5-shakti-css-v080e06a5/css/css/less%7Ccore%7Cerror-page.less/1/avsyuE4CqtAf9xBD/none/true/none","1293","2595","2595","ssl/codex.nflxext.com:443","text/css","VeryHigh","","Mon, 11 Apr 2022 16:09:36 GMT","-1","-1","parser","99CD489834EC2D339E4B9F4E966587F4","codex.nflxext.com","3013","1000007102.8","0","100","1","1131","","-1","https://www.netflix.com/cz-en/","58","177","/%5E3.0.0/truthBundle/webui/1.22.5-shakti-css-v080e06a5/css/css/less%7Ccore%7Cerror-page.less/1/avsyuE4CqtAf9xBD/none/true/none","1223","44798","GET","34","1223","","200","70","gzip","","1362","1293","1356","1356","1362","6","1131","1362","231","8","9","1","0","","","","","","11540","","","","","","",
"45.57.91.1","0","467","96","1000007102.9","","","public, max-age=16070400","0","211011_NM_2A","-1","HIGHEST","","","-1","66","100","1165","-1","16070400","1300","443","http/1.1","100","3","https://codex.nflxext.com/%5E3.0.0/truthBundle/webui/1.22.5-shakti-css-v080e06a5/css/css/less%7Csignup%7Cnmhp%7Cnmhp.less/1/avsyuE4CqtAf9xBD/none/true/none","1299","16973","16973","ssl/codex.nflxext.com:443","text/css","VeryHigh","","Mon, 11 Apr 2022 16:14:59 GMT","-1","-1","parser","99CD489834EC2D339E4B9F4E966587F4","codex.nflxext.com","17392","1000007102.9","0","100","1","-1","","-1","https://www.netflix.com/cz-en/","62","178","/%5E3.0.0/truthBundle/webui/1.22.5-shakti-css-v080e06a5/css/css/less%7Csignup%7Cnmhp%7Cnmhp.less/1/avsyuE4CqtAf9xBD/none/true/none","1227","44800","GET","-1","1227","","200","72","gzip","","1396","1300","1366","1366","1396","30","1165","1396","230","9","10","1","0","","","","","","109598","","","","","","",
