"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","http2_stream_dependency","objectSizeUncompressed","final_base_page","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","initiator_function",
"104.215.148.63","","386","194","DDCE374CB9CE9E177BBFD099A22A0F8D","","","","-1","211011_V7_27","36","HIGHEST","","","-1","194","-1","36","-1","","227","80","http/1.1","-1","3","http://microsoft.com/","-1","0","","microsoft.com:80","","VeryHigh","","","-1","-1","script","5BE1BE4ABB4507EB8CF421305F33D78A","microsoft.com","0","DDCE374CB9CE9E177BBFD099A22A0F8D","","-1","0","3","","-1","","191","108","/","-1","41596","GET","33","227","","301","-1","","","421","227","421","421","421","0","3","421","418","0","1","1","0","","","","","","","","","","",
"2.23.9.218","","400","45","DDCE374CB9CE9E177BBFD099A22A0F8D-1","","","","-1","211011_V7_27","465","VeryHigh","","","-1","45","-1","466","-1","","575","443","HTTP/2","-1","3","https://www.microsoft.com/","575","0","","ssl/www.microsoft.com:443","","VeryHigh","","","-1","-1","script","5BE1BE4ABB4507EB8CF421305F33D78A","www.microsoft.com","0","DDCE374CB9CE9E177BBFD099A22A0F8D","","-1","1","423","","-1","","32","116","/","498","49496","GET","42","498","","302","77","","","620","575","620","620","620","0","423","620","196","1","2","1","0","1","256","True","0","","","","","","",
"2.23.9.218","","406","192","DDCE374CB9CE9E177BBFD099A22A0F8D-2","","","no-cache, no-store, no-transform","100","211011_V7_27","-1","VeryHigh","","","-1","131","-1","-1","-1","","621","","HTTP/2","100","3","https://www.microsoft.com/cs-cz/","-1","38046","38046","","text/html","VeryHigh","","-1","-1","-1","script","5BE1BE4ABB4507EB8CF421305F33D78A","www.microsoft.com","38973","DDCE374CB9CE9E177BBFD099A22A0F8D","0","100","1","-1","","-1","","-1","116","/cs-cz/","-1","","GET","-1","-1","","200","-1","gzip","Akamai","813","621","752","752","813","61","621","813","192","2","3","1","0","3","256","True","0","173439","1","1","12","148","",
"2.23.9.218","40","486","115","1000000361.4","","","public, max-age=18866233","100","211011_V7_27","-1","MEDIUM","","","-1","86","100","-1","-1","18866233","760","","HTTP/2","-1","3","https://www.microsoft.com/mwf/_h/v3.54/mwf.app/fonts/mwfmdl2-v3.54.woff2","-1","22904","","","application/font-woff2","High","","Tue, 17 May 2022 23:20:07 GMT","-1","-1","parser","5BE1BE4ABB4507EB8CF421305F33D78A","www.microsoft.com","23528","1000000361.4","","100","1","-1","","-1","https://www.microsoft.com/cs-cz/","-1","116","/mwf/_h/v3.54/mwf.app/fonts/mwfmdl2-v3.54.woff2","-1","","GET","-1","-1","","200","-1","","Akamai","875","760","846","846","875","29","760","875","115","3","4","1","0","5","220","True","3","22904","","","","","",
"2.23.9.218","47","674","184","1000000361.5","","","public, max-age=21886024","100","211011_V7_27","-1","HIGHEST","","","-1","125","100","-1","-1","21886024","762","","HTTP/2","100","3","https://www.microsoft.com/mwf/css/MWF_20210208_31270267/east-european/default/alert/autosuggest/contentplacement/contentplacementitem/flipper/glyph/heading/hero/heroitem/hyperlinkgroup/image/list/pagebehaviors/singleslidecarousel/skiptomain/social?apiVersion=1.0&include_base=true","-1","41067","41067","","text/css","VeryHigh","","Tue, 21 Jun 2022 22:09:58 GMT","-1","-1","parser","5BE1BE4ABB4507EB8CF421305F33D78A","www.microsoft.com","41799","1000000361.5","0","100","1","-1","","-1","https://www.microsoft.com/cs-cz/","-1","116","/mwf/css/MWF_20210208_31270267/east-european/default/alert/autosuggest/contentplacement/contentplacementitem/flipper/glyph/heading/hero/heroitem/hyperlinkgroup/image/list/pagebehaviors/singleslidecarousel/skiptomain/social?apiVersion=1.0&include_base=true","-1","","GET","-1","-1","","200","-1","gzip","Akamai","946","762","887","887","946","59","762","946","184","4","5","1","0","7","256","True","3","386106","","","","","",
"2.23.9.218","48","620","366","1000000361.6","","","public, max-age=30440322","100","211011_V7_27","-1","HIGHEST","","","-1","341","100","-1","-1","30440322","762","","HTTP/2","100","3","https://www.microsoft.com/onerfstatics/marketingsites-neu-prod/east-european/mscomhp/_scrf/css/themes=default.device=uplevel_web_pc_webkit_chrome/79-c00f97/57-7b1339/37-e29aca/21-7d6c87/5a-e79275/c3-85a934?ver=2.0&_cf=20210618","-1","13635","13635","","text/css","VeryHigh","","Wed, 28 Sep 2022 22:21:36 GMT","-1","-1","parser","5BE1BE4ABB4507EB8CF421305F33D78A","www.microsoft.com","14319","1000000361.6","0","100","1","-1","","-1","https://www.microsoft.com/cs-cz/","-1","116","/onerfstatics/marketingsites-neu-prod/east-european/mscomhp/_scrf/css/themes=default.device=uplevel_web_pc_webkit_chrome/79-c00f97/57-7b1339/37-e29aca/21-7d6c87/5a-e79275/c3-85a934?ver=2.0&_cf=20210618","-1","","GET","-1","-1","","200","-1","gzip","Akamai","1128","762","1103","1103","1128","25","762","1128","366","5","6","1","0","9","256","True","7","96978","","","","","",
"2.23.9.218","73","546","243","1000000361.10","","","public, max-age=18866394","100","211011_V7_27","-1","LOWEST","","","-1","202","100","-1","-1","18866394","776","","HTTP/2","100","3","https://www.microsoft.com/onerfstatics/marketingsites-neu-prod/_h/dfa0b592/coreui.statics/externalscripts/jquery/jquery-3.5.1.min.js","-1","30958","30958","","application/javascript","Low","","Tue, 17 May 2022 23:22:48 GMT","-1","-1","parser","5BE1BE4ABB4507EB8CF421305F33D78A","www.microsoft.com","31657","1000000361.10","0","100","1","-1","","-1","https://www.microsoft.com/cs-cz/","-1","116","/onerfstatics/marketingsites-neu-prod/_h/dfa0b592/coreui.statics/externalscripts/jquery/jquery-3.5.1.min.js","-1","","GET","-1","-1","","200","-1","gzip","Akamai","1019","776","978","978","1019","41","776","1019","243","6","7","1","0","11","147","True","5","89478","","","13","2","",
"2.23.9.218","75","839","299","1000000361.12","","","public, max-age=29229697","100","211011_V7_27","-1","MEDIUM","","","-1","255","100","-1","-1","29229697","776","","HTTP/2","100","3","https://www.microsoft.com/onerfstatics/marketingsites-neu-prod/mscomhp/_scrf/js/themes=default/2f-63ce8f/45-f9a0d4/aa-dc1460/2d-7a9063/dc-7e9864/4f-5115f8/7d-266f10/4a-abd94b/6d-c07ea1/b0-ec9dd0/f6-aa5278/cd-23d3b0/6d-1e7ed0/b7-cadaa7/c4-898cf2/ca-40b7b0/4e-ee3a55/3e-f5c39b/c3-6454d7/f9-7592d3/92-10345d/f8-73a5f2/79-499886/7e-cda2d3/69-13871c/6a-234a32/de-884374/1f-100dea/33-abe4df/17-f90ef1/e3-082b89?ver=2.0&_cf=20210618","-1","29974","29974","","text/javascript","High","","Wed, 14 Sep 2022 22:04:31 GMT","-1","-1","parser","5BE1BE4ABB4507EB8CF421305F33D78A","www.microsoft.com","30708","1000000361.12","0","100","1","-1","","-1","https://www.microsoft.com/cs-cz/","-1","116","/onerfstatics/marketingsites-neu-prod/mscomhp/_scrf/js/themes=default/2f-63ce8f/45-f9a0d4/aa-dc1460/2d-7a9063/dc-7e9864/4f-5115f8/7d-266f10/4a-abd94b/6d-c07ea1/b0-ec9dd0/f6-aa5278/cd-23d3b0/6d-1e7ed0/b7-cadaa7/c4-898cf2/ca-40b7b0/4e-ee3a55/3e-f5c39b/c3-6454d7/f9-7592d3/92-10345d/f8-73a5f2/79-499886/7e-cda2d3/69-13871c/6a-234a32/de-884374/1f-100dea/33-abe4df/17-f90ef1/e3-082b89?ver=2.0&_cf=20210618","-1","","GET","-1","-1","","200","-1","gzip","Akamai","1075","776","1031","1031","1075","44","776","1075","299","7","8","1","0","13","220","True","5","114489","","","1","1","",
"2.23.9.218","76","539","352","1000000361.13","","","public, max-age=26181318","100","211011_V7_27","-1","MEDIUM","","","-1","328","100","-1","-1","26181318","776","","HTTP/2","100","3","https://www.microsoft.com/onerfstatics/marketingsites-neu-prod/mscomhp/_scrf/js/themes=default/a4-539297?ver=2.0&_cf=20210618","-1","558","558","","text/javascript","High","","Wed, 10 Aug 2022 15:18:12 GMT","-1","-1","parser","5BE1BE4ABB4507EB8CF421305F33D78A","www.microsoft.com","1219","1000000361.13","0","100","1","-1","","-1","https://www.microsoft.com/cs-cz/","-1","116","/onerfstatics/marketingsites-neu-prod/mscomhp/_scrf/js/themes=default/a4-539297?ver=2.0&_cf=20210618","-1","","GET","-1","-1","","200","-1","gzip","Akamai","1128","776","1104","1104","1128","24","776","1128","352","8","9","1","0","15","220","True","13","1229","","","0","","",
"2.23.9.218","77","549","482","1000000361.14","","","public, max-age=26885000","100","211011_V7_27","-1","MEDIUM","","","-1","366","100","-1","-1","26885000","776","","HTTP/2","100","3","https://www.microsoft.com/onerfstatics/marketingsites-neu-prod/mscomhp/_scrf/js/themes=default/cf-5e220a/cb-1abbc4?ver=2.0&_cf=20210618","-1","70150","70150","","text/javascript","High","","Thu, 18 Aug 2022 18:46:14 GMT","-1","-1","parser","5BE1BE4ABB4507EB8CF421305F33D78A","www.microsoft.com","70967","1000000361.14","0","100","1","-1","","-1","https://www.microsoft.com/cs-cz/","-1","116","/onerfstatics/marketingsites-neu-prod/mscomhp/_scrf/js/themes=default/cf-5e220a/cb-1abbc4?ver=2.0&_cf=20210618","-1","","GET","-1","-1","","200","-1","gzip","Akamai","1258","776","1142","1142","1258","116","776","1258","482","9","10","1","0","17","220","True","15","252652","","","14","26","",
