"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","objectSizeUncompressed","final_base_page","http2_stream_dependency","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","initiator_function","score_progressive_jpeg","jpeg_scan_count",
"140.205.94.193","","382","321","616AF419591870650B38AD217EDFF8AA","","","","-1","211011_VM_1Q","347","HIGHEST","","","-1","321","-1","347","-1","","658","80","http/1.1","-1","3","http://tmall.com/","-1","258","","tmall.com:80","text/html","VeryHigh","","","-1","-1","script","8D909E9ABBA61C4293BDB1CB8B656E8C","tmall.com","258","616AF419591870650B38AD217EDFF8AA","","-1","0","3","","-1","","311","107","/","-1","58490","GET","344","658","","302","-1","","","979","658","979","979","979","0","3","979","976","0","1","1","0","","","","","","","","","","","","",
"47.246.48.232","","386","49","616AF419591870650B38AD217EDFF8AA-1","","","","-1","211011_VM_1Q","1427","VeryHigh","","","-1","49","-1","1427","-1","","1471","80","http/1.1","-1","3","http://www.tmall.com/","-1","242","","www.tmall.com:80","text/html","VeryHigh","","","-1","-1","script","8D909E9ABBA61C4293BDB1CB8B656E8C","www.tmall.com","242","616AF419591870650B38AD217EDFF8AA","","-1","0","980","","-1","","44","116","/","-1","60368","GET","447","1471","","302","-1","","","1520","1471","1520","1520","1520","0","980","1520","540","1","2","1","0","","","","","","","","","","","","",
"47.246.48.232","","396","72","616AF419591870650B38AD217EDFF8AA-2","","","max-age=0, s-maxage=140","-1","211011_VM_1Q","-1","VeryHigh","","","-1","63","-1","1521","-1","","2280","443","HTTP/2","100","3","https://www.tmall.com/","2279","6640","6640","ssl/www.tmall.com:443","text/html","VeryHigh","","","-1","-1","script","8D909E9ABBA61C4293BDB1CB8B656E8C","www.tmall.com","6640","616AF419591870650B38AD217EDFF8AA","0","100","1","-1","","-1","","47","123","/","1568","44562","GET","-1","1568","","200","711","gzip","","2352","2280","2343","2343","2352","9","1521","2352","830","2","3","1","0","1","256","True","18703","1","0","1","2","","","","",
"47.246.43.251","107","363","218","1000025193.9","","","max-age=2592000,s-maxage=3600","0","211011_VM_1Q","-1","MEDIUM","","","-1","182","100","-1","-1","2588471","3189","","HTTP/2","100","3","https://g.alicdn.com/??code/lib/babel-polyfill/7.2.3/polyfill.min.js","-1","37705","37705","","application/javascript","High","","","-1","-1","parser","8D909E9ABBA61C4293BDB1CB8B656E8C","g.alicdn.com","38064","1000025193.9","0","100","1","-1","","-1","https://www.tmall.com/","-1","177","/??code/lib/babel-polyfill/7.2.3/polyfill.min.js","-1","","GET","-1","-1","","200","-1","gzip","","3407","3189","3371","3371","3407","36","3189","3407","218","3","4","1","0","7","","","96193","","","","30","","","","",
"47.246.43.251","107","343","267","1000025193.10","","","max-age=2592000,s-maxage=3600","0","211011_VM_1Q","-1","MEDIUM","","","-1","267","100","-1","-1","2590415","3189","","HTTP/2","100","3","https://g.alicdn.com/mtb/lib-mtop/2.3.14/mtop.js","-1","7841","7841","","application/javascript","High","","","-1","-1","parser","8D909E9ABBA61C4293BDB1CB8B656E8C","g.alicdn.com","8271","1000025193.10","0","100","1","-1","","-1","https://www.tmall.com/","-1","177","/mtb/lib-mtop/2.3.14/mtop.js","-1","","GET","-1","-1","","200","-1","gzip","","3456","3189","3456","3456","3456","0","3189","3456","267","4","5","1","0","9","","","20979","","","","12","0","","","",
"47.246.43.251","107","338","248","1000025193.12","","","max-age=2592000,s-maxage=3600","0","211011_VM_1Q","-1","MEDIUM","","","-1","247","100","-1","-1","2589303","3189","","HTTP/2","100","3","https://g.alicdn.com/tbhome/tm-nav/index.js","-1","16808","16808","","application/javascript","High","","","-1","-1","parser","8D909E9ABBA61C4293BDB1CB8B656E8C","g.alicdn.com","17147","1000025193.12","0","100","1","-1","","-1","https://www.tmall.com/","-1","177","/tbhome/tm-nav/index.js","-1","","GET","-1","-1","","200","-1","gzip","","3437","3189","3436","3436","3437","1","3189","3437","248","5","6","1","0","11","","","48894","","","","13","6","","","",
"47.246.43.251","3","354","61","1000025193.4","","","max-age=2592000,s-maxage=3600","0","211011_VM_1Q","3096","HIGHEST","","","-1","50","100","3096","-1","2590980","3189","443","HTTP/2","100","3","https://g.alicdn.com/tbhome/tm-nav/index.css","3188","8580","8580","ssl/g.alicdn.com:443","text/css","VeryHigh","","","-1","-1","parser","8D909E9ABBA61C4293BDB1CB8B656E8C","g.alicdn.com","9131","1000025193.4","0","100","1","2350","","-1","https://www.tmall.com/","41","177","/tbhome/tm-nav/index.css","3137","43668","GET","746","3137","","200","51","gzip","","3250","3189","3239","3239","3250","11","2350","3250","899","6","7","1","0","1","256","True","37037","","0","","","","","","",
"47.246.43.251","3","393","96","1000025193.5","","","max-age=2592000,s-maxage=86400","0","211011_VM_1Q","-1","HIGHEST","","","-1","94","100","-1","-1","2573206","3189","","HTTP/2","100","3","https://g.alicdn.com/code/npm/@ali/pegasus-project-newTm/0.0.4/pages/home/index.css","-1","3238","3238","","text/css","VeryHigh","","","-1","-1","parser","8D909E9ABBA61C4293BDB1CB8B656E8C","g.alicdn.com","3586","1000025193.5","0","100","1","-1","","-1","https://www.tmall.com/","-1","177","/code/npm/@ali/pegasus-project-newTm/0.0.4/pages/home/index.css","-1","","GET","-1","-1","","200","-1","gzip","","3285","3189","3283","3283","3285","2","3189","3285","96","7","8","1","0","3","","","14927","","","","","","","","",
"47.246.43.251","107","353","117","1000025193.8","","","max-age=2592000,s-maxage=86400","0","211011_VM_1Q","-1","MEDIUM","","","-1","117","100","-1","-1","2569787","3189","","HTTP/2","100","3","https://g.alicdn.com/jstracker/sdk-assests/5.1.29/index.js","-1","11180","11180","","application/javascript","High","","","-1","-1","parser","8D909E9ABBA61C4293BDB1CB8B656E8C","g.alicdn.com","11533","1000025193.8","0","100","1","-1","","-1","https://www.tmall.com/","-1","177","/jstracker/sdk-assests/5.1.29/index.js","-1","","GET","-1","-1","","200","-1","gzip","","3306","3189","3306","3306","3306","0","3189","3306","117","8","9","1","0","5","","","33595","","","","6","0","","","",
"47.246.43.251","107","408","314","1000025193.11","","","max-age=2592000,s-maxage=86400","0","211011_VM_1Q","-1","MEDIUM","","","-1","48","100","3096","-1","2573206","3211","443","HTTP/2","100","3","https://g.alicdn.com/code/npm/@ali/pegasus-project-newTm/0.0.4/pages/home/index.js","3210","78142","78142","pm/ssl/g.alicdn.com:443","application/javascript","High","","","-1","-1","parser","8D909E9ABBA61C4293BDB1CB8B656E8C","g.alicdn.com","78791","1000025193.11","0","100","1","-1","","-1","https://www.tmall.com/","44","182","/code/npm/@ali/pegasus-project-newTm/0.0.4/pages/home/index.js","3140","43678","GET","-1","3140","","200","70","gzip","","3525","3211","3259","3259","3525","266","3096","3525","428","9","10","1","0","1","220","True","322508","","0","","55","72","","","",
