"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","objectSizeUncompressed","final_base_page","http2_stream_dependency","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","initiator_function","score_progressive_jpeg","jpeg_scan_count",
"52.202.62.235","","380","133","E170834BEA7AF1A98A37E807EBF0FAB3","","","","-1","211011_VY_21","48","HIGHEST","","","-1","133","-1","48","-1","","178","80","http/1.1","-1","3","http://zoom.us/","-1","134","","zoom.us:80","text/html","VeryHigh","","","-1","-1","script","031BD66EF7B3A27101B76D05C4D1CB23","zoom.us","134","E170834BEA7AF1A98A37E807EBF0FAB3","","-1","0","3","","-1","","130","104","/","-1","39082","GET","45","178","","301","-1","","","311","178","311","311","311","0","3","311","308","0","1","1","0","","","","","","","","","","","","",
"52.202.62.235","","390","302","E170834BEA7AF1A98A37E807EBF0FAB3-1","","","","-1","211011_VY_21","-1","VeryHigh","","","-1","151","-1","313","-1","","586","443","HTTP/2","100","3","https://zoom.us/","586","29204","29204","ssl/zoom.us:443","text/html","VeryHigh","","","-1","-1","script","031BD66EF7B3A27101B76D05C4D1CB23","zoom.us","29204","E170834BEA7AF1A98A37E807EBF0FAB3","0","100","1","-1","","-1","","130","115","/","443","52824","GET","-1","443","","200","143","gzip","","888","586","737","737","888","151","313","888","575","1","2","1","0","1","256","True","100293","1","0","1","6","1","","","",
"52.202.62.235","498","508","206","1000018011.9","","","private, max-age=28800","0","211011_VY_21","-1","MEDIUM","","","-1","205","50","-1","-1","28800","749","","HTTP/2","100","3","https://zoom.us/csrf_js","-1","5930","5930","","text/javascript","High","","","-1","-1","parser","031BD66EF7B3A27101B76D05C4D1CB23","zoom.us","5930","1000018011.9","0","100","1","-1","","-1","https://zoom.us/","-1","115","/csrf_js","-1","","GET","-1","-1","","200","-1","gzip","","955","749","954","954","955","1","749","955","206","2","3","1","0","3","220","True","15565","","1","","226","1","","","",
"13.226.88.248","508","528","197","1000018011.11","","","","100","211011_VY_21","-1","HIGHEST","","","-1","192","0","-1","-1","0","906","","HTTP/2","100","3","https://st1.zoom.us/static/5.2.2415/css/vue/zoom-components.min.css","-1","19880","19880","","text/css","VeryHigh","","","-1","-1","parser","031BD66EF7B3A27101B76D05C4D1CB23","st1.zoom.us","19880","1000018011.11","0","100","1","-1","","-1","https://zoom.us/","-1","184","/static/5.2.2415/css/vue/zoom-components.min.css","-1","","GET","-1","-1","","200","-1","gzip","Amazon CloudFront","1103","906","1098","1098","1103","5","906","1103","197","3","4","1","0","7","","","133258","","","","","","","","",
"13.226.88.248","507","550","136","1000018011.10","","","","100","211011_VY_21","-1","HIGHEST","","","-1","136","0","-1","-1","0","906","","HTTP/2","100","3","https://st1.zoom.us/static/5.2.2415/js/lib/vue/advanced/notification/notification.min.css","-1","985","985","","text/css","VeryHigh","","","-1","-1","parser","031BD66EF7B3A27101B76D05C4D1CB23","st1.zoom.us","985","1000018011.10","0","100","1","-1","","-1","https://zoom.us/","-1","184","/static/5.2.2415/js/lib/vue/advanced/notification/notification.min.css","-1","","GET","-1","-1","","200","-1","gzip","Amazon CloudFront","1042","906","1042","1042","1042","0","906","1042","136","4","5","1","0","3","","","1226","","","","","","","","",
"13.226.88.248","50","512","131","1000018011.5","","","","100","211011_VY_21","790","HIGHEST","","","-1","88","0","790","-1","0","906","443","HTTP/2","100","3","https://st1.zoom.us/static/5.2.2415/css/all.min.css","905","38995","38995","ssl/st1.zoom.us:443","text/css","VeryHigh","","","-1","-1","parser","031BD66EF7B3A27101B76D05C4D1CB23","st1.zoom.us","38995","1000018011.5","0","100","1","745","","-1","https://zoom.us/","38","184","/static/5.2.2415/css/all.min.css","828","48966","GET","45","828","","200","77","gzip","Amazon CloudFront","1037","906","994","994","1037","43","745","1037","291","5","6","1","0","1","256","True","199704","","0","","","","","","",
"13.226.88.248","51","516","164","1000018011.6","","","","100","211011_VY_21","-1","HIGHEST","","","-1","163","0","-1","-1","0","906","","HTTP/2","100","3","https://st1.zoom.us/static/5.2.2415/css/landing.min.css","-1","13560","13560","","text/css","VeryHigh","","","-1","-1","parser","031BD66EF7B3A27101B76D05C4D1CB23","st1.zoom.us","13560","1000018011.6","0","100","1","-1","","-1","https://zoom.us/","-1","184","/static/5.2.2415/css/landing.min.css","-1","","GET","-1","-1","","200","-1","gzip","Amazon CloudFront","1070","906","1069","1069","1070","1","906","1070","164","6","7","1","0","5","","","77614","","","","","","","","",
"13.226.88.248","52","526","202","1000018011.7","","","","100","211011_VY_21","-1","HIGHEST","","","-1","202","0","-1","-1","0","906","","HTTP/2","100","3","https://st1.zoom.us/static/5.2.2415/css/carousel/carousel.min.css","-1","908","908","","text/css","VeryHigh","","","-1","-1","parser","031BD66EF7B3A27101B76D05C4D1CB23","st1.zoom.us","908","1000018011.7","0","100","1","-1","","-1","https://zoom.us/","-1","184","/static/5.2.2415/css/carousel/carousel.min.css","-1","","GET","-1","-1","","200","-1","gzip","Amazon CloudFront","1108","906","1108","1108","1108","0","906","1108","202","7","8","1","0","9","","","1115","","","","","","","","",
"13.226.88.248","44","507","203","1000018011.4","","","","100","211011_VY_21","-1","MEDIUM","","","-1","203","0","-1","-1","0","906","","HTTP/2","100","3","https://st1.zoom.us/static/5.2.2415/js/app/dmbredirect.min.js","-1","1193","1193","","application/javascript","High","","","-1","-1","parser","031BD66EF7B3A27101B76D05C4D1CB23","st1.zoom.us","1193","1000018011.4","0","100","1","-1","","-1","https://zoom.us/","-1","184","/static/5.2.2415/js/app/dmbredirect.min.js","-1","","GET","-1","-1","","200","-1","gzip","Amazon CloudFront","1109","906","1109","1109","1109","0","906","1109","203","8","9","1","0","11","","","1599","","","","1","0","","","",
"13.226.88.248","509","552","155","1000018011.12","","","","100","211011_VY_21","795","HIGHEST","","","-1","154","0","795","-1","0","965","443","HTTP/2","100","3","https://st3.zoom.us/static/5.2.2415/js/lib/vue/advanced/popup-captcha/popup-captcha.min.css","965","4557","4557","ssl/st3.zoom.us:443","text/css","VeryHigh","","","-1","-1","parser","031BD66EF7B3A27101B76D05C4D1CB23","st3.zoom.us","4557","1000018011.12","0","100","1","751","","-1","https://zoom.us/","37","190","/static/5.2.2415/js/lib/vue/advanced/popup-captcha/popup-captcha.min.css","832","48978","GET","44","832","","200","133","gzip","Amazon CloudFront","1120","965","1119","1119","1120","1","751","1120","369","9","10","1","0","15","","","21323","","","","","","","","",
