"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","http2_stream_dependency","final_base_page","objectSizeUncompressed","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","initiator_function","score_progressive_jpeg","jpeg_scan_count",
"172.217.23.206","","384","77","9DD2C9BB9BF9ED77C930899E75AD7A1B","","","no-cache, no-store, max-age=0, must-revalidate","-1","211011_WQ_1P","54","HIGHEST","","","-1","77","-1","54","-1","","85","80","http/1.1","-1","3","http://youtube.com/","-1","0","","youtube.com:80","application/binary","VeryHigh","","Mon, 01 Jan 1990 00:00:00 GMT","-1","-1","script","9AC74C5D13DF569983C7EDC98DFA58B9","youtube.com","0","9DD2C9BB9BF9ED77C930899E75AD7A1B","","-1","0","3","","-1","","31","104","/","-1","40490","GET","51","85","","301","-1","","","162","85","162","162","162","0","3","162","159","0","1","1","0","","","","","","","","","","","","",
"172.217.23.206","","394","70","9DD2C9BB9BF9ED77C930899E75AD7A1B-1","","","private, max-age=31536000","-1","211011_WQ_1P","-1","VeryHigh","","","-1","70","-1","164","-1","","264","443","HTTP/2","-1","3","https://youtube.com/","264","0","","ssl/youtube.com:443","application/binary","VeryHigh","","Mon, 11 Oct 2021 14:20:44 GMT","-1","-1","script","9AC74C5D13DF569983C7EDC98DFA58B9","youtube.com","0","9DD2C9BB9BF9ED77C930899E75AD7A1B","","-1","1","-1","","-1","","33","115","/","197","49174","GET","-1","197","","301","67","","","334","264","334","334","334","0","164","334","170","1","2","1","0","1","256","True","0","","","","","","","","",
"172.217.23.206","","427","918","9DD2C9BB9BF9ED77C930899E75AD7A1B-2","","","no-cache, no-store, max-age=0, must-revalidate","100","211011_WQ_1P","-1","VeryHigh","","","-1","75","-1","-1","-1","","387","","HTTP/2","100","3","https://www.youtube.com/","-1","57746","57746","","text/html","VeryHigh","","Mon, 01 Jan 1990 00:00:00 GMT","-1","-1","script","9AC74C5D13DF569983C7EDC98DFA58B9","www.youtube.com","57746","9DD2C9BB9BF9ED77C930899E75AD7A1B","0","100","1","-1","","-1","","-1","115","/","-1","","GET","-1","-1","","200","-1","br","Google","1305","387","462","462","1305","843","387","1305","918","2","3","1","0","3","","","","1","532326","1","248","","","","",
"172.217.23.206","16","433","3162","1000022831.5","","","public, max-age=31536000","100","211011_WQ_1P","-1","MEDIUM","","","-1","35","100","-1","-1","31276046","474","","HTTP/2","100","3","https://www.youtube.com/s/desktop/be17f2ce/jsbin/desktop_polymer.vflset/desktop_polymer.js","-1","1305842","1305842","","text/javascript","High","","Sat, 08 Oct 2022 14:08:10 GMT","-1","-1","parser","9AC74C5D13DF569983C7EDC98DFA58B9","www.youtube.com","1306880","1000022831.5","0","100","1","-1","","-1","https://www.youtube.com/","-1","115","/s/desktop/be17f2ce/jsbin/desktop_polymer.vflset/desktop_polymer.js","-1","","GET","-1","-1","","200","-1","br","Google","3636","474","509","509","3636","3127","474","3636","3162","3","4","1","0","5","","","","","8288800","","1001","954","","","",
"172.217.23.206","16","435","393","1000022831.8","","","public, max-age=31536000","100","211011_WQ_1P","-1","MEDIUM","","","-1","346","100","-1","-1","31276046","474","","HTTP/2","100","3","https://www.youtube.com/s/desktop/be17f2ce/jsbin/webcomponents-sd.vflset/webcomponents-sd.js","-1","21590","21590","","text/javascript","High","","Sat, 08 Oct 2022 14:08:10 GMT","-1","-1","parser","9AC74C5D13DF569983C7EDC98DFA58B9","www.youtube.com","21664","1000022831.8","0","100","1","-1","","-1","https://www.youtube.com/","-1","115","/s/desktop/be17f2ce/jsbin/webcomponents-sd.vflset/webcomponents-sd.js","-1","","GET","-1","-1","","200","-1","br","Google","867","474","820","820","867","47","474","867","393","4","5","1","0","11","","","","","74588","","8","8","","","",
"172.217.23.206","16","459","233","1000022831.6","","","public, max-age=31536000","100","211011_WQ_1P","-1","MEDIUM","","","-1","205","100","-1","-1","31440087","474","","HTTP/2","100","3","https://www.youtube.com/s/desktop/be17f2ce/jsbin/web-animations-next-lite.min.vflset/web-animations-next-lite.min.js","-1","15162","15162","","text/javascript","High","","Mon, 10 Oct 2022 11:42:11 GMT","-1","-1","parser","9AC74C5D13DF569983C7EDC98DFA58B9","www.youtube.com","15278","1000022831.6","0","100","1","-1","","-1","https://www.youtube.com/","-1","115","/s/desktop/be17f2ce/jsbin/web-animations-next-lite.min.vflset/web-animations-next-lite.min.js","-1","","GET","-1","-1","","200","-1","br","Google","707","474","679","679","707","28","474","707","233","5","6","1","0","7","","","","","50691","","2","133","","","",
"172.217.23.206","16","457","346","1000022831.7","","","public, max-age=31536000","100","211011_WQ_1P","-1","MEDIUM","","","-1","345","100","-1","-1","31440159","474","","HTTP/2","100","3","https://www.youtube.com/s/desktop/be17f2ce/jsbin/custom-elements-es5-adapter.vflset/custom-elements-es5-adapter.js","-1","793","793","","text/javascript","High","","Mon, 10 Oct 2022 11:43:23 GMT","-1","-1","parser","9AC74C5D13DF569983C7EDC98DFA58B9","www.youtube.com","885","1000022831.7","0","100","1","-1","","-1","https://www.youtube.com/","-1","115","/s/desktop/be17f2ce/jsbin/custom-elements-es5-adapter.vflset/custom-elements-es5-adapter.js","-1","","GET","-1","-1","","200","-1","br","Google","820","474","819","819","820","1","474","820","346","6","7","1","0","9","","","","","2064","","1","","","","",
"172.217.23.206","21","421","493","1000022831.12","","","public, max-age=31536000","100","211011_WQ_1P","-1","MEDIUM","","","-1","488","100","-1","-1","31276046","501","","HTTP/2","100","3","https://www.youtube.com/s/desktop/be17f2ce/jsbin/scheduler.vflset/scheduler.js","-1","3458","3458","","text/javascript","High","","Sat, 08 Oct 2022 14:08:10 GMT","-1","-1","parser","9AC74C5D13DF569983C7EDC98DFA58B9","www.youtube.com","3522","1000022831.12","0","100","1","-1","","-1","https://www.youtube.com/","-1","115","/s/desktop/be17f2ce/jsbin/scheduler.vflset/scheduler.js","-1","","GET","-1","-1","","200","-1","br","Google","994","501","989","989","994","5","501","994","493","7","8","1","0","13","","","","","8964","","2","124","","","",
"172.217.23.206","21","445","498","1000022831.13","","","public, max-age=31536000","100","211011_WQ_1P","-1","MEDIUM","","","-1","493","100","-1","-1","31276453","501","","HTTP/2","100","3","https://www.youtube.com/s/desktop/be17f2ce/jsbin/www-i18n-constants-en_US.vflset/www-i18n-constants.js","-1","1377","1377","","text/javascript","High","","Sat, 08 Oct 2022 14:14:57 GMT","-1","-1","parser","9AC74C5D13DF569983C7EDC98DFA58B9","www.youtube.com","1471","1000022831.13","0","100","1","-1","","-1","https://www.youtube.com/","-1","115","/s/desktop/be17f2ce/jsbin/www-i18n-constants-en_US.vflset/www-i18n-constants.js","-1","","GET","-1","-1","","200","-1","br","Google","999","501","994","994","999","5","501","999","498","8","9","1","0","15","","","","","4252","","1","","","","",
"172.217.23.206","21","429","502","1000022831.14","","","public, max-age=31536000","100","211011_WQ_1P","-1","MEDIUM","","","-1","498","100","-1","-1","31276046","501","","HTTP/2","100","3","https://www.youtube.com/s/desktop/be17f2ce/jsbin/www-tampering.vflset/www-tampering.js","-1","4668","4668","","text/javascript","High","","Sat, 08 Oct 2022 14:08:10 GMT","-1","-1","parser","9AC74C5D13DF569983C7EDC98DFA58B9","www.youtube.com","4732","1000022831.14","0","100","1","-1","","-1","https://www.youtube.com/","-1","115","/s/desktop/be17f2ce/jsbin/www-tampering.vflset/www-tampering.js","-1","","GET","-1","-1","","200","-1","br","Google","1003","501","999","999","1003","4","501","1003","502","9","10","1","0","17","","","","","12579","","2","","","","",
