"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","http2_stream_dependency","final_base_page","objectSizeUncompressed","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","initiator_function","score_progressive_jpeg","jpeg_scan_count",
"140.205.220.96","","383","322","EA3D6D6F0DB9BD52484AC100207692E7","","","","-1","211011_X8_1W","43","HIGHEST","","","-1","322","-1","43","-1","","361","80","http/1.1","-1","3","http://taobao.com/","-1","258","","taobao.com:80","text/html","VeryHigh","","","-1","-1","script","4E7785CEB8D306DCE84C8283715F681E","taobao.com","258","EA3D6D6F0DB9BD52484AC100207692E7","","-1","0","3","","-1","","318","104","/","-1","50000","GET","40","361","","302","-1","","","683","361","683","683","683","0","3","683","680","0","1","1","0","","","","","","","","","","","","",
"47.246.48.232","","387","70","EA3D6D6F0DB9BD52484AC100207692E7-1","","","","-1","211011_X8_1W","1136","VeryHigh","","","-1","70","-1","1136","-1","","1180","80","http/1.1","-1","3","http://www.taobao.com/","-1","262","","www.taobao.com:80","text/html","VeryHigh","","","-1","-1","script","4E7785CEB8D306DCE84C8283715F681E","www.taobao.com","262","EA3D6D6F0DB9BD52484AC100207692E7","","-1","0","684","","-1","","43","117","/","-1","33650","GET","452","1179","","301","-1","","","1250","1180","1250","1250","1250","0","684","1250","565","1","2","1","0","","","","","","","","","","","","",
"47.246.48.232","","397","50","EA3D6D6F0DB9BD52484AC100207692E7-2","","","","-1","211011_X8_1W","-1","VeryHigh","","","-1","50","-1","1252","-1","","2043","443","HTTP/2","-1","3","https://www.taobao.com/","2043","242","","ssl/www.taobao.com:443","text/html","VeryHigh","","","-1","-1","script","4E7785CEB8D306DCE84C8283715F681E","www.taobao.com","0","EA3D6D6F0DB9BD52484AC100207692E7","","-1","1","-1","","-1","","45","124","/","1297","46076","GET","-1","1297","","302","746","","","2093","2043","2093","2093","2093","0","1252","2093","841","2","3","1","0","1","256","True","0","","","","","","","","",
"47.246.48.232","","399","61","EA3D6D6F0DB9BD52484AC100207692E7-3","","","max-age=0, s-maxage=145","-1","211011_X8_1W","-1","VeryHigh","","","-1","57","-1","-1","-1","","2410","","HTTP/2","100","3","https://world.taobao.com/","-1","3520","3520","","text/html","VeryHigh","","","-1","-1","script","4E7785CEB8D306DCE84C8283715F681E","world.taobao.com","3520","EA3D6D6F0DB9BD52484AC100207692E7","0","100","1","-1","","-1","","-1","124","/","-1","","GET","-1","-1","","200","-1","gzip","","2471","2410","2467","2467","2471","4","2410","2471","61","3","4","1","0","3","","","","1","9034","1","6","","","","",
"47.246.43.252","146","348","198","1000005359.11","","","max-age=2592000,s-maxage=86400","0","211011_X8_1W","-1","MEDIUM","","","-1","121","100","-1","-1","2562998","2835","","HTTP/2","100","3","https://g.alicdn.com/tbhome/tb-gnav/1.0.5/index.js","-1","17928","17928","","application/javascript","High","","","-1","-1","parser","4E7785CEB8D306DCE84C8283715F681E","g.alicdn.com","18280","1000005359.11","0","100","1","-1","","-1","https://world.taobao.com/","-1","200","/tbhome/tb-gnav/1.0.5/index.js","-1","","GET","-1","-1","","200","-1","gzip","","3033","2835","2956","2956","3033","77","2835","3033","198","4","5","1","0","9","","","","","52243","","46","1","","","",
"47.246.43.252","49","364","102","1000005359.9","","","max-age=2592000,s-maxage=86400","0","211011_X8_1W","-1","MEDIUM","","","-1","102","100","-1","-1","2562683","2835","","HTTP/2","100","3","https://g.alicdn.com/tmg-fe/tmg-seo-performance-log/1.0.2/index.js","-1","1644","1644","","application/javascript","High","","","-1","-1","parser","4E7785CEB8D306DCE84C8283715F681E","g.alicdn.com","1983","1000005359.9","0","100","1","-1","","-1","https://world.taobao.com/","-1","200","/tmg-fe/tmg-seo-performance-log/1.0.2/index.js","-1","","GET","-1","-1","","200","-1","gzip","","2937","2835","2937","2937","2937","0","2835","2937","102","5","6","1","0","5","","","","","4471","","10","1","","","",
"47.246.43.252","50","407","102","1000005359.10","","","max-age=2592000,s-maxage=86400","0","211011_X8_1W","-1","HIGHEST","","","-1","101","100","-1","-1","2536233","2835","","HTTP/2","100","3","https://g.alicdn.com/code/npm/@ali/pegasus-project-oversea-pc-main/1.0.22/pages/home/index.css","-1","7850","7850","","text/css","VeryHigh","","","-1","-1","parser","4E7785CEB8D306DCE84C8283715F681E","g.alicdn.com","8173","1000005359.10","0","100","1","-1","","-1","https://world.taobao.com/","-1","200","/code/npm/@ali/pegasus-project-oversea-pc-main/1.0.22/pages/home/index.css","-1","","GET","-1","-1","","200","-1","gzip","","2937","2835","2936","2936","2937","1","2835","2937","102","6","7","1","0","3","","","","","35536","","","","","","",
"47.246.43.252","10","364","50","1000005359.5","","","max-age=2592000,s-maxage=86400","0","211011_X8_1W","2745","HIGHEST","","","-1","44","100","2745","-1","2563191","2835","443","HTTP/2","100","3","https://g.alicdn.com/tbhome/tb-gnav/1.0.5/index.css","2834","3643","3643","ssl/g.alicdn.com:443","text/css","VeryHigh","","","-1","-1","parser","4E7785CEB8D306DCE84C8283715F681E","g.alicdn.com","4198","1000005359.5","0","100","1","2477","","-1","https://world.taobao.com/","39","200","/tbhome/tb-gnav/1.0.5/index.css","2784","52038","GET","268","2784","","200","50","gzip","","2885","2835","2879","2879","2885","6","2477","2885","407","7","8","1","0","1","256","True","0","","17823","","","","","","",
"47.246.43.252","16","338","120","1000005359.6","","","max-age=2592000,s-maxage=3600","0","211011_X8_1W","-1","MEDIUM","","","-1","118","100","-1","-1","2588530","2835","","HTTP/2","100","3","https://g.alicdn.com/tb/tracker/index.js","-1","11352","11352","","application/javascript","High","","","-1","-1","parser","4E7785CEB8D306DCE84C8283715F681E","g.alicdn.com","11720","1000005359.6","0","100","1","-1","","-1","https://world.taobao.com/","-1","200","/tb/tracker/index.js","-1","","GET","-1","-1","","200","-1","gzip","","2955","2835","2953","2953","2955","2","2835","2955","120","8","9","1","0","7","","","","","33962","","9","50","","","",
"47.246.43.252","18","336","244","1000005359.7","","","max-age=7200,s-maxage=3600","0","211011_X8_1W","-1","MEDIUM","","","-1","239","50","-1","-1","6528","2835","","HTTP/2","100","3","https://g.alicdn.com/AWSC/AWSC/awsc.js","-1","3974","3974","","application/javascript","High","","","-1","-1","parser","4E7785CEB8D306DCE84C8283715F681E","g.alicdn.com","4315","1000005359.7","0","100","1","-1","","-1","https://world.taobao.com/","-1","200","/AWSC/AWSC/awsc.js","-1","","GET","-1","-1","","200","-1","gzip","","3079","2835","3074","3074","3079","5","2835","3079","244","9","10","1","0","13","","","","","11917","","3","8","","","",
