"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","http2_stream_dependency","final_base_page","objectSizeUncompressed","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","score_progressive_jpeg","jpeg_scan_count",
"98.137.11.164","","382","200","82E46FA06EFF6417500FA402C978DF3D","","","no-store, no-cache","-1","211011_ZZ_1Z","38","HIGHEST","","","-1","200","-1","38","-1","","229","80","http/1.1","-1","3","http://yahoo.com/","-1","8","","yahoo.com:80","text/html","VeryHigh","","","-1","-1","script","E3A94F903DF988E5CDC602FB3CD94938","yahoo.com","8","82E46FA06EFF6417500FA402C978DF3D","","-1","0","2","","-1","","190","104","/","-1","36572","GET","36","228","","301","-1","","","429","229","429","429","429","0","2","429","426","0","1","1","0","","","","","","","","","","","",
"98.137.11.164","","392","196","82E46FA06EFF6417500FA402C978DF3D-1","","","no-store, no-cache","-1","211011_ZZ_1Z","-1","VeryHigh","","","-1","196","-1","430","-1","","822","443","HTTP/2","-1","3","https://yahoo.com/","821","8","","ssl/yahoo.com:443","text/html","VeryHigh","","","-1","-1","script","E3A94F903DF988E5CDC602FB3CD94938","yahoo.com","0","82E46FA06EFF6417500FA402C978DF3D","","-1","1","-1","","-1","","190","115","/","620","41088","GET","-1","620","","301","201","","","1018","822","1018","1018","1018","0","430","1018","587","1","2","1","0","1","256","True","0","","","","","","","",
"87.248.100.215","","396","122","82E46FA06EFF6417500FA402C978DF3D-2","","","no-store","-1","211011_ZZ_1Z","1053","VeryHigh","","","-1","122","-1","1053","-1","","1208","443","HTTP/2","-1","3","https://www.yahoo.com/","1208","0","","ssl/www.yahoo.com:443","text/html","VeryHigh","","","-1","-1","script","E3A94F903DF988E5CDC602FB3CD94938","www.yahoo.com","0","82E46FA06EFF6417500FA402C978DF3D","","-1","1","1020","","-1","","73","125","/","1126","35556","GET","33","1126","","307","82","","","1330","1208","1330","1330","1330","0","1020","1330","310","2","3","1","0","","","","","","","","","","","",
"54.154.118.105","","488","88","82E46FA06EFF6417500FA402C978DF3D-3","","","","-1","211011_ZZ_1Z","1378","VeryHigh","","","-1","88","-1","1378","-1","","1604","443","http/1.1","-1","3","https://guce.yahoo.com/consent?brandType=nonEu&gcrumb=XJH7sJw&done=https%3A%2F%2Fwww.yahoo.com%2F","1604","0","","ssl/guce.yahoo.com:443","","VeryHigh","","","-1","-1","script","E3A94F903DF988E5CDC602FB3CD94938","guce.yahoo.com","0","82E46FA06EFF6417500FA402C978DF3D","","-1","1","1332","","-1","","68","135","/consent?brandType=nonEu&gcrumb=XJH7sJw&done=https%3A%2F%2Fwww.yahoo.com%2F","1446","45302","GET","46","1446","","302","158","","","1692","1604","1692","1692","1692","0","1332","1692","360","3","4","1","0","","","","","","","","","","","",
"54.75.180.192","","494","149","82E46FA06EFF6417500FA402C978DF3D-4","","","no-cache, no-store, must-revalidate","-1","211011_ZZ_1Z","1737","VeryHigh","","","-1","147","-1","1737","-1","","1952","443","http/1.1","100","3","https://consent.yahoo.com/v2/collectConsent?sessionId=3_cc-session_09e6d98c-edfd-41fd-9ac4-a4b182405fc3","1952","7724","7724","ssl/consent.yahoo.com:443","text/html","VeryHigh","","0","-1","-1","script","E3A94F903DF988E5CDC602FB3CD94938","consent.yahoo.com","8632","82E46FA06EFF6417500FA402C978DF3D","0","100","1","1695","","-1","","65","144","/v2/collectConsent?sessionId=3_cc-session_09e6d98c-edfd-41fd-9ac4-a4b182405fc3","1802","38190","GET","42","1802","","200","150","gzip","","2101","1952","2099","2099","2101","2","1695","2101","406","4","5","1","0","","","","","1","37316","1","1","","","",
"87.248.118.23","29","408","115","1000012694.5","0","","public,max-age=86400","100","211011_ZZ_1Z","-1","LOWEST","760","","-1","115","50","-1","100","32315","2243","","HTTP/2","-1","3","https://s.yimg.com/rz/p/yahoo_frontpage_en-US_s_f_p_bestfit_frontpage.png","-1","760","","","image/png","Low","","Tue, 31 Aug 2021 23:00:00 GMT","-1","-1","parser","E3A94F903DF988E5CDC602FB3CD94938","s.yimg.com","1036","1000012694.5","","100","1","-1","","-1","https://consent.yahoo.com/v2/collectConsent?sessionId=3_cc-session_09e6d98c-edfd-41fd-9ac4-a4b182405fc3","-1","165","/rz/p/yahoo_frontpage_en-US_s_f_p_bestfit_frontpage.png","-1","","GET","-1","-1","","200","-1","","Yahoo","2358","2243","2358","2358","2358","0","2243","2358","115","5","6","1","0","3","","","","","760","","","","","",
"87.248.118.23","7","367","114","1000012694.4","","","max-age=31536000; immutable","100","211011_ZZ_1Z","2140","HIGHEST","","","-1","53","100","2141","-1","30515141","2243","443","HTTP/2","100","3","https://s.yimg.com/oa/build/css/site-ltr-d43e0c55.css","2242","23491","23491","ssl/s.yimg.com:443","text/css","VeryHigh","","","-1","-1","parser","E3A94F903DF988E5CDC602FB3CD94938","s.yimg.com","23988","1000012694.4","0","100","1","2108","","-1","https://consent.yahoo.com/v2/collectConsent?sessionId=3_cc-session_09e6d98c-edfd-41fd-9ac4-a4b182405fc3","44","165","/oa/build/css/site-ltr-d43e0c55.css","2185","37054","GET","32","2185","","200","57","gzip","Yahoo","2357","2243","2296","2296","2357","61","2108","2357","247","6","7","1","0","1","256","True","0","","142010","","","","","",
"87.248.118.23","29","408","72","1000012694.6","0","","public,max-age=86400","100","211011_ZZ_1Z","-1","LOWEST","810","","-1","71","0","-1","100","774","2360","","HTTP/2","-1","3","https://s.yimg.com/rz/p/yahoo_frontpage_en-US_s_f_w_bestfit_frontpage.png","-1","810","","","image/png","Low","","Tue, 31 Aug 2021 23:00:00 GMT","-1","-1","parser","E3A94F903DF988E5CDC602FB3CD94938","s.yimg.com","1008","1000012694.6","","100","1","-1","","-1","https://consent.yahoo.com/v2/collectConsent?sessionId=3_cc-session_09e6d98c-edfd-41fd-9ac4-a4b182405fc3","-1","165","/rz/p/yahoo_frontpage_en-US_s_f_w_bestfit_frontpage.png","-1","","GET","-1","-1","","200","-1","","Yahoo","2432","2360","2431","2431","2432","1","2360","2432","72","7","8","1","0","7","147","True","5","","810","","","","","",
"87.248.118.23","78","346","69","1000012694.8","","","max-age=31536000; immutable","100","211011_ZZ_1Z","-1","MEDIUM","","","-1","54","100","-1","-1","30515141","2360","","HTTP/2","100","3","https://s.yimg.com/oa/build/js/site-5e9771c8.js","-1","10137","10137","","application/javascript","Medium","","","-1","-1","parser","E3A94F903DF988E5CDC602FB3CD94938","s.yimg.com","10321","1000012694.8","0","100","1","-1","","-1","https://consent.yahoo.com/v2/collectConsent?sessionId=3_cc-session_09e6d98c-edfd-41fd-9ac4-a4b182405fc3","-1","165","/oa/build/js/site-5e9771c8.js","-1","","GET","-1","-1","","200","-1","gzip","Yahoo","2429","2360","2414","2414","2429","15","2360","2429","69","8","9","1","0","5","183","True","0","","52591","","1","4","","",
"54.75.180.192","79","630","125","1000012694.9","","","","-1","211011_ZZ_1Z","-1","LOWEST","","","-1","125","-1","-1","-1","","2360","443","http/1.1","-1","3","https://consent.yahoo.com/beacon?tag=TCF2&step=Layer1-View&brandDomain=www.yahoo.com&brandBid=&userType=nonreg&sdk=false&tos=en-US&country=CZ&sessionId=3_cc-session_09e6d98c-edfd-41fd-9ac4-a4b182405fc3","-1","142","","ssl/consent.yahoo.com:443","","Low","","","-1","-1","parser","E3A94F903DF988E5CDC602FB3CD94938","consent.yahoo.com","142","1000012694.9","","-1","1","-1","","-1","https://consent.yahoo.com/v2/collectConsent?sessionId=3_cc-session_09e6d98c-edfd-41fd-9ac4-a4b182405fc3","-1","144","/beacon?tag=TCF2&step=Layer1-View&brandDomain=www.yahoo.com&brandBid=&userType=nonreg&sdk=false&tos=en-US&country=CZ&sessionId=3_cc-session_09e6d98c-edfd-41fd-9ac4-a4b182405fc3","-1","38190","GET","-1","-1","","204","-1","","","2485","2360","2485","2485","2485","0","2360","2485","125","9","10","1","0","","","","","","","","","","","",
"87.248.118.23","78","429","181","1000012694.17","0","","max-age=31536000; immutable","100","211011_ZZ_1Z","-1","MEDIUM","63640","","-1","67","100","-1","100","30760449","2366","","HTTP/2","100","3","https://s.yimg.com/oa/build/images/en-GB-home_f0badd867efa6720.jpeg","-1","63640","63640","","image/jpeg","Low","","","-1","-1","parser","E3A94F903DF988E5CDC602FB3CD94938","s.yimg.com","63905","1000012694.17","0","100","1","-1","","-1","https://consent.yahoo.com/v2/collectConsent?sessionId=3_cc-session_09e6d98c-edfd-41fd-9ac4-a4b182405fc3","-1","165","/oa/build/images/en-GB-home_f0badd867efa6720.jpeg","-1","","GET","-1","-1","","200","-1","gzip","Yahoo","2547","2366","2433","2433","2547","114","2366","2547","181","10","11","1","0","9","147","True","7","","79439","","","","0","1",
"87.248.118.23","29","376","151","1000012694.7","","","","0","211011_ZZ_1Z","-1","LOWEST","","","-1","149","0","-1","-1","0","2399","","HTTP/2","36","3","https://edge-mcdn.secure.yahoo.com/ybar/cerebro_min.js","-1","5188","5188","","application/javascript","Low","","","-1","-1","parser","E3A94F903DF988E5CDC602FB3CD94938","edge-mcdn.secure.yahoo.com","5451","1000012694.7","3285","100","1","-1","","-1","https://consent.yahoo.com/v2/collectConsent?sessionId=3_cc-session_09e6d98c-edfd-41fd-9ac4-a4b182405fc3","-1","165","/ybar/cerebro_min.js","-1","","GET","-1","-1","","200","-1","","","2550","2399","2548","2548","2550","2","2399","2550","151","11","12","1","0","11","","","","","5188","","2","1","","",
