"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","objectSizeUncompressed","final_base_page","http2_stream_dependency","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","score_progressive_jpeg","jpeg_scan_count","initiator_function",
"204.79.197.212","","381","39","99FF5DFAEFDC0CCE1B89DEC7ED9A9FF4","","","","-1","211011_0H_3M","36","HIGHEST","","","-1","39","-1","36","-1","","71","80","http/1.1","-1","3","http://live.com/","-1","0","","live.com:80","","VeryHigh","","","-1","-1","script","766979E03B69394713AB427364E1857D","live.com","0","99FF5DFAEFDC0CCE1B89DEC7ED9A9FF4","","-1","0","3","","-1","","35","104","/","-1","34186","GET","33","71","","301","-1","","","110","71","110","110","110","0","3","110","107","0","1","1","0","","","","","","","","","","","","",
"40.101.60.226","","403","142","99FF5DFAEFDC0CCE1B89DEC7ED9A9FF4-1","","","private","-1","211011_0H_3M","147","VeryHigh","","","-1","128","-1","147","-1","","256","443","HTTP/2","100","3","https://outlook.live.com/owa/","256","10808","10808","ssl/outlook.live.com:443","text/html","VeryHigh","","","-1","-1","script","766979E03B69394713AB427364E1857D","outlook.live.com","10808","99FF5DFAEFDC0CCE1B89DEC7ED9A9FF4","0","100","1","112","","-1","","47","116","/owa/","195","34466","GET","35","194","","200","61","gzip","","398","256","384","384","398","14","112","398","285","1","2","1","0","1","256","True","36928","1","0","1","10","","","","",
"23.73.140.82","10","380","71","1000028421.9","","","max-age=630720000","100","211011_0H_3M","-1","MEDIUM","","","-1","70","100","-1","-1","630720000","593","","HTTP/2","100","3","https://ow2.res.office365.com/owalanding/2021.8.25.01/javascripts/detect-os.js","-1","128","128","","application/javascript","High","","","-1","-1","parser","766979E03B69394713AB427364E1857D","ow2.res.office365.com","408","1000028421.9","0","100","1","-1","","-1","https://outlook.live.com/owa/","-1","184","/owalanding/2021.8.25.01/javascripts/detect-os.js","-1","","GET","-1","-1","","200","-1","gzip","Akamai","664","593","663","663","664","1","593","664","71","2","3","1","0","3","","","129","","","","0","","","","",
"23.73.140.82","10","382","171","1000028421.10","","","max-age=630720000","100","211011_0H_3M","-1","MEDIUM","","","-1","171","100","-1","-1","630720000","593","","HTTP/2","100","3","https://ow2.res.office365.com/owalanding/2021.8.25.01/javascripts/dom-scripts.js","-1","1862","1862","","application/javascript","High","","","-1","-1","parser","766979E03B69394713AB427364E1857D","ow2.res.office365.com","2142","1000028421.10","0","100","1","-1","","-1","https://outlook.live.com/owa/","-1","184","/owalanding/2021.8.25.01/javascripts/dom-scripts.js","-1","","GET","-1","-1","","200","-1","gzip","Akamai","764","593","764","764","764","0","593","764","171","3","4","1","0","13","","","4774","","","","1","","","","",
"23.73.140.82","10","395","69","1000028421.11","","","max-age=630720000","100","211011_0H_3M","445","HIGHEST","","","-1","48","100","445","-1","630720000","593","443","HTTP/2","100","3","https://ow2.res.office365.com/owalanding/2021.8.25.01/stylesheets/compiled.css","589","14780","14780","ssl/ow2.res.office365.com:443","text/css","VeryHigh","","","-1","-1","parser","766979E03B69394713AB427364E1857D","ow2.res.office365.com","15079","1000028421.11","0","100","1","393","","-1","https://outlook.live.com/owa/","34","184","/owalanding/2021.8.25.01/stylesheets/compiled.css","479","41358","GET","52","479","","200","110","gzip","Akamai","662","593","641","641","662","21","393","662","265","4","5","1","0","1","256","True","106849","","0","","","","","","",
"152.199.19.160","0","350","108","1000028421.4","","","public, max-age=1800, immutable","100","211011_0H_3M","437","MEDIUM","","","-1","81","0","437","-1","1258","593","443","HTTP/2","100","3","https://az725175.vo.msecnd.net/scripts/jsll-4.js","589","18421","18421","ssl/az725175.vo.msecnd.net:443","text/javascript","High","","","-1","-1","parser","766979E03B69394713AB427364E1857D","az725175.vo.msecnd.net","18836","1000028421.4","0","100","1","392","","-1","https://outlook.live.com/owa/","49","181","/scripts/jsll-4.js","486","43226","GET","45","486","","200","103","gzip","Microsoft Azure","701","593","674","674","701","27","392","701","305","5","6","1","0","1","220","True","56291","","0","","3","6","","","",
"23.73.140.82","10","383","113","1000028421.5","","","max-age=630720000","100","211011_0H_3M","-1","MEDIUM","","","-1","112","100","-1","-1","630720000","593","","HTTP/2","100","3","https://ow2.res.office365.com/owalanding/2021.8.25.01/javascripts/vh-check.min.js","-1","416","416","","application/javascript","High","","","-1","-1","parser","766979E03B69394713AB427364E1857D","ow2.res.office365.com","697","1000028421.5","0","100","1","-1","","-1","https://outlook.live.com/owa/","-1","184","/owalanding/2021.8.25.01/javascripts/vh-check.min.js","-1","","GET","-1","-1","","200","-1","gzip","Akamai","706","593","705","705","706","1","593","706","113","6","7","1","0","7","","","899","","","","0","","","","",
"23.73.140.82","10","387","166","1000028421.6","","","max-age=630720000","100","211011_0H_3M","-1","MEDIUM","","","-1","117","100","-1","-1","630720000","593","","HTTP/2","100","3","https://ow2.res.office365.com/owalanding/2021.8.25.01/javascripts/jquery-3.2.1.min.js","-1","30178","30178","","application/javascript","High","","","-1","-1","parser","766979E03B69394713AB427364E1857D","ow2.res.office365.com","30532","1000028421.6","0","100","1","-1","","-1","https://outlook.live.com/owa/","-1","184","/owalanding/2021.8.25.01/javascripts/jquery-3.2.1.min.js","-1","","GET","-1","-1","","200","-1","gzip","Akamai","759","593","710","710","759","49","593","759","166","7","8","1","0","9","","","86659","","","","18","26","","","",
"23.73.140.82","10","383","74","1000028421.7","","","max-age=630720000","100","211011_0H_3M","-1","MEDIUM","","","-1","74","100","-1","-1","630720000","593","","HTTP/2","100","3","https://ow2.res.office365.com/owalanding/2021.8.25.01/javascripts/lazyload.min.js","-1","2057","2057","","application/javascript","High","","","-1","-1","parser","766979E03B69394713AB427364E1857D","ow2.res.office365.com","2338","1000028421.7","0","100","1","-1","","-1","https://outlook.live.com/owa/","-1","184","/owalanding/2021.8.25.01/javascripts/lazyload.min.js","-1","","GET","-1","-1","","200","-1","gzip","Akamai","667","593","667","667","667","0","593","667","74","8","9","1","0","5","","","5272","","","","1","1","","","",
"23.73.140.82","10","386","166","1000028421.8","","","max-age=630720000","100","211011_0H_3M","-1","MEDIUM","","","-1","158","100","-1","-1","630720000","593","","HTTP/2","100","3","https://ow2.res.office365.com/owalanding/2021.8.25.01/javascripts/jquery.onscreen.js","-1","2342","2342","","application/javascript","High","","","-1","-1","parser","766979E03B69394713AB427364E1857D","ow2.res.office365.com","2623","1000028421.8","0","100","1","-1","","-1","https://outlook.live.com/owa/","-1","184","/owalanding/2021.8.25.01/javascripts/jquery.onscreen.js","-1","","GET","-1","-1","","200","-1","gzip","Akamai","759","593","751","751","759","8","593","759","166","9","10","1","0","11","","","6120","","","","2","31","","","",
