"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","http2_stream_dependency","final_base_page","objectSizeUncompressed","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","score_progressive_jpeg","jpeg_scan_count",
"98.137.11.164","","382","195","AFCE6DAA49A30828A6D11D431AE02378","","","no-store, no-cache","-1","211011_2K_3D","37","HIGHEST","","","-1","195","-1","37","-1","","227","80","http/1.1","-1","3","http://yahoo.com/","-1","8","","yahoo.com:80","text/html","VeryHigh","","","-1","-1","script","3CDD47425880D0A808436663E8C40F9C","yahoo.com","8","AFCE6DAA49A30828A6D11D431AE02378","","-1","0","3","","-1","","189","108","/","-1","47746","GET","34","226","","301","-1","","","422","227","422","422","422","0","3","422","418","0","1","1","0","","","","","","","","","","","",
"98.137.11.164","","392","197","AFCE6DAA49A30828A6D11D431AE02378-1","","","no-store, no-cache","-1","211011_2K_3D","-1","VeryHigh","","","-1","197","-1","423","-1","","816","443","HTTP/2","-1","3","https://yahoo.com/","815","8","","ssl/yahoo.com:443","text/html","VeryHigh","","","-1","-1","script","3CDD47425880D0A808436663E8C40F9C","yahoo.com","0","AFCE6DAA49A30828A6D11D431AE02378","","-1","1","-1","","-1","","191","115","/","614","52260","GET","-1","614","","301","201","","","1013","816","1013","1013","1013","0","423","1013","589","1","2","1","0","1","256","True","0","","","","","","","",
"87.248.100.215","","396","80","AFCE6DAA49A30828A6D11D431AE02378-2","","","no-store","-1","211011_2K_3D","1048","VeryHigh","","","-1","80","-1","1048","-1","","1202","443","HTTP/2","-1","3","https://www.yahoo.com/","1202","0","","ssl/www.yahoo.com:443","text/html","VeryHigh","","","-1","-1","script","3CDD47425880D0A808436663E8C40F9C","www.yahoo.com","0","AFCE6DAA49A30828A6D11D431AE02378","","-1","1","1014","","-1","","72","125","/","1120","46728","GET","34","1120","","307","82","","","1282","1202","1282","1282","1282","0","1014","1282","268","2","3","1","0","","","","","","","","","","","",
"54.154.118.105","","488","90","AFCE6DAA49A30828A6D11D431AE02378-3","","","","-1","211011_2K_3D","1329","VeryHigh","","","-1","90","-1","1329","-1","","1552","443","http/1.1","-1","3","https://guce.yahoo.com/consent?brandType=nonEu&gcrumb=PB2vw08&done=https%3A%2F%2Fwww.yahoo.com%2F","1552","0","","ssl/guce.yahoo.com:443","","VeryHigh","","","-1","-1","script","3CDD47425880D0A808436663E8C40F9C","guce.yahoo.com","0","AFCE6DAA49A30828A6D11D431AE02378","","-1","1","1284","","-1","","68","135","/consent?brandType=nonEu&gcrumb=PB2vw08&done=https%3A%2F%2Fwww.yahoo.com%2F","1397","56474","GET","45","1397","","302","155","","","1642","1552","1642","1642","1642","0","1284","1642","358","3","4","1","0","","","","","","","","","","","",
"52.49.42.94","","494","113","AFCE6DAA49A30828A6D11D431AE02378-4","","","no-cache, no-store, must-revalidate","-1","211011_2K_3D","1686","VeryHigh","","","-1","111","-1","1686","-1","","1901","443","http/1.1","100","3","https://consent.yahoo.com/v2/collectConsent?sessionId=3_cc-session_e6f008d9-a335-4cd4-a4c1-3d7344c79a80","1900","7733","7733","ssl/consent.yahoo.com:443","text/html","VeryHigh","","0","-1","-1","script","3CDD47425880D0A808436663E8C40F9C","consent.yahoo.com","8641","AFCE6DAA49A30828A6D11D431AE02378","0","100","1","1644","","-1","","66","144","/v2/collectConsent?sessionId=3_cc-session_e6f008d9-a335-4cd4-a4c1-3d7344c79a80","1752","44990","GET","42","1752","","200","148","gzip","","2014","1901","2012","2012","2014","2","1644","2014","369","4","5","1","0","","","","","1","37316","1","1","","","",
"87.248.118.23","29","408","110","1000003214.5","0","","public,max-age=86400","100","211011_2K_3D","-1","LOWEST","760","","-1","110","50","-1","100","14183","2153","","HTTP/2","-1","3","https://s.yimg.com/rz/p/yahoo_frontpage_en-US_s_f_p_bestfit_frontpage.png","-1","760","","","image/png","Low","","Tue, 31 Aug 2021 23:00:00 GMT","-1","-1","parser","3CDD47425880D0A808436663E8C40F9C","s.yimg.com","1028","1000003214.5","","100","1","-1","","-1","https://consent.yahoo.com/v2/collectConsent?sessionId=3_cc-session_e6f008d9-a335-4cd4-a4c1-3d7344c79a80","-1","166","/rz/p/yahoo_frontpage_en-US_s_f_p_bestfit_frontpage.png","-1","","GET","-1","-1","","200","-1","","Yahoo","2263","2153","2263","2263","2263","0","2153","2263","110","5","6","1","0","3","","","","","760","","","","","",
"87.248.118.23","7","367","109","1000003214.4","","","max-age=31536000; immutable","100","211011_2K_3D","2053","HIGHEST","","","-1","49","100","2054","-1","30497009","2153","443","HTTP/2","100","3","https://s.yimg.com/oa/build/css/site-ltr-d43e0c55.css","2153","23491","23491","ssl/s.yimg.com:443","text/css","VeryHigh","","","-1","-1","parser","3CDD47425880D0A808436663E8C40F9C","s.yimg.com","23988","1000003214.4","0","100","1","2021","","-1","https://consent.yahoo.com/v2/collectConsent?sessionId=3_cc-session_e6f008d9-a335-4cd4-a4c1-3d7344c79a80","43","166","/oa/build/css/site-ltr-d43e0c55.css","2097","48228","GET","32","2097","","200","56","gzip","Yahoo","2262","2153","2202","2202","2262","60","2021","2262","240","6","7","1","0","1","256","True","0","","142010","","","","","",
"87.248.118.23","29","408","70","1000003214.6","0","","public,max-age=86400","100","211011_2K_3D","-1","LOWEST","810","","-1","69","50","-1","100","69043","2266","","HTTP/2","-1","3","https://s.yimg.com/rz/p/yahoo_frontpage_en-US_s_f_w_bestfit_frontpage.png","-1","810","","","image/png","Low","","Tue, 31 Aug 2021 23:00:00 GMT","-1","-1","parser","3CDD47425880D0A808436663E8C40F9C","s.yimg.com","1005","1000003214.6","","100","1","-1","","-1","https://consent.yahoo.com/v2/collectConsent?sessionId=3_cc-session_e6f008d9-a335-4cd4-a4c1-3d7344c79a80","-1","166","/rz/p/yahoo_frontpage_en-US_s_f_w_bestfit_frontpage.png","-1","","GET","-1","-1","","200","-1","","Yahoo","2336","2266","2335","2335","2336","1","2266","2336","70","7","8","1","0","7","147","True","5","","810","","","","","",
"87.248.118.23","78","346","68","1000003214.8","","","max-age=31536000; immutable","100","211011_2K_3D","-1","MEDIUM","","","-1","52","100","-1","-1","30497009","2266","","HTTP/2","100","3","https://s.yimg.com/oa/build/js/site-5e9771c8.js","-1","10137","10137","","application/javascript","Medium","","","-1","-1","parser","3CDD47425880D0A808436663E8C40F9C","s.yimg.com","10320","1000003214.8","0","100","1","-1","","-1","https://consent.yahoo.com/v2/collectConsent?sessionId=3_cc-session_e6f008d9-a335-4cd4-a4c1-3d7344c79a80","-1","166","/oa/build/js/site-5e9771c8.js","-1","","GET","-1","-1","","200","-1","gzip","Yahoo","2334","2266","2318","2318","2334","16","2266","2334","68","8","9","1","0","5","183","True","0","","52591","","1","3","","",
"52.49.42.94","79","630","120","1000003214.9","","","","-1","211011_2K_3D","-1","LOWEST","","","-1","120","-1","-1","-1","","2266","443","http/1.1","-1","3","https://consent.yahoo.com/beacon?tag=TCF2&step=Layer1-View&brandDomain=www.yahoo.com&brandBid=&userType=nonreg&sdk=false&tos=en-US&country=CZ&sessionId=3_cc-session_e6f008d9-a335-4cd4-a4c1-3d7344c79a80","-1","142","","ssl/consent.yahoo.com:443","","Low","","","-1","-1","parser","3CDD47425880D0A808436663E8C40F9C","consent.yahoo.com","142","1000003214.9","","-1","1","-1","","-1","https://consent.yahoo.com/v2/collectConsent?sessionId=3_cc-session_e6f008d9-a335-4cd4-a4c1-3d7344c79a80","-1","144","/beacon?tag=TCF2&step=Layer1-View&brandDomain=www.yahoo.com&brandBid=&userType=nonreg&sdk=false&tos=en-US&country=CZ&sessionId=3_cc-session_e6f008d9-a335-4cd4-a4c1-3d7344c79a80","-1","44990","GET","-1","-1","","204","-1","","","2386","2266","2386","2386","2386","0","2266","2386","120","9","10","1","0","","","","","","","","","","","",
