"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","final_base_page","objectSizeUncompressed","is_base_page","cpu.EvaluateScript","cpu.FunctionCall",
"91.198.174.192","","386","56","70A7ACA9BC6E60C80C781DE55F98FE29","","","","-1","211011_3W_3G","55","HIGHEST","","","-1","56","-1","55","-1","","107","80","http/1.1","-1","3","http://wikipedia.org/","-1","0","","wikipedia.org:80","","VeryHigh","","","-1","-1","script","8548374F8C753570DA06FFE93029D94C","wikipedia.org","0","70A7ACA9BC6E60C80C781DE55F98FE29","","-1","0","3","","-1","","52","108","/","-1","52314","GET","52","107","","301","-1","","","163","107","163","163","163","0","3","163","160","0","1","1","0","","","","","","",
"91.198.174.192","","396","58","70A7ACA9BC6E60C80C781DE55F98FE29-1","","","","-1","211011_3W_3G","-1","VeryHigh","","","-1","58","-1","164","-1","","284","443","HTTP/2","-1","3","https://wikipedia.org/","283","234","","ssl/wikipedia.org:443","text/html","VeryHigh","","","-1","-1","script","8548374F8C753570DA06FFE93029D94C","wikipedia.org","0","70A7ACA9BC6E60C80C781DE55F98FE29","","-1","1","-1","","-1","","53","115","/","217","38948","GET","-1","217","","301","66","","","342","284","342","342","342","0","164","342","177","1","2","1","0","","","","","","",
"91.198.174.192","","471","89","70A7ACA9BC6E60C80C781DE55F98FE29-2","","","s-maxage=86400, must-revalidate, max-age=3600","-1","211011_3W_3G","-1","VeryHigh","","","-1","83","-1","-1","-1","","394","","HTTP/2","100","3","https://www.wikipedia.org/","-1","18672","18672","","text/html","VeryHigh","","","-1","-1","script","8548374F8C753570DA06FFE93029D94C","www.wikipedia.org","18896","70A7ACA9BC6E60C80C781DE55F98FE29","0","100","1","-1","","-1","","-1","115","/","-1","","GET","-1","-1","","200","-1","gzip","","483","394","477","477","483","6","394","483","89","2","3","1","0","3","1","77693","1","1","0",
"91.198.174.192","23","514","82","1000015170.4","0","","s-maxage=86400, max-age=86400","0","211011_3W_3G","-1","LOWEST","15829","","-1","77","0","-1","100","2586","489","","HTTP/2","-1","3","https://www.wikipedia.org/portal/wikipedia.org/assets/img/Wikipedia-logo-v2.png","-1","15829","","","image/png","Low","","Mon, 10 Oct 2022 18:48:39 GMT","-1","-1","parser","8548374F8C753570DA06FFE93029D94C","www.wikipedia.org","16036","1000015170.4","","100","1","-1","","-1","https://www.wikipedia.org/","-1","115","/portal/wikipedia.org/assets/img/Wikipedia-logo-v2.png","-1","","GET","-1","-1","","200","-1","","","571","489","566","566","571","5","489","571","82","3","4","1","0","5","","15829","","","",
"91.198.174.192","824","475","90","1000015170.7","","","s-maxage=86400, max-age=86400","0","211011_3W_3G","-1","LOW","","","-1","90","50","-1","-1","85499","495","","HTTP/2","100","3","https://www.wikipedia.org/portal/wikipedia.org/assets/js/index-80e5894891.js","-1","8370","8370","","application/javascript","Medium","","","-1","-1","parser","8548374F8C753570DA06FFE93029D94C","www.wikipedia.org","8514","1000015170.7","0","100","1","-1","","-1","https://www.wikipedia.org/","-1","115","/portal/wikipedia.org/assets/js/index-80e5894891.js","-1","","GET","-1","-1","","200","-1","gzip","","585","495","585","585","585","0","495","585","90","4","5","1","0","7","","23249","","28","2",
"91.198.174.192","826","476","91","1000015170.8","","","s-maxage=86400, max-age=86400","0","211011_3W_3G","-1","LOW","","","-1","91","0","-1","-1","2032","495","","HTTP/2","-1","3","https://www.wikipedia.org/portal/wikipedia.org/assets/js/gt-ie9-ce3fe8e88d.js","-1","614","","","application/javascript","Medium","","","-1","-1","parser","8548374F8C753570DA06FFE93029D94C","www.wikipedia.org","753","1000015170.8","","100","1","-1","","-1","https://www.wikipedia.org/","-1","115","/portal/wikipedia.org/assets/js/gt-ie9-ce3fe8e88d.js","-1","","GET","-1","-1","","200","-1","","","586","495","586","586","586","0","495","586","91","5","6","1","0","9","","614","","0","",
"91.198.174.192","561","512","115","1000015170.9","","","s-maxage=86400, max-age=86400","0","211011_3W_3G","-1","LOWEST","","","-1","95","50","-1","-1","85879","501","","HTTP/2","100","3","https://www.wikipedia.org/portal/wikipedia.org/assets/img/sprite-e99844f6.svg","-1","17557","17557","","image/svg+xml","Low","","Tue, 11 Oct 2022 19:25:01 GMT","-1","-1","parser","8548374F8C753570DA06FFE93029D94C","www.wikipedia.org","17743","1000015170.9","0","100","1","-1","","-1","https://www.wikipedia.org/","-1","115","/portal/wikipedia.org/assets/img/sprite-e99844f6.svg","-1","","GET","-1","-1","","200","-1","gzip","","616","501","596","596","616","20","501","616","115","6","7","1","0","11","","49631","","","",
"91.198.174.192","791","517","58","1000015170.10","0","","s-maxage=86400, max-age=86400","0","211011_3W_3G","-1","LOWEST","2066","","-1","58","50","-1","100","82441","648","","HTTP/2","-1","3","https://www.wikipedia.org/portal/wikipedia.org/assets/img/Wikinews-logo_sister.png","-1","2066","","","image/png","Low","","Tue, 11 Oct 2022 18:29:38 GMT","-1","-1","parser","8548374F8C753570DA06FFE93029D94C","www.wikipedia.org","2205","1000015170.10","","100","1","-1","","-1","https://www.wikipedia.org/","-1","115","/portal/wikipedia.org/assets/img/Wikinews-logo_sister.png","-1","","GET","-1","-1","","200","-1","","","706","648","706","706","706","0","648","706","58","7","8","1","0","13","","2066","","","",
"91.198.174.192","","489","56","1000015170.13","","","max-age=31536000","0","211011_3W_3G","-1","MEDIUM","","","-1","55","100","-1","-1","31515514","730","","HTTP/2","100","3","https://www.wikipedia.org/static/favicon/wikipedia.ico","-1","1035","1035","","image/vnd.microsoft.icon","High","","Tue, 11 Oct 2022 13:45:16 GMT","-1","-1","other","8548374F8C753570DA06FFE93029D94C","www.wikipedia.org","1235","1000015170.13","0","100","1","-1","","-1","","-1","115","/static/favicon/wikipedia.ico","-1","","GET","-1","-1","","200","-1","gzip","","786","730","785","785","786","1","730","786","56","8","9","1","0","15","","2734","","","",
"91.198.174.192","","386","57","F77F2013E17269F86720DF5AD1D925E1","","","","-1","211011_3W_3G","4","HIGHEST","","","-1","57","-1","4","-1","","57","80","http/1.1","-1","3","http://wikipedia.org/","-1","0","","wikipedia.org:80","","VeryHigh","","","-1","-1","script","E12D2BAB9B7A6E0F1CFC8D1646F57035","wikipedia.org","0","F77F2013E17269F86720DF5AD1D925E1","","-1","0","4","","-1","","53","103","/","-1","52366","GET","0","57","","301","-1","","","114","57","114","114","114","0","4","114","110","0","1","2","0","","","","","","",
