"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","objectSizeUncompressed","final_base_page","http2_stream_dependency","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","score_progressive_jpeg","jpeg_scan_count","initiator_function",
"13.107.21.200","","381","40","FB02A2B7C8FCEB31D3567BB57F4BAB66","","","","-1","211011_AN_3Z","33","HIGHEST","","","-1","40","-1","35","-1","","70","80","http/1.1","-1","3","http://bing.com/","-1","0","","bing.com:80","","VeryHigh","","","-1","-1","script","F63D73AF0A55ECD06E334D873F314FF0","bing.com","0","FB02A2B7C8FCEB31D3567BB57F4BAB66","","-1","0","0","","-1","","35","106","/","-1","42540","GET","-1","70","","301","-1","","","110","70","110","110","110","0","35","110","75","0","1","1","0","","","","","","","","","","","","",
"13.107.21.200","","385","78","FB02A2B7C8FCEB31D3567BB57F4BAB66-1","","","private","-1","211011_AN_3Z","159","VeryHigh","","","-1","78","-1","159","-1","","195","80","http/1.1","-1","3","http://www.bing.com/","-1","182","","www.bing.com:80","text/html","VeryHigh","","","-1","-1","script","F63D73AF0A55ECD06E334D873F314FF0","www.bing.com","182","FB02A2B7C8FCEB31D3567BB57F4BAB66","","-1","0","111","","-1","","35","113","/","-1","42542","GET","48","194","","302","-1","gzip","","273","195","273","273","273","0","111","273","161","1","2","1","0","","","","","","","","","","","","",
"13.107.21.200","","553","160","FB02A2B7C8FCEB31D3567BB57F4BAB66-2","","","private","-1","211011_AN_3Z","-1","VeryHigh","","","-1","84","-1","275","-1","","358","443","HTTP/2","100","3","https://www.bing.com/?toHttps=1&redig=51DE556EE3D94B53B7AD3DCC8C793C4D","357","25517","25517","ssl/www.bing.com:443","text/html","VeryHigh","","","-1","-1","script","F63D73AF0A55ECD06E334D873F314FF0","www.bing.com","25517","FB02A2B7C8FCEB31D3567BB57F4BAB66","0","100","1","-1","","-1","","31","120","/?toHttps=1&redig=51DE556EE3D94B53B7AD3DCC8C793C4D","306","53548","GET","-1","306","","200","51","br","","518","358","442","442","518","76","275","518","242","2","3","1","0","1","256","True","65326","1","0","1","10","11","","","",
"13.107.21.200","0","1085","637","1000026422.4","0","","public, max-age=691200","0","211011_AN_3Z","-1","MEDIUM","341388","","-1","97","100","-1","100","691200","451","","HTTP/2","-1","3","https://www.bing.com/th?id=OHR.MauricieAutumn_ROW9848344686_1920x1080.jpg&rf=LaDigue_1920x1080.jpg","-1","341388","","","image/jpeg","Low","","","-1","-1","parser","F63D73AF0A55ECD06E334D873F314FF0","www.bing.com","341901","1000026422.4","","100","1","-1","","-1","https://www.bing.com/?toHttps=1&redig=51DE556EE3D94B53B7AD3DCC8C793C4D","-1","120","/th?id=OHR.MauricieAutumn_ROW9848344686_1920x1080.jpg&rf=LaDigue_1920x1080.jpg","-1","","GET","-1","-1","","200","-1","","","1088","451","548","548","1088","540","451","1088","637","3","4","1","0","3","147","True","341388","","1","","","","0","1","",
"13.107.21.200","0","1008","69","1000026422.5","","","public, max-age=432000","0","211011_AN_3Z","-1","MEDIUM","","","-1","68","50","-1","-1","432000","451","","HTTP/2","100","3","https://www.bing.com/rp/lmu8EBCaPRMKtay8LSArGyY3mv4.br.js","-1","5","5","","application/x-javascript","High","","","-1","-1","parser","F63D73AF0A55ECD06E334D873F314FF0","www.bing.com","690","1000026422.5","0","100","1","-1","","-1","https://www.bing.com/?toHttps=1&redig=51DE556EE3D94B53B7AD3DCC8C793C4D","-1","120","/rp/lmu8EBCaPRMKtay8LSArGyY3mv4.br.js","-1","","GET","-1","-1","","200","-1","br","","520","451","519","519","520","1","451","520","69","4","5","1","0","5","220","True","1","","1","","0","","","","",
"13.107.21.200","4","1024","64","1000026422.11","","","public, max-age=432000","0","211011_AN_3Z","-1","HIGHEST","","","-1","63","50","-1","-1","432000","1091","","HTTP/2","100","3","https://www.bing.com/rp/M7vNN7G8rlP3Ps10DerRVUzgxyM.br.css","-1","16378","16378","","text/css","VeryHigh","4930","","-1","-1","script","F63D73AF0A55ECD06E334D873F314FF0","www.bing.com","16699","1000026422.11","0","100","1","-1","","-1","https://www.bing.com/?toHttps=1&redig=51DE556EE3D94B53B7AD3DCC8C793C4D","-1","120","/rp/M7vNN7G8rlP3Ps10DerRVUzgxyM.br.css","-1","","GET","-1","-1","","200","-1","br","","1155","1091","1154","1154","1155","1","1091","1155","64","5","6","1","0","7","256","True","76395","","0","","","","","","",
"13.107.21.200","","1238","76","1000026422.12","","","","-1","211011_AN_3Z","-1","LOWEST","","","-1","76","-1","-1","-1","","1102","","HTTP/2","-1","3","https://www.bing.com/fd/ls/l?IG=47A1047F3BA0441995584658CD92B983&Type=Event.CPT&DATA={%22pp%22:{%22S%22:%22L%22,%22FC%22:-1,%22BC%22:-1,%22SE%22:-1,%22TC%22:-1,%22H%22:-1,%22BP%22:568,%22CT%22:570,%22IL%22:1},%22net%22:%22undefined%22}&P=SERP&DA=DUB02","-1","0","","","","Low","","","-1","-1","other","F63D73AF0A55ECD06E334D873F314FF0","www.bing.com","95","1000026422.12","","100","1","-1","","-1","","-1","120","/fd/ls/l?IG=47A1047F3BA0441995584658CD92B983&Type=Event.CPT&DATA={%22pp%22:{%22S%22:%22L%22,%22FC%22:-1,%22BC%22:-1,%22SE%22:-1,%22TC%22:-1,%22H%22:-1,%22BP%22:568,%22CT%22:570,%22IL%22:1},%22net%22:%22undefined%22}&P=SERP&DA=DUB02","-1","","GET","-1","-1","","200","-1","","","1178","1102","1178","1178","1178","0","1102","1178","76","6","7","1","0","","","","","","","","","","","","",
"13.107.21.200","","1030","61","1000026422.13","","","public, max-age=15552000","0","211011_AN_3Z","-1","MEDIUM","","","-1","60","100","-1","-1","15552000","1102","","HTTP/2","27","3","https://www.bing.com/sa/simg/favicon-2x.ico","-1","4286","4286","","image/x-icon","High","","","-1","-1","other","F63D73AF0A55ECD06E334D873F314FF0","www.bing.com","4467","1000026422.13","3120","100","1","-1","","-1","","-1","120","/sa/simg/favicon-2x.ico","-1","","GET","-1","-1","","200","-1","","","1163","1102","1162","1162","1163","1","1102","1163","61","7","8","1","0","11","220","True","4286","","7","","","","","","",
"13.107.21.200","4","1079","75","1000026422.14","","","","-1","211011_AN_3Z","-1","IDLE","","","-1","75","-1","-1","-1","","1103","","HTTP/2","-1","3","https://www.bing.com/fd/ls/lsp.aspx?","-1","106","","","","VeryLow","2689","","-1","-1","script","F63D73AF0A55ECD06E334D873F314FF0","www.bing.com","106","1000026422.14","","-1","1","-1","","-1","https://www.bing.com/?toHttps=1&redig=51DE556EE3D94B53B7AD3DCC8C793C4D","-1","120","/fd/ls/lsp.aspx","-1","","POST","-1","-1","","204","-1","","","1178","1103","1178","1178","1178","0","1103","1178","75","8","9","1","0","13","110","True","","","9","","","","","","n.log",
"13.107.21.200","3","1038","66","1000026422.15","","","public, max-age=432000","0","211011_AN_3Z","-1","LOWEST","","","-1","65","50","-1","-1","432000","1112","","HTTP/2","100","3","https://www.bing.com/rp/vJas3x65T1E8ayI2_YkhhCg5F5U.br.js","-1","6632","6632","","text/javascript","Low","818","","-1","-1","script","F63D73AF0A55ECD06E334D873F314FF0","www.bing.com","6935","1000026422.15","0","100","1","-1","","-1","https://www.bing.com/?toHttps=1&redig=51DE556EE3D94B53B7AD3DCC8C793C4D","-1","120","/rp/vJas3x65T1E8ayI2_YkhhCg5F5U.br.js","-1","","GET","-1","-1","","200","-1","br","","1178","1112","1177","1177","1178","1","1112","1178","66","9","10","1","0","15","147","True","17246","","9","","16","20","","","",
