"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","http2_stream_dependency","objectSizeUncompressed","final_base_page","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","initiator_function","score_progressive_jpeg","jpeg_scan_count",
"31.13.66.174","","386","128","19333A821B3BA8280B82AB0A14A06CE9","","","","-1","211011_AY_3V","36","HIGHEST","","","-1","128","-1","36","-1","","161","80","http/1.1","-1","3","http://instagram.com/","-1","0","","instagram.com:80","text/plain","VeryHigh","","","-1","-1","script","A97DA31B0A7BD6E088FA5EC9B286CC4E","instagram.com","0","19333A821B3BA8280B82AB0A14A06CE9","","-1","0","3","","-1","","125","108","/","-1","33474","GET","33","161","","301","-1","","","289","161","289","289","289","0","3","289","286","0","1","1","0","","","","","","","","","","","","",
"31.13.66.174","","396","216","19333A821B3BA8280B82AB0A14A06CE9-1","","","private, no-cache, no-store, must-revalidate","-1","211011_AY_3V","-1","VeryHigh","","","-1","216","-1","291","-1","","552","443","HTTP/2","-1","3","https://instagram.com/","551","0","","ssl/instagram.com:443","text/html","VeryHigh","","Sat, 01 Jan 2000 00:00:00 GMT","-1","-1","script","A97DA31B0A7BD6E088FA5EC9B286CC4E","instagram.com","0","19333A821B3BA8280B82AB0A14A06CE9","","-1","1","-1","","-1","","124","115","/","415","54340","GET","-1","415","","301","136","","","768","552","768","768","768","0","291","768","476","1","2","1","0","1","256","True","0","","","","","","","","",
"157.240.30.174","","400","497","19333A821B3BA8280B82AB0A14A06CE9-2","","","private, no-cache, no-store, must-revalidate","100","211011_AY_3V","815","VeryHigh","","","-1","462","-1","815","-1","","889","443","HTTP/2","100","3","https://www.instagram.com/","888","20450","20450","ssl/www.instagram.com:443","text/html","VeryHigh","","Sat, 01 Jan 2000 00:00:00 GMT","-1","-1","script","A97DA31B0A7BD6E088FA5EC9B286CC4E","www.instagram.com","22419","19333A821B3BA8280B82AB0A14A06CE9","0","100","1","769","","-1","","31","125","/","846","46446","GET","46","846","","200","42","gzip","Facebook","1386","889","1351","1351","1386","35","769","1386","616","2","3","1","0","1","256","True","0","67019","1","1","5","0","","","",
"157.240.30.174","18","434","66","1000015311.4","","","public,max-age=31536000,immutable","100","211011_AY_3V","-1","HIGHEST","","","-1","31","100","-1","-1","31536000","1369","","HTTP/2","100","3","https://www.instagram.com/static/bundles/metro/ConsumerUICommons.css/4b3dd0be0139.css","-1","20160","20160","","text/css","VeryHigh","","","-1","-1","parser","A97DA31B0A7BD6E088FA5EC9B286CC4E","www.instagram.com","20352","1000015311.4","0","100","1","-1","","-1","https://www.instagram.com/","-1","125","/static/bundles/metro/ConsumerUICommons.css/4b3dd0be0139.css","-1","","GET","-1","-1","","200","-1","br","Facebook","1435","1369","1400","1400","1435","35","1369","1435","66","3","4","1","0","3","256","True","1","173769","","","","","","","",
"157.240.30.174","19","425","122","1000015311.5","","","public,max-age=31536000,immutable","100","211011_AY_3V","-1","HIGHEST","","","-1","66","100","-1","-1","31536000","1370","","HTTP/2","100","3","https://www.instagram.com/static/bundles/metro/Consumer.css/20ff933cc1b3.css","-1","33678","33678","","text/css","VeryHigh","","","-1","-1","parser","A97DA31B0A7BD6E088FA5EC9B286CC4E","www.instagram.com","33767","1000015311.5","0","100","1","-1","","-1","https://www.instagram.com/","-1","125","/static/bundles/metro/Consumer.css/20ff933cc1b3.css","-1","","GET","-1","-1","","200","-1","br","Facebook","1492","1370","1436","1436","1492","56","1370","1492","122","4","5","1","0","5","256","True","3","187498","","","","","","","",
"157.240.30.174","20","406","240","1000015311.6","","","public,max-age=31536000,immutable","100","211011_AY_3V","-1","MEDIUM","","","-1","123","100","-1","-1","31536000","1370","","HTTP/2","100","3","https://www.instagram.com/static/bundles/metro/Vendor.js/6b3e3ddf6057.js","-1","67563","67563","","text/javascript","High","","","-1","-1","parser","A97DA31B0A7BD6E088FA5EC9B286CC4E","www.instagram.com","67683","1000015311.6","0","100","1","-1","","-1","https://www.instagram.com/","-1","125","/static/bundles/metro/Vendor.js/6b3e3ddf6057.js","-1","","GET","-1","-1","","200","-1","br","Facebook","1610","1370","1493","1493","1610","117","1370","1610","240","5","6","1","0","7","220","True","5","262737","","","17","9","","","",
"157.240.30.174","21","405","338","1000015311.7","","","public,max-age=31536000,immutable","100","211011_AY_3V","-1","MEDIUM","","","-1","236","100","-1","-1","31536000","1370","","HTTP/2","100","3","https://www.instagram.com/static/bundles/metro/en_US.js/e0deb25e4efe.js","-1","59154","59154","","text/javascript","High","","","-1","-1","parser","A97DA31B0A7BD6E088FA5EC9B286CC4E","www.instagram.com","59252","1000015311.7","0","100","1","-1","","-1","https://www.instagram.com/","-1","125","/static/bundles/metro/en_US.js/e0deb25e4efe.js","-1","","GET","-1","-1","","200","-1","br","Facebook","1708","1370","1606","1606","1708","102","1370","1708","338","6","7","1","0","9","220","True","7","234147","","","5","","","","",
"157.240.30.174","22","418","974","1000015311.8","","","public,max-age=31536000,immutable","100","211011_AY_3V","-1","MEDIUM","","","-1","236","100","-1","-1","31536000","1370","","HTTP/2","100","3","https://www.instagram.com/static/bundles/metro/ConsumerLibCommons.js/557904900b3b.js","-1","311738","311738","","text/javascript","High","","","-1","-1","parser","A97DA31B0A7BD6E088FA5EC9B286CC4E","www.instagram.com","311982","1000015311.8","0","100","1","-1","","-1","https://www.instagram.com/","-1","125","/static/bundles/metro/ConsumerLibCommons.js/557904900b3b.js","-1","","GET","-1","-1","","200","-1","br","Facebook","2344","1370","1606","1606","2344","738","1370","2344","974","7","8","1","0","11","220","True","9","1528067","","","76","11","","","",
"157.240.30.174","23","417","1090","1000015311.9","","","public,max-age=31536000,immutable","100","211011_AY_3V","-1","MEDIUM","","","-1","236","100","-1","-1","31536000","1370","","HTTP/2","100","3","https://www.instagram.com/static/bundles/metro/ConsumerUICommons.js/847e54ea3c87.js","-1","133075","133075","","text/javascript","High","","","-1","-1","parser","A97DA31B0A7BD6E088FA5EC9B286CC4E","www.instagram.com","133219","1000015311.9","0","100","1","-1","","-1","https://www.instagram.com/","-1","125","/static/bundles/metro/ConsumerUICommons.js/847e54ea3c87.js","-1","","GET","-1","-1","","200","-1","br","Facebook","2460","1370","1606","1606","2460","854","1370","2460","1090","8","9","1","0","13","220","True","11","633730","","","29","2","","","",
"157.240.30.174","24","420","1089","1000015311.10","","","public,max-age=31536000,immutable","100","211011_AY_3V","-1","MEDIUM","","","-1","236","100","-1","-1","31536000","1370","","HTTP/2","100","3","https://www.instagram.com/static/bundles/metro/ConsumerAsyncCommons.js/c4ca4238a0b9.js","-1","1","1","","text/javascript","High","","","-1","-1","parser","A97DA31B0A7BD6E088FA5EC9B286CC4E","www.instagram.com","69","1000015311.10","0","100","1","-1","","-1","https://www.instagram.com/","-1","125","/static/bundles/metro/ConsumerAsyncCommons.js/c4ca4238a0b9.js","-1","","GET","-1","-1","","200","-1","br","Facebook","2459","1370","1606","1606","2459","853","1370","2459","1089","9","10","1","0","15","220","True","13","","","","0","","","","",
