"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","objectSizeUncompressed","final_base_page","http2_stream_dependency","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","initiator_function",
"172.217.23.238","","383","247","C9AAC613ABAFF3C98F4E30691D486319","","","public, max-age=2592000","-1","211011_G1_33","51","HIGHEST","","","-1","247","-1","51","-1","","83","80","http/1.1","-1","3","http://google.com/","-1","219","","google.com:80","text/html","VeryHigh","","Wed, 10 Nov 2021 19:14:13 GMT","-1","-1","script","9242590EE5B9BE97BE6DA8179F53B7AE","google.com","219","C9AAC613ABAFF3C98F4E30691D486319","","-1","0","2","","-1","","32","104","/","-1","33520","GET","49","83","","301","-1","","","330","83","330","330","330","0","2","330","328","0","1","1","0","","","","","","","","","","",
"216.58.201.68","","387","292","C9AAC613ABAFF3C98F4E30691D486319-1","","","private","-1","211011_G1_33","371","VeryHigh","","","-1","292","-1","371","-1","","404","80","http/1.1","-1","3","http://www.google.com/","-1","231","","www.google.com:80","text/html","VeryHigh","","","-1","-1","script","9242590EE5B9BE97BE6DA8179F53B7AE","www.google.com","231","C9AAC613ABAFF3C98F4E30691D486319","","-1","0","332","","-1","","33","115","/","-1","37914","GET","39","404","","302","-1","","","696","404","696","696","696","0","332","696","364","1","2","1","0","","","","","","","","","","",
"216.58.201.68","","408","740","C9AAC613ABAFF3C98F4E30691D486319-2","","","private, max-age=0","100","211011_G1_33","-1","VeryHigh","","","-1","419","-1","698","-1","","793","443","HTTP/2","100","3","https://www.google.com/?gws_rd=ssl","793","55336","55336","ssl/www.google.com:443","text/html","VeryHigh","","-1","-1","-1","script","9242590EE5B9BE97BE6DA8179F53B7AE","www.google.com","55857","C9AAC613ABAFF3C98F4E30691D486319","0","100","1","-1","","-1","","34","122","/?gws_rd=ssl","732","58898","GET","-1","732","","200","61","br","Google","1533","793","1212","1212","1533","321","698","1533","835","2","3","1","0","1","256","True","174164","1","0","1","34","9","",
"216.58.201.68","137","443","79","1000004540.4","0","","private, max-age=31536000","100","211011_G1_33","-1","MEDIUM","5969","","-1","69","100","-1","100","31536000","1299","","HTTP/2","-1","3","https://www.google.com/images/branding/googlelogo/1x/googlelogo_color_272x92dp.png","-1","5969","","","image/png","Low","","Mon, 11 Oct 2021 19:14:14 GMT","-1","-1","parser","9242590EE5B9BE97BE6DA8179F53B7AE","www.google.com","6104","1000004540.4","","100","1","-1","","-1","https://www.google.com/?gws_rd=ssl","-1","122","/images/branding/googlelogo/1x/googlelogo_color_272x92dp.png","-1","","GET","-1","-1","","200","-1","","Google","1378","1299","1368","1368","1378","10","1299","1378","79","3","4","1","0","3","147","True","5969","","1","","","","",
"216.58.201.68","137","395","46","1000004540.5","0","","public, max-age=31536000","100","211011_G1_33","-1","MEDIUM","258","","-1","46","100","-1","100","31410825","1299","","HTTP/2","-1","3","https://www.google.com/tia/tia.png","-1","258","","","image/png","Low","","Mon, 10 Oct 2022 08:27:59 GMT","-1","-1","parser","9242590EE5B9BE97BE6DA8179F53B7AE","www.google.com","637","1000004540.5","","100","1","-1","","-1","https://www.google.com/?gws_rd=ssl","-1","122","/tia/tia.png","-1","","GET","-1","-1","","200","-1","","Google","1345","1299","1345","1345","1345","0","1299","1345","46","4","5","1","0","5","147","True","258","","3","","","","",
"216.58.201.68","137","437","80","1000004540.23","0","","private, max-age=31536000","100","211011_G1_33","-1","MEDIUM","660","","-1","80","100","-1","100","31536000","1336","","HTTP/2","-1","3","https://www.google.com/images/searchbox/desktop_searchbox_sprites318_hr.webp","-1","660","","","image/webp","Low","","Mon, 11 Oct 2021 19:14:14 GMT","-1","-1","parser","9242590EE5B9BE97BE6DA8179F53B7AE","www.google.com","762","1000004540.23","","100","1","-1","","-1","https://www.google.com/?gws_rd=ssl","-1","122","/images/searchbox/desktop_searchbox_sprites318_hr.webp","-1","","GET","-1","-1","","200","-1","","Google","1416","1336","1416","1416","1416","0","1336","1416","80","5","6","1","0","7","147","True","660","","5","","","","",
"216.58.201.68","139","562","77","1000004540.24","","","","-1","211011_G1_33","-1","IDLE","","","-1","77","-1","-1","-1","","1346","","HTTP/2","-1","3","https://www.google.com/gen_204?ei=BY1kYaKVMbHcmAXux4uAAw&vet=10ahUKEwjiq9fGiMPzAhUxLqYKHe7jAjAQhJAHCBY..s&gl=CZ&pc=SEARCH_HOMEPAGE&isMobile=false","-1","0","","","text/html","VeryLow","2641","","-1","-1","script","9242590EE5B9BE97BE6DA8179F53B7AE","www.google.com","54","1000004540.24","","-1","1","-1","","-1","https://www.google.com/?gws_rd=ssl","-1","122","/gen_204?ei=BY1kYaKVMbHcmAXux4uAAw&vet=10ahUKEwjiq9fGiMPzAhUxLqYKHe7jAjAQhJAHCBY..s&gl=CZ&pc=SEARCH_HOMEPAGE&isMobile=false","-1","","POST","-1","-1","","204","-1","","","1423","1346","1423","1423","1423","0","1346","1423","77","6","7","1","0","","","","","","","","","","ya.log",
"172.217.23.227","137","414","57","1000004540.10","0","","public, max-age=31536000","100","211011_G1_33","-1","MEDIUM","1785","","-1","54","100","-1","100","31422558","1404","","HTTP/2","-1","3","https://www.gstatic.com/images/branding/googlelogo/1x/googlelogo_color_84x28dp.png","-1","1785","","","image/png","Low","","Mon, 10 Oct 2022 11:43:32 GMT","-1","-1","parser","9242590EE5B9BE97BE6DA8179F53B7AE","www.gstatic.com","2041","1000004540.10","","100","1","-1","","-1","https://www.google.com/?gws_rd=ssl","-1","142","/images/branding/googlelogo/1x/googlelogo_color_84x28dp.png","-1","","GET","-1","-1","","200","-1","","Google","1461","1404","1458","1458","1461","3","1404","1461","57","7","8","1","0","5","","","1785","","","","","","",
"172.217.23.227","215","492","52","1000004540.26","","","public, max-age=31536000","100","211011_G1_33","-1","HIGHEST","","","-1","52","100","1306","-1","31051003","1404","443","HTTP/2","100","3","https://www.gstatic.com/og/_/ss/k=og.qtm.6RV9cpRCV4Y.L.W.O/m=qcwid/excm=qaaw,qadd,qaid,qein,qhaw,qhbr,qhch,qhga,qhid,qhin,qhpr/d=1/ed=1/ct=zgms/rs=AA2YrTvNJ2Am2renOz9tHqLkwIepdRYn7w","1403","229","229","ssl/www.gstatic.com:443","text/css","VeryHigh","297","Thu, 06 Oct 2022 04:30:57 GMT","-1","-1","script","9242590EE5B9BE97BE6DA8179F53B7AE","www.gstatic.com","904","1000004540.26","0","100","1","-1","","-1","https://www.google.com/?gws_rd=ssl","39","142","/og/_/ss/k=og.qtm.6RV9cpRCV4Y.L.W.O/m=qcwid/excm=qaaw,qadd,qaid,qein,qhaw,qhbr,qhch,qhga,qhid,qhin,qhpr/d=1/ed=1/ct=zgms/rs=AA2YrTvNJ2Am2renOz9tHqLkwIepdRYn7w","1346","34574","GET","-1","1345","","200","57","gzip","Google","1456","1404","1456","1456","1456","0","1306","1456","148","8","9","1","0","1","256","True","296","","0","","","","Hj",
"172.217.23.227","137","381","54","1000004540.9","0","","public, max-age=31536000","100","211011_G1_33","-1","MEDIUM","151","","-1","53","100","-1","100","31422465","1404","","HTTP/2","-1","3","https://www.gstatic.com/inputtools/images/tia.png","-1","151","","","image/png","Low","","Mon, 10 Oct 2022 11:41:59 GMT","-1","-1","parser","9242590EE5B9BE97BE6DA8179F53B7AE","www.gstatic.com","471","1000004540.9","","100","1","-1","","-1","https://www.google.com/?gws_rd=ssl","-1","142","/inputtools/images/tia.png","-1","","GET","-1","-1","","200","-1","","Google","1458","1404","1457","1457","1458","1","1404","1458","54","9","10","1","0","3","","","151","","","","","","",
