"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","objectSizeUncompressed","final_base_page","http2_stream_dependency","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","initiator_function","score_progressive_jpeg","jpeg_scan_count",
"39.106.226.142","","381","290","840BC5FF05B73CB3D83187DB3A0FB981","","","","-1","211011_H2_3Y","339","HIGHEST","","","-1","290","-1","339","-1","","626","80","http/1.1","-1","3","http://csdn.net/","-1","166","","csdn.net:80","text/html","VeryHigh","","","-1","-1","script","4E42722A82A6EE3FD1884277771DED66","csdn.net","166","840BC5FF05B73CB3D83187DB3A0FB981","","-1","0","3","","-1","","286","107","/","-1","38124","GET","336","625","","301","-1","","","916","626","916","916","916","0","3","916","912","0","1","1","0","","","","","","","","","","","","",
"39.106.226.142","","395","1275","840BC5FF05B73CB3D83187DB3A0FB981-1","","","","-1","211011_H2_3Y","1262","VeryHigh","","","-1","960","-1","1262","-1","","1868","443","HTTP/2","100","3","https://www.csdn.net/","1868","53510","53510","ssl/www.csdn.net:443","text/html","VeryHigh","","","-1","-1","script","4E42722A82A6EE3FD1884277771DED66","www.csdn.net","53510","840BC5FF05B73CB3D83187DB3A0FB981","0","100","1","917","","-1","","297","118","/","1559","38484","GET","345","1559","","200","309","gzip","","3143","1868","2828","2828","3143","315","917","3143","2226","1","2","1","0","1","256","True","378168","1","0","1","9","","","","",
"4.34.134.108","7","362","354","1000023595.7","","","max-age=31536000","0","211011_H2_3Y","-1","MEDIUM","","","-1","353","100","-1","-1","31536000","3529","","HTTP/2","100","3","https://g.csdnimg.cn/user-ordercart/2.0.1/user-ordercart.js?ts=2.0.1","-1","2912","2912","","application/javascript","High","","","-1","-1","parser","4E42722A82A6EE3FD1884277771DED66","g.csdnimg.cn","2912","1000023595.7","0","100","1","-1","","-1","https://www.csdn.net/","-1","212","/user-ordercart/2.0.1/user-ordercart.js?ts=2.0.1","-1","","GET","-1","-1","","200","-1","gzip","","3883","3529","3882","3882","3883","1","3529","3883","354","2","3","1","0","7","","","7041","","","","1","","","","",
"4.34.134.108","9","354","359","1000023595.8","","","max-age=1800","0","211011_H2_3Y","-1","MEDIUM","","","-1","358","0","-1","-1","1800","3529","","HTTP/2","100","3","https://g.csdnimg.cn/common/csdn-login-box/csdn-login-box.js","-1","1705","1705","","application/javascript","High","","","-1","-1","parser","4E42722A82A6EE3FD1884277771DED66","g.csdnimg.cn","1705","1000023595.8","0","100","1","-1","","-1","https://www.csdn.net/","-1","212","/common/csdn-login-box/csdn-login-box.js","-1","","GET","-1","-1","","200","-1","gzip","","3888","3529","3887","3887","3888","1","3529","3888","359","3","4","1","0","9","","","3473","","","","0","","","","",
"4.34.134.108","11","359","391","1000023595.9","","","max-age=31536000","0","211011_H2_3Y","-1","MEDIUM","","","-1","390","100","-1","-1","31536000","3529","","HTTP/2","100","3","https://g.csdnimg.cn/user-ordertip/3.0.2/user-ordertip.js?t=3.0.2","-1","4958","4958","","application/javascript","High","","","-1","-1","parser","4E42722A82A6EE3FD1884277771DED66","g.csdnimg.cn","4958","1000023595.9","0","100","1","-1","","-1","https://www.csdn.net/","-1","212","/user-ordertip/3.0.2/user-ordertip.js?t=3.0.2","-1","","GET","-1","-1","","200","-1","gzip","","3920","3529","3919","3919","3920","1","3529","3920","391","4","5","1","0","11","","","16545","","","","1","","","","",
"4.34.134.108","1","341","384","1000023595.4","","","max-age=31536000","0","211011_H2_3Y","3194","MEDIUM","","","-1","382","100","3194","-1","31536000","3529","443","HTTP/2","100","3","https://g.csdnimg.cn/tingyun/1.8.5/www-index.js","3529","13938","13938","ssl/g.csdnimg.cn:443","application/javascript","High","","","-1","-1","parser","4E42722A82A6EE3FD1884277771DED66","g.csdnimg.cn","13938","1000023595.4","0","100","1","2839","","-1","https://www.csdn.net/","161","212","/tingyun/1.8.5/www-index.js","3355","57666","GET","355","3355","","200","174","gzip","","3913","3529","3911","3911","3913","2","2839","3913","1074","5","6","1","0","1","220","True","34330","","0","","20","73","","","",
"4.34.134.108","6","412","344","1000023595.5","","","max-age=31536000","0","211011_H2_3Y","-1","MEDIUM","","","-1","195","100","-1","-1","31536000","3529","","HTTP/2","100","3","https://g.csdnimg.cn/??lib/jquery/1.12.4/jquery.min.js,user-tooltip/2.2/user-tooltip.js,lib/qrcode/1.0.0/qrcode.min.js","-1","44133","44133","","application/javascript","High","","","-1","-1","parser","4E42722A82A6EE3FD1884277771DED66","g.csdnimg.cn","44133","1000023595.5","0","100","1","-1","","-1","https://www.csdn.net/","-1","212","/??lib/jquery/1.12.4/jquery.min.js,user-tooltip/2.2/user-tooltip.js,lib/qrcode/1.0.0/qrcode.min.js","-1","","GET","-1","-1","","200","-1","gzip","","3873","3529","3724","3724","3873","149","3529","3873","344","6","7","1","0","3","","","126150","","","","22","10","","","",
"4.34.134.108","6","343","349","1000023595.6","","","max-age=1800","0","211011_H2_3Y","-1","MEDIUM","","","-1","349","0","-1","-1","1800","3529","","HTTP/2","100","3","https://g.csdnimg.cn/common/csdn-report/report.js","-1","4871","4871","","application/javascript","High","","","-1","-1","parser","4E42722A82A6EE3FD1884277771DED66","g.csdnimg.cn","4871","1000023595.6","0","100","1","-1","","-1","https://www.csdn.net/","-1","212","/common/csdn-report/report.js","-1","","GET","-1","-1","","200","-1","gzip","","3878","3529","3878","3878","3878","0","3529","3878","349","7","8","1","0","5","","","12743","","","","10","","","","",
"4.34.134.108","12","372","449","1000023595.10","","","max-age=31536000","0","211011_H2_3Y","-1","HIGHEST","","","-1","349","100","-1","-1","31536000","3596","","HTTP/2","100","3","https://csdnimg.cn/release/cmsfe/public/css/common.4cad122e.css","-1","70747","70747","","text/css","VeryHigh","","","-1","-1","parser","4E42722A82A6EE3FD1884277771DED66","csdnimg.cn","70747","1000023595.10","0","100","1","-1","","-1","https://www.csdn.net/","-1","212","/release/cmsfe/public/css/common.4cad122e.css","-1","","GET","-1","-1","","200","-1","gzip","","4045","3596","3945","3945","4045","100","3596","4045","449","8","9","1","0","13","","","441559","","","","","","","","",
"4.34.134.108","12","389","240","1000023595.11","","","max-age=31536000","0","211011_H2_3Y","3497","HIGHEST","","","-1","238","100","3497","-1","31536000","3831","443","HTTP/2","100","3","https://csdnimg.cn/release/cmsfe/public/css/tpl/www-index-new/index.275fbff1.css","3831","13818","13818","ssl/csdnimg.cn:443","text/css","VeryHigh","","","-1","-1","parser","4E42722A82A6EE3FD1884277771DED66","csdnimg.cn","13818","1000023595.11","0","100","1","2844","","-1","https://www.csdn.net/","161","218","/release/cmsfe/public/css/tpl/www-index-new/index.275fbff1.css","3658","57678","GET","653","3658","","200","173","gzip","","4071","3831","4069","4069","4071","2","2844","4071","1227","9","10","1","0","15","","","91979","","","","","","","","",
