"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","objectSizeUncompressed","final_base_page","http2_stream_dependency","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","initiator_function","score_progressive_jpeg","jpeg_scan_count",
"52.202.62.236","","380","131","CA01B228D20EC845692D0119FB9FD5B2","","","","-1","211011_HG_3F","46","HIGHEST","","","-1","131","-1","46","-1","","173","80","http/1.1","-1","3","http://zoom.us/","-1","134","","zoom.us:80","text/html","VeryHigh","","","-1","-1","script","927434FFBB3CD392B640BD633E31FF13","zoom.us","134","CA01B228D20EC845692D0119FB9FD5B2","","-1","0","3","","-1","","127","104","/","-1","38028","GET","43","173","","301","-1","","","304","173","304","304","304","0","3","304","301","0","1","1","0","","","","","","","","","","","","",
"52.202.62.236","","390","307","CA01B228D20EC845692D0119FB9FD5B2-1","","","","-1","211011_HG_3F","-1","VeryHigh","","","-1","155","-1","306","-1","","579","443","HTTP/2","100","3","https://zoom.us/","579","29214","29214","ssl/zoom.us:443","text/html","VeryHigh","","","-1","-1","script","927434FFBB3CD392B640BD633E31FF13","zoom.us","29214","CA01B228D20EC845692D0119FB9FD5B2","0","100","1","-1","","-1","","130","115","/","436","59310","GET","-1","436","","200","143","gzip","","886","579","734","734","886","152","306","886","580","1","2","1","0","1","256","True","100293","1","0","1","8","1","","","",
"52.202.62.236","498","508","206","1000012158.9","","","private, max-age=28800","0","211011_HG_3F","-1","MEDIUM","","","-1","205","50","-1","-1","28800","747","","HTTP/2","100","3","https://zoom.us/csrf_js","-1","5930","5930","","text/javascript","High","","","-1","-1","parser","927434FFBB3CD392B640BD633E31FF13","zoom.us","5930","1000012158.9","0","100","1","-1","","-1","https://zoom.us/","-1","115","/csrf_js","-1","","GET","-1","-1","","200","-1","gzip","","953","747","952","952","953","1","747","953","206","2","3","1","0","3","220","True","15565","","1","","143","2","","","",
"13.226.88.248","507","550","141","1000012158.10","","","","100","211011_HG_3F","-1","HIGHEST","","","-1","141","0","-1","-1","0","899","","HTTP/2","100","3","https://st1.zoom.us/static/5.2.2415/js/lib/vue/advanced/notification/notification.min.css","-1","982","982","","text/css","VeryHigh","","","-1","-1","parser","927434FFBB3CD392B640BD633E31FF13","st1.zoom.us","982","1000012158.10","0","100","1","-1","","-1","https://zoom.us/","-1","184","/static/5.2.2415/js/lib/vue/advanced/notification/notification.min.css","-1","","GET","-1","-1","","200","-1","gzip","Amazon CloudFront","1040","899","1040","1040","1040","0","899","1040","141","3","4","1","0","3","","","1226","","","","","","","","",
"13.226.88.248","508","528","175","1000012158.11","","","","100","211011_HG_3F","-1","HIGHEST","","","-1","165","0","-1","-1","0","899","","HTTP/2","100","3","https://st1.zoom.us/static/5.2.2415/css/vue/zoom-components.min.css","-1","19879","19879","","text/css","VeryHigh","","","-1","-1","parser","927434FFBB3CD392B640BD633E31FF13","st1.zoom.us","19879","1000012158.11","0","100","1","-1","","-1","https://zoom.us/","-1","184","/static/5.2.2415/css/vue/zoom-components.min.css","-1","","GET","-1","-1","","200","-1","gzip","Amazon CloudFront","1074","899","1064","1064","1074","10","899","1074","175","4","5","1","0","5","","","133258","","","","","","","","",
"13.226.88.248","50","512","136","1000012158.5","","","","100","211011_HG_3F","788","HIGHEST","","","-1","92","0","788","-1","0","899","443","HTTP/2","100","3","https://st1.zoom.us/static/5.2.2415/css/all.min.css","898","38994","38994","ssl/st1.zoom.us:443","text/css","VeryHigh","","","-1","-1","parser","927434FFBB3CD392B640BD633E31FF13","st1.zoom.us","38994","1000012158.5","0","100","1","743","","-1","https://zoom.us/","38","184","/static/5.2.2415/css/all.min.css","826","60368","GET","45","826","","200","72","gzip","Amazon CloudFront","1035","899","991","991","1035","44","743","1035","291","5","6","1","0","1","256","True","199704","","0","","","","","","",
"13.226.88.248","51","516","194","1000012158.6","","","","100","211011_HG_3F","-1","HIGHEST","","","-1","189","0","-1","-1","0","899","","HTTP/2","100","3","https://st1.zoom.us/static/5.2.2415/css/landing.min.css","-1","13565","13565","","text/css","VeryHigh","","","-1","-1","parser","927434FFBB3CD392B640BD633E31FF13","st1.zoom.us","13565","1000012158.6","0","100","1","-1","","-1","https://zoom.us/","-1","184","/static/5.2.2415/css/landing.min.css","-1","","GET","-1","-1","","200","-1","gzip","Amazon CloudFront","1093","899","1088","1088","1093","5","899","1093","194","6","7","1","0","7","","","77614","","","","","","","","",
"13.226.88.248","52","526","199","1000012158.7","","","","100","211011_HG_3F","-1","HIGHEST","","","-1","198","0","-1","-1","0","899","","HTTP/2","100","3","https://st1.zoom.us/static/5.2.2415/css/carousel/carousel.min.css","-1","908","908","","text/css","VeryHigh","","","-1","-1","parser","927434FFBB3CD392B640BD633E31FF13","st1.zoom.us","908","1000012158.7","0","100","1","-1","","-1","https://zoom.us/","-1","184","/static/5.2.2415/css/carousel/carousel.min.css","-1","","GET","-1","-1","","200","-1","gzip","Amazon CloudFront","1098","899","1097","1097","1098","1","899","1098","199","7","8","1","0","9","","","1115","","","","","","","","",
"13.226.88.248","44","507","200","1000012158.4","","","","100","211011_HG_3F","-1","MEDIUM","","","-1","200","0","-1","-1","0","899","","HTTP/2","100","3","https://st1.zoom.us/static/5.2.2415/js/app/dmbredirect.min.js","-1","1194","1194","","application/javascript","High","","","-1","-1","parser","927434FFBB3CD392B640BD633E31FF13","st1.zoom.us","1194","1000012158.4","0","100","1","-1","","-1","https://zoom.us/","-1","184","/static/5.2.2415/js/app/dmbredirect.min.js","-1","","GET","-1","-1","","200","-1","gzip","Amazon CloudFront","1099","899","1099","1099","1099","0","899","1099","200","8","9","1","0","11","","","1599","","","","1","0","","","",
"13.226.88.248","2261","539","196","1000012158.75","","","","100","211011_HG_3F","-1","HIGHEST","","","-1","195","0","-1","-1","0","904","","HTTP/2","-1","3","https://st3.zoom.us/static/5.2.2415/css/meetings/meeting_delete_dialog.min.css","-1","371","","","text/css","VeryHigh","","","-1","-1","parser","927434FFBB3CD392B640BD633E31FF13","st3.zoom.us","817","1000012158.75","","100","1","-1","","-1","https://zoom.us/","-1","184","/static/5.2.2415/css/meetings/meeting_delete_dialog.min.css","-1","","GET","-1","-1","","200","-1","","Amazon CloudFront","1100","904","1099","1099","1100","1","904","1100","196","9","10","1","0","13","","","371","","","","","","","","",
"13.226.88.248","2269","534","211","1000012158.76","","","","100","211011_HG_3F","-1","LOW","","","-1","210","0","-1","-1","0","904","","HTTP/2","100","3","https://st1.zoom.us/static/5.2.2415/js/lib/vue/advanced/notification/notification.min.js","-1","7114","7114","","application/javascript","Medium","","","-1","-1","parser","927434FFBB3CD392B640BD633E31FF13","st1.zoom.us","7114","1000012158.76","0","100","1","-1","","-1","https://zoom.us/","-1","184","/static/5.2.2415/js/lib/vue/advanced/notification/notification.min.js","-1","","GET","-1","-1","","200","-1","gzip","Amazon CloudFront","1115","904","1114","1114","1115","1","904","1115","211","10","11","1","0","15","183","True","19596","","11","","7","","","","",
"13.226.88.248","53","521","162","1000012158.8","","","","100","211011_HG_3F","788","HIGHEST","","","-1","161","0","789","-1","0","956","443","HTTP/2","100","3","https://st2.zoom.us/static/5.2.2415/css/swiper-4.5.0.min.css","955","3555","3555","ssl/st2.zoom.us:443","text/css","VeryHigh","","","-1","-1","parser","927434FFBB3CD392B640BD633E31FF13","st2.zoom.us","3555","1000012158.8","0","100","1","744","","-1","https://zoom.us/","40","189","/static/5.2.2415/css/swiper-4.5.0.min.css","829","60378","GET","44","829","","200","126","gzip","Amazon CloudFront","1118","956","1117","1117","1118","1","744","1118","372","11","12","1","0","17","","","19778","","","","","","","","",
"13.226.88.248","509","552","161","1000012158.12","","","","100","211011_HG_3F","794","HIGHEST","","","-1","160","0","795","-1","0","963","443","HTTP/2","100","3","https://st3.zoom.us/static/5.2.2415/js/lib/vue/advanced/popup-captcha/popup-captcha.min.css","963","4556","4556","ssl/st3.zoom.us:443","text/css","VeryHigh","","","-1","-1","parser","927434FFBB3CD392B640BD633E31FF13","st3.zoom.us","4556","1000012158.12","0","100","1","747","","-1","https://zoom.us/","36","190","/static/5.2.2415/js/lib/vue/advanced/popup-captcha/popup-captcha.min.css","831","60380","GET","47","831","","200","132","gzip","Amazon CloudFront","1124","963","1123","1123","1124","1","747","1124","376","12","13","1","0","19","","","21323","","","","","","","","",
"52.202.62.236","95","574","138","1000012158.83","","","","0","211011_HG_3F","-1","HIGHEST","","","-1","137","0","-1","-1","0","1124","","HTTP/2","100","3","https://zoom.us/csrf_js","-1","1311","1311","","text/plain","VeryHigh","23","","-1","-1","script","927434FFBB3CD392B640BD633E31FF13","zoom.us","1311","1000012158.83","0","100","1","-1","","-1","https://zoom.us/csrf_js","-1","115","/csrf_js","-1","","POST","-1","-1","","200","-1","gzip","","1262","1124","1261","1261","1262","1","1124","1262","138","13","14","1","0","5","256","True","54","","0","","143","2","XMLHttpRequest.send","","",
"13.226.88.248","1947","547","227","1000012158.62","","","","100","211011_HG_3F","-1","MEDIUM","","","-1","68","0","-1","-1","0","1263","","HTTP/2","100","3","https://st3.zoom.us/static/5.2.2415/js/lib/vue/vue.min.js","-1","110504","110504","","application/javascript","Medium","","","-1","-1","parser","927434FFBB3CD392B640BD633E31FF13","st3.zoom.us","110504","1000012158.62","0","100","1","-1","","-1","https://zoom.us/","-1","184","/static/5.2.2415/js/lib/vue/vue.min.js","-1","","GET","-1","-1","","200","-1","gzip","Amazon CloudFront","1490","1263","1331","1331","1490","159","1263","1490","227","14","15","1","0","21","","","417914","","","","31","0","","","",
"13.226.88.248","578","584","846","1000012158.13","0","","","100","211011_HG_3F","-1","MEDIUM","2484","","-1","846","0","-1","100","0","1274","","HTTP/2","-1","3","https://st1.zoom.us/static/5.2.2415/image/new/ZoomLogo.png","-1","2484","","","image/png","Low","","","-1","-1","parser","927434FFBB3CD392B640BD633E31FF13","st1.zoom.us","2931","1000012158.13","","100","1","-1","","-1","https://zoom.us/","-1","184","/static/5.2.2415/image/new/ZoomLogo.png","-1","","GET","-1","-1","","200","-1","","Amazon CloudFront","2120","1274","2120","2120","2120","0","1274","2120","846","15","16","1","0","43","147","True","2484","","41","","","","","","",
"13.226.88.248","778","592","847","1000012158.16","0","","","100","211011_HG_3F","-1","LOWEST","750","","-1","846","0","-1","100","0","1274","","HTTP/2","-1","3","https://st1.zoom.us/static/5.2.2415/image/new/home/button-play.png","-1","750","","","image/png","Low","","","-1","-1","parser","927434FFBB3CD392B640BD633E31FF13","st1.zoom.us","1195","1000012158.16","","100","1","-1","","-1","https://zoom.us/","-1","184","/static/5.2.2415/image/new/home/button-play.png","-1","","GET","-1","-1","","200","-1","","Amazon CloudFront","2121","1274","2120","2120","2121","1","1274","2121","847","16","17","1","0","45","147","True","750","","43","","","","","","",
