"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","objectSizeUncompressed","final_base_page","http2_stream_dependency","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","initiator_function","score_progressive_jpeg","jpeg_scan_count",
"183.3.226.35","","379","329","F2D6929FB4E51046CEC15F68FD3F7C9D","","","","-1","211011_KV_36","36","HIGHEST","","","-1","329","-1","36","-1","","356","80","http/1.1","-1","3","http://qq.com/","-1","169","","qq.com:80","text/html","VeryHigh","","","-1","-1","script","F35487A892CF342F218A9EAF874D625C","qq.com","169","F2D6929FB4E51046CEC15F68FD3F7C9D","","-1","0","3","","-1","","320","104","/","-1","40872","GET","33","356","","302","-1","","","685","356","685","685","685","0","3","685","682","0","1","1","0","","","","","","","","","","","","",
"92.122.223.25","","393","119","F2D6929FB4E51046CEC15F68FD3F7C9D-1","","","max-age=60","100","211011_KV_36","727","VeryHigh","","","-1","65","-1","727","-1","","853","443","HTTP/2","100","3","https://www.qq.com/","853","24023","24023","ssl/www.qq.com:443","text/html","VeryHigh","","Mon, 11 Oct 2021 19:22:35 GMT","-1","-1","script","F35487A892CF342F218A9EAF874D625C","www.qq.com","24339","F2D6929FB4E51046CEC15F68FD3F7C9D","0","100","1","686","","-1","","56","118","/","783","55440","GET","41","783","","200","70","gzip","Akamai","972","853","918","918","972","54","686","972","286","1","2","1","0","1","256","True","128662","1","0","1","14","","","","",
"92.122.223.25","99","385","166","1000014125.5","0","","max-age=1081214","100","211011_KV_36","-1","LOWEST","63512","","-1","68","100","-1","100","1081214","978","","HTTP/2","-1","3","https://inews.gtimg.com/newsapp_bt/0/0923142908664_4470/0","-1","63512","","","image/webp","Low","","","-1","-1","parser","F35487A892CF342F218A9EAF874D625C","inews.gtimg.com","63922","1000014125.5","","100","1","-1","","-1","https://www.qq.com/","-1","118","/newsapp_bt/0/0923142908664_4470/0","-1","","GET","-1","-1","","200","-1","","Akamai","1144","978","1046","1046","1144","98","978","1144","166","2","3","1","0","3","","","63512","","","","","","","","",
"101.33.10.29","1774","363","298","1000014125.30","","","max-age=60","0","211011_KV_36","-1","MEDIUM","","","-1","261","0","-1","-1","60","1673","","HTTP/2","100","3","https://mat1.gtimg.com/www/asset/lib/jquery/jquery/jquery-1.11.1.min.js","-1","33309","33309","","application/javascript","Medium","","Mon, 11 Oct 2021 19:22:35 GMT","-1","-1","parser","F35487A892CF342F218A9EAF874D625C","mat1.gtimg.com","33747","1000014125.30","0","100","1","-1","","-1","https://www.qq.com/","-1","175","/www/asset/lib/jquery/jquery/jquery-1.11.1.min.js","-1","","GET","-1","-1","","200","-1","gzip","","1971","1673","1934","1934","1971","37","1673","1971","298","3","4","1","0","3","","","95832","","","","25","7","","","",
"101.33.10.29","23","372","66","1000014125.4","","","max-age=60","0","211011_KV_36","1546","HIGHEST","","","-1","55","0","1546","-1","60","1673","443","HTTP/2","100","3","https://mat1.gtimg.com/qqcdn/qqindex2021/dist/css/qq_0ca887fa.css","1673","14353","14353","ssl/mat1.gtimg.com:443","text/css","VeryHigh","","Mon, 11 Oct 2021 19:22:35 GMT","-1","-1","parser","F35487A892CF342F218A9EAF874D625C","mat1.gtimg.com","14707","1000014125.4","0","100","1","929","","-1","https://www.qq.com/","39","175","/qqcdn/qqindex2021/dist/css/qq_0ca887fa.css","1585","44348","GET","617","1585","","200","88","gzip","","1739","1673","1728","1728","1739","11","929","1739","810","4","5","1","0","1","256","True","80785","","0","","","","","","",
"92.122.223.25","346","383","93","1000014125.6","0","","max-age=1078498","100","211011_KV_36","-1","LOWEST","4220","","-1","93","100","-1","100","1078498","1744","","HTTP/2","-1","3","https://inews.gtimg.com/newsapp_bt/0/09241451069_3873/0","-1","4220","","","image/webp","Low","","","-1","-1","parser","F35487A892CF342F218A9EAF874D625C","inews.gtimg.com","4502","1000014125.6","","100","1","-1","","-1","https://www.qq.com/","-1","118","/newsapp_bt/0/09241451069_3873/0","-1","","GET","-1","-1","","200","-1","","Akamai","1837","1744","1837","1837","1837","0","1744","1837","93","5","6","1","0","5","","","4220","","","","","","","","",
"92.122.223.25","351","385","103","1000014125.7","0","","max-age=1078570","100","211011_KV_36","-1","LOWEST","5380","","-1","103","100","-1","100","1078570","1744","","HTTP/2","-1","3","https://inews.gtimg.com/newsapp_bt/0/0924145221382_8644/0","-1","5380","","","image/webp","Low","","","-1","-1","parser","F35487A892CF342F218A9EAF874D625C","inews.gtimg.com","5661","1000014125.7","","100","1","-1","","-1","https://www.qq.com/","-1","118","/newsapp_bt/0/0924145221382_8644/0","-1","","GET","-1","-1","","200","-1","","Akamai","1847","1744","1847","1847","1847","0","1744","1847","103","6","7","1","0","7","","","5380","","","","","","","","",
"92.122.223.25","356","385","136","1000014125.8","0","","max-age=1078497","100","211011_KV_36","-1","LOWEST","19858","","-1","119","100","-1","100","1078497","1744","","HTTP/2","-1","3","https://inews.gtimg.com/newsapp_bt/0/0924145258587_5505/0","-1","19858","","","image/webp","Low","","","-1","-1","parser","F35487A892CF342F218A9EAF874D625C","inews.gtimg.com","20178","1000014125.8","","100","1","-1","","-1","https://www.qq.com/","-1","118","/newsapp_bt/0/0924145258587_5505/0","-1","","GET","-1","-1","","200","-1","","Akamai","1880","1744","1863","1863","1880","17","1744","1880","136","7","8","1","0","9","","","19858","","","","","","","","",
"92.122.223.25","361","384","160","1000014125.9","0","","max-age=1078561","100","211011_KV_36","-1","LOWEST","11588","","-1","155","100","-1","100","1078561","1744","","HTTP/2","-1","3","https://inews.gtimg.com/newsapp_bt/0/092414533156_7716/0","-1","11588","","","image/webp","Low","","","-1","-1","parser","F35487A892CF342F218A9EAF874D625C","inews.gtimg.com","11889","1000014125.9","","100","1","-1","","-1","https://www.qq.com/","-1","118","/newsapp_bt/0/092414533156_7716/0","-1","","GET","-1","-1","","200","-1","","Akamai","1904","1744","1899","1899","1904","5","1744","1904","160","8","9","1","0","11","","","11588","","","","","","","","",
"92.122.223.25","366","385","166","1000014125.10","0","","max-age=1078531","100","211011_KV_36","-1","LOWEST","5626","","-1","166","100","-1","100","1078531","1744","","HTTP/2","-1","3","https://inews.gtimg.com/newsapp_bt/0/0924145407765_4081/0","-1","5626","","","image/webp","Low","","","-1","-1","parser","F35487A892CF342F218A9EAF874D625C","inews.gtimg.com","5907","1000014125.10","","100","1","-1","","-1","https://www.qq.com/","-1","118","/newsapp_bt/0/0924145407765_4081/0","-1","","GET","-1","-1","","200","-1","","Akamai","1910","1744","1910","1910","1910","0","1744","1910","166","9","10","1","0","13","","","5626","","","","","","","","",
