"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","http2_stream_dependency","objectSizeUncompressed","final_base_page","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","score_progressive_jpeg","jpeg_scan_count","initiator_function","was_pushed",
"23.1.106.133","","382","58","4A9712C2C2204DB16DA0AC484B50B9A6","","","max-age=0, no-cache, no-store","-1","211011_MC_3W","44","HIGHEST","","","-1","58","-1","44","-1","","99","80","http/1.1","-1","3","http://force.com/","-1","0","","force.com:80","","VeryHigh","","Mon, 11 Oct 2021 20:03:02 GMT","-1","-1","script","A8C3724743EA52DC6A77BC610AF40AC2","force.com","0","4A9712C2C2204DB16DA0AC484B50B9A6","","-1","0","2","","-1","","55","103","/","-1","48562","GET","42","99","","301","-1","","","157","99","157","157","157","0","2","157","155","0","1","1","0","","","","","","","","","","","","","",
"23.212.110.163","","396","350","4A9712C2C2204DB16DA0AC484B50B9A6-1","","","","-1","211011_MC_3W","201","VeryHigh","","","-1","350","-1","201","-1","","306","443","HTTP/2","-1","3","https://www.force.com/","306","0","","ssl/www.force.com:443","","VeryHigh","","","-1","-1","script","A8C3724743EA52DC6A77BC610AF40AC2","www.force.com","0","4A9712C2C2204DB16DA0AC484B50B9A6","","-1","1","159","","-1","","32","115","/","233","52344","GET","42","233","","301","73","","","656","306","656","656","656","0","159","656","497","1","2","1","0","1","256","True","0","","","","","","","","","",
"23.212.110.147","","452","138","4A9712C2C2204DB16DA0AC484B50B9A6-2","","","max-age=70, s-maxage=10","100","211011_MC_3W","704","VeryHigh","","","-1","109","-1","704","-1","","788","443","HTTP/2","100","3","https://www.salesforce.com/products/platform/products/force/?sfdc-redirect=300","788","18328","18328","ssl/www.salesforce.com:443","text/html","VeryHigh","","Mon, 11 Oct 2021 20:04:13 GMT","-1","-1","script","A8C3724743EA52DC6A77BC610AF40AC2","www.salesforce.com","18753","4A9712C2C2204DB16DA0AC484B50B9A6","0","100","1","659","","-1","","35","125","/products/platform/products/force/?sfdc-redirect=300","739","42796","GET","45","739","","200","49","gzip","Akamai","926","788","897","897","926","29","659","926","267","2","3","1","0","1","256","True","0","134212","1","1","23","0","","","","",
"23.212.110.147","47","495","172","1000017985.4","","","max-age=2592000, s-maxage=10","100","211011_MC_3W","-1","MEDIUM","","","-1","117","100","-1","-1","2592000","912","","HTTP/2","-1","3","https://www.salesforce.com/etc/clientlibs/sfdc-aem-master/clientlibs_base/fonts/SalesforceSans-Regular.woff2","-1","27684","","","font/woff2","High","","Wed, 10 Nov 2021 20:03:03 GMT","-1","-1","parser","A8C3724743EA52DC6A77BC610AF40AC2","www.salesforce.com","28064","1000017985.4","","100","1","-1","","-1","https://www.salesforce.com/products/platform/products/force/?sfdc-redirect=300","-1","125","/etc/clientlibs/sfdc-aem-master/clientlibs_base/fonts/SalesforceSans-Regular.woff2","-1","","GET","-1","-1","","200","-1","","Akamai","1084","912","1029","1029","1084","55","912","1084","172","3","4","1","0","3","220","True","1","27684","","","","","","","","",
"23.212.110.147","48","492","535","1000017985.5","","","max-age=2592000, s-maxage=10","100","211011_MC_3W","-1","MEDIUM","","","-1","465","100","-1","-1","2592000","916","","HTTP/2","-1","3","https://www.salesforce.com/etc/clientlibs/sfdc-aem-master/clientlibs_base/fonts/SalesforceSans-Bold.woff2","-1","27648","","","font/woff2","High","","Wed, 10 Nov 2021 20:03:03 GMT","-1","-1","parser","A8C3724743EA52DC6A77BC610AF40AC2","www.salesforce.com","28019","1000017985.5","","100","1","-1","","-1","https://www.salesforce.com/products/platform/products/force/?sfdc-redirect=300","-1","125","/etc/clientlibs/sfdc-aem-master/clientlibs_base/fonts/SalesforceSans-Bold.woff2","-1","","GET","-1","-1","","200","-1","","Akamai","1451","916","1381","1381","1451","70","916","1451","535","4","5","1","0","9","220","True","3","27648","","","","","","","","",
"23.212.110.147","82","457","460","1000017985.8","","","max-age=1209600, s-maxage=10","100","211011_MC_3W","-1","HIGHEST","","","-1","239","100","-1","-1","1209600","916","","HTTP/2","100","3","https://www.salesforce.com/etc.bundles/sfdc-www/bundles/all.bundle.982efcc762d13f809808.css","-1","66623","66623","","text/css","VeryHigh","","Mon, 25 Oct 2021 20:03:03 GMT","-1","-1","parser","A8C3724743EA52DC6A77BC610AF40AC2","www.salesforce.com","67087","1000017985.8","0","100","1","-1","","-1","https://www.salesforce.com/products/platform/products/force/?sfdc-redirect=300","-1","125","/etc.bundles/sfdc-www/bundles/all.bundle.982efcc762d13f809808.css","-1","","GET","-1","-1","","200","-1","br","Akamai","1376","916","1155","1155","1376","221","916","1376","460","5","6","1","0","5","256","True","1","654171","","","","","","","","",
"23.212.110.147","82","467","463","1000017985.9","","","max-age=1209600, s-maxage=10","100","211011_MC_3W","-1","HIGHEST","","","-1","455","100","-1","-1","1209600","916","","HTTP/2","100","3","https://www.salesforce.com/etc.bundles/sfdc-www/bundles/sfdc-liveChat.bundle.982efcc762d13f809808.css","-1","1751","1751","","text/css","VeryHigh","","Mon, 25 Oct 2021 20:03:03 GMT","-1","-1","parser","A8C3724743EA52DC6A77BC610AF40AC2","www.salesforce.com","2070","1000017985.9","0","100","1","-1","","-1","https://www.salesforce.com/products/platform/products/force/?sfdc-redirect=300","-1","125","/etc.bundles/sfdc-www/bundles/sfdc-liveChat.bundle.982efcc762d13f809808.css","-1","","GET","-1","-1","","200","-1","br","Akamai","1379","916","1371","1371","1379","8","916","1379","463","6","7","1","0","7","256","True","5","9075","","","","","","","","",
"23.212.110.147","49","493","597","1000017985.6","","","max-age=2592000, s-maxage=10","100","211011_MC_3W","-1","MEDIUM","","","-1","535","100","-1","-1","2592000","917","","HTTP/2","-1","3","https://www.salesforce.com/etc/clientlibs/sfdc-aem-master/clientlibs_base/fonts/SalesforceSans-Light.woff2","-1","27732","","","font/woff2","High","","Wed, 10 Nov 2021 20:03:03 GMT","-1","-1","parser","A8C3724743EA52DC6A77BC610AF40AC2","www.salesforce.com","28112","1000017985.6","","100","1","-1","","-1","https://www.salesforce.com/products/platform/products/force/?sfdc-redirect=300","-1","125","/etc/clientlibs/sfdc-aem-master/clientlibs_base/fonts/SalesforceSans-Light.woff2","-1","","GET","-1","-1","","200","-1","","Akamai","1514","917","1452","1452","1514","62","917","1514","597","7","8","1","0","11","220","True","9","27732","","","","","","","","",
"23.212.110.147","50","489","650","1000017985.7","","","max-age=2592000, s-maxage=10","100","211011_MC_3W","-1","MEDIUM","","","-1","596","100","-1","-1","2592000","917","","HTTP/2","-1","3","https://www.salesforce.com/etc/clientlibs/sfdc-aem-master/clientlibs_base/fonts/salesforce-icons.woff2","-1","15056","","","font/woff2","High","","Wed, 10 Nov 2021 20:03:03 GMT","-1","-1","parser","A8C3724743EA52DC6A77BC610AF40AC2","www.salesforce.com","15391","1000017985.7","","100","1","-1","","-1","https://www.salesforce.com/products/platform/products/force/?sfdc-redirect=300","-1","125","/etc/clientlibs/sfdc-aem-master/clientlibs_base/fonts/salesforce-icons.woff2","-1","","GET","-1","-1","","200","-1","","Akamai","1567","917","1513","1513","1567","54","917","1567","650","8","9","1","0","13","220","True","11","15056","","","","","","","","",
"23.212.110.147","83","547","703","1000017985.13","","","max-age=1209600, s-maxage=10","100","211011_MC_3W","-1","MEDIUM","","","-1","644","100","-1","-1","1209600","922","","HTTP/2","100","3","https://www.salesforce.com/etc.bundles/sfdc-www/bundles/vendors~utils~webpack-script-manifest-SfdcWwwBaseCnc-js~webpack-script-manifest-commonlyUsed-js~webp~8dbeef75.bundle.1cb6b181ee19bf98f0ee.js","-1","14560","14560","","application/javascript","High","","Mon, 25 Oct 2021 20:03:03 GMT","-1","-1","parser","A8C3724743EA52DC6A77BC610AF40AC2","www.salesforce.com","14916","1000017985.13","0","100","1","-1","","-1","https://www.salesforce.com/products/platform/products/force/?sfdc-redirect=300","-1","125","/etc.bundles/sfdc-www/bundles/vendors~utils~webpack-script-manifest-SfdcWwwBaseCnc-js~webpack-script-manifest-commonlyUsed-js~webp~8dbeef75.bundle.1cb6b181ee19bf98f0ee.js","-1","","GET","-1","-1","","200","-1","br","Akamai","1625","922","1566","1566","1625","59","922","1625","703","9","10","1","0","23","220","True","21","46854","","","3","","","","","",
