"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","http2_stream_dependency","final_base_page","objectSizeUncompressed","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","initiator_function","score_progressive_jpeg","jpeg_scan_count",
"140.205.220.96","","383","307","CDAC6B8771C563AECD390BD165E87C76","","","","-1","211011_MH_3A","43","HIGHEST","","","-1","307","-1","43","-1","","346","80","http/1.1","-1","3","http://taobao.com/","-1","258","","taobao.com:80","text/html","VeryHigh","","","-1","-1","script","270D3504D4D016E74DE86C68396D779F","taobao.com","258","CDAC6B8771C563AECD390BD165E87C76","","-1","0","4","","-1","","303","104","/","-1","60754","GET","39","346","","302","-1","","","653","346","653","653","653","0","4","653","649","0","1","1","0","","","","","","","","","","","","",
"47.246.48.233","","387","544","CDAC6B8771C563AECD390BD165E87C76-1","","","","-1","211011_MH_3A","1003","VeryHigh","","","-1","544","-1","1003","-1","","1050","80","http/1.1","-1","3","http://www.taobao.com/","-1","262","","www.taobao.com:80","text/html","VeryHigh","","","-1","-1","script","270D3504D4D016E74DE86C68396D779F","www.taobao.com","262","CDAC6B8771C563AECD390BD165E87C76","","-1","0","654","","-1","","47","117","/","-1","35780","GET","349","1050","","301","-1","","","1594","1050","1594","1594","1594","0","654","1594","940","1","2","1","0","","","","","","","","","","","","",
"47.246.48.233","","397","50","CDAC6B8771C563AECD390BD165E87C76-2","","","","-1","211011_MH_3A","-1","VeryHigh","","","-1","50","-1","1595","-1","","2338","443","HTTP/2","-1","3","https://www.taobao.com/","2338","242","","ssl/www.taobao.com:443","text/html","VeryHigh","","","-1","-1","script","270D3504D4D016E74DE86C68396D779F","www.taobao.com","0","CDAC6B8771C563AECD390BD165E87C76","","-1","1","-1","","-1","","45","124","/","1640","34948","GET","-1","1640","","302","698","","","2388","2338","2388","2388","2388","0","1595","2388","793","2","3","1","0","1","256","True","0","","","","","","","","",
"47.246.48.233","","399","62","CDAC6B8771C563AECD390BD165E87C76-3","","","max-age=0, s-maxage=142","-1","211011_MH_3A","-1","VeryHigh","","","-1","60","-1","-1","-1","","2799","","HTTP/2","100","3","https://world.taobao.com/","-1","3471","3471","","text/html","VeryHigh","","","-1","-1","script","270D3504D4D016E74DE86C68396D779F","world.taobao.com","3471","CDAC6B8771C563AECD390BD165E87C76","0","100","1","-1","","-1","","-1","124","/","-1","","GET","-1","-1","","200","-1","gzip","","2861","2799","2859","2859","2861","2","2799","2861","62","3","4","1","0","3","","","","1","9034","1","6","","","","",
"47.246.43.252","50","407","85","1000026275.10","","","max-age=2592000,s-maxage=86400","0","211011_MH_3A","-1","HIGHEST","","","-1","53","100","-1","-1","2518231","3246","","HTTP/2","100","3","https://g.alicdn.com/code/npm/@ali/pegasus-project-oversea-pc-main/1.0.22/pages/home/index.css","-1","7850","7850","","text/css","VeryHigh","","","-1","-1","parser","270D3504D4D016E74DE86C68396D779F","g.alicdn.com","8182","1000026275.10","0","100","1","-1","","-1","https://world.taobao.com/","-1","199","/code/npm/@ali/pegasus-project-oversea-pc-main/1.0.22/pages/home/index.css","-1","","GET","-1","-1","","200","-1","gzip","","3331","3246","3299","3299","3331","32","3246","3331","85","4","5","1","0","3","","","","","35536","","","","","","",
"47.246.43.252","146","348","177","1000026275.11","","","max-age=2592000,s-maxage=86400","0","211011_MH_3A","-1","MEDIUM","","","-1","176","100","-1","-1","2544996","3246","","HTTP/2","100","3","https://g.alicdn.com/tbhome/tb-gnav/1.0.5/index.js","-1","17928","17928","","application/javascript","High","","","-1","-1","parser","270D3504D4D016E74DE86C68396D779F","g.alicdn.com","18297","1000026275.11","0","100","1","-1","","-1","https://world.taobao.com/","-1","199","/tbhome/tb-gnav/1.0.5/index.js","-1","","GET","-1","-1","","200","-1","gzip","","3423","3246","3422","3422","3423","1","3246","3423","177","5","6","1","0","13","","","","","52243","","47","3","","","",
"47.246.43.252","10","364","49","1000026275.5","","","max-age=2592000,s-maxage=86400","0","211011_MH_3A","3160","HIGHEST","","","-1","43","100","3160","-1","2545189","3246","443","HTTP/2","100","3","https://g.alicdn.com/tbhome/tb-gnav/1.0.5/index.css","3245","3643","3643","ssl/g.alicdn.com:443","text/css","VeryHigh","","","-1","-1","parser","270D3504D4D016E74DE86C68396D779F","g.alicdn.com","4198","1000026275.5","0","100","1","2869","","-1","https://world.taobao.com/","38","199","/tbhome/tb-gnav/1.0.5/index.css","3198","34558","GET","291","3198","","200","47","gzip","","3295","3246","3289","3289","3295","6","2869","3295","425","6","7","1","0","1","256","True","0","","17823","","","","","","",
"47.246.43.252","16","338","115","1000026275.6","","","max-age=2592000,s-maxage=3600","0","211011_MH_3A","-1","MEDIUM","","","-1","101","100","-1","-1","2588528","3246","","HTTP/2","100","3","https://g.alicdn.com/tb/tracker/index.js","-1","11352","11352","","application/javascript","High","","","-1","-1","parser","270D3504D4D016E74DE86C68396D779F","g.alicdn.com","11710","1000026275.6","0","100","1","-1","","-1","https://world.taobao.com/","-1","199","/tb/tracker/index.js","-1","","GET","-1","-1","","200","-1","gzip","","3361","3246","3347","3347","3361","14","3246","3361","115","7","8","1","0","9","","","","","33962","","8","47","","","",
"47.246.43.252","18","336","101","1000026275.7","","","max-age=7200,s-maxage=3600","0","211011_MH_3A","-1","MEDIUM","","","-1","100","50","-1","-1","6526","3246","","HTTP/2","100","3","https://g.alicdn.com/AWSC/AWSC/awsc.js","-1","3515","3515","","application/javascript","High","","","-1","-1","parser","270D3504D4D016E74DE86C68396D779F","g.alicdn.com","3875","1000026275.7","0","100","1","-1","","-1","https://world.taobao.com/","-1","199","/AWSC/AWSC/awsc.js","-1","","GET","-1","-1","","200","-1","gzip","","3347","3246","3346","3346","3347","1","3246","3347","101","8","9","1","0","5","","","","","11917","","3","6","","","",
"47.246.43.252","27","391","145","1000026275.8","","","max-age=300,s-maxage=300","0","211011_MH_3A","-1","MEDIUM","","","-1","144","0","-1","-1","66","3246","","HTTP/2","100","3","https://g.alicdn.com/trace/trace/??sdk.js,resourceError-plugin.js,perf-plugin.js,pv-plugin.js","-1","17071","17071","","application/javascript","High","","","-1","-1","parser","270D3504D4D016E74DE86C68396D779F","g.alicdn.com","17486","1000026275.8","0","100","1","-1","","-1","https://world.taobao.com/","-1","199","/trace/trace/??sdk.js,resourceError-plugin.js,perf-plugin.js,pv-plugin.js","-1","","GET","-1","-1","","200","-1","gzip","","3391","3246","3390","3390","3391","1","3246","3391","145","9","10","1","0","11","","","","","61173","","8","3","","","",
