"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","objectSizeUncompressed","final_base_page","http2_stream_dependency","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","initiator_function","score_progressive_jpeg","jpeg_scan_count",
"140.205.94.193","","382","312","166FDF518CD89515532B18F9A95F9741","","","","-1","211011_QZ_35","47","HIGHEST","","","-1","312","-1","48","-1","","356","80","http/1.1","-1","3","http://tmall.com/","-1","258","","tmall.com:80","text/html","VeryHigh","","","-1","-1","script","F5D7016701A7DD435C09ED4AE68BC0F3","tmall.com","258","166FDF518CD89515532B18F9A95F9741","","-1","0","3","","-1","","308","107","/","-1","40352","GET","44","356","","302","-1","","","668","356","668","668","668","0","3","668","664","0","1","1","0","","","","","","","","","","","","",
"47.246.48.233","","386","49","166FDF518CD89515532B18F9A95F9741-1","","","","-1","211011_QZ_35","1022","VeryHigh","","","-1","49","-1","1022","-1","","1067","80","http/1.1","-1","3","http://www.tmall.com/","-1","242","","www.tmall.com:80","text/html","VeryHigh","","","-1","-1","script","F5D7016701A7DD435C09ED4AE68BC0F3","www.tmall.com","242","166FDF518CD89515532B18F9A95F9741","","-1","0","669","","-1","","45","116","/","-1","33606","GET","353","1067","","302","-1","","","1116","1067","1116","1116","1116","0","669","1116","447","1","2","1","0","","","","","","","","","","","","",
"47.246.48.233","","396","62","166FDF518CD89515532B18F9A95F9741-2","","","max-age=0, s-maxage=140","-1","211011_QZ_35","-1","VeryHigh","","","-1","53","-1","1118","-1","","1895","443","HTTP/2","100","3","https://www.tmall.com/","1895","6639","6639","ssl/www.tmall.com:443","text/html","VeryHigh","","","-1","-1","script","F5D7016701A7DD435C09ED4AE68BC0F3","www.tmall.com","6639","166FDF518CD89515532B18F9A95F9741","0","100","1","-1","","-1","","44","123","/","1162","32774","GET","-1","1162","","200","733","gzip","","1957","1895","1948","1948","1957","9","1118","1957","839","2","3","1","0","1","256","True","18703","1","0","1","2","","","","",
"47.246.43.251","3","354","59","1000010180.4","","","max-age=2592000,s-maxage=3600","0","211011_QZ_35","2234","HIGHEST","","","-1","47","100","2234","-1","2591273","2323","443","HTTP/2","100","3","https://g.alicdn.com/tbhome/tm-nav/index.css","2323","8580","8580","ssl/g.alicdn.com:443","text/css","VeryHigh","","","-1","-1","parser","F5D7016701A7DD435C09ED4AE68BC0F3","g.alicdn.com","9132","1000010180.4","0","100","1","1956","","-1","https://www.tmall.com/","40","178","/tbhome/tm-nav/index.css","2274","53764","GET","278","2274","","200","49","gzip","","2382","2323","2370","2370","2382","12","1956","2382","426","3","4","1","0","1","256","True","37037","","0","","","","","","",
"47.246.43.251","3","393","98","1000010180.5","","","max-age=2592000,s-maxage=86400","0","211011_QZ_35","-1","HIGHEST","","","-1","98","100","-1","-1","2555488","2323","","HTTP/2","100","3","https://g.alicdn.com/code/npm/@ali/pegasus-project-newTm/0.0.4/pages/home/index.css","-1","3238","3238","","text/css","VeryHigh","","","-1","-1","parser","F5D7016701A7DD435C09ED4AE68BC0F3","g.alicdn.com","3586","1000010180.5","0","100","1","-1","","-1","https://www.tmall.com/","-1","178","/code/npm/@ali/pegasus-project-newTm/0.0.4/pages/home/index.css","-1","","GET","-1","-1","","200","-1","gzip","","2421","2323","2421","2421","2421","0","2323","2421","98","4","5","1","0","3","","","14927","","","","","","","","",
"47.246.43.251","107","353","118","1000010180.8","","","max-age=2592000,s-maxage=86400","0","211011_QZ_35","-1","MEDIUM","","","-1","117","100","-1","-1","2552069","2323","","HTTP/2","100","3","https://g.alicdn.com/jstracker/sdk-assests/5.1.29/index.js","-1","11180","11180","","application/javascript","High","","","-1","-1","parser","F5D7016701A7DD435C09ED4AE68BC0F3","g.alicdn.com","11532","1000010180.8","0","100","1","-1","","-1","https://www.tmall.com/","-1","178","/jstracker/sdk-assests/5.1.29/index.js","-1","","GET","-1","-1","","200","-1","gzip","","2441","2323","2440","2440","2441","1","2323","2441","118","5","6","1","0","5","","","33595","","","","7","0","","","",
"47.246.43.251","107","363","224","1000010180.9","","","max-age=2592000,s-maxage=3600","0","211011_QZ_35","-1","MEDIUM","","","-1","197","100","-1","-1","2588776","2323","","HTTP/2","100","3","https://g.alicdn.com/??code/lib/babel-polyfill/7.2.3/polyfill.min.js","-1","37705","37705","","application/javascript","High","","","-1","-1","parser","F5D7016701A7DD435C09ED4AE68BC0F3","g.alicdn.com","38065","1000010180.9","0","100","1","-1","","-1","https://www.tmall.com/","-1","178","/??code/lib/babel-polyfill/7.2.3/polyfill.min.js","-1","","GET","-1","-1","","200","-1","gzip","","2547","2323","2520","2520","2547","27","2323","2547","224","6","7","1","0","7","","","96193","","","","38","","","","",
"47.246.43.251","107","343","244","1000010180.10","","","max-age=2592000,s-maxage=3600","0","211011_QZ_35","-1","MEDIUM","","","-1","243","100","-1","-1","2590702","2323","","HTTP/2","100","3","https://g.alicdn.com/mtb/lib-mtop/2.3.14/mtop.js","-1","7841","7841","","application/javascript","High","","","-1","-1","parser","F5D7016701A7DD435C09ED4AE68BC0F3","g.alicdn.com","8163","1000010180.10","0","100","1","-1","","-1","https://www.tmall.com/","-1","178","/mtb/lib-mtop/2.3.14/mtop.js","-1","","GET","-1","-1","","200","-1","gzip","","2567","2323","2566","2566","2567","1","2323","2567","244","7","8","1","0","9","","","20979","","","","13","1","","","",
"47.246.43.251","107","338","276","1000010180.12","","","max-age=2592000,s-maxage=3600","0","211011_QZ_35","-1","MEDIUM","","","-1","244","100","-1","-1","2589594","2323","","HTTP/2","100","3","https://g.alicdn.com/tbhome/tm-nav/index.js","-1","16808","16808","","application/javascript","High","","","-1","-1","parser","F5D7016701A7DD435C09ED4AE68BC0F3","g.alicdn.com","17257","1000010180.12","0","100","1","-1","","-1","https://www.tmall.com/","-1","178","/tbhome/tm-nav/index.js","-1","","GET","-1","-1","","200","-1","gzip","","2599","2323","2567","2567","2599","32","2323","2599","276","8","9","1","0","11","","","48894","","","","10","3","","","",
"47.246.43.251","107","408","323","1000010180.11","","","max-age=2592000,s-maxage=86400","0","211011_QZ_35","-1","MEDIUM","","","-1","48","100","2234","-1","2555488","2346","443","HTTP/2","100","3","https://g.alicdn.com/code/npm/@ali/pegasus-project-newTm/0.0.4/pages/home/index.js","2345","78142","78142","pm/ssl/g.alicdn.com:443","application/javascript","High","","","-1","-1","parser","F5D7016701A7DD435C09ED4AE68BC0F3","g.alicdn.com","78791","1000010180.11","0","100","1","-1","","-1","https://www.tmall.com/","44","182","/code/npm/@ali/pegasus-project-newTm/0.0.4/pages/home/index.js","2278","53772","GET","-1","2278","","200","67","gzip","","2669","2346","2394","2394","2669","275","2234","2669","434","9","10","1","0","1","220","True","322508","","0","","56","80","","","",
