"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","http2_stream_dependency","objectSizeUncompressed","final_base_page","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","initiator_function",
"104.215.148.63","","386","197","9C8A097061C534A7568A464BCE01FC1E","","","","-1","211011_SK_3N","35","HIGHEST","","","-1","197","-1","35","-1","","224","80","http/1.1","-1","3","http://microsoft.com/","-1","0","","microsoft.com:80","","VeryHigh","","","-1","-1","script","0F4A967909A41EB07F6DC3F10A4796FA","microsoft.com","0","9C8A097061C534A7568A464BCE01FC1E","","-1","0","3","","-1","","189","104","/","-1","53446","GET","32","224","","301","-1","","","421","224","421","421","421","0","3","421","418","0","1","1","0","","","","","","","","","","",
"184.51.10.83","","400","53","9C8A097061C534A7568A464BCE01FC1E-1","","","","-1","211011_SK_3N","466","VeryHigh","","","-1","53","-1","466","-1","","595","443","HTTP/2","-1","3","https://www.microsoft.com/","595","0","","ssl/www.microsoft.com:443","","VeryHigh","","","-1","-1","script","0F4A967909A41EB07F6DC3F10A4796FA","www.microsoft.com","0","9C8A097061C534A7568A464BCE01FC1E","","-1","1","423","","-1","","39","116","/","505","41938","GET","43","505","","302","90","","","648","595","648","648","648","0","423","648","225","1","2","1","0","1","256","True","0","","","","","","",
"184.51.10.83","","406","208","9C8A097061C534A7568A464BCE01FC1E-2","","","no-cache, no-store, no-transform","100","211011_SK_3N","-1","VeryHigh","","","-1","147","-1","-1","-1","","650","","HTTP/2","100","3","https://www.microsoft.com/cs-cz/","-1","38032","38032","","text/html","VeryHigh","","-1","-1","-1","script","0F4A967909A41EB07F6DC3F10A4796FA","www.microsoft.com","38959","9C8A097061C534A7568A464BCE01FC1E","0","100","1","-1","","-1","","-1","116","/cs-cz/","-1","","GET","-1","-1","","200","-1","gzip","Akamai","858","650","797","797","858","61","650","858","208","2","3","1","0","3","256","True","0","173437","1","1","12","117","",
"184.51.10.83","40","486","152","1000031199.4","","","public, max-age=18888679","100","211011_SK_3N","-1","MEDIUM","","","-1","66","100","-1","-1","18888679","809","","HTTP/2","-1","3","https://www.microsoft.com/mwf/_h/v3.54/mwf.app/fonts/mwfmdl2-v3.54.woff2","-1","22904","","","application/font-woff2","High","","Wed, 18 May 2022 10:44:21 GMT","-1","-1","parser","0F4A967909A41EB07F6DC3F10A4796FA","www.microsoft.com","23579","1000031199.4","","100","1","-1","","-1","https://www.microsoft.com/cs-cz/","-1","116","/mwf/_h/v3.54/mwf.app/fonts/mwfmdl2-v3.54.woff2","-1","","GET","-1","-1","","200","-1","","Akamai","961","809","875","875","961","86","809","961","152","3","4","1","0","5","220","True","3","22904","","","","","",
"184.51.10.83","48","620","513","1000031199.6","","","public, max-age=30422150","100","211011_SK_3N","-1","HIGHEST","","","-1","477","100","-1","-1","30422150","809","","HTTP/2","100","3","https://www.microsoft.com/onerfstatics/marketingsites-neu-prod/east-european/mscomhp/_scrf/css/themes=default.device=uplevel_web_pc_webkit_chrome/79-c00f97/57-7b1339/37-e29aca/21-7d6c87/5a-e79275/c3-85a934?ver=2.0&_cf=20210618","-1","13635","13635","","text/css","VeryHigh","","Wed, 28 Sep 2022 22:28:52 GMT","-1","-1","parser","0F4A967909A41EB07F6DC3F10A4796FA","www.microsoft.com","14320","1000031199.6","0","100","1","-1","","-1","https://www.microsoft.com/cs-cz/","-1","116","/onerfstatics/marketingsites-neu-prod/east-european/mscomhp/_scrf/css/themes=default.device=uplevel_web_pc_webkit_chrome/79-c00f97/57-7b1339/37-e29aca/21-7d6c87/5a-e79275/c3-85a934?ver=2.0&_cf=20210618","-1","","GET","-1","-1","","200","-1","gzip","Akamai","1322","809","1286","1286","1322","36","809","1322","513","4","5","1","0","9","256","True","7","96978","","","","","",
"184.51.10.83","47","674","247","1000031199.5","","","public, max-age=21867111","100","211011_SK_3N","-1","HIGHEST","","","-1","174","100","-1","-1","21867111","809","","HTTP/2","100","3","https://www.microsoft.com/mwf/css/MWF_20210208_31270267/east-european/default/alert/autosuggest/contentplacement/contentplacementitem/flipper/glyph/heading/hero/heroitem/hyperlinkgroup/image/list/pagebehaviors/singleslidecarousel/skiptomain/social?apiVersion=1.0&include_base=true","-1","41067","41067","","text/css","VeryHigh","","Tue, 21 Jun 2022 22:04:53 GMT","-1","-1","parser","0F4A967909A41EB07F6DC3F10A4796FA","www.microsoft.com","41798","1000031199.5","0","100","1","-1","","-1","https://www.microsoft.com/cs-cz/","-1","116","/mwf/css/MWF_20210208_31270267/east-european/default/alert/autosuggest/contentplacement/contentplacementitem/flipper/glyph/heading/hero/heroitem/hyperlinkgroup/image/list/pagebehaviors/singleslidecarousel/skiptomain/social?apiVersion=1.0&include_base=true","-1","","GET","-1","-1","","200","-1","gzip","Akamai","1056","809","983","983","1056","73","809","1056","247","5","6","1","0","7","256","True","3","386106","","","","","",
"184.51.10.83","73","546","338","1000031199.10","","","public, max-age=18880462","100","211011_SK_3N","-1","LOWEST","","","-1","299","100","-1","-1","18880462","823","","HTTP/2","100","3","https://www.microsoft.com/onerfstatics/marketingsites-neu-prod/_h/dfa0b592/coreui.statics/externalscripts/jquery/jquery-3.5.1.min.js","-1","30958","30958","","application/javascript","Low","","Wed, 18 May 2022 08:27:24 GMT","-1","-1","parser","0F4A967909A41EB07F6DC3F10A4796FA","www.microsoft.com","31629","1000031199.10","0","100","1","-1","","-1","https://www.microsoft.com/cs-cz/","-1","116","/onerfstatics/marketingsites-neu-prod/_h/dfa0b592/coreui.statics/externalscripts/jquery/jquery-3.5.1.min.js","-1","","GET","-1","-1","","200","-1","gzip","Akamai","1161","823","1122","1122","1161","39","823","1161","338","6","7","1","0","11","147","True","5","89478","","","14","2","",
"184.51.10.83","75","839","423","1000031199.12","","","public, max-age=29211012","100","211011_SK_3N","-1","MEDIUM","","","-1","370","100","-1","-1","29211012","823","","HTTP/2","100","3","https://www.microsoft.com/onerfstatics/marketingsites-neu-prod/mscomhp/_scrf/js/themes=default/2f-63ce8f/45-f9a0d4/aa-dc1460/2d-7a9063/dc-7e9864/4f-5115f8/7d-266f10/4a-abd94b/6d-c07ea1/b0-ec9dd0/f6-aa5278/cd-23d3b0/6d-1e7ed0/b7-cadaa7/c4-898cf2/ca-40b7b0/4e-ee3a55/3e-f5c39b/c3-6454d7/f9-7592d3/92-10345d/f8-73a5f2/79-499886/7e-cda2d3/69-13871c/6a-234a32/de-884374/1f-100dea/33-abe4df/17-f90ef1/e3-082b89?ver=2.0&_cf=20210618","-1","29974","29974","","text/javascript","High","","Wed, 14 Sep 2022 22:03:14 GMT","-1","-1","parser","0F4A967909A41EB07F6DC3F10A4796FA","www.microsoft.com","30707","1000031199.12","0","100","1","-1","","-1","https://www.microsoft.com/cs-cz/","-1","116","/onerfstatics/marketingsites-neu-prod/mscomhp/_scrf/js/themes=default/2f-63ce8f/45-f9a0d4/aa-dc1460/2d-7a9063/dc-7e9864/4f-5115f8/7d-266f10/4a-abd94b/6d-c07ea1/b0-ec9dd0/f6-aa5278/cd-23d3b0/6d-1e7ed0/b7-cadaa7/c4-898cf2/ca-40b7b0/4e-ee3a55/3e-f5c39b/c3-6454d7/f9-7592d3/92-10345d/f8-73a5f2/79-499886/7e-cda2d3/69-13871c/6a-234a32/de-884374/1f-100dea/33-abe4df/17-f90ef1/e3-082b89?ver=2.0&_cf=20210618","-1","","GET","-1","-1","","200","-1","gzip","Akamai","1246","823","1193","1193","1246","53","823","1246","423","7","8","1","0","13","220","True","5","114489","","","1","1","",
"184.51.10.83","76","539","499","1000031199.13","","","public, max-age=26177366","100","211011_SK_3N","-1","MEDIUM","","","-1","464","100","-1","-1","26177366","823","","HTTP/2","100","3","https://www.microsoft.com/onerfstatics/marketingsites-neu-prod/mscomhp/_scrf/js/themes=default/a4-539297?ver=2.0&_cf=20210618","-1","558","558","","text/javascript","High","","Wed, 10 Aug 2022 19:22:28 GMT","-1","-1","parser","0F4A967909A41EB07F6DC3F10A4796FA","www.microsoft.com","1220","1000031199.13","0","100","1","-1","","-1","https://www.microsoft.com/cs-cz/","-1","116","/onerfstatics/marketingsites-neu-prod/mscomhp/_scrf/js/themes=default/a4-539297?ver=2.0&_cf=20210618","-1","","GET","-1","-1","","200","-1","gzip","Akamai","1322","823","1287","1287","1322","35","823","1322","499","8","9","1","0","15","220","True","13","1229","","","0","","",
"184.51.10.83","77","549","631","1000031199.14","","","public, max-age=26866385","100","211011_SK_3N","-1","MEDIUM","","","-1","514","100","-1","-1","26866385","823","","HTTP/2","100","3","https://www.microsoft.com/onerfstatics/marketingsites-neu-prod/mscomhp/_scrf/js/themes=default/cf-5e220a/cb-1abbc4?ver=2.0&_cf=20210618","-1","70150","70150","","text/javascript","High","","Thu, 18 Aug 2022 18:46:07 GMT","-1","-1","parser","0F4A967909A41EB07F6DC3F10A4796FA","www.microsoft.com","70966","1000031199.14","0","100","1","-1","","-1","https://www.microsoft.com/cs-cz/","-1","116","/onerfstatics/marketingsites-neu-prod/mscomhp/_scrf/js/themes=default/cf-5e220a/cb-1abbc4?ver=2.0&_cf=20210618","-1","","GET","-1","-1","","200","-1","gzip","Akamai","1454","823","1337","1337","1454","117","823","1454","631","9","10","1","0","17","220","True","15","252652","","","13","17","",
"184.51.10.83","78","653","688","1000031199.15","","","public, max-age=18962003","100","211011_SK_3N","-1","MEDIUM","","","-1","575","100","-1","-1","18962003","823","","HTTP/2","100","3","https://www.microsoft.com/mwf/js/MWF_20210208_31270267/alert/autosuggest/contentplacement/contentplacementitem/flipper/glyph/heading/hero/heroitem/hyperlinkgroup/image/list/pagebehaviors/singleslidecarousel/skiptomain/social?apiVersion=1.0","-1","25892","25892","","application/javascript","High","","Thu, 19 May 2022 07:06:26 GMT","-1","-1","parser","0F4A967909A41EB07F6DC3F10A4796FA","www.microsoft.com","26650","1000031199.15","0","100","1","-1","","-1","https://www.microsoft.com/cs-cz/","-1","116","/mwf/js/MWF_20210208_31270267/alert/autosuggest/contentplacement/contentplacementitem/flipper/glyph/heading/hero/heroitem/hyperlinkgroup/image/list/pagebehaviors/singleslidecarousel/skiptomain/social?apiVersion=1.0","-1","","GET","-1","-1","","200","-1","gzip","Akamai","1511","823","1398","1398","1511","113","823","1511","688","10","11","1","0","19","220","True","17","105974","","","16","37","",
"184.51.10.83","531","524","664","1000031199.19","0","","public, max-age=18847704","100","211011_SK_3N","-1","MEDIUM","43","","-1","663","100","-1","100","18847704","853","","HTTP/2","-1","3","https://www.microsoft.com/onerfstatics/marketingsites-neu-prod/_h/9be151e5/coreui.statics/images/1x1clear.gif","-1","43","","","image/gif","Low","","Tue, 17 May 2022 23:21:27 GMT","-1","-1","parser","0F4A967909A41EB07F6DC3F10A4796FA","www.microsoft.com","639","1000031199.19","","100","1","-1","","-1","https://www.microsoft.com/cs-cz/","-1","116","/onerfstatics/marketingsites-neu-prod/_h/9be151e5/coreui.statics/images/1x1clear.gif","-1","","GET","-1","-1","","200","-1","","Akamai","1517","853","1516","1516","1517","1","853","1517","664","11","12","1","0","21","147","True","11","43","","","","","",
"184.51.10.83","1001","531","658","1000031199.34","","","public, max-age=18883893","100","211011_SK_3N","-1","LOWEST","","","-1","658","100","-1","-1","18883893","859","","HTTP/2","100","3","https://www.microsoft.com/onerfstatics/marketingsites-neu-prod/_h/2532198d/coreui.statics/images/social/facebook.svg","-1","333","333","","image/svg+xml","Low","","Wed, 18 May 2022 09:24:36 GMT","-1","-1","parser","0F4A967909A41EB07F6DC3F10A4796FA","www.microsoft.com","927","1000031199.34","0","100","1","-1","","-1","https://www.microsoft.com/cs-cz/","-1","116","/onerfstatics/marketingsites-neu-prod/_h/2532198d/coreui.statics/images/social/facebook.svg","-1","","GET","-1","-1","","200","-1","gzip","Akamai","1517","859","1517","1517","1517","0","859","1517","658","12","13","1","0","23","147","True","21","465","","","","","",
"184.51.10.83","1009","530","659","1000031199.35","","","public, max-age=18884054","100","211011_SK_3N","-1","LOWEST","","","-1","658","100","-1","-1","18884054","859","","HTTP/2","100","3","https://www.microsoft.com/onerfstatics/marketingsites-neu-prod/_h/6f40299c/coreui.statics/images/social/twitter.svg","-1","470","470","","image/svg+xml","Low","","Wed, 18 May 2022 09:27:17 GMT","-1","-1","parser","0F4A967909A41EB07F6DC3F10A4796FA","www.microsoft.com","1092","1000031199.35","0","100","1","-1","","-1","https://www.microsoft.com/cs-cz/","-1","116","/onerfstatics/marketingsites-neu-prod/_h/6f40299c/coreui.statics/images/social/twitter.svg","-1","","GET","-1","-1","","200","-1","gzip","Akamai","1518","859","1517","1517","1518","1","859","1518","659","13","14","1","0","25","147","True","23","835","","","","","",
"184.51.10.83","1017","531","660","1000031199.36","","","public, max-age=18892943","100","211011_SK_3N","-1","LOWEST","","","-1","660","100","-1","-1","18892943","859","","HTTP/2","100","3","https://www.microsoft.com/onerfstatics/marketingsites-neu-prod/_h/413bd4a8/coreui.statics/images/social/linkedin.svg","-1","325","325","","image/svg+xml","Low","","Wed, 18 May 2022 11:55:26 GMT","-1","-1","parser","0F4A967909A41EB07F6DC3F10A4796FA","www.microsoft.com","950","1000031199.36","0","100","1","-1","","-1","https://www.microsoft.com/cs-cz/","-1","116","/onerfstatics/marketingsites-neu-prod/_h/413bd4a8/coreui.statics/images/social/linkedin.svg","-1","","GET","-1","-1","","200","-1","gzip","Akamai","1519","859","1519","1519","1519","0","859","1519","660","14","15","1","0","27","147","True","25","472","","","","","",
