"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","objectSizeUncompressed","final_base_page","http2_stream_dependency","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","score_progressive_jpeg","jpeg_scan_count","initiator_function",
"123.126.45.205","","384","221","CCC0A5C858DB065DA6561179585201BE","","","max-age=6","-1","211011_SS_3K","353","HIGHEST","","","-1","221","-1","353","-1","","570","80","http/1.1","-1","3","http://sina.com.cn/","-1","178","","sina.com.cn:80","text/html","VeryHigh","","","-1","-1","script","1EBEE22374330B52CDB1B11316FEC030","sina.com.cn","178","CCC0A5C858DB065DA6561179585201BE","","-1","0","3","","-1","","217","108","/","-1","41202","GET","350","570","","301","-1","","","791","570","791","791","791","0","3","791","788","0","1","1","0","","","","","","","","","","","","",
"79.133.176.229","","398","308","CCC0A5C858DB065DA6561179585201BE-1","","","max-age=60","-1","211011_SS_3K","1376","VeryHigh","","","-1","62","-1","1376","-1","","1506","443","HTTP/2","100","3","https://www.sina.com.cn/","1506","147262","147262","ssl/www.sina.com.cn:443","text/html","VeryHigh","","Mon, 11 Oct 2021 19:47:28 GMT","-1","-1","script","1EBEE22374330B52CDB1B11316FEC030","www.sina.com.cn","148172","CCC0A5C858DB065DA6561179585201BE","0","100","1","792","","-1","","55","119","/","1431","33806","GET","584","1431","","200","75","gzip","","1814","1506","1568","1568","1814","246","792","1814","1022","1","2","1","0","1","256","True","533315","1","0","1","116","114","","","",
"79.133.176.229","4196","343","87","1000024404.93","","","max-age=120","0","211011_SS_3K","-1","LOW","","","-1","81","0","-1","-1","74","1738","","HTTP/2","32","3","https://www.sina.com.cn/js/79/2013/0717/fix.js","-1","5541","5541","","application/x-javascript","Medium","","Mon, 11 Oct 2021 19:47:52 GMT","-1","-1","parser","1EBEE22374330B52CDB1B11316FEC030","www.sina.com.cn","6204","1000024404.93","3738","100","1","-1","","-1","https://www.sina.com.cn/","-1","119","/js/79/2013/0717/fix.js","-1","","GET","-1","-1","","200","-1","","","1825","1738","1819","1819","1825","6","1738","1825","87","2","3","1","0","3","183","True","5541","","1","","0","","","","",
"2.21.74.51","81","354","82","1000024404.5","","","max-age=37644","0","211011_SS_3K","2158","MEDIUM","","","-1","64","50","2158","-1","37644","2243","443","http/1.1","100","3","https://d3.sina.com.cn/litong/zhitou/sinaads/release/sinaads.js","2243","26517","26517","ssl/d3.sina.com.cn:443","application/x-javascript","High","","Tue, 12 Oct 2021 06:15:34 GMT","-1","-1","parser","1EBEE22374330B52CDB1B11316FEC030","d3.sina.com.cn","27631","1000024404.5","0","100","1","1609","","-1","https://www.sina.com.cn/","32","231","/litong/zhitou/sinaads/release/sinaads.js","2190","39500","GET","549","2190","","200","53","gzip","","2325","2243","2307","2307","2325","18","1609","2325","716","3","4","1","0","","","","74828","","","","33","198","","","",
"79.133.176.229","97","341","158","1000024404.6","","","max-age=120","0","211011_SS_3K","-1","MEDIUM","","","-1","153","0","-1","-1","4","2262","","HTTP/2","44","3","https://news.sina.com.cn/js/pctianyi/sima.js","-1","2898","2898","","application/x-javascript","High","","Mon, 11 Oct 2021 19:45:59 GMT","-1","-1","parser","1EBEE22374330B52CDB1B11316FEC030","news.sina.com.cn","3454","1000024404.6","1603","100","1","-1","","-1","https://www.sina.com.cn/","-1","119","/js/pctianyi/sima.js","-1","","GET","-1","-1","","200","-1","","","2420","2262","2415","2415","2420","5","2262","2420","158","4","5","1","0","5","","","2898","","","","1","","","","",
"2.21.74.51","69","358","111","1000024404.4","","","max-age=30009879","0","211011_SS_3K","2174","HIGHEST","","","-1","104","100","2174","-1","30009879","2266","443","http/1.1","100","3","https://n3.sinaimg.cn/index/css/index.css?v=20210924","2266","16242","16242","ssl/n3.sinaimg.cn:443","text/css","VeryHigh","","","-1","-1","parser","1EBEE22374330B52CDB1B11316FEC030","n3.sinaimg.cn","17642","1000024404.4","0","100","1","1607","","-1","https://www.sina.com.cn/","32","232","/index/css/index.css?v=20210924","2206","39502","GET","567","2206","","200","60","gzip","","2377","2266","2370","2370","2377","7","1607","2377","770","5","6","1","0","","","","87297","","","","","","","","",
"2.21.74.48","139","338","141","1000024404.7","","","max-age=17034750","0","211011_SS_3K","2176","MEDIUM","","","-1","110","100","2176","-1","17034750","2274","443","http/1.1","100","3","https://n.sinaimg.cn/ent/js/lib/jquery-1.7.2.js","2274","33732","33732","ssl/n.sinaimg.cn:443","text/javascript","High","","","-1","-1","parser","1EBEE22374330B52CDB1B11316FEC030","n.sinaimg.cn","35156","1000024404.7","0","100","1","1609","","-1","https://www.sina.com.cn/","33","233","/ent/js/lib/jquery-1.7.2.js","2209","53490","GET","567","2209","","200","65","gzip","","2415","2274","2384","2384","2415","31","1609","2415","806","6","7","1","0","","","","94938","","","","24","23","","","",
"2.21.74.51","1094","376","41","1000024404.15","","","max-age=328751","0","211011_SS_3K","-1","LOW","","","-1","40","50","-1","-1","328751","2415","443","http/1.1","100","3","https://d3.sina.com.cn/litong/zhitou/sinaads/demo/wanglt/sinaIndexAD/edu_ad_change.js","-1","1838","1838","ssl/d3.sina.com.cn:443","application/x-javascript","Medium","","Fri, 15 Oct 2021 15:07:21 GMT","-1","-1","parser","1EBEE22374330B52CDB1B11316FEC030","d3.sina.com.cn","2909","1000024404.15","0","100","1","-1","","-1","https://www.sina.com.cn/","-1","231","/litong/zhitou/sinaads/demo/wanglt/sinaIndexAD/edu_ad_change.js","-1","39500","GET","-1","-1","","200","-1","gzip","","2456","2415","2455","2455","2456","1","2415","2456","41","7","8","1","0","","","","6086","","","","0","","","","",
"2.21.74.48","277","379","203","1000024404.8","0","","max-age=31522419","0","211011_SS_3K","-1","MEDIUM","15868","","-1","175","100","-1","100","31522419","2425","443","http/1.1","-1","3","https://n.sinaimg.cn/news/sinahome/pc_index_1012.jpg","-1","15868","","ssl/n.sinaimg.cn:443","image/jpeg","Low","","","-1","-1","parser","1EBEE22374330B52CDB1B11316FEC030","n.sinaimg.cn","17439","1000024404.8","","100","1","-1","","-1","https://www.sina.com.cn/","-1","233","/news/sinahome/pc_index_1012.jpg","-1","53490","GET","-1","-1","","200","-1","","","2628","2425","2600","2600","2628","28","2425","2628","203","8","9","1","0","","","","15868","","","","","","0","1","",
"79.133.176.229","1996","343","171","1000024404.30","","","max-age=120","0","211011_SS_3K","-1","LOW","","","-1","151","0","-1","-1","20","2425","","HTTP/2","100","3","https://news.sina.com.cn/sso/outlogin_layer.js","-1","31820","31820","","application/x-javascript","Medium","","Mon, 11 Oct 2021 19:47:38 GMT","-1","-1","parser","1EBEE22374330B52CDB1B11316FEC030","news.sina.com.cn","32398","1000024404.30","0","100","1","-1","","-1","https://www.sina.com.cn/","-1","119","/sso/outlogin_layer.js","-1","","GET","-1","-1","","200","-1","gzip","","2596","2425","2576","2576","2596","20","2425","2596","171","9","10","1","0","7","","","105046","","","","9","19","","","",
