"ip_addr","initiator_line","bytesOut","load_ms","final_base_page","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","objectSizeUncompressed","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","is_base_page","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","cpu.EvaluateScript","index","number","run","cached","cpu.FunctionCall","score_progressive_jpeg","jpeg_scan_count",
"202.108.119.193","","386","842","1","C1AAA95BC262052F091CE3D1D2C605D9","","","","-1","211011_VD_3J","37","HIGHEST","","","-1","260","-1","37","-1","","114477","291","80","http/1.1","100","3","http://xinhuanet.com/","-1","25642","25642","xinhuanet.com:80","text/html","VeryHigh","","","-1","-1","script","9B7907EAC1D1F1B633758824D21ABB2F","xinhuanet.com","25876","C1AAA95BC262052F091CE3D1D2C605D9","0","100","0","3","","-1","","254","108","/","-1","51272","GET","34","291","","200","-1","gzip","1","","1133","291","551","551","1133","582","3","1133","1130","4","0","1","1","0","","","",
"202.108.119.193","20","349","1133","","1000020689.7","","","","0","211011_VD_3J","-1","HIGHEST","","","-1","285","0","254","-1","0","219115","565","80","http/1.1","100","3","http://xinhuanet.com/2021homepro/styles/index.css","-1","51170","51170","xinhuanet.com:80","text/css","VeryHigh","","","-1","-1","parser","9B7907EAC1D1F1B633758824D21ABB2F","xinhuanet.com","51475","1000020689.7","0","100","0","-1","","-1","http://xinhuanet.com/","255","110","/2021homepro/styles/index.css","-1","51274","GET","-1","509","","200","-1","gzip","","","1698","565","850","850","1698","848","254","1698","1388","","1","2","1","0","","","",
"79.133.177.231","51","320","56","","1000020689.14","","","","100","211011_VD_3J","-1","MEDIUM","","","-1","55","0","614","-1","0","23176","652","80","http/1.1","100","3","http://www.news.cn/json/xh_depth.js","-1","5962","5962","www.news.cn:80","application/javascript","High","","","-1","-1","parser","9B7907EAC1D1F1B633758824D21ABB2F","www.news.cn","6595","1000020689.14","0","100","0","-1","","-1","http://xinhuanet.com/","38","207","/json/xh_depth.js","-1","37554","GET","-1","652","","200","-1","gzip","","ChinaNetCenter","708","652","707","707","708","1","614","708","94","1","2","3","1","0","","","",
"79.133.177.231","14","325","45","","1000020689.4","","","","100","211011_VD_3J","613","MEDIUM","","","-1","44","0","613","-1","0","2655","652","80","http/1.1","100","3","http://www.news.cn/global/js/pageCore.js","-1","969","969","www.news.cn:80","application/javascript","High","","","-1","-1","parser","9B7907EAC1D1F1B633758824D21ABB2F","www.news.cn","1606","1000020689.4","0","100","0","559","","-1","http://xinhuanet.com/","38","206","/global/js/pageCore.js","-1","37552","GET","54","651","","200","-1","gzip","","ChinaNetCenter","697","652","696","696","697","1","559","697","137","1","3","4","1","0","","","",
"79.133.177.231","52","324","67","","1000020689.15","","","","100","211011_VD_3J","-1","MEDIUM","","","-1","59","0","614","-1","0","21792","653","80","http/1.1","100","3","http://www.news.cn/json/xh_broadcast.js","-1","6534","6534","www.news.cn:80","application/javascript","High","","","-1","-1","parser","9B7907EAC1D1F1B633758824D21ABB2F","www.news.cn","7166","1000020689.15","0","100","0","-1","","-1","http://xinhuanet.com/","38","208","/json/xh_broadcast.js","-1","37556","GET","-1","652","","200","-1","gzip","","ChinaNetCenter","720","653","712","712","720","8","614","720","105","1","4","5","1","0","","","",
"79.133.177.231","53","326","69","","1000020689.16","","","","100","211011_VD_3J","-1","MEDIUM","","","-1","68","0","614","-1","0","3740","653","80","http/1.1","100","3","http://www.news.cn/json/bangdan/top1.json","-1","983","983","www.news.cn:80","application/json","High","","","-1","-1","parser","9B7907EAC1D1F1B633758824D21ABB2F","www.news.cn","1636","1000020689.16","0","100","0","-1","","-1","http://xinhuanet.com/","39","209","/json/bangdan/top1.json","-1","37558","GET","-1","653","","200","-1","gzip","","ChinaNetCenter","722","653","721","721","722","1","614","722","108","0","5","6","1","0","","","",
"79.133.177.231","54","328","74","","1000020689.17","","","","100","211011_VD_3J","-1","MEDIUM","","","-1","73","0","614","-1","0","10327","654","80","http/1.1","100","3","http://www.news.cn/json/bangdan/top101.json","-1","2589","2589","www.news.cn:80","application/json","High","","","-1","-1","parser","9B7907EAC1D1F1B633758824D21ABB2F","www.news.cn","3241","1000020689.17","0","100","0","-1","","-1","http://xinhuanet.com/","40","210","/json/bangdan/top101.json","-1","37560","GET","-1","654","","200","-1","gzip","","ChinaNetCenter","728","654","727","727","728","1","614","728","114","1","6","7","1","0","","","",
"79.133.177.231","55","328","79","","1000020689.18","","","","100","211011_VD_3J","-1","MEDIUM","","","-1","76","0","614","-1","0","11542","654","80","http/1.1","100","3","http://www.news.cn/json/bangdan/top102.json","-1","3137","3137","www.news.cn:80","application/json","High","","","-1","-1","parser","9B7907EAC1D1F1B633758824D21ABB2F","www.news.cn","3770","1000020689.18","0","100","0","-1","","-1","http://xinhuanet.com/","40","211","/json/bangdan/top102.json","-1","37562","GET","-1","654","","200","-1","gzip","","ChinaNetCenter","733","654","730","730","733","3","614","733","119","1","7","8","1","0","","","",
"79.133.177.225","18","352","49","","1000020689.5","","","","0","211011_VD_3J","898","HIGHEST","","","-1","48","0","898","-1","0","17759","938","80","http/1.1","100","3","http://lib.news.cn/swiper/swiper3.4.2/swiper.min.css","-1","2880","2880","lib.news.cn:80","text/css","VeryHigh","","","-1","-1","parser","9B7907EAC1D1F1B633758824D21ABB2F","lib.news.cn","3546","1000020689.5","0","100","0","561","","-1","http://xinhuanet.com/","40","234","/swiper/swiper3.4.2/swiper.min.css","-1","34106","GET","337","938","","200","-1","gzip","","","987","938","986","986","987","1","561","987","426","","8","9","1","0","","","",
"79.133.177.225","19","385","53","","1000020689.6","","","","0","211011_VD_3J","-1","HIGHEST","","","-1","51","0","898","-1","0","13261","939","80","http/1.1","100","3","http://lib.news.cn/mCustomScrollbar/mCustomScrollbar2.8.2/jquery.mCustomScrollbar.css","-1","1684","1684","lib.news.cn:80","text/css","VeryHigh","","","-1","-1","parser","9B7907EAC1D1F1B633758824D21ABB2F","lib.news.cn","2350","1000020689.6","0","100","0","-1","","-1","http://xinhuanet.com/","41","235","/mCustomScrollbar/mCustomScrollbar2.8.2/jquery.mCustomScrollbar.css","-1","34108","GET","-1","939","","200","-1","gzip","","","992","939","990","990","992","2","898","992","94","","9","10","1","0","","","",
