"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","http2_stream_dependency","objectSizeUncompressed","final_base_page","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","initiator_function",
"185.60.218.35","","385","240","F2D91466FAA7455EE9E2AB2A4560124A","","","","-1","211011_WK_39","78","HIGHEST","","","-1","240","-1","78","-1","","132","80","http/1.1","-1","3","http://facebook.com/","-1","0","","facebook.com:80","text/html","VeryHigh","","","-1","-1","script","A2B2225C9BF57D1F9D668CBCB7B74E47","facebook.com","0","F2D91466FAA7455EE9E2AB2A4560124A","","-1","0","3","","-1","","54","104","/","-1","36594","GET","75","132","","301","-1","","","372","132","372","372","372","0","3","372","369","0","1","1","0","","","","","","","","","","",
"185.60.218.35","","395","115","F2D91466FAA7455EE9E2AB2A4560124A-1","","","","-1","211011_WK_39","-1","VeryHigh","","","-1","115","-1","373","-1","","495","443","HTTP/2","-1","3","https://facebook.com/","495","0","","ssl/facebook.com:443","text/html","VeryHigh","","","-1","-1","script","A2B2225C9BF57D1F9D668CBCB7B74E47","facebook.com","0","F2D91466FAA7455EE9E2AB2A4560124A","","-1","1","-1","","-1","","55","115","/","428","53696","GET","-1","428","","301","67","","","610","495","610","610","610","0","373","610","237","1","2","1","0","1","256","True","0","","","","","","",
"157.240.30.35","","399","485","F2D91466FAA7455EE9E2AB2A4560124A-2","","","private, no-cache, no-store, must-revalidate","100","211011_WK_39","656","VeryHigh","","","-1","419","-1","656","-1","","729","443","HTTP/2","100","3","https://www.facebook.com/","729","34260","34260","ssl/www.facebook.com:443","text/html","VeryHigh","","Sat, 01 Jan 2000 00:00:00 GMT","-1","-1","script","A2B2225C9BF57D1F9D668CBCB7B74E47","www.facebook.com","34260","F2D91466FAA7455EE9E2AB2A4560124A","0","100","1","611","","-1","","32","125","/","688","47784","GET","45","688","","200","41","br","Facebook","1214","729","1148","1148","1214","66","611","1214","603","2","3","1","0","1","256","True","0","125684","1","1","46","","",
"185.60.218.35","10","378","125","1000023614.21","0","","private, no-cache, no-store, must-revalidate","100","211011_WK_39","-1","LOWEST","1476","","-1","125","-1","-1","100","","1192","","HTTP/2","100","3","https://facebook.com/security/hsts-pixel.gif","-1","1476","1476","","image/gif","Low","","Sat, 01 Jan 2000 00:00:00 GMT","-1","-1","parser","A2B2225C9BF57D1F9D668CBCB7B74E47","facebook.com","1476","1000023614.21","0","100","1","-1","","-1","https://www.facebook.com/","-1","115","/security/hsts-pixel.gif","-1","","GET","-1","-1","","200","-1","br","Facebook","1317","1192","1317","1317","1317","0","1192","1317","125","3","4","1","0","3","147","True","0","43","","","","","",
"157.240.9.23","6","433","91","1000023614.8","","","public,max-age=31536000,immutable","100","211011_WK_39","-1","HIGHEST","","","-1","88","100","-1","-1","31536000","1333","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/y3/l/0,cross/fbWj5dcnmIq.css?_nc_x=Ij3Wp8lg5Kz","-1","1632","1632","","text/css","VeryHigh","","Fri, 30 Sep 2022 19:09:22 GMT","-1","-1","parser","A2B2225C9BF57D1F9D668CBCB7B74E47","static.xx.fbcdn.net","1826","1000023614.8","0","100","1","-1","","-1","https://www.facebook.com/","-1","187","/rsrc.php/v3/y3/l/0,cross/fbWj5dcnmIq.css?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1424","1333","1421","1421","1424","3","1333","1424","91","4","5","1","0","9","","","","5804","","","","","",
"157.240.9.23","7","433","95","1000023614.9","","","public,max-age=31536000,immutable","100","211011_WK_39","-1","HIGHEST","","","-1","92","100","-1","-1","31536000","1333","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/yt/l/0,cross/okWGGyYvRYX.css?_nc_x=Ij3Wp8lg5Kz","-1","1562","1562","","text/css","VeryHigh","","Fri, 30 Sep 2022 17:52:22 GMT","-1","-1","parser","A2B2225C9BF57D1F9D668CBCB7B74E47","static.xx.fbcdn.net","1753","1000023614.9","0","100","1","-1","","-1","https://www.facebook.com/","-1","187","/rsrc.php/v3/yt/l/0,cross/okWGGyYvRYX.css?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1428","1333","1425","1425","1428","3","1333","1428","95","5","6","1","0","11","","","","7998","","","","","",
"157.240.9.23","8","433","103","1000023614.10","","","public,max-age=31536000,immutable","100","211011_WK_39","-1","HIGHEST","","","-1","96","100","-1","-1","31536000","1333","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/yT/l/0,cross/lamb0nBBBKr.css?_nc_x=Ij3Wp8lg5Kz","-1","4775","4775","","text/css","VeryHigh","","Tue, 11 Oct 2022 14:43:19 GMT","-1","-1","parser","A2B2225C9BF57D1F9D668CBCB7B74E47","static.xx.fbcdn.net","4942","1000023614.10","0","100","1","-1","","-1","https://www.facebook.com/","-1","187","/rsrc.php/v3/yT/l/0,cross/lamb0nBBBKr.css?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1436","1333","1429","1429","1436","7","1333","1436","103","6","7","1","0","13","","","","18766","","","","","",
"157.240.9.23","9","409","249","1000023614.11","","","public,max-age=31536000,immutable","100","211011_WK_39","-1","MEDIUM","","","-1","105","100","-1","-1","31536000","1333","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/CDBUf3L5Iup.js?_nc_x=Ij3Wp8lg5Kz","-1","83257","83257","","application/x-javascript","High","","Fri, 07 Oct 2022 19:01:24 GMT","-1","-1","parser","A2B2225C9BF57D1F9D668CBCB7B74E47","static.xx.fbcdn.net","83527","1000023614.11","0","100","1","-1","","-1","https://www.facebook.com/","-1","187","/rsrc.php/v3/yp/r/CDBUf3L5Iup.js?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1582","1333","1438","1438","1582","144","1333","1582","249","7","8","1","0","15","","","","307343","","","11","55","",
"157.240.9.23","2","433","65","1000023614.4","","","public,max-age=31536000,immutable","100","211011_WK_39","1214","HIGHEST","","","-1","59","100","1214","-1","31536000","1333","443","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/y-/l/0,cross/BNdSVw6cAaf.css?_nc_x=Ij3Wp8lg5Kz","1332","3487","3487","pm/ssl/static.xx.fbcdn.net:443","text/css","VeryHigh","","Sat, 08 Oct 2022 16:19:47 GMT","-1","-1","parser","A2B2225C9BF57D1F9D668CBCB7B74E47","static.xx.fbcdn.net","4133","1000023614.4","0","100","1","1169","","-1","https://www.facebook.com/","54","187","/rsrc.php/v3/y-/l/0,cross/BNdSVw6cAaf.css?_nc_x=Ij3Wp8lg5Kz","1268","55604","GET","45","1268","","200","64","br","Facebook","1398","1333","1392","1392","1398","6","1169","1398","228","8","9","1","0","1","256","True","0","14554","","","","","",
"157.240.9.23","3","433","75","1000023614.5","","","public,max-age=31536000,immutable","100","211011_WK_39","-1","HIGHEST","","","-1","66","100","-1","-1","31536000","1333","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/yO/l/0,cross/qPizIoQXJ8z.css?_nc_x=Ij3Wp8lg5Kz","-1","4896","4896","","text/css","VeryHigh","","Fri, 07 Oct 2022 22:18:10 GMT","-1","-1","parser","A2B2225C9BF57D1F9D668CBCB7B74E47","static.xx.fbcdn.net","5227","1000023614.5","0","100","1","-1","","-1","https://www.facebook.com/","-1","187","/rsrc.php/v3/yO/l/0,cross/qPizIoQXJ8z.css?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1408","1333","1399","1399","1408","9","1333","1408","75","9","10","1","0","3","","","","20081","","","","","",
"157.240.9.23","4","433","80","1000023614.6","","","public,max-age=31536000,immutable","100","211011_WK_39","-1","HIGHEST","","","-1","75","100","-1","-1","31536000","1333","","HTTP/2","100","3","https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/Wdb_Vxo7Yh5.css?_nc_x=Ij3Wp8lg5Kz","-1","2708","2708","","text/css","VeryHigh","","Tue, 11 Oct 2022 14:43:19 GMT","-1","-1","parser","A2B2225C9BF57D1F9D668CBCB7B74E47","static.xx.fbcdn.net","2902","1000023614.6","0","100","1","-1","","-1","https://www.facebook.com/","-1","187","/rsrc.php/v3/yR/l/0,cross/Wdb_Vxo7Yh5.css?_nc_x=Ij3Wp8lg5Kz","-1","","GET","-1","-1","","200","-1","br","Facebook","1413","1333","1408","1408","1413","5","1333","1413","80","10","11","1","0","5","","","","12887","","","","","",
