"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","objectSizeUncompressed","final_base_page","http2_stream_dependency","is_base_page","cpu.EvaluateScript","score_progressive_jpeg","jpeg_scan_count","cpu.FunctionCall","initiator_function",
"211.159.191.77","","381","307","B4BCB0F1065543D005C4156DDAAA5892","","","","-1","211011_X6_38","329","HIGHEST","","","-1","307","-1","332","-1","","620","80","http/1.1","-1","3","http://sohu.com/","-1","180","","sohu.com:80","text/html","VeryHigh","","","-1","-1","script","607A84E7D0496A82E765C3D363954162","sohu.com","180","B4BCB0F1065543D005C4156DDAAA5892","","-1","0","329","","-1","","287","106","/","-1","49428","GET","0","619","","307","-1","","","927","620","927","927","927","0","332","927","594","0","1","1","0","","","","","","","","","","","","",
"52.169.150.217","","395","183","B4BCB0F1065543D005C4156DDAAA5892-1","","","max-age=60","-1","211011_X6_38","1582","VeryHigh","","","-1","85","-1","1582","-1","","1715","443","HTTP/2","100","3","https://www.sohu.com/","1715","48199","48199","ssl/www.sohu.com:443","text/html","VeryHigh","","","-1","-1","script","607A84E7D0496A82E765C3D363954162","www.sohu.com","48199","B4BCB0F1065543D005C4156DDAAA5892","0","100","1","928","","-1","","62","118","/","1644","48992","GET","654","1644","","200","71","gzip","","1898","1715","1800","1800","1898","98","928","1898","970","1","2","1","0","1","256","True","218077","1","0","1","20","","","","",
"52.169.150.217","2980","329","68","1000020334.103","","","no-transform, max-age=3600","0","211011_X6_38","-1","LOW","","","-1","67","50","-1","-1","3600","1905","","HTTP/2","100","3","https://www.sohu.com/sohuflash_1.js","-1","2355","2355","","application/x-javascript","Medium","","Mon, 11 Oct 2021 19:00:25 GMT","-1","-1","parser","607A84E7D0496A82E765C3D363954162","www.sohu.com","2697","1000020334.103","0","100","1","-1","","-1","https://www.sohu.com/","-1","118","/sohuflash_1.js","-1","","GET","-1","-1","","200","-1","gzip","","1973","1905","1972","1972","1973","1","1905","1973","68","2","3","1","0","3","183","True","7442","","0","","1","","","","",
"47.246.43.228","280","408","75","1000020334.5","0","","max-age=7776000","0","211011_X6_38","2143","LOWEST","16955","","-1","51","100","2143","100","7740419","2182","80","http/1.1","-1","3","http://29e5534ea20a8.cdn.sohucs.com/c_zoom,h_213/c_cut,x_0,y_0,w_699,h_466/os/news/835e3207363246755998e31a2947b891.jpg","-1","16955","","29e5534ea20a8.cdn.sohucs.com:80","image/jpeg","Low","","","-1","-1","parser","607A84E7D0496A82E765C3D363954162","29e5534ea20a8.cdn.sohucs.com","17738","1000020334.5","","100","0","1810","","-1","https://www.sohu.com/","39","175","/c_zoom,h_213/c_cut,x_0,y_0,w_699,h_466/os/news/835e3207363246755998e31a2947b891.jpg","-1","56842","GET","333","2182","","200","-1","","","2257","2182","2233","2233","2257","24","1810","2257","447","3","4","1","0","","","","16955","","","","","0","1","","",
"203.205.224.59","2914","351","137","1000020334.94","","","max-age=86400","0","211011_X6_38","-1","LOW","","","-1","74","50","-1","-1","86400","2499","","HTTP/2","100","3","https://statics.itc.cn/web/v3/static/js/lib-61587d9fb8.js","-1","50774","50774","","application/x-javascript","Medium","","Tue, 12 Oct 2021 19:25:38 GMT","-1","-1","parser","607A84E7D0496A82E765C3D363954162","statics.itc.cn","51546","1000020334.94","0","100","1","-1","","-1","https://www.sohu.com/","-1","182","/web/v3/static/js/lib-61587d9fb8.js","-1","","GET","-1","-1","","200","-1","gzip","","2636","2499","2573","2573","2636","63","2499","2636","137","4","5","1","0","3","","","150330","","","","33","","","471","",
"203.205.224.59","19","369","566","1000020334.4","","","max-age=86400","0","211011_X6_38","2365","HIGHEST","","","-1","75","50","2366","-1","86400","2499","443","HTTP/2","100","3","https://statics.itc.cn/web/v3/static/css/main-fbd5aa8523.css","2498","256206","256206","ssl/statics.itc.cn:443","text/css","VeryHigh","","Tue, 12 Oct 2021 19:25:38 GMT","-1","-1","parser","607A84E7D0496A82E765C3D363954162","statics.itc.cn","257284","1000020334.4","0","100","1","1808","","-1","https://www.sohu.com/","38","182","/web/v3/static/css/main-fbd5aa8523.css","2404","52100","GET","557","2404","","200","94","gzip","","3065","2499","2574","2574","3065","491","1808","3065","1255","5","6","1","0","1","256","True","608543","","0","","","","","","",
"47.246.43.228","286","409","72","1000020334.6","0","","max-age=7776000","0","211011_X6_38","-1","LOWEST","11556","","-1","56","100","-1","100","7735387","3098","80","http/1.1","-1","3","http://29e5534ea20a8.cdn.sohucs.com/c_zoom,h_213/c_cut,x_0,y_0,w_1022,h_682/os/news/e7f2f4be7430b09dab14fc5af0733e69.jpg","-1","11556","","29e5534ea20a8.cdn.sohucs.com:80","image/jpeg","Low","","","-1","-1","parser","607A84E7D0496A82E765C3D363954162","29e5534ea20a8.cdn.sohucs.com","12339","1000020334.6","","100","0","-1","","-1","https://www.sohu.com/","-1","175","/c_zoom,h_213/c_cut,x_0,y_0,w_1022,h_682/os/news/e7f2f4be7430b09dab14fc5af0733e69.jpg","-1","56842","GET","-1","-1","","200","-1","","","3170","3098","3154","3154","3170","16","3098","3170","72","6","7","1","0","","","","11556","","","","","0","1","","",
"203.205.224.59","2921","352","346","1000020334.99","","","max-age=86400","0","211011_X6_38","-1","LOW","","","-1","97","50","-1","-1","86400","3098","","HTTP/2","100","3","https://statics.itc.cn/web/v3/static/js/main-7fc62f8176.js","-1","98032","98032","","application/x-javascript","Medium","","Tue, 12 Oct 2021 19:25:39 GMT","-1","-1","parser","607A84E7D0496A82E765C3D363954162","statics.itc.cn","98811","1000020334.99","0","100","1","-1","","-1","https://www.sohu.com/","-1","182","/web/v3/static/js/main-7fc62f8176.js","-1","","GET","-1","-1","","200","-1","gzip","","3444","3098","3195","3195","3444","249","3098","3444","346","7","8","1","0","5","183","True","389195","","0","","66","","","213","",
"203.205.224.59","2950","353","376","1000020334.100","","","max-age=600","0","211011_X6_38","-1","LOW","","","-1","375","0","-1","-1","600","3098","","HTTP/2","100","3","https://statics.itc.cn/spm/prod/js/1.0.1.enhance.1/index.js","-1","15562","15562","","application/x-javascript","Medium","","Mon, 11 Oct 2021 19:35:39 GMT","-1","-1","parser","607A84E7D0496A82E765C3D363954162","statics.itc.cn","16278","1000020334.100","0","100","1","-1","","-1","https://www.sohu.com/","-1","182","/spm/prod/js/1.0.1.enhance.1/index.js","-1","","GET","-1","-1","","200","-1","gzip","","3474","3098","3473","3473","3474","1","3098","3474","376","8","9","1","0","7","183","True","46522","","5","","45","","","2","",
"203.205.224.59","2976","328","385","1000020334.101","","","max-age=600","0","211011_X6_38","-1","LOW","","","-1","385","0","-1","-1","600","3098","","HTTP/2","100","3","https://statics.itc.cn/js/libpv.js","-1","1112","1112","","application/x-javascript","Medium","","Mon, 11 Oct 2021 19:35:39 GMT","-1","-1","parser","607A84E7D0496A82E765C3D363954162","statics.itc.cn","1802","1000020334.101","0","100","1","-1","","-1","https://www.sohu.com/","-1","182","/js/libpv.js","-1","","GET","-1","-1","","200","-1","gzip","","3483","3098","3483","3483","3483","0","3098","3483","385","9","10","1","0","9","183","True","3313","","7","","2","","","","",
