"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","http2_stream_dependency","final_base_page","objectSizeUncompressed","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","initiator_function","score_progressive_jpeg","jpeg_scan_count",
"111.13.149.108","","379","339","E90C8B51DCCBF303782769C600366240","","","no-cache","-1","211011_X9_3C","345","HIGHEST","","","-1","339","-1","345","-1","","680","80","http/1.1","-1","3","http://jd.com/","-1","178","","jd.com:80","text/html","VeryHigh","","","-1","-1","script","67742484240F25720D5E8B9783E681C3","jd.com","178","E90C8B51DCCBF303782769C600366240","","-1","0","3","","-1","","335","107","/","-1","42750","GET","342","680","","301","-1","","","1019","680","1019","1019","1019","0","3","1019","1016","0","1","1","0","","","","","","","","","","","","",
"163.171.133.124","","393","59","E90C8B51DCCBF303782769C600366240-1","","","","-1","211011_X9_3C","1402","VeryHigh","","","-1","59","-1","1402","-1","","1523","443","HTTP/2","-1","3","https://www.jd.com/","1523","0","","ssl/www.jd.com:443","","VeryHigh","","","-1","-1","script","67742484240F25720D5E8B9783E681C3","www.jd.com","0","E90C8B51DCCBF303782769C600366240","","-1","1","1020","","-1","","54","117","/","1456","35938","GET","382","1456","","301","67","","","1582","1523","1582","1582","1582","0","1020","1582","562","1","2","1","0","1","256","True","0","","","","","","","","",
"163.171.133.124","","396","68","E90C8B51DCCBF303782769C600366240-2","","","max-age=300","-1","211011_X9_3C","-1","VeryHigh","","","-1","66","-1","-1","-1","","1895","","HTTP/2","100","3","https://global.jd.com/","-1","6849","6849","","text/html","VeryHigh","","","-1","-1","script","67742484240F25720D5E8B9783E681C3","global.jd.com","6849","E90C8B51DCCBF303782769C600366240","0","100","1","-1","","-1","","-1","117","/","-1","","GET","-1","-1","","200","-1","gzip","","1963","1895","1961","1961","1963","2","1895","1963","68","2","3","1","0","3","","","","1","20592","1","34","6","","","",
"163.171.133.124","150","412","230","1000032466.14","","","max-age=86400","100","211011_X9_3C","-1","MEDIUM","","","-1","229","50","-1","-1","86399","2322","","HTTP/2","100","3","https://storage.360buyimg.com/quark-platform/component/standard/5cd436279a6ea5003becd5a6__5ee34e5afc685b3ecdd0f087.js","-1","4513","4513","","application/javascript","High","","Tue, 07 Dec 2021 17:33:21 GMT","-1","-1","parser","67742484240F25720D5E8B9783E681C3","storage.360buyimg.com","5090","1000032466.14","0","100","1","-1","","-1","https://global.jd.com/","-1","117","/quark-platform/component/standard/5cd436279a6ea5003becd5a6__5ee34e5afc685b3ecdd0f087.js","-1","","GET","-1","-1","","200","-1","gzip","ChinaNetCenter","2552","2322","2551","2551","2552","1","2322","2552","230","3","4","1","0","15","","","","","12277","","2","","","","",
"163.171.133.124","154","412","249","1000032466.16","","","max-age=86400","100","211011_X9_3C","-1","MEDIUM","","","-1","244","50","-1","-1","86399","2322","","HTTP/2","100","3","https://storage.360buyimg.com/quark-platform/component/standard/5cd436279a6ea5003becd5a8__5ee34e5afc685b3ecdd0f08a.js","-1","5012","5012","","application/javascript","High","","Tue, 07 Dec 2021 17:33:21 GMT","-1","-1","parser","67742484240F25720D5E8B9783E681C3","storage.360buyimg.com","5599","1000032466.16","0","100","1","-1","","-1","https://global.jd.com/","-1","117","/quark-platform/component/standard/5cd436279a6ea5003becd5a8__5ee34e5afc685b3ecdd0f08a.js","-1","","GET","-1","-1","","200","-1","gzip","ChinaNetCenter","2571","2322","2566","2566","2571","5","2322","2571","249","4","5","1","0","19","","","","","14608","","2","","","","",
"163.171.133.124","156","412","259","1000032466.17","","","max-age=86400","100","211011_X9_3C","-1","MEDIUM","","","-1","258","50","-1","-1","86399","2322","","HTTP/2","100","3","https://storage.360buyimg.com/quark-platform/component/standard/5cd436279a6ea5003becd5a9__5fa90cbc7e292cb70199df98.js","-1","4760","4760","","application/javascript","High","","Tue, 07 Dec 2021 17:33:21 GMT","-1","-1","parser","67742484240F25720D5E8B9783E681C3","storage.360buyimg.com","5340","1000032466.17","0","100","1","-1","","-1","https://global.jd.com/","-1","117","/quark-platform/component/standard/5cd436279a6ea5003becd5a9__5fa90cbc7e292cb70199df98.js","-1","","GET","-1","-1","","200","-1","gzip","ChinaNetCenter","2581","2322","2580","2580","2581","1","2322","2581","259","5","6","1","0","21","","","","","12842","","2","","","","",
"163.171.133.124","102","366","82","1000032466.9","","","max-age=7776000","100","211011_X9_3C","-1","MEDIUM","","","-1","62","100","-1","-1","7775999","2322","","HTTP/2","100","3","https://storage.360buyimg.com/portalstatic/static/pc.config.d9099456.js","-1","11363","11363","","application/javascript","High","","Wed, 15 Dec 2021 04:32:34 GMT","-1","-1","parser","67742484240F25720D5E8B9783E681C3","storage.360buyimg.com","12000","1000032466.9","0","100","1","-1","","-1","https://global.jd.com/","-1","117","/portalstatic/static/pc.config.d9099456.js","-1","","GET","-1","-1","","200","-1","gzip","ChinaNetCenter","2404","2322","2384","2384","2404","20","2322","2404","82","6","7","1","0","7","","","","","64042","","2","","","","",
"163.171.133.124","103","367","96","1000032466.10","","","max-age=86400","100","211011_X9_3C","-1","MEDIUM","","","-1","96","50","-1","-1","86399","2322","","HTTP/2","100","3","https://storage.360buyimg.com/portalstatic/static/vendor.dll.8e1ea8ba.js","-1","9869","9869","","application/javascript","High","","Tue, 07 Dec 2021 17:33:21 GMT","-1","-1","parser","67742484240F25720D5E8B9783E681C3","storage.360buyimg.com","10481","1000032466.10","0","100","1","-1","","-1","https://global.jd.com/","-1","117","/portalstatic/static/vendor.dll.8e1ea8ba.js","-1","","GET","-1","-1","","200","-1","gzip","ChinaNetCenter","2418","2322","2418","2418","2418","0","2322","2418","96","7","8","1","0","9","","","","","30537","","2","","","","",
"163.171.133.124","105","357","121","1000032466.12","","","max-age=86400","100","211011_X9_3C","-1","MEDIUM","","","-1","120","50","-1","-1","86399","2322","","HTTP/2","100","3","https://storage.360buyimg.com/o2cms/lib/nerv/1.4.4/nerv.min.js","-1","11969","11969","","application/x-javascript","High","","Tue, 07 Dec 2021 17:33:21 GMT","-1","-1","parser","67742484240F25720D5E8B9783E681C3","storage.360buyimg.com","12599","1000032466.12","0","100","1","-1","","-1","https://global.jd.com/","-1","117","/o2cms/lib/nerv/1.4.4/nerv.min.js","-1","","GET","-1","-1","","200","-1","gzip","ChinaNetCenter","2443","2322","2442","2442","2443","1","2322","2443","121","8","9","1","0","11","","","","","32333","","5","","","","",
"163.171.133.124","147","355","220","1000032466.13","","","max-age=86400","100","211011_X9_3C","-1","MEDIUM","","","-1","125","50","-1","-1","86399","2322","","HTTP/2","100","3","https://storage.360buyimg.com/component-static/library/pc.js","-1","59640","59640","","application/x-javascript","High","","Tue, 07 Dec 2021 17:33:21 GMT","-1","-1","parser","67742484240F25720D5E8B9783E681C3","storage.360buyimg.com","60359","1000032466.13","0","100","1","-1","","-1","https://global.jd.com/","-1","117","/component-static/library/pc.js","-1","","GET","-1","-1","","200","-1","gzip","ChinaNetCenter","2542","2322","2447","2447","2542","95","2322","2542","220","9","10","1","0","13","","","","","187302","","69","11","","","",
