"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","objectSizeUncompressed","final_base_page","http2_stream_dependency","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","initiator_function","score_progressive_jpeg","jpeg_scan_count",
"112.124.44.92","","382","293","BEA32299D160693AEDC974E368D2B52E","","","","-1","211011_XK_3S","343","HIGHEST","","","-1","293","-1","343","-1","","633","80","http/1.1","-1","3","http://zhanqi.tv/","-1","160","","zhanqi.tv:80","text/html","VeryHigh","","","-1","-1","script","49FA985097E4F5A8DF9DD7DF6999FB7C","zhanqi.tv","160","BEA32299D160693AEDC974E368D2B52E","","-1","0","3","","-1","","290","108","/","-1","59856","GET","340","633","","302","-1","","","926","633","926","926","926","0","3","926","923","0","1","1","0","","","","","","","","","","","","",
"114.80.179.225","","396","623","BEA32299D160693AEDC974E368D2B52E-1","","","max-age=20","-1","211011_XK_3S","1226","VeryHigh","","","-1","309","-1","1226","-1","","1845","443","HTTP/2","100","3","https://www.zhanqi.tv/","1845","18844","18844","ssl/www.zhanqi.tv:443","text/html","VeryHigh","","Mon, 11 Oct 2021 19:59:16 GMT","-1","-1","script","49FA985097E4F5A8DF9DD7DF6999FB7C","www.zhanqi.tv","19313","BEA32299D160693AEDC974E368D2B52E","0","100","1","928","","-1","","304","119","/","1530","50128","GET","298","1530","","200","315","gzip","","2468","1845","2154","2154","2468","314","928","2468","1540","1","2","1","0","1","256","True","152574","1","0","1","13","","","","",
"114.80.179.225","10","384","1096","1000009664.4","","","max-age=86400","0","211011_XK_3S","-1","HIGHEST","","","-1","339","50","-1","-1","40817","2503","","HTTP/2","100","3","https://static.zhanqi.tv/assets/web/v3/static/c/zhanqi-base.css?v=67bbeb3f","-1","220096","220096","","text/css","VeryHigh","","Tue, 12 Oct 2021 07:19:17 GMT","-1","-1","parser","49FA985097E4F5A8DF9DD7DF6999FB7C","static.zhanqi.tv","220663","1000009664.4","0","100","1","-1","","-1","https://www.zhanqi.tv/","-1","119","/assets/web/v3/static/c/zhanqi-base.css?v=67bbeb3f","-1","","GET","-1","-1","","200","-1","gzip","","3599","2503","2842","2842","3599","757","2503","3599","1096","2","3","1","0","3","","","888325","","","","","","","","",
"114.80.179.225","12","388","1264","1000009664.6","","","max-age=86400","0","211011_XK_3S","-1","HIGHEST","","","-1","1123","50","-1","-1","84710","2503","","HTTP/2","100","3","https://static.zhanqi.tv/assets/web/v3/static/c/index/new-index.css?v=1dd08e3d","-1","68118","68118","","text/css","VeryHigh","","Tue, 12 Oct 2021 19:30:50 GMT","-1","-1","parser","49FA985097E4F5A8DF9DD7DF6999FB7C","static.zhanqi.tv","68481","1000009664.6","0","100","1","-1","","-1","https://www.zhanqi.tv/","-1","119","/assets/web/v3/static/c/index/new-index.css?v=1dd08e3d","-1","","GET","-1","-1","","200","-1","gzip","","3767","2503","3626","3626","3767","141","2503","3767","1264","3","4","1","0","5","","","148590","","","","","","","","",
"114.80.179.225","13","388","1265","1000009664.7","","","max-age=86400","0","211011_XK_3S","-1","HIGHEST","","","-1","1264","50","-1","-1","19738","2503","","HTTP/2","100","3","https://static.zhanqi.tv/assets/web/v3/static/c/pagetransitions.css?v=08710026","-1","525","525","","text/css","VeryHigh","","Tue, 12 Oct 2021 01:27:58 GMT","-1","-1","parser","49FA985097E4F5A8DF9DD7DF6999FB7C","static.zhanqi.tv","814","1000009664.7","0","100","1","-1","","-1","https://www.zhanqi.tv/","-1","119","/assets/web/v3/static/c/pagetransitions.css?v=08710026","-1","","GET","-1","-1","","200","-1","gzip","","3768","2503","3767","3767","3768","1","2503","3768","1265","4","5","1","0","7","","","3199","","","","","","","","",
"114.80.179.225","38","367","1397","1000009664.8","","","max-age=86400","0","211011_XK_3S","-1","MEDIUM","","","-1","1266","50","-1","-1","40042","2503","","HTTP/2","100","3","https://static.zhanqi.tv/assets/web/v3/static/j/pkg/zhanqi.js?v=60f7069f","-1","79523","79523","","application/javascript","High","","Tue, 12 Oct 2021 07:06:22 GMT","-1","-1","parser","49FA985097E4F5A8DF9DD7DF6999FB7C","static.zhanqi.tv","79932","1000009664.8","0","100","1","-1","","-1","https://www.zhanqi.tv/","-1","119","/assets/web/v3/static/j/pkg/zhanqi.js?v=60f7069f","-1","","GET","-1","-1","","200","-1","gzip","","3900","2503","3769","3769","3900","131","2503","3900","1397","5","6","1","0","9","","","247271","","","","44","109","","","",
"114.80.179.225","304","378","1408","1000009664.9","","","max-age=86400","0","211011_XK_3S","-1","MEDIUM","","","-1","1399","50","-1","-1","40042","2503","","HTTP/2","100","3","https://static.zhanqi.tv/assets/web/v3/static/j/public/4.0/topLeftNav.js?v=5584240f","-1","7624","7624","","application/javascript","High","","Tue, 12 Oct 2021 07:06:22 GMT","-1","-1","parser","49FA985097E4F5A8DF9DD7DF6999FB7C","static.zhanqi.tv","7867","1000009664.9","0","100","1","-1","","-1","https://www.zhanqi.tv/","-1","119","/assets/web/v3/static/j/public/4.0/topLeftNav.js?v=5584240f","-1","","GET","-1","-1","","200","-1","gzip","","3911","2503","3902","3902","3911","9","2503","3911","1408","6","7","1","0","11","","","26757","","","","2","","","","",
"114.80.179.225","2081","379","308","1000009664.62","","","max-age=86400","0","211011_XK_3S","-1","MEDIUM","","","-1","308","50","-1","-1","84708","3901","","HTTP/2","100","3","https://static.zhanqi.tv/assets/web/v3/static/j/web3.0/indexSocketInit.js?v=42195016","-1","1141","1141","","application/javascript","Medium","","Tue, 12 Oct 2021 19:30:50 GMT","-1","-1","parser","49FA985097E4F5A8DF9DD7DF6999FB7C","static.zhanqi.tv","1377","1000009664.62","0","100","1","-1","","-1","https://www.zhanqi.tv/","-1","119","/assets/web/v3/static/j/web3.0/indexSocketInit.js?v=42195016","-1","","GET","-1","-1","","200","-1","gzip","","4209","3901","4209","4209","4209","0","3901","4209","308","7","8","1","0","13","","","2464","","","","0","","","","",
"114.80.179.225","3","412","452","1000009664.71","","","no-store, no-cache, must-revalidate","-1","211011_XK_3S","-1","MEDIUM","","","-1","451","-1","-1","-1","","3941","","HTTP/2","-1","3","https://www.zhanqi.tv/api/user/user.info","-1","514","","","application/json","High","12670","Thu, 19 Nov 1981 08:52:00 GMT","-1","-1","script","49FA985097E4F5A8DF9DD7DF6999FB7C","www.zhanqi.tv","514","1000009664.71","","100","1","-1","","-1","https://static.zhanqi.tv/assets/web/v3/static/j/pkg/zhanqi.js?v=60f7069f","-1","119","/api/user/user.info","-1","","GET","-1","-1","","200","-1","","","4393","3941","4392","4392","4393","1","3941","4393","452","8","9","1","0","15","220","True","50","","0","","","","send","","",
"114.80.179.225","2082","369","317","1000009664.63","","","max-age=86400","0","211011_XK_3S","-1","MEDIUM","","","-1","310","50","-1","-1","44670","3958","","HTTP/2","100","3","https://static.zhanqi.tv/assets/web/v3/static/j/yp/yp-socket.js?v=f00e896d","-1","6039","6039","","application/javascript","Medium","","Tue, 12 Oct 2021 08:23:32 GMT","-1","-1","parser","49FA985097E4F5A8DF9DD7DF6999FB7C","static.zhanqi.tv","6369","1000009664.63","0","100","1","-1","","-1","https://www.zhanqi.tv/","-1","119","/assets/web/v3/static/j/yp/yp-socket.js?v=f00e896d","-1","","GET","-1","-1","","200","-1","gzip","","4275","3958","4268","4268","4275","7","3958","4275","317","9","10","1","0","17","","","16651","","","","6","0","","","",
