"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","http2_stream_dependency","objectSizeUncompressed","final_base_page","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","initiator_function","score_progressive_jpeg","jpeg_scan_count",
"36.51.254.228","","382","290","536050A9F842AC0B608B18E1DBBDD954","","","","-1","211011_XQ_3H","344","HIGHEST","","","-1","290","-1","345","-1","","631","80","http/1.1","-1","3","http://weibo.com/","-1","215","","weibo.com:80","text/html","VeryHigh","","","-1","-1","script","769FFAFF8F225A9285B1C6102D0F2116","weibo.com","215","536050A9F842AC0B608B18E1DBBDD954","","-1","0","3","","-1","","285","104","/","-1","51010","GET","341","630","","302","-1","","","921","631","921","921","921","0","3","921","916","0","1","1","0","","","","","","","","","","","","",
"36.51.254.228","","392","373","536050A9F842AC0B608B18E1DBBDD954-1","","","no-cache, must-revalidate","-1","211011_XQ_3H","-1","VeryHigh","","","-1","373","-1","922","-1","","1504","443","HTTP/2","-1","3","https://weibo.com/","1504","0","","ssl/weibo.com:443","text/html","VeryHigh","","Mon, 26 Jul 1997 05:00:00 GMT","-1","-1","script","769FFAFF8F225A9285B1C6102D0F2116","weibo.com","0","536050A9F842AC0B608B18E1DBBDD954","","-1","1","-1","","-1","","285","117","/","1208","52554","GET","-1","1207","","302","296","","","1877","1504","1877","1877","1877","0","922","1877","954","1","2","1","0","1","256","True","0","","","","","","","","",
"36.51.254.228","","390","292","536050A9F842AC0B608B18E1DBBDD954-2","","","","-1","211011_XQ_3H","-1","VeryHigh","","","-1","292","-1","345","-1","","1879","80","http/1.1","-1","3","http://weibo.com/overseas","-1","215","","weibo.com:80","text/html","VeryHigh","","","-1","-1","script","769FFAFF8F225A9285B1C6102D0F2116","weibo.com","215","536050A9F842AC0B608B18E1DBBDD954","","-1","0","-1","","-1","","288","108","/overseas","-1","51012","GET","-1","633","","302","-1","","","2171","1879","2171","2171","2171","0","345","2171","580","2","3","1","0","","","","","","","","","","","","",
"36.51.254.228","","400","825","536050A9F842AC0B608B18E1DBBDD954-3","","","no-cache, must-revalidate","-1","211011_XQ_3H","-1","VeryHigh","","","-1","491","-1","-1","-1","","2172","","HTTP/2","100","3","https://weibo.com/overseas","-1","18361","18361","","text/html","VeryHigh","","Mon, 26 Jul 1997 05:00:00 GMT","-1","-1","script","769FFAFF8F225A9285B1C6102D0F2116","weibo.com","18361","536050A9F842AC0B608B18E1DBBDD954","0","100","1","-1","","-1","","-1","117","/overseas","-1","","GET","-1","-1","","200","-1","gzip","","2997","2172","2663","2663","2997","334","2172","2997","825","3","4","1","0","3","256","True","0","93739","1","1","12","36","","","",
"79.133.176.231","25","395","171","1000017728.5","","","max-age=1296000","100","211011_XQ_3H","-1","HIGHEST","","","-1","149","100","-1","-1","1293460","3436","","HTTP/2","100","3","https://img.t.sinajs.cn/t6/style/css/pages/growth/login_v5.css?version=2021101203","-1","17561","17561","","text/css","VeryHigh","","Tue, 26 Oct 2021 19:00:00 GMT","-1","-1","parser","769FFAFF8F225A9285B1C6102D0F2116","img.t.sinajs.cn","18115","1000017728.5","0","100","1","-1","","-1","https://weibo.com/overseas","-1","165","/t6/style/css/pages/growth/login_v5.css?version=2021101203","-1","","GET","-1","-1","","200","-1","gzip","Akamai","3607","3436","3585","3585","3607","22","3436","3607","171","4","5","1","0","5","","","","53639","","","","","","","",
"79.133.176.231","26","381","140","1000017728.6","","","max-age=1296000","100","211011_XQ_3H","-1","HIGHEST","","","-1","140","100","-1","-1","1293459","3436","","HTTP/2","100","3","https://img.t.sinajs.cn/t6/skin/default/skin.css?version=2021101203","-1","1078","1078","","text/css","VeryHigh","","Tue, 26 Oct 2021 19:00:00 GMT","-1","-1","parser","769FFAFF8F225A9285B1C6102D0F2116","img.t.sinajs.cn","1604","1000017728.6","0","100","1","-1","","-1","https://weibo.com/overseas","-1","165","/t6/skin/default/skin.css?version=2021101203","-1","","GET","-1","-1","","200","-1","gzip","Akamai","3576","3436","3576","3576","3576","0","3436","3576","140","5","6","1","0","3","","","","3335","","","","","","","",
"79.133.176.231","24","391","139","1000017728.4","","","max-age=1296000","100","211011_XQ_3H","3310","HIGHEST","","","-1","72","100","3310","-1","1293459","3436","443","HTTP/2","100","3","https://img.t.sinajs.cn/t6/style/css/module/base/frame.css?version=2021101203","3436","44211","44211","ssl/img.t.sinajs.cn:443","text/css","VeryHigh","","Tue, 26 Oct 2021 19:00:00 GMT","-1","-1","parser","769FFAFF8F225A9285B1C6102D0F2116","img.t.sinajs.cn","45083","1000017728.4","0","100","1","2673","","-1","https://weibo.com/overseas","54","165","/t6/style/css/module/base/frame.css?version=2021101203","3364","43236","GET","637","3364","","200","72","gzip","Akamai","3575","3436","3508","3508","3575","67","2673","3575","902","6","7","1","0","1","256","True","0","193140","","","","","","","",
"79.133.176.231","54","369","343","1000017728.7","","","max-age=1296000","100","211011_XQ_3H","3318","MEDIUM","","","-1","142","100","3318","-1","1293447","3466","443","HTTP/2","100","3","https://js.t.sinajs.cn/t6/home/js/pl/top/topInit.js?version=2021101203","3466","69177","69177","ssl/js.t.sinajs.cn:443","application/x-javascript","High","","Tue, 26 Oct 2021 19:00:00 GMT","-1","-1","parser","769FFAFF8F225A9285B1C6102D0F2116","js.t.sinajs.cn","69834","1000017728.7","0","100","1","2675","","-1","https://weibo.com/overseas","55","167","/t6/home/js/pl/top/topInit.js?version=2021101203","3373","43240","GET","643","3373","","200","93","gzip","Akamai","3809","3466","3608","3608","3809","201","2675","3809","1134","7","8","1","0","7","","","","200022","","","21","10","","","",
"79.133.176.231","86","400","232","1000017728.8","0","","max-age=1296000","100","211011_XQ_3H","-1","LOWEST","430","","-1","231","100","-1","100","892311","3609","","HTTP/2","-1","3","https://img.t.sinajs.cn/t6/style/images/common/footer_code_v2.png","-1","430","","","image/png","Low","","Sun, 10 Oct 2021 05:35:02 GMT","-1","-1","parser","769FFAFF8F225A9285B1C6102D0F2116","img.t.sinajs.cn","1021","1000017728.8","","100","1","-1","","-1","https://weibo.com/overseas","-1","165","/t6/style/images/common/footer_code_v2.png","-1","","GET","-1","-1","","200","-1","","Akamai","3841","3609","3840","3840","3841","1","3609","3841","232","8","9","1","0","11","147","True","9","430","","","","","","","",
"79.133.176.231","132","369","231","1000017728.13","","","max-age=1296000","100","211011_XQ_3H","-1","LOW","","","-1","200","100","-1","-1","1293452","3609","","HTTP/2","100","3","https://js.t.sinajs.cn/t5/register/js/v6/pl/base.js?version=2021101203","-1","69093","69093","","application/x-javascript","Medium","","Tue, 26 Oct 2021 19:00:01 GMT","-1","-1","parser","769FFAFF8F225A9285B1C6102D0F2116","js.t.sinajs.cn","69920","1000017728.13","0","100","1","-1","","-1","https://weibo.com/overseas","-1","165","/t5/register/js/v6/pl/base.js?version=2021101203","-1","","GET","-1","-1","","200","-1","gzip","Akamai","3840","3609","3809","3809","3840","31","3609","3840","231","9","10","1","0","9","","","","194856","","","29","15","","","",
"36.51.254.228","0","524","581","1000017728.20","","","maxage=1","-1","211011_XQ_3H","-1","LOWEST","","","-1","580","-1","-1","-1","","3843","","HTTP/2","100","3","https://weibo.com/aj/v6/top/topnavthird?ajwvr=6&url=https%253A%252F%252Fweibo.com%252Foverseas&uid=&lang=zh-cn&islogin=0&_t=1&_v=STK_16339813554593","-1","1194","1194","","application/json","Low","63972","Sat, 26 Jul 1997 05:00:00 GMT","-1","-1","script","769FFAFF8F225A9285B1C6102D0F2116","weibo.com","1194","1000017728.20","0","100","1","-1","","-1","https://js.t.sinajs.cn/t6/home/js/pl/top/topInit.js?version=2021101203","-1","117","/aj/v6/top/topnavthird?ajwvr=6&url=https%253A%252F%252Fweibo.com%252Foverseas&uid=&lang=zh-cn&islogin=0&_t=1&_v=STK_16339813554593","-1","","GET","-1","-1","","200","-1","gzip","","4424","3843","4423","4423","4424","1","3843","4424","581","10","11","1","0","5","147","True","0","3134","","","2","","","","",
"216.58.201.78","8","344","182","1000017728.9","","","public, max-age=7200","100","211011_XQ_3H","3613","LOWEST","","","-1","38","50","3613","-1","4248","3850","443","HTTP/2","100","3","https://www.google-analytics.com/analytics.js","3849","19747","19747","ssl/www.google-analytics.com:443","text/javascript","Low","64","Mon, 11 Oct 2021 20:53:23 GMT","-1","-1","script","769FFAFF8F225A9285B1C6102D0F2116","www.google-analytics.com","20165","1000017728.9","0","100","1","3612","","-1","https://weibo.com/overseas","103","186","/analytics.js","3716","39172","GET","1","3716","","200","133","gzip","Google","4032","3850","3888","3888","4032","144","3612","4032","419","11","12","1","0","1","147","True","0","49529","","","27","1","","","",
"79.133.176.231","129","461","235","1000017728.22","0","","max-age=1296000","100","211011_XQ_3H","-1","LOWEST","86070","","-1","67","100","-1","100","1161762","3850","","HTTP/2","-1","3","https://img.t.sinajs.cn/t6/style/images/common/icon.png?id=2ceabba76d81138d","-1","86070","","","image/png","Low","","Sun, 10 Oct 2021 12:15:59 GMT","-1","-1","parser","769FFAFF8F225A9285B1C6102D0F2116","img.t.sinajs.cn","86729","1000017728.22","","100","1","-1","","-1","https://weibo.com/overseas","-1","165","/t6/style/images/common/icon.png?id=2ceabba76d81138d","-1","","GET","-1","-1","","200","-1","","Akamai","4085","3850","3917","3917","4085","168","3850","4085","235","12","13","1","0","13","147","True","0","86070","","","","","","","",
"79.133.176.231","130","375","180","1000017728.25","","","max-age=1296000","100","211011_XQ_3H","-1","LOWEST","","","-1","156","100","-1","-1","1293459","3930","","HTTP/2","100","3","https://js.t.sinajs.cn/t5/register/js/v6/pl/base/index.js?version=2021101203","-1","13502","13502","","application/x-javascript","Low","1756","Tue, 26 Oct 2021 19:00:02 GMT","-1","-1","script","769FFAFF8F225A9285B1C6102D0F2116","js.t.sinajs.cn","14118","1000017728.25","0","100","1","-1","","-1","https://weibo.com/overseas","-1","165","/t5/register/js/v6/pl/base/index.js?version=2021101203","-1","","GET","-1","-1","","200","-1","gzip","Akamai","4110","3930","4086","4086","4110","24","3930","4110","180","13","14","1","0","15","","","","36638","","","3","3","by","","",
"79.133.176.231","0","476","368","1000017728.28","0","","max-age=1296000","100","211011_XQ_3H","-1","MEDIUM","84755","","-1","174","100","-1","100","928563","3936","","HTTP/2","-1","3","https://img.t.sinajs.cn/t6/style/images/growth/login/sprite_login.png?a4d8ba1a862aead3","-1","84755","","","image/png","Low","","Sun, 17 Oct 2021 08:27:44 GMT","-1","-1","parser","769FFAFF8F225A9285B1C6102D0F2116","img.t.sinajs.cn","85547","1000017728.28","","100","1","-1","","-1","https://weibo.com/overseas","-1","165","/t6/style/images/growth/login/sprite_login.png?a4d8ba1a862aead3","-1","","GET","-1","-1","","200","-1","","Akamai","4304","3936","4110","4110","4304","194","3936","4304","368","14","15","1","0","17","147","True","15","84755","","","","","","","",
"79.133.176.231","0","415","307","1000017728.62","0","","max-age=1296000","100","211011_XQ_3H","-1","MEDIUM","1485","","-1","306","50","-1","100","118642","4003","","HTTP/2","-1","3","https://img.t.sinajs.cn/t6/style/images/connect/finder/1087030002_892_1003_0.png","-1","1485","","","image/png","Low","","Fri, 01 Oct 2021 17:30:59 GMT","-1","-1","parser","769FFAFF8F225A9285B1C6102D0F2116","img.t.sinajs.cn","2097","1000017728.62","","100","1","-1","","-1","https://weibo.com/overseas","-1","165","/t6/style/images/connect/finder/1087030002_892_1003_0.png","-1","","GET","-1","-1","","200","-1","","Akamai","4310","4003","4309","4309","4310","1","4003","4310","307","15","16","1","0","19","147","True","17","1485","","","","","","","",
"79.133.176.231","0","415","297","1000017728.63","0","","max-age=1296000","100","211011_XQ_3H","-1","MEDIUM","1355","","-1","296","100","-1","100","1281417","4014","","HTTP/2","-1","3","https://img.t.sinajs.cn/t6/style/images/connect/finder/1087030002_892_1005_0.png","-1","1355","","","image/png","Low","","Thu, 21 Oct 2021 04:54:58 GMT","-1","-1","parser","769FFAFF8F225A9285B1C6102D0F2116","img.t.sinajs.cn","1953","1000017728.63","","100","1","-1","","-1","https://weibo.com/overseas","-1","165","/t6/style/images/connect/finder/1087030002_892_1005_0.png","-1","","GET","-1","-1","","200","-1","","Akamai","4311","4014","4310","4310","4311","1","4014","4311","297","16","17","1","0","21","147","True","19","1355","","","","","","","",
"79.133.176.231","0","415","440","1000017728.64","0","","max-age=1296000","100","211011_XQ_3H","-1","LOWEST","1499","","-1","439","100","-1","100","974968","4014","","HTTP/2","-1","3","https://img.t.sinajs.cn/t6/style/images/connect/finder/1087030002_892_1004_0.png","-1","1499","","","image/png","Low","","Sun, 17 Oct 2021 20:44:28 GMT","-1","-1","parser","769FFAFF8F225A9285B1C6102D0F2116","img.t.sinajs.cn","2164","1000017728.64","","100","1","-1","","-1","https://weibo.com/overseas","-1","165","/t6/style/images/connect/finder/1087030002_892_1004_0.png","-1","","GET","-1","-1","","200","-1","","Akamai","4454","4014","4453","4453","4454","1","4014","4454","440","17","18","1","0","23","147","True","21","1499","","","","","","","",
"79.133.176.231","0","415","299","1000017728.65","0","","max-age=1296000","100","211011_XQ_3H","-1","MEDIUM","1424","","-1","298","100","-1","100","974967","4014","","HTTP/2","-1","3","https://img.t.sinajs.cn/t6/style/images/connect/finder/1087030002_558_3_2017.png","-1","1424","","","image/png","Low","","Mon, 18 Oct 2021 12:05:56 GMT","-1","-1","parser","769FFAFF8F225A9285B1C6102D0F2116","img.t.sinajs.cn","2000","1000017728.65","","100","1","-1","","-1","https://weibo.com/overseas","-1","165","/t6/style/images/connect/finder/1087030002_558_3_2017.png","-1","","GET","-1","-1","","200","-1","","Akamai","4313","4014","4312","4312","4313","1","4014","4313","299","18","19","1","0","25","147","True","23","1424","","","","","","","",
"79.133.176.231","0","415","443","1000017728.66","0","","max-age=1296000","100","211011_XQ_3H","-1","MEDIUM","1553","","-1","443","100","-1","100","974968","4017","","HTTP/2","-1","3","https://img.t.sinajs.cn/t6/style/images/connect/finder/1087030002_558_3_2018.png","-1","1553","","","image/png","Low","","Sat, 09 Oct 2021 13:31:32 GMT","-1","-1","parser","769FFAFF8F225A9285B1C6102D0F2116","img.t.sinajs.cn","2098","1000017728.66","","100","1","-1","","-1","https://weibo.com/overseas","-1","165","/t6/style/images/connect/finder/1087030002_558_3_2018.png","-1","","GET","-1","-1","","200","-1","","Akamai","4460","4017","4460","4460","4460","0","4017","4460","443","19","20","1","0","27","147","True","25","1553","","","","","","","",
"79.133.176.231","0","415","438","1000017728.67","0","","max-age=1296000","100","211011_XQ_3H","-1","LOWEST","1533","","-1","438","100","-1","100","1068756","4017","","HTTP/2","-1","3","https://img.t.sinajs.cn/t6/style/images/connect/finder/1087030002_558_3_5002.png","-1","1533","","","image/png","Low","","Wed, 20 Oct 2021 02:43:05 GMT","-1","-1","parser","769FFAFF8F225A9285B1C6102D0F2116","img.t.sinajs.cn","2122","1000017728.67","","100","1","-1","","-1","https://weibo.com/overseas","-1","165","/t6/style/images/connect/finder/1087030002_558_3_5002.png","-1","","GET","-1","-1","","200","-1","","Akamai","4455","4017","4455","4455","4455","0","4017","4455","438","20","21","1","0","29","147","True","27","1533","","","","","","","",
"79.133.176.231","0","415","439","1000017728.68","0","","max-age=1296000","100","211011_XQ_3H","-1","MEDIUM","1377","","-1","439","50","-1","100","116607","4017","","HTTP/2","-1","3","https://img.t.sinajs.cn/t6/style/images/connect/finder/1087030002_558_3_5001.png","-1","1377","","","image/png","Low","","Sat, 02 Oct 2021 12:40:06 GMT","-1","-1","parser","769FFAFF8F225A9285B1C6102D0F2116","img.t.sinajs.cn","1975","1000017728.68","","100","1","-1","","-1","https://weibo.com/overseas","-1","165","/t6/style/images/connect/finder/1087030002_558_3_5001.png","-1","","GET","-1","-1","","200","-1","","Akamai","4456","4017","4456","4456","4456","0","4017","4456","439","21","22","1","0","31","147","True","29","1377","","","","","","","",
"79.133.176.231","0","415","440","1000017728.69","0","","max-age=1296000","100","211011_XQ_3H","-1","MEDIUM","1510","","-1","440","100","-1","100","974967","4017","","HTTP/2","-1","3","https://img.t.sinajs.cn/t6/style/images/connect/finder/1087030002_558_3_2016.png","-1","1510","","","image/png","Low","","Sat, 16 Oct 2021 16:17:03 GMT","-1","-1","parser","769FFAFF8F225A9285B1C6102D0F2116","img.t.sinajs.cn","2083","1000017728.69","","100","1","-1","","-1","https://weibo.com/overseas","-1","165","/t6/style/images/connect/finder/1087030002_558_3_2016.png","-1","","GET","-1","-1","","200","-1","","Akamai","4457","4017","4457","4457","4457","0","4017","4457","440","22","23","1","0","33","147","True","31","1510","","","","","","","",
