"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","http2_stream_dependency","final_base_page","objectSizeUncompressed","is_base_page","initiator_function","score_progressive_jpeg","jpeg_scan_count",
"172.217.23.206","","384","97","5114740F69CCDFF454B912037FA1E7AE","","","no-cache, no-store, max-age=0, must-revalidate","-1","211011_YJ_34","64","HIGHEST","","","-1","97","-1","64","-1","","99","80","http/1.1","-1","3","http://youtube.com/","-1","0","","youtube.com:80","application/binary","VeryHigh","","Mon, 01 Jan 1990 00:00:00 GMT","-1","-1","script","A0C0B6EDAB9ACCD7EA2AC9F96DDA704B","youtube.com","0","5114740F69CCDFF454B912037FA1E7AE","","-1","0","3","","-1","","35","103","/","-1","50526","GET","61","99","","301","-1","","","196","99","196","196","196","0","3","196","193","0","1","1","0","","","","","","","","","","",
"172.217.23.206","","394","63","5114740F69CCDFF454B912037FA1E7AE-1","","","private, max-age=31536000","-1","211011_YJ_34","-1","VeryHigh","","","-1","63","-1","198","-1","","299","443","HTTP/2","-1","3","https://youtube.com/","298","0","","ssl/youtube.com:443","application/binary","VeryHigh","","Mon, 11 Oct 2021 19:15:19 GMT","-1","-1","script","A0C0B6EDAB9ACCD7EA2AC9F96DDA704B","youtube.com","0","5114740F69CCDFF454B912037FA1E7AE","","-1","1","-1","","-1","","33","114","/","231","59210","GET","-1","231","","301","67","","","362","299","362","362","362","0","198","362","163","1","2","1","0","1","256","True","0","","","","","","",
"172.217.23.206","","427","1334","5114740F69CCDFF454B912037FA1E7AE-2","","","no-cache, no-store, max-age=0, must-revalidate","100","211011_YJ_34","-1","VeryHigh","","","-1","92","-1","-1","-1","","414","","HTTP/2","100","3","https://www.youtube.com/","-1","57739","57739","","text/html","VeryHigh","","Mon, 01 Jan 1990 00:00:00 GMT","-1","-1","script","A0C0B6EDAB9ACCD7EA2AC9F96DDA704B","www.youtube.com","57739","5114740F69CCDFF454B912037FA1E7AE","0","100","1","-1","","-1","","-1","114","/","-1","","GET","-1","-1","","200","-1","br","Google","1748","414","506","506","1748","1242","414","1748","1334","2","3","1","0","3","","","","1","528653","1","","","",
"172.217.23.206","16","433","2687","1000007110.5","","","public, max-age=31536000","100","211011_YJ_34","-1","MEDIUM","","","-1","111","100","-1","-1","31517133","519","","HTTP/2","100","3","https://www.youtube.com/s/desktop/43d596fa/jsbin/desktop_polymer.vflset/desktop_polymer.js","-1","1307968","1307968","","text/javascript","High","","Tue, 11 Oct 2022 14:00:52 GMT","-1","-1","parser","A0C0B6EDAB9ACCD7EA2AC9F96DDA704B","www.youtube.com","1308745","1000007110.5","0","100","1","-1","","-1","https://www.youtube.com/","-1","114","/s/desktop/43d596fa/jsbin/desktop_polymer.vflset/desktop_polymer.js","-1","","GET","-1","-1","","200","-1","br","Google","3206","519","630","630","3206","2576","519","3206","2687","3","4","1","0","5","","","","","8290557","","","","",
"172.217.23.206","16","435","108","1000007110.8","","","public, max-age=31536000","100","211011_YJ_34","-1","MEDIUM","","","-1","69","100","-1","-1","31517133","519","","HTTP/2","100","3","https://www.youtube.com/s/desktop/43d596fa/jsbin/webcomponents-sd.vflset/webcomponents-sd.js","-1","21590","21590","","text/javascript","High","","Tue, 11 Oct 2022 14:00:52 GMT","-1","-1","parser","A0C0B6EDAB9ACCD7EA2AC9F96DDA704B","www.youtube.com","21664","1000007110.8","0","100","1","-1","","-1","https://www.youtube.com/","-1","114","/s/desktop/43d596fa/jsbin/webcomponents-sd.vflset/webcomponents-sd.js","-1","","GET","-1","-1","","200","-1","br","Google","627","519","588","588","627","39","519","627","108","4","5","1","0","11","","","","","74588","","","","",
"172.217.23.206","16","459","68","1000007110.6","","","public, max-age=31536000","100","211011_YJ_34","-1","MEDIUM","","","-1","42","100","-1","-1","31517133","519","","HTTP/2","100","3","https://www.youtube.com/s/desktop/43d596fa/jsbin/web-animations-next-lite.min.vflset/web-animations-next-lite.min.js","-1","15162","15162","","text/javascript","High","","Tue, 11 Oct 2022 14:00:52 GMT","-1","-1","parser","A0C0B6EDAB9ACCD7EA2AC9F96DDA704B","www.youtube.com","15487","1000007110.6","0","100","1","-1","","-1","https://www.youtube.com/","-1","114","/s/desktop/43d596fa/jsbin/web-animations-next-lite.min.vflset/web-animations-next-lite.min.js","-1","","GET","-1","-1","","200","-1","br","Google","587","519","561","561","587","26","519","587","68","5","6","1","0","7","","","","","50691","","","","",
"172.217.23.206","16","457","110","1000007110.7","","","public, max-age=31536000","100","211011_YJ_34","-1","MEDIUM","","","-1","109","100","-1","-1","31517133","519","","HTTP/2","100","3","https://www.youtube.com/s/desktop/43d596fa/jsbin/custom-elements-es5-adapter.vflset/custom-elements-es5-adapter.js","-1","793","793","","text/javascript","High","","Tue, 11 Oct 2022 14:00:52 GMT","-1","-1","parser","A0C0B6EDAB9ACCD7EA2AC9F96DDA704B","www.youtube.com","857","1000007110.7","0","100","1","-1","","-1","https://www.youtube.com/","-1","114","/s/desktop/43d596fa/jsbin/custom-elements-es5-adapter.vflset/custom-elements-es5-adapter.js","-1","","GET","-1","-1","","200","-1","br","Google","629","519","628","628","629","1","519","629","110","6","7","1","0","9","","","","","2064","","","","",
"172.217.23.206","21","421","372","1000007110.12","","","public, max-age=31536000","100","211011_YJ_34","-1","MEDIUM","","","-1","367","100","-1","-1","31517133","552","","HTTP/2","100","3","https://www.youtube.com/s/desktop/43d596fa/jsbin/scheduler.vflset/scheduler.js","-1","3445","3445","","text/javascript","High","","Tue, 11 Oct 2022 14:00:52 GMT","-1","-1","parser","A0C0B6EDAB9ACCD7EA2AC9F96DDA704B","www.youtube.com","3509","1000007110.12","0","100","1","-1","","-1","https://www.youtube.com/","-1","114","/s/desktop/43d596fa/jsbin/scheduler.vflset/scheduler.js","-1","","GET","-1","-1","","200","-1","br","Google","924","552","919","919","924","5","552","924","372","7","8","1","0","13","","","","","8946","","","","",
"172.217.23.206","21","445","597","1000007110.13","","","public, max-age=31536000","100","211011_YJ_34","-1","MEDIUM","","","-1","593","100","-1","-1","31517148","555","","HTTP/2","100","3","https://www.youtube.com/s/desktop/43d596fa/jsbin/www-i18n-constants-en_US.vflset/www-i18n-constants.js","-1","1377","1377","","text/javascript","High","","Tue, 11 Oct 2022 14:01:07 GMT","-1","-1","parser","A0C0B6EDAB9ACCD7EA2AC9F96DDA704B","www.youtube.com","1469","1000007110.13","0","100","1","-1","","-1","https://www.youtube.com/","-1","114","/s/desktop/43d596fa/jsbin/www-i18n-constants-en_US.vflset/www-i18n-constants.js","-1","","GET","-1","-1","","200","-1","br","Google","1152","555","1148","1148","1152","4","555","1152","597","8","9","1","0","15","","","","","4252","","","","",
"172.217.23.206","21","429","592","1000007110.14","","","public, max-age=31536000","100","211011_YJ_34","-1","MEDIUM","","","-1","587","100","-1","-1","31517133","556","","HTTP/2","100","3","https://www.youtube.com/s/desktop/43d596fa/jsbin/www-tampering.vflset/www-tampering.js","-1","4656","4656","","text/javascript","High","","Tue, 11 Oct 2022 14:00:52 GMT","-1","-1","parser","A0C0B6EDAB9ACCD7EA2AC9F96DDA704B","www.youtube.com","4720","1000007110.14","0","100","1","-1","","-1","https://www.youtube.com/","-1","114","/s/desktop/43d596fa/jsbin/www-tampering.vflset/www-tampering.js","-1","","GET","-1","-1","","200","-1","br","Google","1148","556","1143","1143","1148","5","556","1148","592","9","10","1","0","17","","","","","12561","","","","",
