"ip_addr","initiator_line","bytesOut","load_ms","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","http2_stream_id","http2_stream_weight","http2_stream_exclusive","http2_stream_dependency","objectSizeUncompressed","final_base_page","is_base_page","cpu.EvaluateScript","cpu.FunctionCall","initiator_function","score_progressive_jpeg","jpeg_scan_count",
"18.200.8.190","","384","81","ABA85854F777E3230940A4C8103E0FA3","","","","-1","211011_ZF_3R","44","HIGHEST","","","-1","81","-1","46","-1","","114","80","http/1.1","-1","3","http://netflix.com/","-1","0","","netflix.com:80","","VeryHigh","","","-1","-1","script","EF7B81F0F8A9CC9D6E0D0B3A9A831FC2","netflix.com","0","ABA85854F777E3230940A4C8103E0FA3","","-1","0","0","","-1","","68","107","/","-1","35250","GET","-1","114","","301","-1","","","195","114","195","195","195","0","46","195","149","0","1","1","0","","","","","","","","","","","","",
"18.200.8.190","","581","105","ABA85854F777E3230940A4C8103E0FA3-1","","","no-cache, no-store","-1","211011_ZF_3R","-1","VeryHigh","","","-1","105","-1","197","-1","","347","443","HTTP/2","-1","3","https://netflix.com/","347","0","","ssl/netflix.com:443","","VeryHigh","","","-1","-1","script","EF7B81F0F8A9CC9D6E0D0B3A9A831FC2","netflix.com","0","ABA85854F777E3230940A4C8103E0FA3","","-1","1","-1","","-1","","70","114","/","267","41612","GET","-1","267","","301","80","","","452","347","452","452","452","0","197","452","255","1","2","1","0","1","256","True","0","","","","","","","","",
"54.74.73.31","","585","216","ABA85854F777E3230940A4C8103E0FA3-2","","","no-cache, no-store","-1","211011_ZF_3R","486","VeryHigh","","","-1","216","-1","486","-1","","634","443","HTTP/2","-1","3","https://www.netflix.com/","633","0","","ssl/www.netflix.com:443","text/html","VeryHigh","","0","-1","-1","script","EF7B81F0F8A9CC9D6E0D0B3A9A831FC2","www.netflix.com","0","ABA85854F777E3230940A4C8103E0FA3","","-1","1","453","","-1","","69","124","/","555","44690","GET","33","555","","302","78","","","850","634","850","850","850","0","453","850","396","2","3","1","0","1","256","True","0","","","","","","","","",
"54.74.73.31","","1155","563","ABA85854F777E3230940A4C8103E0FA3-3","","","no-cache, no-store, must-revalidate","-1","211011_ZF_3R","-1","VeryHigh","","","-1","467","-1","-1","-1","","852","","HTTP/2","100","3","https://www.netflix.com/cz-en/","-1","42417","42417","","text/html","VeryHigh","","0","-1","-1","script","EF7B81F0F8A9CC9D6E0D0B3A9A831FC2","www.netflix.com","42417","ABA85854F777E3230940A4C8103E0FA3","0","100","1","-1","","-1","","-1","124","/cz-en/","-1","","GET","-1","-1","","200","-1","gzip","","1415","852","1319","1319","1415","96","852","1415","563","3","4","1","0","3","256","True","0","295746","1","1","15","","","","",
"","","0","102","99999.99999.1","","","max-age=0","-1","211011_ZF_3R","-1","HIGHEST","","","-1","102","-1","-1","-1","","1331","","HTTP/2","-1","3","https://www.netflix.com/personalization/cl2/freeform/WebsiteDetect?source=wwwhead&fetchType=css&modalView=nmLanding","-1","0","","","","","","Sun, 10 Oct 2021 19:57:41 GMT","-1","-1","","EF7B81F0F8A9CC9D6E0D0B3A9A831FC2","www.netflix.com","0","99999.99999.1","","-1","1","-1","","-1","","-1","","/personalization/cl2/freeform/WebsiteDetect?source=wwwhead&fetchType=css&modalView=nmLanding","-1","","","-1","-1","","200","-1","","","1433","1331","1433","1433","1433","0","1331","1433","102","4","5","1","0","","","","","","","","","","","","",
"54.74.73.31","0","1265","85","1000006863.21","","","max-age=0","-1","211011_ZF_3R","-1","MEDIUM","","","-1","85","-1","-1","-1","","1436","","HTTP/2","-1","3","https://www.netflix.com/personalization/cl2/freeform/WebsiteDetect?source=wwwhead&fetchType=js&modalView=nmLanding","-1","0","","","","High","1468","Sun, 10 Oct 2021 19:57:41 GMT","-1","-1","script","EF7B81F0F8A9CC9D6E0D0B3A9A831FC2","www.netflix.com","194","1000006863.21","","100","1","-1","","-1","https://www.netflix.com/cz-en/","-1","124","/personalization/cl2/freeform/WebsiteDetect?source=wwwhead&fetchType=js&modalView=nmLanding","-1","","GET","-1","-1","","200","-1","","","1521","1436","1521","1521","1521","0","1436","1521","85","5","6","1","0","","","","","","","","","","","","",
"54.74.73.31","0","1297","106","1000006863.22","","","max-age=0","-1","211011_ZF_3R","-1","MEDIUM","","","-1","106","-1","-1","-1","","1436","","HTTP/2","-1","3","https://www.netflix.com/personalization/cl2/freeform/WebsiteScreen?source=wwwhead&fetchType=js&winw=1024&winh=768&screenw=1024&screenh=702&ratio=1","-1","0","","","","High","1841","Sun, 10 Oct 2021 19:57:41 GMT","-1","-1","script","EF7B81F0F8A9CC9D6E0D0B3A9A831FC2","www.netflix.com","227","1000006863.22","","100","1","-1","","-1","https://www.netflix.com/cz-en/","-1","124","/personalization/cl2/freeform/WebsiteScreen?source=wwwhead&fetchType=js&winw=1024&winh=768&screenw=1024&screenh=702&ratio=1","-1","","GET","-1","-1","","200","-1","","","1542","1436","1542","1542","1542","0","1436","1542","106","6","7","1","0","","","","","","","","","","","","",
"104.16.148.64","0","357","70","1000006863.7","","","public, max-age=14400","100","211011_ZF_3R","1371","MEDIUM","","","-1","61","0","1371","-1","-72007","1470","443","HTTP/2","100","3","https://cdn.cookielaw.org/scripttemplates/otSDKStub.js","1469","6328","6328","ssl/cdn.cookielaw.org:443","application/javascript","High","","Mon, 11 Oct 2021 23:57:41 GMT","-1","-1","parser","EF7B81F0F8A9CC9D6E0D0B3A9A831FC2","cdn.cookielaw.org","6979","1000006863.7","0","100","1","1329","","-1","https://www.netflix.com/cz-en/","42","179","/scripttemplates/otSDKStub.js","1414","43878","GET","42","1413","","200","55","gzip","Cloudflare","1540","1470","1531","1531","1540","9","1329","1540","209","7","8","1","0","1","220","True","0","18980","","","8","3","","","",
"45.57.90.1","0","464","68","1000006863.8","","","public, max-age=16070400","0","211011_ZF_3R","1372","HIGHEST","","","-1","63","100","1372","-1","16070400","1500","443","http/1.1","100","3","https://codex.nflxext.com/%5E3.0.0/truthBundle/webui/1.22.5-shakti-css-v080e06a5/css/css/less%7Ccore%7Cerror-page.less/1/avsyuE4CqtAf9xBD/none/true/none","1500","2595","2595","ssl/codex.nflxext.com:443","text/css","VeryHigh","","Mon, 11 Apr 2022 16:10:56 GMT","-1","-1","parser","EF7B81F0F8A9CC9D6E0D0B3A9A831FC2","codex.nflxext.com","3013","1000006863.8","0","100","1","1328","","-1","https://www.netflix.com/cz-en/","59","180","/%5E3.0.0/truthBundle/webui/1.22.5-shakti-css-v080e06a5/css/css/less%7Ccore%7Cerror-page.less/1/avsyuE4CqtAf9xBD/none/true/none","1431","38326","GET","44","1431","","200","69","gzip","","1568","1500","1563","1563","1568","5","1328","1568","240","8","9","1","0","","","","","11540","","","","","","","",
"45.57.90.1","0","467","94","1000006863.9","","","public, max-age=16070400","0","211011_ZF_3R","-1","HIGHEST","","","-1","65","100","1372","-1","16070400","1505","443","http/1.1","100","3","https://codex.nflxext.com/%5E3.0.0/truthBundle/webui/1.22.5-shakti-css-v080e06a5/css/css/less%7Csignup%7Cnmhp%7Cnmhp.less/1/avsyuE4CqtAf9xBD/none/true/none","1505","17057","17057","ssl/codex.nflxext.com:443","text/css","VeryHigh","","Mon, 11 Apr 2022 16:13:56 GMT","-1","-1","parser","EF7B81F0F8A9CC9D6E0D0B3A9A831FC2","codex.nflxext.com","17476","1000006863.9","0","100","1","-1","","-1","https://www.netflix.com/cz-en/","59","181","/%5E3.0.0/truthBundle/webui/1.22.5-shakti-css-v080e06a5/css/css/less%7Csignup%7Cnmhp%7Cnmhp.less/1/avsyuE4CqtAf9xBD/none/true/none","1431","38328","GET","-1","1431","","200","74","gzip","","1599","1505","1570","1570","1599","29","1372","1599","227","9","10","1","0","","","","","109598","","","","","","","",
