"ip_addr","initiator_line","bytesOut","load_ms","final_base_page","request_id","image_save","minify_total","cacheControl","score_cdn","id","dns_end","priority","image_total","minify_save","score_cookies","ttfb_ms","score_cache","connect_start","score_compress","cache_time","objectSizeUncompressed","load_start","server_port","protocol","score_gzip","type","full_url","ssl_end","objectSize","gzip_total","socket_group","contentType","initial_priority","initiator_column","expires","score_combine","score_etags","initiator_type","frame_id","host","bytesIn","raw_id","gzip_save","score_keep-alive","is_secure","dns_start","server_count","score_minify","initiator","connect_ms","socket","url","ssl_start","client_port","method","dns_ms","connect_end","server_rtt","responseCode","ssl_ms","contentEncoding","is_base_page","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","cpu.EvaluateScript","cpu.FunctionCall","initiator_function",
"220.181.38.251","","382","276","1","0F697D05F1FA84D786CCCDF2E1D8B600","","","max-age=86400","-1","211011_ZY_37","36","HIGHEST","","","-1","274","-1","36","-1","","81","306","80","http/1.1","-1","3","http://baidu.com/","-1","81","","baidu.com:80","text/html","VeryHigh","","Tue, 12 Oct 2021 19:23:39 GMT","-1","-1","script","01A18D4EBB50B8FD0652F2375E29C677","baidu.com","386","0F697D05F1FA84D786CCCDF2E1D8B600","","100","0","2","","-1","","270","107","/","-1","58514","GET","34","306","","200","-1","","1","","582","306","580","580","582","2","2","582","580","0","1","1","0","","","",
"220.181.38.251","","345","273","","1000017398.4","","","","0","211011_ZY_37","-1","MEDIUM","","","-1","272","0","-1","-1","0","318","596","80","http/1.1","-1","3","http://baidu.com/favicon.ico","-1","318","","baidu.com:80","text/plain","High","","","-1","-1","other","01A18D4EBB50B8FD0652F2375E29C677","baidu.com","556","1000017398.4","","100","0","-1","","-1","","-1","107","/favicon.ico","-1","58514","GET","-1","-1","","200","-1","","","","869","596","868","868","869","1","596","869","273","1","2","1","0","","","",
"104.193.88.77","","414","988","","5C7FB83002DBF6850333AE8124E294E0","","","private","-1","211011_ZY_37","627","HIGHEST","","","-1","368","-1","628","-1","","322614","816","80","http/1.1","100","3","http://www.baidu.com/","-1","82699","82699","www.baidu.com:80","text/html","VeryHigh","","Mon, 11 Oct 2021 19:23:06 GMT","-1","-1","other","01A18D4EBB50B8FD0652F2375E29C677","www.baidu.com","82699","5C7FB83002DBF6850333AE8124E294E0","0","100","0","595","","-1","","188","126","/","-1","48682","GET","32","816","","200","-1","gzip","","","1804","816","1184","1184","1804","620","595","1804","1208","2","3","1","0","18","1","",
"104.193.88.77","72","612","3186","","1000017398.28","0","","max-age=315360000","0","211011_ZY_37","-1","MEDIUM","497857","","-1","363","100","627","100","315360000","497857","1796","80","http/1.1","-1","3","http://www.baidu.com/img/PC_9635cf8315d36e77d4ebb2829d33fc75.gif","-1","497857","","www.baidu.com:80","image/gif","Low","","Thu, 09 Oct 2031 19:23:41 GMT","-1","-1","parser","01A18D4EBB50B8FD0652F2375E29C677","www.baidu.com","498149","1000017398.28","","100","0","-1","","-1","http://www.baidu.com/","194","122","/img/PC_9635cf8315d36e77d4ebb2829d33fc75.gif","-1","48680","GET","-1","821","","200","-1","","","","4982","1796","2159","2159","4982","2823","627","4982","3380","3","4","1","0","","","",
"104.193.88.77","72","600","382","","1000017398.31","0","","max-age=315360000","0","211011_ZY_37","-1","LOWEST","6617","","-1","376","100","-1","100","315360000","6617","1805","80","http/1.1","-1","3","http://www.baidu.com/img/flexible/logo/pc/result.png","-1","6617","","www.baidu.com:80","image/png","Low","","Thu, 09 Oct 2031 19:23:41 GMT","-1","-1","parser","01A18D4EBB50B8FD0652F2375E29C677","www.baidu.com","6906","1000017398.31","","100","0","-1","","-1","http://www.baidu.com/","-1","126","/img/flexible/logo/pc/result.png","-1","48682","GET","-1","-1","","200","-1","","","","2187","1805","2181","2181","2187","6","1805","2187","382","4","5","1","0","","","",
"104.193.88.77","72","602","416","","1000017398.32","0","","max-age=315360000","0","211011_ZY_37","-1","LOWEST","12802","","-1","397","100","1796","100","315360000","12802","1998","80","http/1.1","-1","3","http://www.baidu.com/img/flexible/logo/pc/result@2.png","-1","12802","","www.baidu.com:80","image/png","Low","","Thu, 09 Oct 2031 19:23:41 GMT","-1","-1","parser","01A18D4EBB50B8FD0652F2375E29C677","www.baidu.com","13092","1000017398.32","","100","0","-1","","-1","http://www.baidu.com/","202","183","/img/flexible/logo/pc/result@2.png","-1","48684","GET","-1","1998","","200","-1","","","","2414","1998","2395","2395","2414","19","1796","2414","618","5","6","1","0","","","",
"104.193.88.77","72","605","378","","1000017398.33","0","","max-age=315360000","0","211011_ZY_37","-1","LOWEST","7707","","-1","369","100","1797","100","315360000","7707","1999","80","http/1.1","-1","3","http://www.baidu.com/img/flexible/logo/pc/peak-result.png","-1","7707","","www.baidu.com:80","image/png","Low","","Thu, 09 Oct 2031 19:23:41 GMT","-1","-1","parser","01A18D4EBB50B8FD0652F2375E29C677","www.baidu.com","7996","1000017398.33","","100","0","-1","","-1","http://www.baidu.com/","202","187","/img/flexible/logo/pc/peak-result.png","-1","48686","GET","-1","1999","","200","-1","","","","2377","1999","2368","2368","2377","9","1797","2377","580","6","7","1","0","","","",
"110.242.69.147","217","355","1157","","1000017398.44","","","max-age=2592000","0","211011_ZY_37","2414","MEDIUM","","","-1","221","100","2414","-1","2592000","143929","2619","80","http/1.1","100","3","http://ss.bdimg.com/static/superman/js/lib/jquery-1-edb203c114.10.2.js","-1","48249","48249","ss.bdimg.com:80","application/x-javascript","Medium","","Wed, 10 Nov 2021 19:23:42 GMT","-1","-1","parser","01A18D4EBB50B8FD0652F2375E29C677","ss.bdimg.com","48249","1000017398.44","0","100","0","1779","","-1","http://www.baidu.com/","205","226","/static/superman/js/lib/jquery-1-edb203c114.10.2.js","-1","53226","GET","635","2619","","200","-1","gzip","","","3776","2619","2840","2840","3776","936","1779","3776","1997","7","8","1","0","15","16","",
"110.242.69.147","71","394","235","","1000017398.12","0","","max-age=2592000","0","211011_ZY_37","2412","LOWEST","4735","","-1","233","100","2414","100","2592000","4735","2620","80","http/1.1","-1","3","http://ss.bdimg.com/static/superman/img/topnav/baiduyun@2x-e0be79e69e.png","-1","4735","","ss.bdimg.com:80","image/png","Low","","Wed, 10 Nov 2021 19:23:42 GMT","-1","-1","parser","01A18D4EBB50B8FD0652F2375E29C677","ss.bdimg.com","5041","1000017398.12","","100","0","1778","","-1","http://www.baidu.com/","206","231","/static/superman/img/topnav/baiduyun@2x-e0be79e69e.png","-1","53236","GET","634","2620","","200","-1","","","","2855","2620","2853","2853","2855","2","1778","2855","1075","8","9","1","0","","","",
"110.242.69.147","71","392","246","","1000017398.13","0","","max-age=2592000","0","211011_ZY_37","-1","LOWEST","2697","","-1","246","100","2414","100","2592000","2697","2621","80","http/1.1","-1","3","http://ss.bdimg.com/static/superman/img/topnav/zhidao@2x-e9b427ecc4.png","-1","2697","","ss.bdimg.com:80","image/png","Low","","Wed, 10 Nov 2021 19:23:42 GMT","-1","-1","parser","01A18D4EBB50B8FD0652F2375E29C677","ss.bdimg.com","3002","1000017398.13","","100","0","-1","","-1","http://www.baidu.com/","207","228","/static/superman/img/topnav/zhidao@2x-e9b427ecc4.png","-1","53230","GET","-1","2621","","200","-1","","","","2867","2621","2867","2867","2867","0","2414","2867","453","9","10","1","0","","","",
